id,name
21036,Roy Lee
39123,Venus Kanani
16938,Renny Harlin
71797,Alex Gibney
6046,Roland Emmerich
23966,Santo Loquasto
17146,Tim Suhrstedt
384,Joel Cox
24190,Rolfe Kent
12235,Vilmos Zsigmond
7903,Mary Hidalgo
15493,Barry Ackroyd
3996,Tom Johnson
92376,Marko A. Costanzo
40384,Aaron Zigman
78747,Mani Ratnam
1301,Philippe Rousselot
4406,Antoinette Boulat
1593,Joseph Middleton
3026,Rob Reiner
9349,Dane A. Davis
3193,Scott Martin Gershin
5572,Joel Schumacher
1733142,Gary Burritt
102429,Roger Corman
13563,Norman Jewison
3831,Jean-Pierre Melville
7728,Basil Poledouris
11905,Sven Nykvist
6593,John Huston
9587,Walter M. Scott
282,Charles Roven
1324652,Melinda Sue Gordon
1341781,Gregg Landaker
3311,Priscilla John
20229,Andy Malcolm
35736,Karan Johar
36,Don Burgess
16736,Lon Bender
11409,Oliver Wood
322,Steve Golin
2216,Gary Rydstrom
5381,Michael Shamberg
9966,Carol Littleton
6346,Anne V. Coates
7395,Bobby Farrelly
7396,Peter Farrelly
1551,Philip Glass
13166,Dino Dimuro
113194,James Bamford
3686,Johanna Ray
17016,Neil Jordan
1060,Dean Cundey
6111,Mike Figgis
39996,Sidney Lumet
7187,Richard Donner
15189,Michelangelo Antonioni
14536,Victor J. Kemper
5144,Ronald Bass
3893,David S. Goyer
4387,François Ozon
37281,Nikki Barrett
74978,Terry Porter
2484,Steven Rosenblum
1371064,Gregg Barbanell
230436,Barbara Harris
14765,Per Hallberg
54734,Evan Goldberg
2324,Heidi Levitt
8885,Albert Wolsky
14377,Juel Bestrop
15344,J.J. Abrams
4061,Louise Frogley
9573,Peter Deming
908,Michael Tronick
20821,Jack Giarraputo
1221,Dianne Crittenden
3687,Harry Cohen
898,Mark Goldblatt
8303,Don Carmody
52042,Richard Vane
1377220,Doug Hemphill
7068,Sheldon Kahn
893,Tony Scott
5634,Patricia Norris
12987,David Zucker
10771,Dave Grusin
240,Stanley Kubrick
22815,John Thompson
1352966,Michael Hertlein
15221,Tyler Bates
997,Thierry Arbogast
6348,Jeffrey Kurland
