imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3522806,,Mechanic: Resurrection (2016),"$901,821","$10,031",,"$426,679","$80,095","$1,351,820","$338,016",,,"$49,243,215","$1,261,134",,"$105,923",,,,,,,,"$4,432,371","$1,905,064",,"$408,765",,"$405,600","$53,489",,,"$335,248","$1,221,501",,,,"$210,461","$90,928","$2,085,264","$2,488,805","$1,467,507",,,,,,,"$40,561",,"$335,344","$774,182","$1,075,219",,"$775,612","$3,030,102",,"$608,633","$94,819","$60,392","$720,160","$4,012,989","$2,076,856",,"$443,866",,,"$2,748,292","$1,074,108","$3,673,194",,"$2,918,582","$1,763,940","$41,211",,"$183,000"
4446472,,Porto (2016),,,,,,,,,,,,,,,"$15,126",,,,,,,,,,,"$13,090",,,,,,,,,,,,,,,,,,,,,,,,"$22,473",,,"$16,213",,,,,,"$40,160",,,,,,,,,,,,,,
1646103,,I Wish I Knew (2010),,,,,,,,,,,,,,,,,,,,,,,,,"$4,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,154",,,,,,,,,,,,,
4076164,,In the Room (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,572",,,,,,,,,,,"$2,825",,,,,,,
3991412,,The 9th Life of Louis Drax (2016),,,,,"$7,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$93,976",,,,,,,,,,,,,,,"$254,237",,,,,,"$14,713",,,,,,,,,,,,,,
2404435,,The Magnificent Seven (2016),"$669,731","$6,376,125","$617,462","$563,059","$54,843","$2,997,144","$169,823",,"$260,323",,"$571,188","$103,991","$135,869",,"$93,432,655",,"$160,313",,"$70,419","$293,804","$5,062,649","$4,809,894",,"$391,566","$448,358","$268,512","$99,321","$607,575","$1,285,646",,"$1,924,842","$2,659,550",,"$36,095",,"$42,710","$1,138,903","$1,039,402","$1,655,577","$1,047,576","$129,104","$562,909",,"$41,725",,"$19,348","$172,349","$740,955","$611,785","$468,344",,"$320,055","$3,441,114","$39,268","$710,985","$75,829","$37,455","$520,303","$6,829,877","$3,538,440",,"$733,708",,,"$437,348","$428,833","$471,665","$447,114","$1,656,458","$7,921,183","$34,032","$83,036","$334,014"
2238032,,Skiptrace (2016),,,,,"$160,714","$106,709",,,,"$129,014,985","$191,649",,,,,,,,,,,,,,,,,,,,,"$557,962",,,,,,"$107,323",,,,,,,,,,,,,,,"$584,313",,,,,,"$124,796",,,,,,,"$403,156",,,,,,,
4975722,,Moonlight (2016),"$536,135","$1,748,402","$256,415","$519,547","$25,621","$1,899,321","$13,884",,"$234,167",,"$234,013","$25,555",,"$666,015",,,"$43,012",,"$55,893","$1,028,314","$3,931,210","$3,417,794",,"$336,177","$413,575","$98,430","$41,805",,,"$843,148","$1,574,935","$2,400,578",,"$18,008",,"$13,810",,"$525,972","$2,372,881","$298,386",,"$785,274",,,"$32,772","$8,086","$255,999",,,"$512,891",,"$50,601","$133,905","$9,469","$53,148",,"$21,886","$38,491","$1,300,581","$2,722,635","$1,124,427","$809,285",,,"$189,731","$46,004","$220,271",,,"$5,348,077","$81,143",,
1920885,,Big Fish & Begonia (2016),,,,,,,,,,"$85,023,628",,,,,,,,,,,,,,,,,,,,,"$20,545",,,,,,,,,,,,,,,,,,,,,,"$127,803",,,,,,"$385,745",,,,,,,,,,,,,,
1326283,,Jane's Journey (2010),,,"$24,350",,,,,,,,,,,,,,,,,,,"$161,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,145",,,,,,,,,,,,,
2815902,,The Childhood of a Leader (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,741",,,,,,,,,,,,,,,,,,,,
2461150,,Masterminds (2015),"$357,766","$827,013",,,"$108,746","$2,388,920","$114,528",,,,"$291,716",,"$41,588",,,,,,,"$55,062","$511,335",,,,,"$440,563","$47,135",,,,"$2,643,130",,,,,"$38,756",,"$675,777",,,,"$74,806",,,,"$20,943",,,"$110,342","$271,053",,"$434,959","$1,165,422",,,"$146,666","$38,531","$181,075",,"$457,063",,,,,,"$28,662","$47,277",,"$732,714",,"$55,129",,
3591946,,Robo-Dog (2015),,,,,"$23,518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$65,626",,,,,,,,,,,"$50,028",,,,
5165344,,Rustom (2016),,"$255,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$166,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$148,974",,,
5777628,,One More Time with Feeling (2016),,"$291,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,282",,,,,,,,,,,,,"$18,778",,,,,,,,,,,,,,,,,,,,
4610244,,The Other Side (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,$94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3263548,,The Seventh Fire (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$865,,,
4302938,,Kubo and the Two Strings (2016),"$255,134","$1,550,992","$29,642","$112,172","$76,000","$567,150","$54,307",,"$112,000","$6,372,757","$288,969","$9,852","$104,907","$169,384",,,"$246,688","$31,386","$81,461","$59,894","$2,768,243","$279,288",,"$243,889","$141,000","$108,484","$26,407",,,"$302,814","$631,007",,,"$37,251","$31,000","$57,671","$356,745","$1,293,190","$351,436","$313,433",,"$154,905",,,"$279,000","$11,986","$334,202","$20,518","$224,791","$165,368",,"$170,873","$970,385","$442,133","$469,823","$71,836","$42,783","$80,267","$183,965","$1,839,846","$266,799","$148,048",,,"$211,028","$144,000","$174,943","$124,493","$324,366","$3,960,313","$14,812","$43,831","$286,483"
2332801,,The Spirit of '45 (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428762,,Down by Love (2016),,,,"$20,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,083",,,,,,,,,,,,,,,,,"$22,660",,,"$2,952",,,,,,,,,,,,,,$814,,,
1473832,,Bridget Jones's Baby (2016),"$543,818","$13,046,305",,"$2,227,531","$39,620","$1,723,850","$164,446",,"$504,879","$746,833","$116,206","$254,453","$2,160,404","$3,255,268",,,"$164,676","$51,154","$278,603","$2,557,406","$14,168,100","$10,112,870",,"$337,075","$1,043,506","$1,462,991","$368,712","$112,031","$213,041","$611,006","$6,399,602","$3,890,252",,"$319,583","$157,961","$227,275","$91,820","$2,188,941","$11,553,946","$2,484,687",,"$4,236,105",,,"$582,000","$19,165","$767,080","$176,520","$6,100,904","$582,454",,"$340,458","$3,531,783","$203,302","$489,315","$608,528","$310,418","$683,371","$6,027,546","$5,910,419","$4,995,923","$2,751,031",,,"$686,000","$311,000","$418,198","$394,035","$857,252","$60,399,511","$55,111","$52,214","$112,000"
2547584,,The Light Between Oceans (2016),"$22,691","$2,565,340","$62,856","$99,141",,"$273,674",,,"$33,201",,"$90,617","$21,893",,"$190,573",,,,"$31,771","$62,858",,"$575,817","$427,045",,"$344,649","$33,174",,"$23,889",,,"$457,006","$448,976","$580,929",,"$17,625","$68,402","$49,281",,"$524,293","$296,903","$391,213",,,,,"$7,285","$1,387","$34,997",,"$322,251","$103,493",,,"$180,169",,"$7,175",,,"$65,389","$556,197","$135,743","$959,859","$311,680",,,"$153,194","$23,317","$50,653","$62,949","$70,816","$2,355,578","$7,698","$34,021","$4,292"
4520364,,Morgan (2016),,,,,,,,,,,"$171,028",,,,,,,,,,"$570,286","$177,032",,,,,,,"$163,485",,,,,,,"$20,351",,"$173,828",,,,"$82,351",,,,,,,"$172,513",,,,"$332,311",,,,,,,"$351,818",,,,,,,,"$61,398","$207,062","$257,582",,,
4341582,,Queen of Katwe (2016),"$29,045","$344,672",,,,"$17,891",,,"$6,257",,"$43,848",,,,"$8,874,389",,,,,,,"$46,814",,,,,,,,,,,,,,,,"$81,192",,"$5,207",,,,,,,,,,,,,,,,,,"$58,209",,,"$5,252",,,,,,"$7,099",,,"$383,290",,"$77,833",
1860357,,Deepwater Horizon (2016),"$450,530","$3,043,422","$201,688","$343,755","$89,837","$1,247,598","$104,957",,"$146,415","$10,507,817","$593,767","$76,102","$94,126","$456,741",,,"$273,717","$347,648","$50,062","$169,759","$2,281,364","$959,291",,"$123,931","$1,176,924","$222,816","$75,416","$85,305","$251,552","$545,315","$1,058,198","$2,020,160",,"$40,481","$252,965","$42,528","$2,509,418","$2,602,663","$1,036,067","$461,578",,"$651,995",,"$61,885","$131,324","$11,262","$302,635","$753,427","$355,498","$420,410",,"$324,408","$2,336,411","$24,931","$1,197,621","$78,173","$20,490","$496,722","$644,232","$530,904","$548,681","$320,808",,,"$1,347,583","$797,650","$296,328","$281,131","$2,485,878","$6,800,092","$38,142","$338,596","$315,638"
1935859,,Miss Peregrine's Home for Peculiar Children (2016),"$2,298,021","$8,442,566",,"$2,320,458","$177,830","$9,826,599","$246,568",,"$1,080,411","$17,017,610","$2,019,241",,"$1,124,816",,,,,,,"$442,250","$20,123,261","$9,263,623",,"$416,049","$3,638,864","$451,030","$100,615",,"$659,266",,"$6,891,734","$10,142,573",,,,"$110,898","$2,454,349","$9,876,268","$1,763,342","$1,326,044",,"$730,922",,,,"$38,983",,"$3,492,419","$1,200,635","$535,103",,"$648,677","$15,320,980",,"$1,585,057","$284,869","$56,916","$598,117","$18,686,518","$6,767,572","$1,846,931","$645,140",,,"$3,525,912","$1,551,160","$932,581","$1,167,622","$1,448,193","$15,387,409","$130,975",,
3631112,,The Girl on the Train (2016),"$1,827,858","$12,023,281","$665,374","$1,368,805","$42,860","$3,190,225","$80,862",,"$394,077",,"$610,554","$336,001","$737,623","$1,844,774",,,"$179,392","$170,875","$144,598","$817,404","$3,349,559","$4,680,739",,"$824,865","$394,905","$683,375","$123,412",,,"$793,208","$5,380,555","$247,102",,"$74,101","$202,452","$68,780","$173,474","$3,279,459","$1,676,518","$1,436,521",,"$247,275",,,"$414,626","$36,295","$282,177","$390,040","$2,654,957","$1,070,091",,"$420,940","$3,363,167","$86,347","$343,885","$322,755","$83,820","$459,774","$139,371","$4,281,275","$1,059,525","$1,248,747",,,"$875,444","$326,414","$409,440","$295,563","$865,641","$29,494,721","$102,665","$132,378",
4981636,,Middle School: The Worst Years of My Life (2016),,"$2,372,000",,,,,"$12,187",,,,,"$27,692",,,,,,"$8,462",,,,,,"$43,261","$13,266",,"$29,556",,"$35,465","$88,265",,,,,"$44,663",,,"$18,802",,"$129,199",,,,,,,,,,"$25,102",,,,,"$59,299",,,"$80,760",,,,,,,,"$10,480","$28,550",,"$101,416",,,,"$66,177"
2140479,,The Accountant (2016),"$877,376","$4,500,000",,,"$87,824","$3,800,000","$256,154",,,,"$773,000",,"$104,773",,,,,,,"$260,260","$2,400,000","$2,800,000",,"$1,276,731","$852,000","$683,245","$125,373",,"$1,200,000",,"$1,800,000","$2,732,255",,,,"$68,968",,"$5,000,000","$1,900,000","$748,235",,"$356,160",,,,"$22,122",,,"$409,259","$465,545",,"$522,390","$2,900,000",,,"$225,896","$31,544","$606,513","$492,000","$2,800,000",,"$684,000",,,"$3,700,000","$420,420","$276,000","$411,729","$1,941,280","$6,400,000","$45,399",,
1289783,,It's Hard Being Loved by Jerks (2008),,,,"$3,000",,,,,,,,,,,$697,,,,,,"$301,633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5038358,,News from Planet Mars (2016),"$13,967",,,"$23,173",,,$229,,,,,,,,$310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,453",,,,,,,,,,,,,,,,,,,,
5576174,,Remember You (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,830,310",,,,,,,,,,,,,,
5255710,,Sanam Teri Kasam (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,318,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,615",,,
4569240,,A Monster with a Thousand Heads (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,047",,,,$966,,
5639650,,Phantom of the Theatre (2016),,,,,,,,,,"$13,482,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5358570,,Like for Likes (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,664,716",,,,,,,,,,,,,,
2818654,,Cemetery of Splendor (2015),,,"$3,756","$7,328",,"$12,654",,,,,,,,,,,,,,,,"$4,074",,,,,$774,,,,,,,,,,,,,,,,,,,,,,,"$6,020",,,,,,,,,,"$6,936",,,,,,,,,,"$5,440",,,
3451230,,High Strung (2016),,,,,,,,,,,,,,,"$53,447",,,,,,"$971,166",,,,,,,,,,"$894,427",,,,,"$43,632",,,,,,,,,,,,,,"$22,586",,,,,"$14,857",,,"$56,369","$9,274",,,,,,,"$5,681",,,"$22,286",,,,
5597408,,Time Renegades (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,252,936",,,,,,,,,,,,,,
5644726,,Phantom Detective (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,837",,,,,,,,,,,,,,,,,,,"$9,682,304",,,,,,,,,,,,,,
4864932,,Baaghi (2016),,"$54,946",,,,,,,,,,,,,,,,,,,,,,,,,,"$10,591,237",,,,,,,,,,,,"$32,260",,"$9,058",,,,,,,,,,,,,,,,,,,,,,,,,$263,,,"$141,868",,,
5112622,,Cold War 2 (2016),,"$370,515",,,,,,,,"$102,197,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,663",,,,,,,,,,,,,,,,,,,"$7,025",,,,,,,,,,,"$14,209",,,
3367294,,Compadres (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,225,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
