imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1542840,,Villain (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,795",,,,,,"$22,265,088",,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,565",,,,,,,"$62,923",,,,,,,,
1032764,,"Love, Pain and Vice Versa (2008)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$542,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078600,,Walking Vengeance (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$807,908",,,,,,,,,,"$8,919",,,,"$11,570",,,,,,,"$1,438,930",,,,,,,,,,,,,,
1646214,,Love in Disguise (2010),,,,,,,,,,,"$8,066,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674766,,101 Proposals (2013),,,,,,,,,,,"$31,260,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013126,,One Night Surprise (2013),,,,,,,,,,,"$26,212,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0448245,,Quatre étoiles (2006),,,,,,,"$43,059",,,,,,,,,,,,,,,,"$5,555,830",,,,,,,,,"$60,759",,,,,,,,"$23,787",,,,,,,,,,,,,$716,,,,,,,,,,,,,,,,,,,,,"$40,147",
2379436,,Gone Fishing (2012),"$154,710",,,,,,"$22,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$122,639",,,,,,,,,,,,,,
1554523,,Under the Hawthorn Tree (2010),,,,,,,"$159,921",,,,"$21,668,944",,,,,,,,,,,,,,,,"$229,777",,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,581",,,,,,,,,,,,,,,,,,,,,
2734566,,The Bride (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$608,028",,,,,,,,
1794725,,When Santa Fell to Earth (2011),,,"$186,638",,,,,,,,,,,,,,,,,,,,,"$1,918,970",,,,,,,,,,,,,,,,,,,,"$115,663",,,,,,,,,,,"$7,861",,,,,,,,,,,,,,,,,"$64,401",,,
2102502,,My Lucky Star (2013),,,,,,,,,,,"$21,970,000",,,,,,,,,,,,,,,,"$4,882",,,,,,,,,,,,"$149,784",,,$660,,,,,,,,,,,,,,"$69,421",,,,,,,,,,,,,,,,,,,
3735246,,Bajirao Mastani (2015),,"$730,061",,,,,,,,,,,,,,,"$6,557,047",,,,,,,,,,,,,,,,,,,,,,,,,"$169,908",,,,,,,,,"$8,185",,"$7,305",$711,,,,,,,,,,,,,,,,,"$1,948,555","$1,929,856",,,
3909336,,Worlds Apart (2015),,,,,,,,,,,,,,,,,,,,,,,,,,"$4,734,653",,"$13,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$203,398",,,,,,,,,,,,,,,
3504604,,Steve McQueen: The Man & Le Mans (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,157",,,,,,,,,,,"$30,203",,,
3284178,,Arabian Nights: Volume 1 - The Restless One (2015),,,,,"$9,498",,,,,,,,,,,,,,,,,,,,,,,,$286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,201",,,
4618398,,Boruto: Naruto the Movie (2015),,"$175,887",,,,,,,,,"$15,392,640",,,,,,,,,,,,"$69,687",,,,"$83,140",,,,,,"$20,477,537",,,,,,"$370,848","$144,394",,"$33,805",,,,,,,,,,,,,,,,,,"$406,478",,,,,,,"$59,802","$228,579",,,,,,,
0795434,,Namastey London (2007),,"$213,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,108,989",,,,,,,,,"$15,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,728,616",,,
0282628,,Jan Dara (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,"$961,974",,,,,,,,,,,,,"$36,786",,,,,,,,,,,,,,,,"$60,984",,,,,,,,,,,"$47,602",,,,,,,,
4701702,,Mr. Six (2015),,"$351,017",,,,,,,,,"$137,268,153",,,,,,,,,,,,,,,,"$16,872",,,,,,,,,,,,,,,"$53,558",,,,,,,,,,,,,,"$55,710",,,,,,,,,,,,,,,,"$30,585",,,
4161962,,Ahora o nunca (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,824",,,,,,,,,,"$9,425,052",,,,,,,,,,,,,,
3717532,,The Last: Naruto the Movie (2014),,"$134,543",,,,,"$222,435",,,"$133,532",,,,,,,,,,,,,,,,,"$186,995",,,,,,,,,,,,,"$299,216",,"$29,030",,,,,,"$184,137","$47,902",,,,,"$428,849",,"$380,939",,,,"$329,622",,,,,,,,,,,,,,,"$47,534"
4819560,,Saving Mr. Wu (2015),,,,,,,,,,,"$30,350,000",,,,,,,,,,,,,,,,"$289,076",,,,,,,,,,,,"$276,476",,,,,,,,,,,,,,,,,"$213,913",,,,,,,,,,,,,,,,,,,
2002626,,We Were There: True Love (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,433",,,,,,"$49,639,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745713,,Buddha Mountain (2010),,,,,,,,,,,"$10,656,489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068643,,Closed Note (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,524,929",,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,526",,,,,,,,,,,,,,,
2319760,,Girlfriend Boyfriend (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,"$449,693",,,,,,,,,,,,,,,"$6,152",,,,,,,,,,,,,,"$147,367",,,,,,,,,,,,,,,,,,,
1374989,,Pride and Prejudice and Zombies (2016),"$104,778","$130,802",,"$26,967","$52,708",,"$101,622","$21,433",,,,"$87,924",,,,,,"$105,908",,,,,,"$175,789",,,"$346,624",,,,,"$487,887",,,,,"$20,784",,"$474,649","$373,430",,,,,"$25,261",,,"$66,053","$132,831",,"$60,010",,"$43,641","$532,267",,"$157,086",,,"$39,240","$64,058","$174,632","$35,987",,,,,,"$308,340","$52,951","$52,973","$183,178","$1,037,601","$7,351",,"$34,595"
2559036,,Olvidados (2014),,,,,,"$116,795",,,,,,,,,,,"$24,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381112,,Sister Smile (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,890",,,,,,,,,,,,,,,,,,"$3,433",,,,,,,,,,,,,,,
1506965,,Smoorverliefd (2010),"$14,064",,,,"$1,368,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2197849,,Brasserie Romantiek (2012),,,,,"$996,191",,"$209,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$66,294",,,,,,,,,,,,,,
1272041,,My Queen Karo (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,216",,,,,,,,
