imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
4934950,,Talvar (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,532,720",,,,,,,,,"$4,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001638,,Mary Kom (2014),,"$51,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$167,265",,,
3529198,,My Little Pony: Equestria Girls - Rainbow Rocks Animated (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$124,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,557",,
3748512,,Hitchcock/Truffaut (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,636",,,,,,,,,"$1,698",,,"$17,736",,,,,,"$1,306","$59,068",,,,,,,,"$10,026",,,"$33,571",,,
2304933,,The 5th Wave (2016),"$2,547,633","$5,206,013","$361,554","$183,454","$400,161","$447,882","$5,750,049","$153,181",,"$1,867,419",,"$1,473,202","$25,855",,"$67,582",,,"$1,272,538","$216,579","$45,752","$3,914","$127,886","$7,220,487","$3,463,847","$3,619","$84,531","$1,290,178","$274,803","$36,885","$150,806","$210,519","$669,101",,"$77,232","$33,910","$66,037","$235,145","$64,811","$2,506,794","$5,547,450","$1,184,553","$878,768","$72,320","$316,613","$136,104",,,"$2,628,657","$2,155,462","$86,332","$420,870","$253,674","$334,327","$3,593,787",,"$1,137,483","$93,972",,"$301,463","$856,286","$3,221,903","$629,712",,,,,"$1,387,587","$1,142,655","$402,749","$485,193","$1,515,014","$709,949","$261,239","$655,163","$357,581"
3685622,,600 Miles (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$260,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433632,,SK1 (2014),,,,,,,,,,,,,,,,,"$10,330",,,,,,"$2,563,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094872,,The Easy Way Out (2014),,,,,"$16,529",,,,,,,,,,,,,,,,,,"$290,488",,,,,,,,,"$22,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0483200,,The Power of Fear (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,890,521",,,,,,,,,,,,,,,,,,,,,
3754940,,Truman (2015),"$2,363,282","$210,094","$59,277",,,,"$623,238",,,"$73,854",,"$95,678",,,,,,,,,,"$31,217","$367,643","$198,433",,,,,,,,"$370,257",,,,,,,,"$81,818","$165,792",,,"$30,982",,,,"$36,617",,,"$21,025",,"$6,044",,,,,,,,"$3,830,630",,,,"$106,082",,,,,,,"$4,961","$139,836",,
0208993,,Downtown 81 (2000),,,,,,,,,,,,,,,,,"$231,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419986,,"Sexo fácil, películas tristes (2014)","$56,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3616916,,The Wave (2015),"$109,057",,,,,"$141,448",,,,,,,,,,,,,,,,"$99,190","$155,385",,,,,,"$19,735",,,,,,,,,"$2,568",,"$617,614","$63,227",,,"$10,768,607","$21,995",,,,,,"$9,113",,,"$113,054",,,,,,"$87,579",,,,,,,"$136,523","$62,848",,"$15,323","$220,583","$16,884",,,"$137,006"
3430416,,Schneider vs. Bax (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,472",,,,,,,,,,,,,,,,,,,,,
4035268,,Cosmos (2015),,,,,,,,,,,,"$2,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,942",,,,,,,,,,,,,,,,,,,,,"$2,058",,,
2947556,,Blood Countess (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$937,491",,,,,,,,,,,,,,,,,,,,,
3966942,,The President (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,760",,,,,,,,,,,,,,,
1998204,,Home from Home: Chronicle of a Vision (2013),,,"$9,748",,"$18,496",,,,,,,,,,,,,,,,,,,"$1,463,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,807","$88,338",,,,,,,,,,,,,
4594834,,Chi-Raq (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$66,667",,,
4400058,,Babysitting 2 (2015),,,,,,"$13,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$657,311",,,,,,,,,,,,,,,,,,,,,
3504226,,Weekend of a Champion (2013),,,$876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4644382,,Monkey King: Hero Is Back (2015),,,,,,,,,,,"$153,020,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,091",,,,,,"$114,796",,,,,,,,,,,,,,,
3859076,,Truth (2015),"$53,948","$238,823",,,,,"$237,836",,,"$17,060",,"$18,436",,,,"$31,672",,,,,,"$5,420","$340,749",,,,,,,,,"$800,334",,,,,,,,"$58,536",,,,,,,,"$23,467",,,"$68,686",,,,,"$13,624",,,"$54,703","$129,233","$358,475",,,"$27,934",,,"$285,123",,"$21,224",,,"$38,000","$17,960",,
1321862,,Back to the Jurassic (2012),"$102,492","$79,918","$14,258",,,"$30,707",,,,"$133,870",,"$63,084",,,"$142,739",,,,,,,,,"$57,186",,,,"$41,443",,,,"$714,589",,,,,"$27,191",,"$46,803","$386,586",,"$29,852",,,,,,"$58,935",,"$986,644","$65,072",,,"$721,787",,,"$78,198",,"$220,966","$1,831,658",,,,,,,,,"$436,473",,"$135,409",,"$13,068",,
4967094,,Our Times (2015),,"$333,642",,,,,,,,,"$54,499,955",,,,,,,,,,,,,,,,"$5,994,625",,,,,,,,,,,,"$2,346,748",,,"$32,849",,,,,,,,,,,,,,"$3,171,750",,,,"$2,842,967",,,,,,,"$14,660,808",,,,,"$50,166",,,
4788638,,To the Fore (2015),,,,,,,,,,,"$23,160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821680,,Top Cat (2011),"$675,219",,,,,,"$1,093,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,199,985",,,,,,,,"$960,880",,,,,,,,,,,,,,,,,,,,,,,,,"$16,914","$639,216",
1596363,,The Big Short (2015),"$718,729","$5,398,830","$405,728",,"$422,374","$42,193","$2,166,918",,,,,"$97,391","$110,400",,"$73,772","$387,423",,"$72,979",,,,"$275,993","$5,416,144","$3,352,710",,"$413,310","$1,022,843","$305,006","$44,613",,"$585,250","$5,302,931","$4,532,159",,"$3,440",,"$91,516","$37,220","$110,803","$1,475,500","$805,140","$495,711",,"$448,723","$3,566",,,"$239,883",,"$685,952","$651,627",,"$150,929","$1,482,656","$78,576","$471,812","$39,298","$27,724","$127,720","$2,918,707","$3,153,399","$937,226",,"$345,090","$309,689",,"$797,022","$237,236","$300,698","$219,290","$421,225","$7,624,380","$74,172","$54,542",
3703148,,Christmas Eve (2015),,,,,,,,,,,,"$73,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535103,,Loup (2009),,,,,"$110,750",,,,,,,,,,,,,,,,,,"$10,189,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,996",,,,,,,,,,,,,,,,
