imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Norway,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0182000,,The Caveman's Valentine (2001),,,,,,,,,,,,,,,,,,,"$687,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,287",,,,,,,,,,,,,
0244504,,Me You Them (2000),,,,,,,,,,,,,,,,,,,,,,,,,,"$181,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,462",,,,
0251031,,Series 7: The Contenders (2001),,"$105,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0179626,,15 Minutes (2001),,"$1,363,811",,,,,,,,,,,,,,"$153,969",,"$48,984",,,,,,,,,,,,,,"$25,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,291,422",,,,
0192071,,Get Over It (2001),,"$629,345",,,,,"$44,938",,,,,,,,,,,"$21,550",,,,,,,,,"$603,842",,,,,,,,,"$7,728",,,,,,,,,"$198,434",,,,,,,,,,,,,,,,,,,,,,,"$511,934",,,,"$10,749",,,,,"$4,972,797",,,,
0212380,,Blow Dry (2001),,,,,,,,,,,,,,,,"$10,205",,,,,,,,,,,"$164,372",,,,"$17,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0220157,,When Brendan Met Trudy (2000),,"$172,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$763,493",,,,
0099073,,Avalon (1990),,,,,,,,,,,,,,,,,,,"$15,740,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,782",,,,,,,,,,,
0039190,,The Bishop's Wife (1947),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0065687,,Elvis: That's the Way It Is (1970),,"$22,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,669",,,,,,"$2,890",,,,,,,,,,,,,,,,,,,,,,,,,,
0091474,,Manhunter (1986),,,,,,,,,,,,,,,,,,,"$8,620,929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0077413,,Death on the Nile (1978),,"$8,464",,,,,,,,,,,,,,,,,"$14,560,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0215750,,Enemy at the Gates (2001),,"$1,269,953","$57,723",,,,,"$39,779",,,,,,,,"$93,066",,"$171,535",,,,,,,,,"$566,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,454,627",,,,
0242445,,Exit Wounds (2001),,"$1,741,983",,,,,,,,,,,,,,"$126,928",,"$264,420",,,,,,,,,"$2,948,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,891,973",,,,
0205873,,The Dish (2000),,"$9,583,391",,,,,,,,,,,,,,,,,,,,,,,,"$5,574",,,,,,,,,,"$2,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,439",,,,,"$1,397,028",,,,
0209144,,Memento (2000),,"$2,022,828",,,,,"$73,594","$14,862",,,"$217,773",,,,,"$37,107",,,"$25,544,867",,,,,,,,"$1,181,625",,,"$34,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$323,982",,,,,"$8,277",,,,,,,,,
0250274,,The Brothers (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$87,392",,,,
0125022,,Heartbreakers (2001),,"$1,217,991","$685,597",,,,,,,,,,,,,,,"$166,777",,,,,"$49,646",,,"$1,270,022","$3,603,295",,,,"$40,792",,,,,,,,,,,,,,"$842,371",,,,,,,,,"$183,488",,,,,,,,,,,,,,,,,,,,,,,"$4,746,687",,,,
0239949,,Say It Isn't So (2001),,"$466,421",,,,,,,,,,,,,,,,"$144,504",,,,,,,,,"$125,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0244970,,Someone Like You (2001),,"$1,071,148","$67,418",,,,,,,,,,,,,"$23,174",,,,,,,,,,"$141,539","$753,855",,,,,,,,,"$20,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$94,461",,,,
0227538,,Spy Kids (2001),,"$3,331,433","$73,719",,,,,"$10,000",,,,,,,,"$7,881",,,,,,,,,,,"$1,299,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,807,440",,,,
0246989,,Tomcats (2001),,"$1,406,080","$243,999",,,,,"$28,929",,,,,,,,,,"$68,005",,,,,,,,,"$2,542,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0236784,,The Tailor of Panama (2001),,"$399,791",,,,,,"$10,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$477,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,448,357",,,,
