imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1408101,,Star Trek Into Darkness (2013),"$613,780","$10,115,222","$1,872,865",,"$1,031,875","$149,980","$5,219,023","$204,634","$521,474","$57,045,659","$663,481","$378,268","$667,500","$755,425",,"$64,045","$491,965","$99,487","$601,315","$8,054,818","$20,606,804",,"$255,895","$2,178,708","$608,902","$176,520","$968,251","$2,363,774","$274,376","$2,996,987","$10,818,483",,"$54,517",,"$2,788,841","$6,775,180","$1,913,528","$2,638,306","$23,490","$1,192,894","$814,483","$1,440,877","$664,396","$470,600",,"$10,518,964","$73,638","$2,410,097","$175,918","$87,153","$549,319","$11,427,281","$3,962,725","$1,757,951",,,"$1,512,565","$793,621","$1,050,838","$1,088,282","$39,356,029","$15,174","$998,404",
1684925,,Wish You Were Here (2012),,"$1,471,571",,,,,,,,,,,,,"$46,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,523",,,,
1520392,,Tales of Vesperia: The First Strike (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$941,610",,,,,,,,,,,,,,,,,,,,,,,,,"$4,351",,,,,,,,
2234155,,The Internship (2013),"$660,081","$7,120,305","$724,216","$200,887","$804,239","$30,609","$4,484,016","$103,481","$253,681",,"$581,921","$100,869","$204,477","$473,373",,"$31,552","$183,691","$81,913","$346,802","$2,071,853","$2,068,459",,"$98,599","$746,239","$462,214","$73,083",,,"$400,944","$179,952",,,"$129,445",,"$556,881","$2,549,352","$1,017,340","$652,993",,"$485,520","$621,755","$390,075","$674,331","$722,576",,"$3,244,749","$67,878","$1,100,934","$144,533","$93,017","$850,769",,"$1,855,654","$684,527",,,,"$289,691","$414,556","$672,366","$5,331,311","$104,146","$653,263",
0978649,,Bliss (2007),,,,,,,,,,,,,,,"$40,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,565,322",,,,,,
0380349,,The Corsican File (2004),,,,,,,,,,,,,"$36,286",,,,,"$1,501",,"$17,755,607",,,,,"$258,809",,,,,,,,,,,,,,,,,,"$76,466","$4,728",,"$687,980",,,,,,,,,,,,"$108,709",,,,,,
2366450,,Stories We Tell (2012),,"$616,908","$5,170",,"$7,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,334",,"$232,882",,,,"$6,092",,,,,,,,,,"$40,471",,,,,,,"$82,808",,,
2207050,,Bicycling with Molière (2013),,,"$55,287",,"$28,349",,"$78,508",,,,,,,,,,,,"$24,245","$9,378,710","$240,928",,,,,,,,,"$1,021,804",,,,,,,,,,,,,,"$12,452",,,,,,,,,"$153,269",,,,,,,,"$70,503",,,
1890391,,The Dead Man and Being Happy (2012),"$1,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,181",,,,,,,,,,,
2087850,,The Players (2012),,,,,"$1,107,198",,"$183,685",,,,,,,,,,,,,"$19,340,168",,,"$151,091",,"$10,943",,,,,"$544,424",,,,,,"$255,287",,,,,,,"$686,001","$213,847",,"$1,300,771","$2,071",,,"$26,369",,,"$564,893",,,,,"$220,639","$6,640",,"$4,271",,,
1602613,,Only God Forgives (2013),,"$356,874","$77,138",,"$428,988",,,"$1,901",,,,,"$25,760","$307,913","$779,188",,,,"$141,626","$3,662,317","$546,125",,"$40,310",,,"$19,495",,,,"$753,872",,,"$5,913",,,"$93,775","$416,212","$74,228",,"$148,935",,,"$182,317","$48,612",,"$23,206",,"$12,860","$21,353","$9,760",,,"$265,710","$126,682",,,"$66,799","$45,234",,"$87,007","$1,888,222",,,
1951261,,The Hangover Part III (2013),"$4,896,345","$19,150,236","$5,235,183",,"$3,012,616","$213,861","$16,311,834","$344,351","$1,132,081",,"$2,167,913","$499,130","$694,123","$2,180,173",,"$100,205","$610,534","$281,709","$1,523,526","$16,412,846","$31,163,448",,"$1,728,999","$1,545,621","$1,477,589","$201,464","$2,057,313","$455,513","$1,581,123","$16,416,593","$2,719,691",,"$349,200",,"$583,512","$5,914,416","$6,600,950","$2,031,192",,"$3,543,335","$1,041,058","$1,164,747","$3,040,209","$1,843,795",,"$17,363,085","$259,848","$1,589,827","$742,838","$432,432","$1,246,956",,"$7,023,941","$3,308,649",,,"$396,065","$2,319,916","$1,790,834","$2,121,113","$29,519,798","$591,330","$3,149,588",
1344315,,Garbo: The Spy (2009),,,,,,,,,,,,,,,"$28,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$319,279",,,,,,,,,,,
