imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0783475,,Getting Home (2007),,,,,"$1,254",,,,,"$1,675,150",,,,,,,,,,,,,,,"$36,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$569,,,,,,,,,
4923042,,Tharlo (2015),,,,,,,,,,"$143,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$907,,,
5953804,,Diggers (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$627,996",,,,,,,,,,,,,,,,,,,,
5487524,,Guardians of the Night (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$509,539",,,,,,,,,,,,,,,,,,,,
5119598,,Where's the Dragon? (2015),,,,,,,,,,"$3,847,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,921",,,,,,,,,,,,,,
3783958,,La La Land (2016),"$2,468,814","$14,930,852","$1,711,043",,"$3,389,982","$113,776","$7,483,641","$194,672","$1,022,531","$35,916,658","$1,970,521","$388,853","$93,721","$540,016","$2,784,473","$151,101,803","$127,277","$264,851","$349,828","$190,451","$3,013,636","$19,815,123","$15,678,033","$1,456,391","$4,563,074","$817,652","$299,128","$1,244,945","$242,796","$1,441,973","$8,687,374",,"$38,116,791",,,"$142,591","$453,008","$163,171","$301,903","$4,325,816","$3,889,738","$1,866,827",,"$2,324,310",,"$83,180","$143,326","$54,789","$959,439","$1,264,875","$3,649,490","$1,767,919",,"$355,516","$5,225,029","$149,024","$1,325,403","$236,174","$245,855","$602,262","$47,429,613","$14,914,091","$3,546,785","$4,285,112",,"$4,011,921","$893,655",,"$1,217,770","$336,174","$1,413,461","$37,418,325","$264,523","$632,719","$654,905"
5031998,,Collector (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$707,144",,,,,,,,,,,,,,,,,,,,
4331970,,Being 17 (2016),,,,,"$43,667",,,,,,"$18,684",,,,,"$52,713",,,,,,"$1,639,628",,,,,,,,,"$143,919",,,,,,,,,,"$44,656",,,,,,,,,,,"$5,547",,,,,,,$690,,,"$31,037",,,"$70,225",,,,,,,,,,
5186714,,The Salesman (2016),"$68,689",,,,,"$11,244",,,,,"$59,177",,,,,,,,,,"$33,785","$1,841,684",,"$232,689",,"$13,028",$297,,,,"$828,856",,,,,,,"$1,247",,,"$77,007","$97,844",,"$15,536",,,,,,,"$187,443","$28,721",,,"$42,730",,,,,"$16,377","$66,354","$722,800",,,,,,,"$62,112",,"$4,300","$110,757","$28,860",,
4955162,,Barbie in Rock 'N Royals (2015),,,,,,,"$10,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,206",,,,,,,,,"$6,726",,,,,,,,,,,,,,,,,,,,,,,,,,
