imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0329774,,xXx: State of the Union (2005),"$81,570","$2,496,312","$580,151","$100,591",,"$688,997","$11,947","$848,934","$87,610",,"$58,677","$176,991","$1,656,109","$225,900","$21,292",,,"$71,172",,,,,"$38,652","$58,042","$42,779","$35,183","$148,294","$3,199,693","$3,511,561","$146,391","$294,685","$178,795","$91,073","$2,061,482","$452,617",,"$1,029,910",,,"$38,551",,"$440,071","$31,218","$82,874",,,"$18,708",,"$3,030,578",,,"$503,525",,"$488,862","$33,150",,"$476,611","$30,110",,"$89,667","$537,915","$80,468","$351,334",,"$74,916","$62,185","$2,139,813","$1,808,560",,"$14,950","$426,939","$15,267",,"$688,546","$3,383,627","$2,824,425",,,"$744,112",,,,"$514,606","$1,117,926","$199,797",,"$457,290","$5,073,836","$16,699","$344,158",,
0320661,,Kingdom of Heaven (2005),"$1,591,109","$6,262,849","$2,220,222",,,"$2,910,505","$71,596","$6,984,391","$289,503",,"$620,874","$806,434",,"$1,137,362","$208,330",,,"$536,590","$659,212","$1,972,247","$47,398,413","$74,386",,"$189,799","$351,784","$130,213","$865,101","$9,533,590","$16,415,805","$2,039,459","$847,643","$874,638","$164,649","$346,882","$665,708","$299,835","$9,522,276","$18,820","$11,685,285",,,,"$91,352","$282,019",,"$80,888","$125,543","$704,135","$8,426,138",,"$2,209,991","$2,980,011",,"$1,190,959",,,"$1,870,407",,,"$544,439","$1,147,831","$1,943,951","$977,330","$646,004",,"$243,672","$6,453,424","$5,328,762",,"$166,702","$1,098,073","$109,263","$251,045","$910,369","$8,720,877","$15,038,725",,"$1,902,239","$2,575,570",,,,"$3,160,826","$1,241,335","$3,038,896",,"$1,644,362","$14,535,907","$111,834","$674,238",,
0397065,,House of Wax (2005),"$413,793","$1,489,768","$700,105",,,"$584,776",,"$713,569","$31,990",,,"$210,081",,,,,,"$112,224",,,,,,,"$172,445",,,"$2,353,961","$2,441,894",,"$864,800","$62,909","$61,510",,,,"$849,547",,,,,,,"$12,849",,,,,"$2,142,026",,,"$419,797",,"$309,224",,,"$143,139",,,,"$178,000","$37,787",,,,"$21,933",,"$1,429,954",,"$14,584","$494,100","$28,925",,"$271,799","$1,368,569","$3,353,720",,"$277,231",,,,,"$2,550,000","$284,900","$611,730","$91,238","$310,943","$5,361,953",,,,
0375679,,Crash (2004),"$376,651","$1,646,902","$104,174",,,"$1,008,051",,"$1,399,996","$48,593",,,"$258,849",,,,,,,,"$354,723",,,,,"$53,048",,"$444,821","$3,435,066","$1,692,929","$128,250","$243,275",,"$62,764",,,,"$3,535,519",,,,,,,,,,"$21,574",,"$1,228,386",,,"$1,061,663",,"$398,418",,,"$384,137",,,,,"$96,003","$330,825",,,"$64,227",,"$312,500",,"$17,395",,"$1,244",,,"$903,403","$10,270,180",,"$1,256,057","$571,444",,,,"$379,663",,"$419,516",,"$104,177","$11,088,304","$127,034",,,
0370986,,Mysterious Skin (2004),,"$262,344",,,,,,,,,,,,,,,,,,"$7,966","$713,240",,,,,,,"$99,056",,,,,,,,,,,,,,,,,,,,,,,,,,"$12,145",,,"$19,816",,,,,,,,,,,,,,,,,,,,,,,,,,"$33,567",,,,,"$376,832",,,,
0413893,,The Taste of Tea (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,142",,,,,,,,,,,,,,,,,
0064541,,Kes (1969),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,681",,,,
0387892,,Brodeuses: A Common Thread (2004),"$20,579",,,,,,,,,,,,,,,,,,,,"$26,042",,,,,,,"$1,254,145","$68,111",,,,,,,,"$399,994",,,,,,,,,,,,,,,,,"$43,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,460",,,,,,,,,
0332285,,Off the Map (2003),,,,,,,,,"$2,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0395173,,Unconscious (2004),"$39,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,916",,,,,,,,,
0291832,,Crackerjack (2002),,"$4,518,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$198,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0342272,,Dear Wendy (2005),"$8,539",,"$9,721",,,,,,,,,,"$2,829",,,,,,,,,,,,,,,,"$150,994",,,,,,,,"$26,545",,,,,,,,,,,,"$75,302",,,"$56,763",,,,,,,,,,,,,,,,,,,,,,,,"$94,434",,,,,,,"$5,698",,,,,"$152,432",$866,,,
0342258,,Unleashed (2005),"$77,892","$2,024,943","$245,195",,,"$306,871",,"$227,728","$40,229",,,"$31,363",,,,,,"$72,013",,,,,,,"$22,460",,"$28,505","$5,388,580","$2,918,306","$43,200","$449,089",,"$44,592",,,,"$531,476",,"$3,022,463",,,,,,,,,,"$850,548",,,"$186,116",,"$249,447",,,"$19,395",,,,,"$104,583","$197,490",,,"$28,515",,,,,,"$23,129",,"$189,871","$2,007,983","$2,772,470",,,"$142,189",,,,"$283,157","$298,400","$245,858",,"$345,182","$2,586,265",,,,
0397619,,Samaritan Girl (2004),,,,,,,,,,,,,,,,,,"$9,421",,,,,,,,,,,,,,,,,,,"$305,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,479",,,,,,,,,
0121766,,Star Wars: Episode III - Revenge of the Sith (2005),"$2,368,526","$27,286,605","$4,611,122",,,"$4,894,503","$305,835","$7,323,519","$511,077",,"$1,687,269","$3,456,204","$9,128,645","$1,609,776","$448,714",,,"$1,111,774","$1,274,881","$5,605,203","$380,270,577","$185,871",,"$666,571","$53,429","$135,877","$2,784,340","$56,861,798","$47,301,389","$1,390,276","$2,531,147","$3,140,982","$464,583","$747,344","$589,179","$803,595","$11,301,748","$73,531","$82,665,136",,,,"$131,303","$74,341",,"$218,907","$102,573","$1,668,063","$15,276,917",,,"$4,704,603",,"$4,182,607",,,"$4,037,450",,,"$1,611,447","$2,299,165","$4,266,950","$2,100,790","$2,048,489",,"$392,713","$9,462,812","$8,269,382","$9,462,812","$153,530","$2,501,307","$150,374","$235,856","$1,644,087","$10,862,110","$23,789,750",,"$7,748,924","$4,775,784",,,,"$3,241,852","$2,491,185","$1,655,890",,"$916,027","$72,827,146","$134,185","$1,360,203",,
0384642,,Kicking & Screaming (2005),,"$1,422,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,741",,,,,,,,,,,,,,,,"$309,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,617","$1,364,703",,,,
0369735,,Monster-in-Law (2005),"$727,444","$6,920,116","$1,557,557",,"$210,984","$639,120","$24,511","$4,374,546","$95,110","$508,268",,"$165,256",,"$195,861","$79,492",,,"$155,565","$210,159","$622,616",,,,"$119,719","$95,909",,"$604,314","$3,372,475","$6,272,334","$2,099,150",,"$335,344","$135,553",,"$163,295","$609,070","$5,173,546",,,,,,,"$126,202",,,,,"$5,109,524",,,"$192,608",,"$409,716",,,"$394,172",,,"$325,810","$370,692","$784,804","$936,027","$838,934",,"$139,131",,"$2,057,999",,"$70,047","$621,699","$45,879","$305,425","$1,242,149","$510,967","$6,567,397",,"$649,096","$787,872",,,,,"$295,837","$847,006","$398,979","$430,081","$12,018,392",,"$482,481",,"$99,786"
0365109,,Deep Blue (2003),,"$491,879","$341,289",,,,,,"$11,283",,,,,,,,,$846,,,"$132,261",,,,,,,"$5,196,870","$5,445,518",,,,,,,,"$434,366",,"$6,751,076",,,,,,,,,,,,,,,"$107,468",,,,,,,,,,,,,,,,,,"$3,432",,,,"$163,754",,,,,,,,,,,,"$208,219",,,,
0411705,,9 Songs (2004),,"$168,450","$71,172",,,,,,,,,,,,,,,,,,"$66,853",,,,,,,,"$134,024","$13,750",,,,,,,,,,,,,,,,,,,"$287,083",,,,,"$32,666",,,,,,,,,"$34,856",,,,,,,,,,,,,"$168,175",,,,,,,"$15,685",,,,,"$581,909",,,,
0393775,,Simon (2004),,,,,,,,,,,,,,,,,,,,,"$4,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,103,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
