imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1441326,,Martha Marcy May Marlene (2011),,"$168,705","$1,499",,,,,,,,,,,,"$111,972",,,,,,"$183,547","$58,398",,,,,,,,,"$13,454",,,,,,,,,"$16,939",,"$67,120",,,,"$34,689",,"$5,665",,,,,,,"$306,635","$105,428",,,,,,,,"$713,763",,,
1242460,,We Need to Talk About Kevin (2011),"$39,427","$702,332","$13,235",,"$209,489",,"$267,703",,,,,"$34,766",,"$10,598","$530,680",,,,,"$188,481","$268,940","$89,590",,,"$56,197",,,,,,"$84,796",,,,,,,"$393,338","$329,975","$194,131",,"$91,621","$9,334",,"$130,213","$24,825",,"$35,757",,,,,,"$39,944","$132,782","$16,111",,,"$14,033",,"$26,751",,,"$3,518,623","$3,299","$36,655",
1704619,,Tabloid (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,636",,,,,,,,,,,,,,,,,,,,,,,,"$24,368",,,
1509767,,The Three Musketeers (2011),"$1,166,031","$2,852,428","$2,041,425",,"$1,132,761","$81,529","$8,742,931","$285,147",,,,"$1,414,817","$275,656","$402,706","$966,901",,"$19,628",,,"$413,850","$3,880,990","$16,195,214","$2,721","$691,967","$753,685","$168,522","$65,700",,,,"$5,170,712",,"$24,394,935",,"$246,570",,"$819,649","$2,638,338","$1,970,432","$571,757","$27,843","$736,778","$384,062","$453,910","$1,017,404","$730,330",,"$7,928,999","$120,792","$832,446","$172,481","$139,771","$452,619","$5,170,426","$4,286,744","$1,430,070",,,"$1,250,892",,"$673,933","$996,550","$781,995","$5,437,499","$31,304","$1,284,238",
1637688,,In Time (2011),"$835,100","$9,090,780","$1,645,191","$13,366","$1,453,786","$48,358","$2,157,218","$381,462",,,,"$498,075","$118,493","$337,810","$861,887",,"$25,950","$95,208","$245,310","$518,032","$8,672,556","$9,478,285",,"$258,354","$1,783,928","$904,823","$45,675",,,"$614,970","$5,386,533",,"$21,565,348",,"$237,182",,"$1,206,204","$2,779,745","$1,212,578","$1,041,785",,"$469,870","$323,554","$861,037","$749,886","$794,989",,"$14,773,018","$40,821","$1,342,995","$104,611","$102,428","$337,202","$4,076,485","$7,788,439","$1,917,405",,,"$1,301,835",,"$745,672","$1,383,997","$636,285","$8,634,105","$35,348","$611,290",
1438216,,Oranges and Sunshine (2010),,"$3,860,926",,,,,,,,,,,,,,,,,,,,,,"$68,772",,,,,,,,,,,"$3,844",,,,,"$288,404",,,,,,,,,,,,,,,,,,,,,,,,"$652,227",,,
1182924,,A Pain in the Ass (2008),"$2,053","$17,946",,,"$78,203",,,,,,,,,,,,,,,,"$1,900,973",,,,,,,,,,,,,,,,,,,"$31,741",,,,,,,,,,,,,,,,,,,,,,,,,,,
1233192,,Brighton Rock (2010),,"$552,284","$9,855",,"$15,525",,,,,,,,,,,,,,,,"$16,140","$35,353",,,,,,,,,,,,,,,,,,"$223,649",,,,,,"$6,913",,,,"$7,180",,,,,,"$62,758",,"$8,222",,,,,"$2,883","$1,743,184",,,
0466893,,Margaret (2011),,"$354,500",,,,,,,,,,,,,,,,,,,"$3,234",,,,,,,,,,"$2,569",,,,,,,,,,,,,,"$3,797",,,,,,,,,,"$60,381",,,,,,,,,"$93,888",,,
1692486,,Carnage (2011),"$241,454","$343,371","$780,744",,"$385,154",,"$513,197",,,"$75,375",,,"$8,789","$32,787","$48,662",,,,,"$85,324","$2,795,006","$7,754,332",,"$91,585","$70,379",,"$7,889",,,,"$4,516,944",,"$651,917",,"$31,673",,,"$297,842","$617,212","$50,752",,"$43,730","$47,724",,"$1,662,890","$184,938",,"$709,906","$20,196",,,"$18,624","$21,682",,"$4,037,313","$102,257",,,,,"$144,209","$5,920","$65,213","$1,673,225","$37,370",,
1615147,,Margin Call (2011),"$291,722","$1,837,529","$180,321",,"$102,598",,"$158,459",,,"$80,634",,"$92,705",,,,,,,,,"$1,560,973","$1,317,722",,"$74,520","$341,118","$18,911",,,,,"$540,072",,,,"$18,085",,,"$220,647","$75,458","$328,713",,,"$60,662",,"$364,811","$102,133",,"$755,548",,"$121,269",,,"$142,111",,"$2,449,037",,,,"$8,664",,"$102,195","$18,727","$55,962","$557,951","$41,164","$52,151",
1778304,,Paranormal Activity 3 (2011),"$3,340,003","$7,685,432","$1,278,530",,"$1,411,465","$265,827","$5,109,975",,,,,"$1,497,448","$70,793","$260,669","$928,413",,,"$563,253","$41,632","$417,166","$7,120,341","$8,044,089",,"$255,831","$78,101","$115,720",,"$228,385","$1,115,267","$216,405","$1,769,144",,"$4,328,796",,"$38,303",,"$676,339","$7,855,171","$1,395,850","$832,385",,"$919,418","$1,567,250","$560,761","$790,942","$289,712",,"$6,630,507","$40,200","$660,429","$55,748","$91,156","$204,912","$798,318","$2,995,291","$1,184,178",,,"$168,838",,"$1,280,093","$395,220","$383,629","$16,999,985","$167,633","$1,315,992",
1582248,,Puncture (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,883",,,,,,,"$21,541",,,,,,"$14,331",,,,,,,,
1661420,,Polisse (2011),,,"$1,464",,"$218,658",,"$32,786",,,,,,,,,"$211,440",,,,,"$19,798,008","$22,171",,,,,,,,,"$87,707",,,,"$6,402",,,"$10,373",,,,"$58,857",,,,"$8,235",,,,,,,,,"$61,329","$9,606",,,"$3,159",,"$2,694",,,"$68,356",,,
