imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Canada,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1628841,,Independence Day: Resurgence (2016),"$3,586,584",,"$8,631,705","$969,618",,"$900,545","$131,509","$8,725,523","$303,577",,,,"$1,935,228","$75,359,650","$2,407,061",,,"$721,192","$921,953",,,"$827,923",,,,"$825,088","$10,213,367","$16,958,477",,"$126,950","$4,474,791","$1,052,974","$131,472","$5,185,463",,,"$265,622","$2,979,381",,"$25,037,885",,,,,,"$189,090","$2,959,195","$14,155,646",,"$2,495,850","$1,153,340",,"$1,746,172",,,,,"$2,319,395","$3,087,882","$1,324,316","$553,652",,,"$676,411",,"$6,777,053",,,"$2,593,209","$282,032","$74,028","$669,106","$11,210,007","$4,778,992","$1,744,336","$1,411,742",,,"$5,936,900","$2,527,211",,"$1,020,540","$876,596","$2,517,690","$15,702,475",,,"$247,455"
2660888,,Star Trek Beyond (2016),"$393,836",,"$5,935,105","$1,492,570",,"$670,644","$100,300","$4,479,190","$158,043",,,,"$270,644","$65,170,090","$456,001",,,"$469,494","$526,007",,,,,,,"$496,627","$5,815,202","$15,505,560",,"$235,227","$1,345,813","$641,845","$134,896","$1,278,591","$2,350,047",,"$241,467","$2,709,041",,"$5,038,849",,,,,,"$44,072","$1,031,783","$2,684,045",,"$1,863,913","$1,300,437",,"$441,832",,,"$746,343","$15,494","$467,192","$1,088,440","$689,746","$378,493",,,"$353,335",,"$6,529,377",,,"$1,258,024","$127,596","$51,504","$377,826","$9,126,493","$2,903,485","$943,076","$903,081",,,"$2,044,138","$1,540,448",,"$660,098","$622,067","$1,046,828","$20,979,720","$14,477","$4,874,184",
0341266,,Bhoot (2003),,,,,,,,,,,,,,,,,,,,"$106,774",,,,,,,,,,,"$19,930",,,"$3,513,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0476649,,Darna Zaroori Hai (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,948,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0349333,,Darna Mana Hai (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,203,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433562,,High Lane (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$86,679",,,,,,,,,,,,,,,,,"$178,186",,,,,,,,,,"$281,574",,,,,,,,,,,,,,,"$666,715",,,,,,,,,,,,,,,
0897347,,The Echo (2008),,,,,,,"$2,514",,,,,,,,,,,,,,,"$30,491",,,,,,,,,,,,,,,,,,,,,,,,,,"$498,959",,,,,,,,,,"$105,781","$127,011",,,,,,,"$124,048",,,,,,,"$225,751",,,,,,,"$2,385",,,,,,,"$358,640",
1839596,,Rockstar (2011),,,"$109,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,568,066",,,,,,,,,,,,,"$16,890",,,,"$31,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$507,676",,,
1230165,,Rock On!! (2008),,,"$28,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,024,956",,,,,,,,,,,,,"$7,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2332883,,Deepsea Challenge (2014),,,"$94,914",,,,,,,,,,,,,,,,,"$235,659",,,,"$2,961",,,"$38,552",,,,,,,,,,,,,,,,,,,,"$21,918",,,,,,,,,,,,,,,,,,,,,,,,,,"$5,111",,,,,,,"$68,955",,,,,,,,
0464059,,Le cactus (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,359,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,744",,,,,,,,,,,,,,,,,"$27,564",,,,,
1386741,,The Widows of Thursdays (2009),"$1,999,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$74,737",,
2364897,,The Disappointments Room (2016),,,,,,,"$46,569","$359,073",,,,,,,"$67,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$692,884",,,,,,,,,,,,,"$26,481",,,"$140,602",,,,,,,,,,,,,,,,"$19,647",,,,"$1,968,656",,,,
0425235,,We Shall Overcome (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$74,087",,,,,,"$3,761",,,,,,,,,
0443057,,Iberia (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,986",,,,,,,,,
0382711,,People of Rome (2003),"$32,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$188,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2952634,,How Strange to Be Named Federico (2013),"$33,538",,,,,,,"$55,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,063",,
