imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Costa Rica,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Nicaragua,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Switzerland (French),Switzerland (French/Italian),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0449089,,RV (2006),,,"$2,576,615",,"$112,287",,"$16,833","$21,654",,,,"$271,791","$75,143",,"$191,919",,"$27,273","$4,814",,,,,,,"$23,784","$100,991","$51,152",,"$11,999",,"$856,947","$970,523",,,,,,,"$44,136","$51,239","$165,279",,"$347,517",,,"$40,536",,"$307,065","$26,745","$63,253",,"$13,668","$181,897","$2,114,135",,,,,"$373,332",,"$30,721",,,"$16,103",,,,"$205,194","$114,187",,"$306,933",,"$88,225","$45,578",,,,,,"$9,345","$272,848",,"$86,638","$465,624",,,"$1,545,613",,"$5,390",,,,,,,,,,"$452,279","$2,000,067","$55,466","$843,852",,
0475276,,United 93 (2006),"$321,365",,"$1,383,583","$617,694",,,"$1,411,876",,"$709,063","$23,694","$379,933",,"$204,879",,"$309,174",,"$73,621",,"$46,183","$312,370","$366,949","$303,277",,,,"$46,463","$8,702",,"$13,415","$311,675","$4,425,669","$2,091,523","$427,130",,,,"$406,852","$117,012","$64,441","$175,265",,"$401,386","$3,190,330",,"$7,696,219",,"$15,582",,"$43,504","$21,443",,"$46,041",,"$2,425,037","$352,022",,"$975,485",,"$269,059",,,$808,"$744,002",,,,,"$156,360","$66,834","$958,219","$1,039,925",,,"$27,998",,,,,,"$8,492",,"$70,123","$34,581","$177,378",,"$484,424","$3,579,543",,"$781,073","$503,296",,,,,"$338,237","$75,084","$231,713",,"$299,178","$5,374,823",,"$241,132","$36,070",
0430634,,Stick It (2006),,,"$3,306,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$78,818",,,,"$30,517",,,,,,,,,,,,,,,,"$429,657",,,,,,,,,,,,"$112,975",,,,,"$220,916",,,,,,"$7,309",,,,,,,,,,,,,,,,,,"$858,816",,,,
0464105,,Man Push Cart (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,295",,,,
0423176,,The World (2004),,,,,,,,,,,,,,,,,,,,,,,"$64,123",,,,,,,,"$167,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,173",,,,,,,,,,,,,,,,,,
0429573,,An American Haunting (2005),"$529,788",,,"$42,845",,,"$69,212","$43,350","$430,745",,"$161,612",,"$410,016",,,,,,,"$47,021",,,,,,,,,,,"$151,998","$184,932",,,,,,,,,,,,,,,,,,,,,,"$2,041,796",,,,,,,,,,,,,,"$135,530",,"$88,740","$85,476",,,,,"$990,889",,,,,,"$18,221",,,,,"$3,103,045",,,,,,,,"$210,677","$2,778","$28,046",,"$147,599","$3,394,905",,"$994,870",,
0398027,,Down in the Valley (2005),,,,,,,,,,,,,,,,,,,,,,,"$568,932",,,,,,,,,,,,,,,,,,,,"$43,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,137",,,,,,,,,,,,,,"$210,507",,,,
0442286,,The Hidden Blade (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,004,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,210",,,,,,,,,
0327084,,Over the Hedge (2006),"$2,652,731",,"$12,383,548","$3,257,559",,,"$3,015,543",,"$7,098,681","$13,213",,"$1,246,180","$1,404,897",,"$1,035,434",,"$153,382",,"$12,443","$475,665","$525,011","$2,601,692",,,,"$330,675","$20,775",,"$79,329","$783,579","$11,220,659","$22,603,541","$827,149",,,,"$1,735,406","$1,172,273","$202,512","$114,189","$272,494","$1,770,262","$9,691,689",,"$8,987,831",,"$20,803",,"$54,864","$26,409",,"$121,478","$645,769","$12,214,727","$298,963",,"$2,598,312",,"$2,124,771",,,"$1,630","$3,724,453",,"$6,973",,,"$865,122","$446,399","$3,166,106","$2,229,373",,,"$63,899",,"$7,054,092",,,,"$36,563","$1,337,817","$222,397","$111,262","$1,605,361",,"$5,752,187","$7,988,251",,"$2,736,255","$3,100,350",,,,,"$1,505,978","$296,553","$705,500","$595,907","$416,968","$25,901,994",,"$1,110,722",,
0364955,,Art School Confidential (2006),,,,,,,,,,,,,,,,,,,,"$9,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
