imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Norway,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Soviet Union,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0289992,,The Life of David Gale (2003),"$69,819","$654,583","$478,270",,"$646,422",,"$14,081",,,,,,,,,"$39,830",,,,,,,,,"$34,586","$2,801,863","$1,623,331","$213,600",,"$77,033","$34,554","$26,779",,,"$453,404","$940,438",,"$641,280",,"$8,738",,,,,,"$885,917",,,,"$325,668","$105,323","$115,623",,,,"$317,712",,,,,"$135,313",,,,,,"$206,566","$304,010",,"$1,066,611",,,,,,,,"$4,016,065",,,
0302886,,Old School (2003),,"$1,416,741","$386,704",,,,,,,"$65,435",,,"$28,730",,"$24,445",,,,,,,"$27,499",,,,"$30,034","$1,865,281",,,,,"$32,109",,,,"$1,056",,,,,,"$77,495",,,,"$954,378",,"$58,206",,"$415,869",,,,"$47,839",,,"$372,044",,,,,,,,,"$25,590","$209,739","$86,228",,"$1,726,832",,,,,,,,"$3,698,173",,,
0276276,,Lawless Heart (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,231",,,,,,,,,,,,,,,,,,,,,,,,,,,"$161,298",,,
0279977,,The Navigators (2001),,"$12,272",,,,,,,,,,,,,,,,,,,,,,,,"$1,702,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$89,538",,,,,,,,,,,
0315543,,Open Hearts (2002),"$72,642","$16,020","$51,149",,,,,,,,,,,,,"$259,607",,,,,,,,,,"$48,034","$507,770",,,,,,,,,"$3,648",,,,,,,,,,,,,,"$24,743",,"$413,272",,,,,,,,,"$159,217",,,,,,,,,,,,,,,,,,,,
0240980,,Till Human Voices Wake Us (2002),,"$37,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0306685,,Cradle 2 the Grave (2003),,"$1,550,475","$415,080",,"$234,333",,"$200,000","$88,411",,,,,,,,"$23,094",,,,,,,"$26,206","$16,964",,"$2,586,548","$3,637,370","$24,500",,,"$33,082",,,,,"$246,828",,"$1,551,193",,,,,,"$13,597",,"$669,414",,,,"$421,615","$224,706",,,,"$233,000","$50,992",,,,,"$57,670",,"$15,457","$350,000",,,"$286,785",,,"$886,008","$126,503",,"$549,886","$239,000","$305,768",,,"$1,924,621",,,
0278731,,Spider (2002),,"$144,894",,,,,,,,,,,,,,"$2,666",,,,,,,,,"$69,787","$888,243","$150,599","$148,900",,"$6,761",,,,,,"$1,397,383",,,,,,,,,,"$199,654",,,,,,,,,,,,,,,"$14,103",,,,,,,,,"$160,989",,,,,,,,"$525,331",,,
0287471,,Late Marriage (2001),"$38,916",,,,,,,,,,,,,,,,,,,,,,,,,"$127,338",,,,,,,,,,,,,,,,,,,,"$45,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0301978,,Ten (2002),,"$3,769",,,,,,,,,,,,,,,,,,,,,,,,"$320,611","$22,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0305669,,Bringing Down the House (2003),"$185,062","$2,749,435","$570,601",,"$473,445",,"$800,000",,,,"$82,301",,,,,"$6,342",,"$9,525",,,,,"$35,021",,"$9,571","$771,258","$2,877,845","$460,400",,,"$79,636",,,,,"$1,967,391",,,,"$2,535",,,,,,"$3,290,970",,,,"$211,316","$279,511",,,,,,,,,,,,,,,,"$871,511",,,"$4,631,323","$89,495","$567,505","$532,722",,"$131,278",,,"$5,786,550",,,
0314353,,Tears of the Sun (2003),"$196,762","$1,449,248","$257,774",,"$811,996",,"$500,000","$48,102",,,"$84,710",,,,,"$89,538",,"$387,190",,,,,"$36,424","$13,710",,"$3,077,732","$3,185,460","$90,000",,,"$77,050","$24,181",,,,"$2,325,869",,"$7,953,845",,,,,,"$17,606",,"$2,951,643",,,,"$443,161","$373,968","$55,478",,,"$354,000","$132,228",,,,,"$803,416",,"$43,170","$391,000",,,"$516,853",,,"$3,061,190","$229,783",,"$1,299,626","$217,000","$579,896",,,"$1,350,756",,,
0290673,,Irreversible (2002),"$65,393","$37,270","$27,479",,,,,"$6,379",,,"$100,786",,,,,"$11,874",,,"$803,491",,,,,,,"$2,904,190","$46,877","$440,200",,,,,,,,"$981,315",,,,,,,,,,"$284,793",,,,,$114,"$48,880",,,,"$125,542",,,,,,,,,,,,,,"$99,829",,,,,"$506,321",,,,,,
0298408,,Laurel Canyon (2002),,"$94,825",,,,,,,,,,,,,,,,,,,,,,,,,"$93,858","$128,700",,,,,,,,,,,,,,,,,,"$181,978",,,,,,"$5,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0161860,,Nowhere in Africa (2001),"$371,051","$855,643","$238,904",,"$107,279",,,,,,"$67,598",,,,,"$8,068",,,,,,,,,"$23,889","$117,000","$10,259,553",,,"$51,177",,,,,,,,,,,,,,,,"$279,650",,,,,"$232,731",,,,,,,,,,"$2,989",,"$4,674",,,,,,,"$2,336,875","$46,688",,"$5,183",,,,,"$402,715",,,
0256359,,The Safety of Objects (2001),,"$17,334",,,,,,,,,,,,,,,,,,,,,,,,"$25,699",,,,,,,,,,"$33,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$57,639",,,,,,,,,,,
0286499,,Bend It Like Beckham (2002),"$7,868","$7,150,651","$171,420",,"$269,819",,"$41,000","$7,323",,,,,,,,,,"$293,000","$32,543,449",,,,,,"$151,704","$1,774,885","$2,765,777",,,"$277,686",,"$36,000",,"$892,000",,"$2,724,311",,,,,,,,,,"$223,595",,,,"$189,676","$1,192,656","$419,000",,,,,,,,,"$99,688",,"$1,685",,,,"$544,781",,,"$568,482","$73,000","$3,400,000",,,"$203,312",,,"$16,591,659",,,
0269347,,The Hunted (2003),"$273,243",,"$91,012",,"$426,356",,"$200,000","$38,500",,,"$64,294",,,,,"$54,636",,,,,,,"$22,629",,"$24,706","$1,256,440","$821,924","$336,000",,,"$78,409",,,,,"$826,909",,,,,,,,"$7,638",,"$1,829,680",,,,"$338,791",,"$53,672",,,,"$24,204",,,,,"$462,277",,,,,,"$363,036",,,"$2,009,094",,,"$86,010",,"$200,138",,,"$1,928,152",,,
0310357,,Willard (2003),,"$14,516",,,,,,,,,,,,,,,,,"$6,886,089",,,,,,,"$123,265",,,,"$61,703",,,,,,"$17,920",,,,,,,,,"$116,670","$227,476",,,,,,,,,"$111,038",,"$22,663","$92,004",,,,,,"$145,372",,,,,,"$363,272",,,"$36,852",,,,,,,,"$3,942"
0235412,,Gaudi Afternoon (2001),,,,,,,,,,,,,,,,,,,,,,,,,"$21,604",,,,,,,,,,,"$4,724",,,,,,,,,,,,,,,,"$13,840",,,,,,,,,,,,,,,,,,"$19,089",,,,,,,,,,,
0283003,,Spun (2002),,,,,,,,,,,,,,,,"$13,554",,,,,,,,,,,"$20,986",,,,,,,,,,,,,,,,,,,,,,,,,"$22,168",,,,,,,,,"$43,054",,,,,,,,,,,,,,,,,"$174,727",,,
0086087,,Pauline at the Beach (1983),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$551,,,,,,,,,,,,,,,,,,,,,,,,
0178868,,Ringu (1998),,,,,,,,,,,"$44,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$78,933",,,,,,,,,,,,,,,,,"$14,403",,,
0096028,,Salaam Bombay! (1988),,,,,,,,,,,,,,,,,,,"$2,080,046",,,,,,,$712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0322824,,Japan (2002),"$38,804",,,,,,,,,,,,,,,,,,"$21,900",,,,,,,"$101,310",,,,,,,,,,,,,,,,,,,,"$34,688",,,,,,,,,,,,,,,,,,,,,,,,"$10,082",,,,,,,,,,,
0285462,,Boat Trip (2002),"$33,546",,,,"$122,564",,,"$31,793",,,"$19,401",,,,,"$67,488",,,,,,,,,,,"$470,212",,,,"$194,505",,,,,,,,,,,,,,,"$1,158,507",,,,"$106,774",,,,,,"$46,011",,,,,"$441,285",,,,,,,,,"$2,136,202",,,,,"$19,418",,,"$1,572,461",,,
