imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2380207,,Stockholm (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$43,568",,,,,,,,,,,,,,,,"$55,192",,,,,,,,,,,,"$36,819",,,"$116,544",,,,,"$6,957",,"$68,690",,,,,,,,"$23,570",,,,,
2738050,,Will You Still Love Me Tomorrow? (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,"$67,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,179",,,,,,,,,,,"$2,305",,,,,,,
1489889,,Central Intelligence (2016),"$260,322","$11,521,195","$1,516,801",,"$794,707","$159,000","$1,576,925","$184,911",,,"$132,109",,"$620,610","$87,085","$63,000","$1,184,821",,,"$176,397","$253,028","$166,000",,"$615,740","$4,074,626","$8,432,969","$142,167","$1,054,165","$580,809","$152,000","$277,000","$1,696,000","$2,590,185","$1,036,819",,,,,"$96,000","$641,667","$80,844","$1,439,216","$5,222,244","$2,294,461","$1,267,406",,"$1,325,511",,,,,"$697,000","$517,000","$467,663","$843,499",,"$507,737","$1,725,000","$105,231","$1,212,000","$39,025","$127,703","$2,272,185",,"$3,499,879","$1,845,573","$1,836,398",,"$394,140","$1,132,989","$416,000","$130,752","$381,090","$2,932,390","$11,166,857","$304,777","$248,697","$380,000"
1848771,,Aarakshan (2011),,"$85,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,678,044",,,,,,,,,,,"$20,039",,,"$13,505",,,,,,,,,,,,,,,,,,"$8,484",,,,,,,,,,,,"$269,898",,,
2292625,,Chakravyuh (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,404,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$78,358",,,
1618430,,Dum Maaro Dum (2011),,"$114,935",,"$17,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,913",,,,,,,"$56,070",,,"$37,073",,,,,,,,"$20,938",,,,,,,"$16,839",,,,,,,,,,,"$318,978","$344,717",,,
4434004,,Udta Punjab (2016),,"$182,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0831386,,The Drummer (2007),,,,,,,,,,,,"$47,238",,,,,,,,,,,,,,,"$43,484",,,,,,,,,,,,,,"$37,527",,,,,,,,,,,,,,,,"$13,087",,"$20,225",,,,,,,,,,"$7,260",,,,,,,,
1845842,,I Love Hong Kong (2011),,,,,,,,,,,,"$4,189,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325517,,Almost Human (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$161,,,,,,,,,,,,,
1703957,,Genius (2016),,,,,"$31,539",,"$130,626","$16,810",,,,"$2,141,293","$24,961",,,,,,,,,,,"$482,584","$189,173",,,,,,,,"$899,000","$392,110",,,,,,"$24,616",,"$170,044","$94,867",,,,,,,,"$13,563",,,"$29,058",,,"$446,130",,,,,"$29,464","$180,346","$672,762",,,,,,,"$29,168","$41,648","$34,199",,,,
1261393,,El Estudiante (2009),,,,,,,"$41,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,041,991",,,,,,,,,,,,,,,,,,,,,,"$39,463",,,,,,,,,,,,"$40,099",
4814290,,Te3n (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,208",,,
4196776,,Jason Bourne (2016),"$1,252,147","$16,744,094","$1,038,635",,"$1,373,589","$48,893","$3,373,221","$342,953",,,"$204,653","$66,904,818","$575,000","$182,241","$416,315","$2,866,682",,,"$227,000","$302,527","$191,126",,"$1,358,000","$11,669,747","$9,198,962","$674,000","$2,196,983","$616,057","$220,995","$1,634,346","$3,477,211","$908,000","$2,909,000","$14,078,193",,,,"$115,096","$404,000","$84,736","$1,445,505","$3,750,000","$5,552,320","$2,159,873",,"$3,332,499",,"$336,524","$1,164,000","$32,652","$742,000","$2,433,034","$1,971,116","$1,152,330",,"$438,738","$4,145,165","$152,754","$2,161,326","$163,486","$123,168","$1,127,921","$19,102,134","$6,297,456","$3,574,926","$2,242,508",,,"$4,554,739","$1,518,839","$1,410,769","$447,000","$2,812,000","$28,987,049","$66,000","$110,000","$667,000"
2246724,,Ghanchakkar (2013),,"$35,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,106,882",,,,,,,,,,,,,,"$11,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$214,779",,,
1292703,,Oye Lucky! Lucky Oye! (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,865,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,008",,,
3836958,,Shamitabh (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130242,,Tere Naal Love Ho Gaya (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,602,180",,,,,,,,,,,"$19,856",,,$978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$283,219",,,
4211044,,Adult Life Skills (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,190",,,
1683048,,De Palma (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,808",,,
5662932,,Psycho Raman (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0918940,,The Legend of Tarzan (2016),"$449,901","$9,152,029",,,,,"$10,856,748","$292,737",,,,"$46,152,613","$2,500,000",,"$277,003",,,,,,,,"$977,025","$11,400,000","$5,700,000",,"$1,500,000","$566,355","$199,085",,"$5,700,000",,"$5,000,000","$6,600,000",,,,,,"$103,289",,"$13,900,000","$4,661,786","$1,391,421",,"$2,739,008",,,,,,,"$756,349","$842,163",,"$800,248","$8,401,543",,,"$230,187","$58,691","$1,282,077","$6,297,340","$7,563,462","$4,330,000","$1,400,000",,,"$2,800,000","$1,624,030","$1,579,970","$759,098","$3,631,878","$11,944,698",,,
4094724,,The Purge: Election Year (2016),"$2,788,336",,"$272,983",,"$508,152","$39,000","$163,561",,,,"$398,337",,"$471,000","$32,915","$126,453",,,,"$336,000","$59,522","$38,950",,,"$5,419,422","$5,699,788","$108,265","$282,818",,,,,,"$1,672,000",,,,,"$26,600","$72,000","$48,452","$691,065","$5,061,106","$919,192",,,,,,,,"$352,000","$1,078,000","$291,088",,,"$95,874","$801,000",,"$505,000","$83,251","$21,553",,,"$3,075,450","$263,000","$684,303",,,"$674,000","$445,470","$460,364",,"$637,000","$3,067,000","$64,704","$70,022",
2823054,,Mike and Dave Need Wedding Dates (2016),"$115,493","$5,202,938","$508,420",,"$310,630",,"$498,904","$98,260",,,,,"$144,835",,"$104,546",,,,,,,,"$107,444","$1,507,286","$2,860,880",,"$130,106","$782,898","$81,811",,,"$674,423","$124,727",,,,,,,"$80,859",,"$2,507,948","$1,078,222","$430,857",,"$306,957",,,,,"$521,494",,"$117,581","$330,008",,"$221,176","$1,648,587",,"$130,480","$60,092","$81,460","$398,941",,"$487,051","$163,288","$464,712",,,"$132,179",,"$81,022","$396,373",,"$3,157,155",,,
3416828,,Ice Age: Collision Course (2016),"$14,481,635","$9,032,605","$2,669,466",,"$1,372,312","$444,659","$25,021,273","$1,619,854",,,"$7,514,381","$66,059,140","$6,133,974",,"$1,896,217","$2,618,465","$64,063,008",,"$1,636,460",,,,"$1,539,975","$26,346,976","$24,698,308","$1,497,623","$2,352,367","$1,612,086","$111,112","$1,685,665","$727,136","$302,304","$9,693,616",,,,,,,"$748,541","$735,631","$22,228,297","$3,398,535","$1,587,643",,"$4,738,284",,,,"$381,389","$6,858,685","$869,482","$7,727,825","$1,470,967",,"$1,132,239","$15,055,431",,"$341,863","$865,808","$514,189","$1,517,310","$3,665,148","$6,795,031","$1,787,148","$3,567,702",,,"$1,179,456","$664,126","$4,177,779","$1,097,597","$2,174,609","$9,433,096","$620,618",,"$1,328,126"
4786282,,Lights Out (2016),"$2,327,758","$2,500,000",,,,"$277,908","$3,802,300","$63,803",,,,,"$1,737,449",,"$523,619",,,,,,,,"$250,104","$5,200,000","$3,200,000","$303,307","$771,000","$425,557","$108,595",,"$3,000,000",,"$1,800,000","$415,000",,,,,,"$109,382",,"$5,500,000","$875,000","$519,399",,"$916,445",,,,,,,"$841,878","$219,688",,"$188,899","$3,900,000",,,"$262,506",,"$161,395","$7,923,193","$5,167,768","$437,000","$450,000",,,"$1,500,000","$730,031","$481,426","$115,924","$1,119,684","$4,600,000","$109,587",,
2788732,,Pete's Dragon (2016),"$979,189","$5,504,529","$353,647",,"$1,074,147","$306,424","$1,219,228","$183,599",,,"$755,620",,"$1,127,273",,"$129,018","$865,885",,,,,,,"$140,460","$5,243,276","$2,392,549","$301,483",,"$223,874","$55,193","$413,877",,,"$4,210,372","$987,921",,,,,,"$22,729","$1,287,611","$3,805,762","$1,249,947","$1,476,181",,"$535,667",,,,"$46,211",,"$707,124","$1,327,208","$471,906",,"$283,548","$3,552,491","$536,117","$542,786","$41,998","$9,245","$199,303","$780,205","$3,910,561","$867,731","$547,396",,,,"$724,227","$340,885","$335,393","$1,670,170","$6,853,715","$89,501","$594,566",
4505170,,Detective K: Secret of the Lost Island (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,202,503",,,,,,,,,,,,,,
4193394,,Indignation (2016),,,,,,,"$72,696",,,,,,,,,"$35,508",,,,,,,,,,"$41,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,418","$41,224",,,"$4,391",,,,,,,,,"$54,257",,,
1667100,,Second Chance (2010),,,,,"$411,946",,,,,,,,,,,,,,,,,,,"$9,163,162",,"$129,598",,,,,,,"$1,449,548",,,,,,,,,"$183,396",,,,,,,,,,,"$291,531","$3,785",,,"$1,116,951","$8,887",,,,,,"$201,099",,,,,,,,,,,,,
5217644,,Let's Talk (2015),"$3,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$578,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3923662,,The Rezort (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,309",,,,,,,,,"$27,885",,,,
3963816,,Marauders (2016),"$50,733",,,,,"$20,244",,,,,,"$603,269","$256,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$250,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112096,,Absolutely Fabulous: The Movie (2016),,"$6,216,295",,,,,,,,,,,,,,,,,,,,,"$416,551","$4,870,830",,,,,,,,,,,,,,,,,,,"$1,643,473","$1,220,522",,"$239,704",,,,,,,,,,,,,,,,"$92,107",,"$25,794","$169,396",,,,,,,,,"$19,552,282",,,
4333662,,They Will Have to Kill Us First: Malian Music In Exile (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,937",,,
1735907,,The Adderall Diaries (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,173",,,,,,,,,,,,,,,
1327798,,The Good Life (2008),,,,,,,,,,,"$152,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0040481,,It Always Rains on Sunday (1947),,,,,,,,,,,,,,,,,"$14,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,037",,,
1421046,,"It's Not You, It's Me (2010)",,,,,,"$44,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,918,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3666024,,The Red Turtle (2016),,,,,,,"$11,671",,,,,,,,"$13,466",,"$921,974",,,,,,,"$2,492,967",$742,"$50,225",,"$30,491",,,,,"$387,822",,,,,,,,,"$87,233","$702,475",,,,,,,,,,,,,"$1,866","$104,258",,"$43,310",,,"$6,365","$4,986","$123,407",,,,,,"$5,668","$6,027",,,"$3,433",,,
4796122,,Satanic (2016),"$109,948",,,,,"$68,544",,,,,,,"$143,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,020",,,,"$5,810",,
3917210,,"Life, Animated (2016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,127",,,,,,,,,,,,,,"$1,284",,,,,,"$13,800",,,,,,,,,,,"$51,065",,,
4370784,,The Innocents (2016),"$97,686","$106,662",,,"$203,227",,"$180,383",,,,,,,,,,,,,,,,"$26,074","$4,449,794",,"$16,599",,,,,,,"$208,211",,,,,,,"$5,453",,"$96,107","$31,551","$216,570",,"$74,129",,,,,,,"$177,803","$27,334",,,,,,,,,"$43,359","$223,596",,,,,,,,,,"$139,108","$10,990",,
5275830,,Eat That Question (2016),,,"$2,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,601",,,,,,,,,,"$5,253",,,
4379728,,Three (2016),,"$25,060",,,,,,,,,,"$14,968,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4483460,,Argentina (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,657",,,,,,,"$3,338",,,,,,,,,,,,,
4768776,,"Right Now, Wrong Then (2015)",,,"$3,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,406",,,,,,,,,"$549,795","$91,780",,,,,,,,,,,,,
3531824,,Nerve (2016),"$208,780","$3,442,468","$739,614","$70,115","$1,045,926","$18,786","$1,722,520","$127,815","$14,444",,"$707,147","$1,719,814","$524,232","$136,102","$191,471","$445,404",,,"$154,500","$85,793","$94,437",,"$299,706","$5,389,455","$6,480,293","$14,264","$849,431","$544,012","$50,129","$11,082",,"$1,622,124","$1,287,041","$184,500","$37,953",,,"$119,778","$120,106","$102,001","$308,783","$1,198,538","$841,883","$516,989",,"$268,149","$3,964","$18,854","$123,006","$15,636","$876,824","$459,177","$710,759","$74,438","$17,694","$448,288","$2,536,904","$35,832","$481,424","$111,957","$51,518","$121,669","$204,342","$1,635,178","$276,857","$706,586",,,"$665,457","$236,745","$236,745","$331,432","$148,627","$3,074,151","$114,015","$324,215","$57,760"
3263904,,Sully (2016),"$1,782,678","$9,874,868",,,,"$84,148","$1,890,445","$86,263",,,,"$8,985,153","$663,015",,"$359,681",,,,,,,,"$240,258","$8,250,742","$1,191,915","$1,087,698","$1,700,000","$224,549","$167,626",,"$1,300,000",,"$7,316,089","$12,031,043",,,,,,"$69,576",,"$2,690,379","$1,194,038","$1,263,362",,"$295,552",,,,"$48,173",,,"$606,530","$1,005,655",,"$368,267","$2,448,889",,,"$149,516","$41,503","$337,924","$4,483,609","$4,135,018",,,,,"$2,900,000","$988,725","$667,089","$425,596","$3,524,970","$9,073,950","$101,584",,
4726636,,Slack Bay (2016),"$56,523","$11,828",,,,,,,,,,,,,"$5,715",,,,,,,,,"$4,281,509",,"$9,318",,"$9,911","$4,224",,,,"$10,082",,,,,,,"$2,344",,,"$54,286",,,,,,,,,,"$28,532","$15,770",,,"$49,008",,,,"$4,464",,"$6,975","$134,299",,,"$123,219",,,,,,,,"$4,818",,
4741774,,The Son of Joseph (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,961",,,,,,,,,,"$4,225",,,
4874206,,The Student (2016),,,,,,,,,,,,,"$43,776",,,,,,,,,,,,,"$20,086",,$759,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,056","$247,417",,,,,,,,,,,,,,,,,"$1,903",,,
4645368,,It's Only the End of the World (2016),"$41,109",,,,,,,,,,,,"$28,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$286,481",,,,,,"$209,593",,,,,,,"$2,871",,,,,,,
4832640,,Sultan (2016),,"$988,232",,,,,,,,,,"$5,259,463",,,,,"$6,200,000",,,,,,,,,,,,,"$62,830,000",,,,,,,,,,,,,,"$454,679",,"$91,034",,,,,,,,,,"$2,892",,,,,,,,"$39,428",,,,,,,"$37,357",,"$5,712,327","$1,358,423",,,
1127886,,Here (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,685",,,,,,,,,,,,,,,,,,,,
4911996,,Goldstone (2016),,"$552,757",,,,,,,,,,,,,,,"$87,639",,,,,,,,,,,,,,,,"$9,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699388,,Up for Love (2016),,"$94,721",,,,,"$48,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,235",,,,,,,,,,,,,"$618,602",,,,,,"$77,665",,,,,,,,,,,,,,
0296686,,Irène (2002),,,,,,,,,,,,,,,,,,,,,,,,"$1,009,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,398",,,,,,,,,,,,,,,,,,,,,,,
3165630,,The Benefactor (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,483",,,,"$27,523",,,,,,,,,,,,,,
4738360,,The Last King (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,434",,,,,,,,,,,,,,,,,,"$3,588,955",,,,,,,,,,"$2,364",,,,,,,,"$6,491",,,,,,,,,"$97,469",,,,
1105733,,Kismat Konnection (2008),,"$82,342",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,341,392",,,,,,,"$51,738",,,,"$11,474",,,"$11,069",,,,,,,,,,,,,,,,,,"$40,670",,,,,,,,,,,,"$532,706",,,
1355631,,The Infiltrator (2016),"$202,905",,,,,"$5,651","$151,432","$37,317",,,,,"$38,395",,,,,,,,,,,"$1,658,399",,,,,"$57,072",,,,,,,,,,,,,"$358,597","$413,175",,,,,,,,,,,"$53,120",,,"$678,075",,,,,"$32,496","$39,980","$229,925",,,,,,,,"$76,520","$167,959","$1,365,290","$7,994",,
2005151,,War Dogs (2016),"$296,893","$3,100,000",,,,"$49,531","$355,000","$96,165",,,,,"$147,009",,"$119,727",,,,,,,,"$471,492","$3,758,656","$2,524,553",$108,"$258,000","$626,534","$173,304",,,,"$2,537,742",,,,,,,"$158,161",,"$505,000","$1,200,000","$422,638",,"$788,801",,,,"$18,497",,,"$678,948","$616,691",,"$270,022","$4,311,543",,,"$159,632","$85,326","$142,739",,"$1,849,090",,"$204,000",,,"$348,000",,,"$510,638","$1,272,750","$4,700,000","$40,578",,
3655414,,To Steal from a Thief (2016),"$1,549,310",,,,,,,,,,$110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800050,,A Beautiful Planet (2016),,"$472,596",,,,,,,,,,,,,,,"$15,650,615",,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,771",,,,,,,,,,,,,"$77,701",,,,,,,,,,,,,,,,,"$4,388",,,
3903852,,Vigilante Diaries (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,739",,,,,,,,,,,,,,,,"$168,047",,,,
2507592,,An Episode in the Life of an Iron Picker (2013),,,,,,,"$2,345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5278462,,Author: The JT LeRoy Story (2016),,,,,,,,,,,,,,,,,"$85,999",,,,,,,,,"$12,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,687",,,
3814316,,The New Kid (2015),"$18,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3908142,,The Love Witch (2016),,"$6,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,324",,,
4853102,,Batman: The Killing Joke (2016),"$99,927","$330,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$218,007",,"$38,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
