imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1979172,,A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,348",,,,,,,,,,,,,,,,"$50,019",,,
0903624,,The Hobbit: An Unexpected Journey (2012),"$7,350,369","$43,972,634","$8,566,403",,"$8,863,535","$691,202","$18,123,942","$1,419,810",,"$4,063,812","$49,730,000","$4,183,385","$1,371,176",,"$5,047,195","$13,546,216","$303,030,651","$270,096","$1,353,931","$360,196",,"$6,067,291","$41,354,505","$88,849,559",,"$4,275,344","$4,827,606","$2,388,489","$747,213","$1,813,091","$3,510,144","$2,626,947","$22,378,313","$19,213,976",,,"$484,862",,"$4,865,381","$19,184,330","$15,996,488","$7,449,329","$305,092","$11,907,713",,,"$2,647,183","$3,380,729","$13,575,296","$3,055,307",,,"$43,849,722","$732,751","$4,319,103","$1,155,656","$669,259","$2,241,688","$21,688,449","$30,138,682","$22,751,112",,,"$2,979,572",,"$6,480,745","$3,987,033","$2,617,769","$78,662,475","$271,990","$4,966,787",
1477855,,Hyde Park on Hudson (2012),,"$1,132,779","$49,514",,"$46,879",,"$74,676",,,,,,,,,"$10,108",,,,,,,"$1,084,466","$244,424",,"$19,010","$54,432",,,,,,"$747,767",,,,"$10,632",,,,,"$323,753",,,,,,,"$43,542","$24,409",,,"$108,013",,"$9,705",,"$4,483","$69,404",,,"$4,238",,,"$5,626",,,,"$13,144","$523,332",,,
1132449,,Lay the Favorite (2012),,,"$14,522",,,,"$78,211",,,,,,,,,,"$20,998",,,,,,"$94,553","$142,891",,"$21,455",,,,,,,"$37,741",,,,,,,,,,,,,,,,"$118,080",,,,,,,,,,,$585,,,,"$10,273",,"$347,752",,,"$349,806",,,
0431827,,Il ne faut jurer... de rien! (2005),,,,,,,,,,,,,,,,,"$23,442",,,,,,"$5,844,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$721,,,,,,,,"$42,401",,,,,"$131,715",,,,,
2014392,,Violeta Went to Heaven (2011),"$15,876",,"$7,409",,,,"$170,820",,,"$1,190,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,687",,,,,,,,,,,,,"$55,667",,,,,,,,,,,,
1242521,,Rebellion (2011),,,,,,,"$12,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132607,,Versailles (2008),,,,,"$42,956",,,,,,,,,,,,,,,,,,"$840,273",,,,,,,,,,,,,,,,,,"$4,792",,,,,,,,,,,,,,,,,,,"$2,227",,,,,,,,,,,,
1934269,,Yossi (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,452",,,,,,,,,,,,,,"$1,169",,,
2082197,,Barfi! (2012),,"$303,345",,,,,,,,,,,,,,,,,,,,,,,,,"$29,356",,,,,,,,,,,,"$48,659",,,"$52,753","$13,104",,,,,,,,,,,,,,,,,,,,,,,"$78,667",,,"$1,159,376",,,
1790885,,Zero Dark Thirty (2012),"$338,431","$3,604,863","$220,470",,"$406,413","$30,624","$1,329,241","$34,764",,"$240,864",,"$191,584","$39,285",,"$79,668","$375,205",,,,"$29,696",,"$113,866","$4,222,585","$2,010,503",,"$230,108","$368,068","$39,099","$15,659","$362,531",,,"$2,015,195","$3,931,506",,,"$60,676",,,"$479,882","$649,162","$313,594","$16,260","$390,507",,,"$141,141","$317,035","$386,448","$368,339",,,"$282,608","$7,444","$480,245","$6,265","$10,341","$193,763","$484,766","$4,960,666","$489,897",,,"$335,681",,"$143,423",,"$488,162","$5,745,075","$95,879",,
2190367,,Neighboring Sounds (2012),"$1,135",,,,,,"$393,789",,,,,,,,,,"$60,255",,,,,,,,,,,,,,,,,,,,,,,"$1,656",,,,,,,,,,"$4,098",,,,,,,,,,,,,,,,,,,"$6,558",,,
1579361,,Chasing Ice (2012),,,"$8,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,839",,,
2099556,,Antiviral (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0373690,,Arsène Lupin (2004),,,,,,,,,,,"$439,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$296,566",,,,,,,,,,,,,,,,,,,
