imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,Israel,Italy,Japan,Jordan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
0425186,,The Fine Art of Love: Mine Ha-Ha (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,"$91,525",,,,,,,"$98,878",,,,,,,,,,,,,,,,,,"$16,740",,,,,,,,,,,,"$43,960"
0480082,,Impy's Island (2006),,,,,,"$19,886","$297,926",,"$117,488",,,,,,,,,,,,,,,,,,,,,,,,,"$415,245",,,,,"$299,345",,,,,,,,,,,,"$167,852",,,,,,,,,,,,,"$221,323"
1285144,,The Window (2008),"$32,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,909",
1650056,,The Cup (2011),,"$2,648,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0434345,,Snow White (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,024",,,,,,,
1722484,,Tom Sawyer (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$349,472",,,,,,,,,,,,,,,,,,,
0439197,,Heidi (2005),,,"$20,315",,,,,,,,,,,,,,,,,,"$91,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,192",,
1849111,,Superstar (2012),,"$13,492",,,"$92,416",,,,,,,,,,,,,,,"$1,321,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$865,,,"$53,447",,
1178654,,The Paranoids (2008),"$38,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277736,,Soul Power (2008),,,,,$202,,"$4,671",,,,,,,,,,,,,"$28,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,314",,
0796206,,The Black Pimpernel (2007),,,,,,"$1,061",,,"$19,628",,,,,,,,,,,,,,,,,,,,,,,,,"$259,758",,,,,"$4,132",,,,,,,,,,,,,,,,,,,,,,,,,
2557276,,Against the Sun (2014),,,,,,,,,,,,,,,"$4,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$52,,
3419894,,The Divine Move (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,790,164",,,,,,,,,,,,,
1826753,,Tasting Menu (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,356",,,,,,,,,"$30,631",,,,,,,"$49,045",,,,,,,,,,,,
