imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0175996,,The Other Conquest (1998),,,,,,,,,,,,,,,,,,"$894,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5078214,,Victoria (2016),"$8,942",,,,,,,,,,,,,,,,,,,,,,,"$4,646,299",,,,,,,,,,,,,,,,"$6,893",,,,,$146,,,,,,,,,"$5,715",,,,"$27,128",,,,,,,"$255,026",,,,,,,,"$15,258",,"$5,164","$1,003",,
3026488,,Alone in Berlin (2016),,,,,,,,,,,,,,,,,,,,,,,,"$136,344",,"$48,329",,,,,,,"$267,082",,,,,,,,,,,"$94,935","$115,127",,,,,,,,,"$38,585",,,,,,,,,"$18,366",,,,,,,,,,,,"$453,705",,,
5827496,,At Cafe 6 (2016),,,,,,,,,,,"$798,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975280,,Strangled (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$207,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,143",,,
0473181,,Crossing the Line (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,171",,,,,,,,,,,,,,
1213929,,White Wedding (2009),,,,,,,,,,,,,,,,,,"$11,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$617,455",,,,,,,,,,,,,,,
4420704,,Kedi (2016),,"$420,144",,,,,,,,,"$403,641",,,,,,,,,,,,,,,"$86,981",,,,,,,,,,,,,,"$10,215",,,,"$564,642","$117,835","$144,450",,,,,,,"$138,801","$16,982",,,,"$111,790",,,,,,"$44,389","$9,052",,,,,"$23,574",,"$67,441",,,"$42,939",,,
4681414,,My Love Story!! (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,830,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$130,031",,,,,,,,,,,,,,
4975498,,The Advocate: A Missing Body (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,457,770",,,,,,,,,,,,,,"$42,245"
0102240,,The Crumbs (1991),,,,,,,,,,,,,,,,,"$4,719,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3202098,,Lou! (2014),,,,,"$146,130",,,,,,,,,,,,,,,,,,,"$1,434,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094766,,Assassin's Creed (2016),"$2,443,148","$7,340,195","$1,840,785","$322,456","$1,882,903","$344,564","$10,052,835","$698,840",,"$1,691,436","$22,365,730","$2,624,446",,"$353,583",,"$706,692","$916,394",,"$278,781","$785,241","$381,337","$221,539","$754,311","$14,857,119","$10,586,688","$1,024,640","$1,877,137","$728,857","$80,791","$1,730,907","$3,055,963","$803,990","$6,167,915","$142,394","$5,269,231","$218,975","$614,982","$140,860","$475,306","$183,566","$2,432,879","$8,148,913","$43,662","$2,522,462","$1,169,515","$280,364","$280,364","$258,269",,"$106,873","$1,161,330","$2,271,283","$1,612,145","$1,205,018",,"$492,555","$1,378,006","$16,343,391","$324,322","$1,344,161","$293,408","$104,688","$1,259,650","$2,422,966","$7,184,829","$1,750,180","$2,258,964",,"$2,660,772","$1,327,092","$425,844","$2,208,998","$1,484,906","$2,555,643","$10,048,540","$105,126","$341,917","$958,894"
4631532,,Our Lovers (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,085",,,,,,,,,,,,,,,,,,,,
