imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
1872818,,Liberal Arts (2012),,,"$95,733",,,,,,,,,,,,,,,,,,,,,,,,"$17,498",,,,,,,,,,,,,,,,"$110,522",,,,,,,,,,,,,,,,,,"$261,258",,,,,,,,,,"$338,325",,
0457302,,Choking Man (2006),,,,,,,,"$1,801",,,,,,,,,"$5,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,778",,
1753813,,"Farewell, My Queen (2012)",,,"$271,576",,,"$84,714",,"$151,015",,,,"$71,329",,,,,,,,,,,"$3,626,953","$99,682",,,,,,,,,,,,,,,,,,,"$110,326",,,,,,,"$39,199",,,,,,,,,,,"$270,995",,,,,,,,,,,"$3,452","$39,596"
2125653,,The House I Live In (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,407",,
2130321,,West of Memphis (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,287",,,,,,,,,,,,,,,,,,,,,"$6,876",,
1906426,,Michael (2011),,,,"$42,527",,,,,,,,,,,,,,,,,,,"$12,675",,,,,,,,,,,,,,,,,,"$27,987",,,,,,,,,$765,,,,,,,,,,,,,,,,,,,,,"$21,365",,
0844993,,Hoodwinked 2: Hood vs. Evil (2011),"$238,475",,"$2,004,233","$55,440",,"$157,785","$34,118","$3,035,533",,,,"$35,814",,,,,"$10,143,779",,,,,"$5,517",,"$77,673",,,"$969,439",,"$17,963",,,,,,,,,"$44,652",,"$70,060","$1,214,545","$62,052","$338,484",,,,"$156,328",,,"$472,754",,,,"$2,646,465",,"$131,010",,,"$142,617","$1,034,202","$190,233",,,,,,,"$269,733","$64,733","$130,173",,,"$96,540"
1517214,,The Clink of Ice (2010),,,,,,"$3,925",,,,,,,,,,,,,,,,,"$5,545,341",,,,,,,,,,,,,,,,,,"$27,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649444,,[REC] 3: Genesis (2012),"$549,067",,,,,"$124,650","$44,476",,,"$27,896",,,,,,,"$9,600",,,,,"$4,324","$3,125,167",,,,"$311,170",,,,,,"$352,905",,,,,,,,"$2,125,524",,,,,$401,"$539,017",,"$285,273","$14,129",,,,,,,,,,,"$3,117,251",,,,,,,"$114,886",,"$20,907","$2,004","$3,296","$248,032"
1954470,,Gangs of Wasseypur (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,383,977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$665,,,,,,,,,,,,
1588886,,Greystone Park (2012),,,,,,,"$4,918",,,,,"$110,574",,,,,,,"$216,440",,,,,,,,,,,,,,,,,,,,,,"$168,831",,,,,,"$313,077",,,,,,,,,,,,,,,,,,,,,"$109,398",,"$88,048",,,"$750,766"
1235142,,Last Ride (2009),,,"$244,165",,,,,,,,,,,,,,"$6,853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817676,,Girl in Progress (2012),,,,,,,"$18,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,080",,,"$1,820,427",,,,,,"$90,719",,,,,,,,,"$7,541",,,"$55,872",,,,,,,,,,,"$86,556",,,
1597522,,Astérix and Obélix: God Save Britannia (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,802,498",,,,,,,,,,,,,,,,,,,
1059836,,Transit (2012),"$42,944",,"$43,065",,,,,,,,,,,,,,,,,,,,"$208,050",,,"$23,229",,"$4,242","$2,329",,,,,,,,,"$19,461","$7,940",,,,"$4,888",,"$13,332",,,,,,,"$4,783",,,,,,,,,"$62,718",,,,,,,"$9,093",,"$185,984","$31,374",,
2109184,,Paranormal Activity 4 (2012),"$3,850,910",,"$7,873,919","$1,334,233",,"$1,308,797","$238,632","$5,958,586",,"$903,510",,"$1,642,820","$78,600",,"$315,218","$770,349",,,"$462,295","$82,099",,"$433,015","$7,290,604","$7,818,789",,,,"$70,804",,,"$1,119,363","$296,645","$875,103",,"$3,296,855",,,"$56,915",,"$677,598","$6,301,643","$1,088,817","$860,114",,"$925,215",,"$1,498,037","$323,485","$676,257","$265,972",,,,"$6,784,097","$52,825","$491,638","$117,293","$82,399","$164,957","$274,882","$2,087,318","$1,254,011",,,,"$148,021",,"$1,323,090","$440,266","$428,396","$9,578,112","$195,458","$1,795,009"
1981080,,Tai Chi Zero (2012),,,,,"$8,196",,,,,,,,,,,,"$212,094",,,,,,,,,,"$218,469",,,,,,,,,,,,,"$340,299",,,"$32,509",,,,,,,,,,,,,"$408,804",,,,,,,,,,"$59,346",,,,"$37,659",,,
0835418,,The Babymakers (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,084","$19,372",,,,"$320,095",,,,,"$34,608",,,,"$10,394",,,,,,,,"$36,329",,,,"$23,740",,,,,,,,,,,,,,,,,,,
0288263,,Tom & Thomas (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$231,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,868",,,
1712170,,Alex Cross (2012),,,"$808,245",,,"$37,642",,"$593,666","$82,747",,,,"$38,890",,"$17,237",,,"$22,793",,"$17,031",,,"$464,457",,,,"$69,437","$24,749","$16,379",,,,"$52,466",,,,,"$25,782",,"$207,925","$773,088","$152,085","$232,532",,,,,"$127,829","$84,565","$40,300",,,,"$1,869,854","$2,332","$198,728","$19,152",,"$242,695",,"$935,387",,,,,"$228,375",,"$31,310","$159,304","$348,921","$804,552",,
1371111,,Cloud Atlas (2012),"$780,947",,"$1,261,330","$868,122",,"$209,525","$7,164","$4,931,137","$197,844","$254,815","$27,710,000","$182,649","$111,848",,"$1,026,637","$420,293","$27,108,272",,,,,"$307,957","$3,458,987","$12,663,498",,"$513,234","$1,379,007","$636,398","$92,629",,,,"$4,900,481",,"$1,443,331",,,,,"$214,263","$2,000,048","$1,072,340",,,"$159,664",,"$136,107","$144,254","$3,118,636","$714,008",,,,"$17,055,182","$70,137","$383,894","$308,238","$111,505","$296,055","$3,023,466","$1,136,104","$513,364",,,,"$808,704",,"$1,803,417","$1,888,105",,"$2,524,295","$53,777","$513,328"
1699185,,Free Men (2011),,,,,,"$23,752",,,,,,,,,,,,,,,,,"$1,031,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,743",,,"$72,080",,
2104994,,Steve Jobs: The Lost Interview (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,831",,,,,,,,,,,,,,,,,,,
0938330,,Silent Hill: Revelation (2012),"$810,413",,,"$514,384",,"$249,455","$34,946","$497,624","$80,217","$89,387",,"$429,334","$74,176",,"$209,931",,,,"$198,738","$136,677",,,"$1,960,917","$2,899,299",,,"$791,034","$111,483",,,,,"$911,434",,"$1,894,753",,,"$8,686",,"$1,242,786","$2,017,707","$286,869",,,,,"$485,863","$324,694","$818,250","$58,084",,,,"$13,141,854",,"$403,102","$77,828","$66,001","$100,686",,,,,,,"$720,970",,"$576,864","$885,398","$238,240","$2,974,637",,"$1,510,827"
2036408,,Men Do What They Can (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,292",,,,,,,,,,,,,,,,,,,
1239290,,The Woman Who Dreamed of a Man (2010),,,,,,,,,,,,,,,,"$255,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,842",,,,,,,,,,,,,,,,,,,,,,,,
1638353,,The Patience Stone (2012),,,,,,"$33,384",,"$23,701",,,,,,,,,,,,,,,,,,"$8,188",,,,,,,"$239,831",,,,,,,,,,"$15,162",,,,,,,,,,,,,,,,,,"$180,513",,,,,,,,,,"$5,137",,
1629757,,Chasing Mavericks (2012),,,,"$11,225",,,,,,,,,,,"$34,571",,,,,,,,"$173,172","$89,890",,,"$47,595",,"$6,012",,,,,,,,,"$21,008",,,,,,,,,,"$11,503","$25,661","$75,828",,,,"$1,075,973",,"$96,256","$8,951",,"$74,040",,"$90,027",,,,,,,,,"$21,582","$76,066",,
1648179,,Here Comes the Boom (2012),,,"$1,193,496","$1,187,391","$6,652","$15,318","$73,335",,"$112,374","$182,111",,"$241,569",,,,,,"$16,304","$174,571","$33,612",,,,"$7,365,214",,,,"$336,919","$47,354",,,"$514,842",,,,,,"$233,505",,"$370,537","$4,112,490",,,"$60,613",,,"$386,182",,,,,,,"$3,307,368",,,,,"$685,643",,"$177,739",,,,,,,,,"$345,151","$1,388,514","$59,801","$2,367,573"
1655416,,Mental (2012),,,"$4,097,703",,,,,,"$3,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$160,612",,"$147,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,407",,
1764234,,Killing Them Softly (2012),"$574,169",,"$1,688,061","$98,948",,"$385,462","$11,265","$874,430",,"$75,607",,"$48,159","$53,541",,,"$139,008",,,,"$59,249",,"$144,694","$1,482,679","$835,303",,"$198,572","$135,390",,"$38,644",,,,"$1,716,234",,"$441,788",,,"$20,425",,,"$751,957","$646,275","$343,449",,"$438,131",,"$104,815",,"$280,891","$285,000",,,,"$2,272,277","$10,212","$100,006",,"$16,620","$24,487",,"$2,234,436",,,,,"$54,168",,"$422,681","$274,358","$528,946","$4,413,834","$17,027",
1966604,,The Imposter (2012),,,,,,"$3,088",,,,,,,,,,"$18,786",,,,,,,,,,,,,,,,,,,,,,,,,,,"$117,929",,,,,,,,,,,"$67,290",,,,,,,"$71,807",,,,,,,"$15,259",,,"$1,809,401",,
1866249,,The Sessions (2012),,,"$1,221,301","$13,431",,"$30,826",,"$154,181",,"$75,771",,,"$9,668",,,,,,,,,"$69,784","$88,695","$254,034",,"$40,357","$39,930",,,,,,"$75,624",,,,,"$3,402",,,"$207,872","$51,076","$116,199",,"$46,251",,,,"$52,982","$108,786",,,,,,"$57,605",,"$11,504",,,"$1,443,325",,,,,,,"$63,727",,,"$374,044",,"$43,329"
2092011,,What Richard Did (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$485,578",,
2063781,,Smashed (2012),,,,,,,,,,,,,,,,,,,,,,,,"$107,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,291",,
1772341,,Wreck-It Ralph (2012),"$7,558,850",,"$23,983,586","$1,250,452",,"$2,536,513","$669,096","$17,018,882","$209,219","$3,518,702",,"$4,935,889","$186,271",,"$273,168","$2,001,171",,"$29,815","$2,030,353","$49,705",,"$1,283,140","$14,398,462","$10,305,058",,"$574,324","$2,764,375","$145,076","$109,312","$60,516","$997,269","$1,745,733","$8,874,344",,"$29,646,724",,,"$54,459",,"$1,422,341","$14,246,944","$3,114,278","$2,308,534","$59,780","$3,529,720",,"$2,595,924","$1,114,281","$2,484,413","$881,793",,,,"$14,791,147","$42,790","$1,822,315","$112,387","$128,770","$1,363,060","$6,081,626","$12,546,119","$5,036,311",,,,"$763,395",,"$1,214,371","$429,141","$798,405","$36,182,022","$241,289","$11,182,824"
1045658,,Silver Linings Playbook (2012),"$2,170,310",,"$14,272,799","$699,181",,"$980,891","$73,352","$8,086,459","$126,856","$874,764",,"$1,298,549","$160,840",,"$366,234","$1,592,806",,,,"$103,419",,"$555,968","$8,776,139","$3,002,483",,"$943,501","$1,197,452","$218,404","$37,953",,,,"$6,584,095",,"$424,336",,,"$73,547",,,"$3,869,157","$1,561,238","$1,052,338","$24,995","$716,130",,"$364,105","$195,030","$2,471,431","$894,933",,,,"$1,699,584","$37,153","$414,894","$285,407","$46,580","$551,900","$800,051","$12,786,492","$2,497,375",,,,"$144,101",,"$834,610",,"$262,571","$8,051,650","$489,991","$1,861,084"
1907668,,Flight (2012),"$1,528,883",,"$5,802,656","$713,236",,"$1,158,570","$34,881","$3,346,151","$76,563","$256,217",,"$449,440","$82,718",,"$115,781","$143,318",,,"$149,837","$129,184",,"$149,230","$4,723,119","$6,345,532",,,"$295,401","$139,820","$45,545",,"$578,325","$211,498","$4,424,623",,"$9,235,539",,,"$140,227",,"$210,019","$3,545,999","$1,198,177","$207,330","$32,710","$300,513",,"$305,538","$175,622","$659,602","$687,895",,,,"$1,936,521","$22,839","$271,944","$67,201",,"$407,465",,"$4,248,883","$758,122",,,,"$193,884",,"$754,597","$485,583","$821,323","$7,535,112","$120,368","$588,242"
2125423,,5 Broken Cameras (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$120,,,,,,,,,,"$36,372",,
1781769,,Anna Karenina (2012),"$269,312",,"$3,058,242","$582,538",,"$882,700",$822,"$1,016,979","$96,839","$244,945",,"$169,675","$174,955",,"$747,366","$178,179",,,"$18,389","$33,783",,"$926,829","$1,232,291","$4,240,606",,"$788,041","$140,330","$166,625","$8,547",,,"$239,958","$2,992,131",,"$307,305",,,"$115,458",,,"$751,623","$1,026,545","$330,767",,"$957,856",,"$85,904","$11,686","$1,263,806","$865,570",,,,"$8,382,632","$167,693",,"$259,980","$144,878","$113,968","$50,347","$3,604,543","$844,935",,,,,,"$896,645","$1,282,826","$165,366","$8,746,710","$55,462","$92,260"
0454876,,Life of Pi (2012),"$4,746,237",,"$28,420,882","$2,269,925","$358,915","$2,354,176","$706,891","$14,850,001","$278,208","$3,620,711","$90,806,000","$4,439,941","$338,443",,"$553,835","$2,869,653",,"$152,283","$1,071,402","$603,949",,"$1,581,700","$14,488,422","$26,838,011",,"$2,160,740","$6,097,443","$1,811,430","$260,133","$13,329,683",,"$1,632,550","$10,851,740",,"$19,653,717",,,"$304,756",,"$4,134,666","$20,350,935","$6,330,976","$4,151,922","$71,810","$3,784,262",,"$3,336,925","$2,076,267","$2,502,826","$1,678,091",,,,"$30,149,653","$271,340","$3,181,787","$222,699","$285,748","$2,421,370","$15,083,457","$12,420,919","$7,841,336",,,,"$1,348,776",,"$2,930,140","$2,566,112","$3,217,230","$45,489,770","$309,550","$5,200,264"
1756799,,The Day (2011),,,,,,,,,,,,,,,,,"$20,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,702",,,,,,,,,,,,,,,,"$56,162",,,
1258972,,The Man with the Iron Fists (2012),"$88,665",,"$384,769",,,"$105,195",,,,,,,,,,,,,,,,,"$154,170","$459,956",,,,,,,"$518,279",,"$982,017",,,,,,,,"$177,778","$86,573",,,,,"$111,082","$79,841",,,,,,,,"$119,132",,,,,"$878,737",,,,,"$261,702",,,,"$324,340","$180,192",,
2073016,,The Other Son (2012),,,"$319,624",,,"$96,266",,"$109,836",,,,,,,,,,,,,,,"$1,137,851",,,,,,,,,,"$511,084",,,,,,,,,,"$40,733",,,,,,,,,,,,,,,,,,"$271,129",,,,,,,,,,,"$47,964",
1438173,,Bait (2012),,,"$806,005",,,"$138,794",,,,,"$24,893,354",,"$11,823",,,,,,,,,,,,,,,,,,,,"$1,946,386",,,,,"$168,429",,"$1,310,502",,"$189,887","$42,465",,,,,"$25,544","$99,675",,,,,"$2,470,767",,"$145,680",,,,,,,,,,"$251,234",,"$35,689",,"$251,943","$679,159",,
