imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mauritius,Mexico,Middle East,Middle East/UAE,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1043451,,Delhi-6 (2009),,"$22,362",,,,,,,,,,,,,,,,,"$8,055",,,,,,,,,,"$8,333",,,"$8,377,869",,,,,,,,,,,"$12,721","$3,001",,"$509,993",,,"$5,556",,,"$2,565",,,,,,,,,,,,"$20,265",,,"$10,991",,,,,,,,,,,,,"$324,195",,,
0765128,,Oceans (2009),"$87,919","$89,021","$80,023",,"$732,605",$646,"$67,190",,,"$43,134",,"$548,608",,,,"$35,084",,,,"$3,062",,,,"$142,859","$23,878,845","$4,516,253",,"$24,595",,,"$3,408",,,,,,"$25,545,132",,,"$23,558",,"$16,291",,,"$364,266",,,"$53,614","$194,890",,,,,,"$81,657",,,,,,,"$996,870",,"$24,102",,,"$15,920","$3,747,608","$1,638,607","$666,524",,,,,"$17,154",,,,"$18,573",,"$10,219",,
1328634,,New York (2009),,"$199,075",,,,,,,,,,,,,,,,,,,"$21,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,010",,,,,,,,,,,,,,,,,,"$19,162",,,,,,,,,,,,,"$666,935",,,
1135525,,The Slammin' Salmon (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,834",,,,
1231587,,Hot Tub Time Machine (2010),"$118,847","$3,295,878",,,"$139,160","$14,503","$631,790",,,"$19,464",,,"$41,334",,"$74,683",,"$50,287,556",,,,,"$32,902",,"$46,174","$14,030","$190,666",,"$1,456,224","$118,839",,"$109,455",,,,"$6,184",,,,,"$52,819","$16,434","$20,875",,,"$255,621",,,,"$200,676",,,"$91,878",,,"$29,958","$33,009","$411,528","$54,746",,"$153,513",,"$1,610,890",,"$117,101",,,"$49,034",,"$744,973",,,,,"$88,954",,,,"$37,270","$51,856","$4,161,389",,,
1352824,,Chloe (2009),"$160,700","$232,150",,,"$222,515","$9,205","$573,541",,,"$21,775",,"$80,904",,,,,,,,"$18,200",,"$12,322",,,"$803,898","$700,562",,"$767,507","$83,828","$36,095",,,,,"$416,579",,"$170,369",,,"$27,164","$11,078","$12,544","$66,571",,"$839,911",,,"$321,784",,,,,,,"$161,025","$29,934","$50,667","$185,515",,,,"$1,039,334",,"$65,561",,,"$68,929","$857,971","$1,379,169",,"$234,171",,,"$56,069","$56,865",,"$247,459",,"$31,246","$417,634","$24,675","$86,968",
1264914,,Zift (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,326",,,,,,,,,,,,,,,,,,,,,
1216496,,Mother (2009),,"$67,056",,,"$16,084",,,,,,,,,,,,"$551,509",,,,,,,,"$171,590","$36,719",,,"$23,133",,,,,,"$54,159",,,,,,,,,,,,,,,,,,,,,,,"$2,529",,,,"$5,248",,"$36,365",,,,"$16,283,879",,,,,,"$19,053",,,,,,,,,
0892769,,How to Train Your Dragon (2010),"$2,127,376","$16,883,897","$2,213,445",,"$3,165,036","$282,504","$11,483,006","$270,247",,"$1,511,998",,"$1,917,924","$326,252",,"$1,731,914","$3,485,541","$217,581,231",,"$52,773","$1,187,919","$206,943","$210,449",,"$489,216","$22,605,822","$15,496,906","$17,382","$1,243,390","$1,339,234","$972,038","$168,995",,"$1,560,733","$2,070,355","$6,505,999",,"$5,540,461",,,"$210,238","$139,341","$288,824","$1,664,138",,"$14,362,388",,,"$3,546,505","$2,139,699",,"$32,008","$2,507,392",,,"$1,640,894","$1,390,310","$4,569,051","$2,548,807",,"$520,355",,"$23,460,585","$64,614","$2,968,823","$467,953","$347,028","$553,139","$25,108,317","$12,458,930","$3,051,153",,,,"$912,817","$689,169",,"$1,449,169","$1,431,171","$1,858,317","$26,488,493","$212,859","$1,719,199",
1360860,,About Elly (2009),,$780,,,"$5,077",,,,,,,,,,,,"$470,760",,,,,,,,,,,,,,,,,,"$161,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$142,370",,,,,,,,"$11,108",,,"$88,107",,,
0492835,,The King and the Clown (2005),,,,,,,,,,,,,,,,,,,,,,,,,"$73,003",,,,,,,,,,,,"$273,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$73,992,600",,,,,,"$127,348",,,,,,,,,
1288403,,Universal Soldier: Regeneration (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$354,340",,,,,,,,,,,,,"$96,404",,,,,,,,"$63,684",,,,,,,,,,,,,,,,,,,
0448206,,Bunty Aur Babli (2005),,"$39,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$994,968",,,
1181927,,The Bone Man (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,233",,,,,,,,,,,,,,,,,,,,,
0847520,,Scar (2007),,,,,,"$22,878","$129,576",,,,,,,,,,,,,"$136,583",,,,,,,,,"$185,147",,,,,,,,,,,,,,,,,,,,,,,,,,"$45,531",,,,,,,"$1,599,876",,,,,,,,,,,,"$16,082","$59,577",,,,,,,,
0762105,,I Hate Valentine's Day (2009),"$52,685",,,,,"$743,647","$834,206",,,,,"$27,572","$81,569",,,,,,,,"$27,718",,,,,,,"$342,569",,,,,,,"$982,592",,,,,,"$36,976",,"$3,510",,"$335,820",,,,,,,,,,"$113,715",,,,,,,"$164,222",,"$66,812",,,"$103,163","$76,488",,,,,,,,,,,"$89,078",,,"$150,611",
0478338,,Zizek! (2005),,,,,,,,,,,,,,,,,"$20,177",,,,,,,,,"$13,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,507",,,
1149363,,Yuki and Nina (2009),"$24,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,408",,,,,,,,,,,,,,,
1371630,,Air Doll (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$84,261",,,,,,,,"$846,373",,,,,,,,,,,,,,,,,,,,,,,,,"$13,834",,,,,,"$77,554",,,,,,"$33,910","$17,432",,,,,,,,
1149361,,Micmacs (2009),,"$820,923","$16,280",,"$400,517",,,,,,,"$53,297",,,"$9,038","$33,050",,,,,,,,"$4,162","$11,055,298","$1,362,242",,"$56,176","$39,907",,,,,,"$322,600",,,,,,,,,,"$28,061",,,"$245,221","$61,769",,,"$35,390",,,,,"$137,281","$1,617",,"$7,603",,"$197,945",,"$15,190",,,,,"$319,945","$211,699",,,,,,,,,,"$278,203","$4,389",,
0800320,,Clash of the Titans (2010),"$3,978,951","$17,033,579","$1,930,936",,"$2,673,872","$525,046","$16,238,888","$760,540",,"$1,828,161",,"$5,548,400","$243,606",,"$1,840,275","$2,216,165",,,"$129,357","$1,296,539","$505,075","$110,316",,"$798,908","$19,294,563","$14,679,293","$49,473","$4,714,447","$2,777,427","$909,855","$136,087",,"$3,164,699","$922,528","$10,275,464",,"$16,337,196",,,"$138,767","$353,010","$175,979","$3,909,530",,"$20,547,663",,,"$2,237,071","$1,896,270",,"$185,481","$1,223,044",,,"$2,949,559","$4,736,074","$2,319,815","$1,318,879",,"$877,043",,"$24,606,550","$158,605","$3,945,289","$655,170","$220,122","$1,378,879","$19,243,830","$14,556,322","$1,878,400",,,,"$1,203,978","$2,887,966",,"$3,258,829","$2,187,629","$1,936,590","$29,242,160","$233,655","$3,010,415",
0044518,,White Mane (1953),,,"$6,237",,,,"$14,410",,,,,,,,,,"$34,570",,,,,,,,"$897,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319694,,Glorious 39 (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250777,,Kick-Ass (2010),"$75,186","$5,021,226","$293,094",,"$413,585",,"$259,701","$22,869",,"$6,535",,"$20,361","$112,376",,"$96,727","$993,251",,,,"$29,974",,"$10,439",,"$345,328","$5,940,728","$1,683,603",,"$255,751","$681,270","$50,188","$135,879",,,,"$648,961",,"$58,471",,,"$3,081","$15,321","$3,622","$315,536",,"$444,200",,,"$1,210,645","$397,655",,,"$1,023,370",,,"$64,213","$224,029","$141,421","$183,484",,"$42,315",,"$2,798,147","$6,290","$684,260",,,"$139,709","$1,001,536","$1,257,505","$694,867",,,,"$809,749","$286,942",,,,"$250,573","$16,763,505","$3,400",,
0844948,,Varg Veum - Bitre blomster (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,443,467",,,,,,,,,,,,,,,,,,"$1,443,988",,,,,,,,,,,,,
0346723,,Chalte Chalte (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,903,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,205,970",,,
1238291,,Five Minutes of Heaven (2009),"$51,698","$6,192",,,"$2,666",,,,,"$7,579",,,,,,,,,,,,,,,,,,"$23,579",,,,,,,,,,,,,,,,,,,,"$10,776","$31,683",,,,,,,,,"$30,286",,,,,,,,,,,"$152,635",,,,,,,,,,"$26,361",,"$5,224",,
1279935,,Date Night (2010),"$369,744","$7,543,049","$628,458","$60,058","$869,475","$44,887","$3,802,943","$73,920",,"$127,418",,,,,,"$327,983",,,"$43,026","$211,332","$87,962","$56,578",,"$385,720","$3,368,596","$3,325,181","$24,284","$362,746","$683,534","$322,045","$65,687",,"$394,137","$671,771","$1,815,224",,,,,"$75,972","$84,660","$53,920","$499,141",,"$2,925,693",,,"$1,240,840","$687,113",,"$59,555","$290,233",,,"$426,137","$483,275","$188,569","$638,877",,"$186,135",,"$3,327,632","$26,788","$852,179",,,"$807,654",,"$1,077,601","$355,510",,,,"$247,180","$236,723",,"$481,733",,"$506,879","$5,518,097","$137,952","$1,299,140",
0838247,,After.Life (2009),,,,,,"$2,901",,,,,,,,,,,"$108,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$345,941",,,"$34,556",,,,,,,"$72,362","$77,920",,"$32,607",,,,"$795,772",,,,,,"$734,938",,,,,,,,,"$190,592",,"$29,351",,,,
0462219,,Camille (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$123,784",,,,,,,,,,,,,,,,,"$496,917",,,,,,,,,,,,,,,,,,,,,
0314121,,Mortadelo & Filemon: The Big Adventure (2003),,,"$95,331",,,,,,,,,,,,"$19,914",,,,,,,,,,,,,,,,,,,,"$19,322",,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,112",,,,,,,"$23,888,385",,,,,,,,,,,,,,
0783767,,Angel (2007),,"$47,833",,,,,"$72,628",,,,,,,,,,,,,,,,,,,,,,"$17,362",,,,,,,,,,,,,,,,,,,,"$33,909",,,,,,,,,,,,,"$510,000",,"$15,240",,,,"$23,081",,,,,,"$5,893",,,,,,,,,
1017451,,The Runaways (2010),,"$325,928",,,"$28,249",,"$30,458",,,,,,,,,,,,,,,"$4,751",,,"$315,999",,,,"$21,368",,,,,,,,,,,"$5,051","$3,724",,,,,,,,"$107,719",,,"$19,531",,,,,,,,,,,,"$27,483",,,"$25,560","$61,338","$108,756",,,,,"$5,853","$10,269",,,,"$4,397",,,,
0799991,,How I Celebrated the End of the World (2006),"$38,858",,,,,,"$38,643",,,,,,,,,,,,,,,,,,"$40,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,584",,,,,,,,,"$26,423",,,,,,,,,,,,,,
0236638,,Deep in the Woods (2000),,,,,,,,,,,,,,,"$3,080",,"$56,119",,,,,,,,,"$211,691",,,,,,,,,"$36,073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0468704,,Daisy (2006),,,,,,,,,,,"$1,280,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267160,,Cape No. 7 (2008),,,,,,,,,,,"$2,909,204",,,,,,,,,,,,,,,,,,"$978,941",,,,,,,,,,,,,,"$59,556",,,,,,,,,,,,,,,,,,,,,"$261,572",,,,"$1,796",,,,,,"$13,804,531",,,,,,,,,
0087981,,Razorback (1984),,$323,,,,,,,,,,,,,,,"$150,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0810868,,Free Rainer (2007),,,"$196,655",,,,,,,,,,,,,,,,,,,,,,,"$1,463,120",,,,,,,,,,,,,,,,,,,,,,"$2,745",,,,,,,,,,,,,,"$43,094",,,,,,,"$71,295",,"$97,151",,,,,,,,,,,,
1159961,,Waking Sleeping Beauty (2009),,,,,,,,,,,,,,,,,,,,,,,,,"$4,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0055382,,The Roman Spring of Mrs. Stone (1961),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,736",,,,,,,,,,,,,,,
1321509,,Death at a Funeral (2010),,,,"$36,648",,,,,,,,,,,,,,,"$24,036",,,,,,,,"$7,062",,,,,,,,,,,,,,,,,,,,,,,,"$100,553",,,,,,,,,,,,,,,,"$1,098,918",,"$153,050",,,,,,,,,,"$304,055","$4,150,291",,,
0862467,,Valhalla Rising (2009),,,,,,,,,,,,,,,,"$72,523",,,,,,,,,"$139,155",,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,378",,,,,"$2,634","$3,409",,,,,,,,,,,,,,,,,,,,,,,,,
1196141,,Diary of a Wimpy Kid (2010),,"$5,261,222",,,,,"$162,928",,,,,,,,,,,,,,,,,,"$7,440","$439,034",,,,,,,,,"$533,730",,,,,,,,"$68,435",,"$189,654",,,,"$309,590",,,,,,,"$224,340",,,,,,,,"$358,096",,,"$15,935",,"$95,562",,,,,,,,"$243,346",,,"$4,283,601",,,
0964586,,Skin (2008),,"$18,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$138,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0222024,,Hum Tumhare Hain Sanam (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,757,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226236,,I Am Love (2009),"$202,905","$1,066,062","$153,414",,"$309,643",,,,,,,,,,,,"$5,005,465",,,,,,,"$36,686","$340,336","$600,894",,"$437,969","$53,153",,,,,,"$284,612",,,,,,,,,,,,,"$514,339","$331,877",,,"$147,270",,,"$5,950",,"$198,218","$131,095",,"$5,999",,,,"$20,304",,,,"$386,177","$586,094","$211,699",,,,"$46,610",,,"$68,589",,,"$620,954","$21,280","$27,658",
0445953,,Disgrace (2008),,"$908,867","$51,567",,"$25,682",,,,,,,,,,,,,,,,,,,,"$103,943","$259,627",,,,,,,,,,,,,,,,,,,"$2,316",,,"$249,981","$95,352",,,"$12,358",,,,,,"$14,044",,,,"$29,130",,,,,"$68,924",,"$400,184",,,,,,,,,,,,,,
0430224,,Hell (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,602",,,,,,,,,,,,,,,,,,,,"$23,007",,,,,,,,,,,,,"$22,501",,,,,,"$48,599",,,,,,,,,,,,,,,
1379182,,Dogtooth (2009),,,,,,,,,,,,,,,,,"$110,248",,,,,,,,"$36,283",,,"$49,082",,,,,,,"$256,031",,,,,,,,,,,,,,,,,"$28,581",,,,,,"$12,951",,,,"$24,538",,,,,,,"$163,996",,,,,,,,"$7,367",,,,,,
0791303,,A Summer in Genoa (2008),,"$860,113",,,"$4,233",,,,,,,,,,,,,,,,,,,,"$170,936",,,"$66,380",,,,,,,"$97,471",,,,,,,,,,"$5,177",,,"$98,923","$37,774",,$140,,,,,,"$31,924","$11,671",,"$4,547",,"$40,536",,"$15,158",,,"$66,544",,"$422,673",,,,,"$6,106",,,,,"$7,810","$199,714",,,
1124052,,City of Life and Death (2009),,,,,,,,,,,,"$11,196",,,,,,,,,,,,,"$39,972",,,,"$494,079",,,,,,,,,,,,,,,,,,,,"$2,595",,,,,,,,,,,,,"$1,690",,"$56,321",,,,,"$435,634",,,,,"$22,222",,,,,,,,,
1294136,,As Good as Dead (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,637",,,,
0996435,,Glory to the Filmmaker! (2007),,,,,,,"$2,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$332,143",,,,,,,,,,,,,,,,,,,,,,,,,"$39,874",,,,,,,,,,,,"$10,054",,,,,,,,,
1217243,,Achilles and the Tortoise (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$817,841",,,,,,,,,,,,,,,,,,,,,,,,,"$30,463",,,,,,,,,,,,,,,,,,,,,
0480255,,The Losers (2010),,"$658,469",,,,,,,,,,,"$12,770",,,,,,"$8,330","$40,102","$29,075","$2,274",,,,,"$3,237",,,,"$21,566",,"$170,810",,"$684,997",,,,,"$14,411","$14,533",,"$521,529",,"$342,167",,,,"$240,817",,"$37,163",,,,,"$265,015",,,,"$77,597",,"$496,521",,"$399,546",,,,,,,,,,,"$163,825",,,,"$317,026","$1,284,442",,,
1294226,,The Last Song (2010),"$93,017","$6,073,470","$890,763",,,,"$114,401","$46,761",,"$26,456",,"$57,911",,,,"$578,673",,,"$12,192","$114,606","$46,322","$25,625",,"$109,500",,"$6,080,655",,"$126,618",,,"$19,568",,,,"$1,589,637",,,,,,"$118,246",,,,"$893,873",,,,"$547,273",,"$2,450","$1,334,256",,,"$117,319","$344,475",,"$456,604",,"$73,689",,,,"$263,818",,,"$385,001",,"$1,997,548","$435,983",,,,,,,"$130,675",,"$149,188","$2,797,888","$4,991","$127,211",
1336617,,Cyrus (2010),,,"$7,984","$4,348","$7,266",,"$55,014",,,,,,,,,,,,,,,,,,"$64,616","$75,272",,,,,,,,,"$11,103",,,,,,"$10,039",,,,"$150,996",,,,"$12,545",,,,,,,,,,,,,"$5,520",,,,,,,"$94,389",,,,,,,,,,"$29,627","$1,936,218",,,
1467304,,The Human Centipede (First Sequence) (2009),,,,,,,,,,,,,,,,,"$181,467",,,,,,,,,,,,,,"$9,632",,,,,,,,,,,,,,,,,,,,,,,,"$72,906",,,,,,,,,,,,,,,,,,,"$61,108",,,,,,,,,
1587707,,Exit Through the Gift Shop (2010),,"$432,259","$28,376",,"$21,672",,,,,,,,,,"$7,224","$35,518",,,,,,,,,"$223,006","$554,717",,,,,,,,,,,,,,,,,,,,,,,"$195,276",,,,,,,,"$148,000",,,,,"$161,036",,,,,,"$34,411","$253,497",,,,,,,,,,,,,,
0970452,,Solomon Kane (2009),"$135,137",,,,"$36,404","$57,968","$639,430",,,"$36,142",,,"$15,693",,"$74,456",,,,,"$88,892",,"$5,932",,,"$3,084,484",,,,,,"$23,757",,,,"$2,622,017",,,,,,"$11,801",,"$618,081",,"$1,001,674",,,"$175,286",,,,,,,"$172,832","$130,452",,"$374,783",,,,"$1,888,826",,"$122,700",,,,"$841,029","$4,881,329",,,,,"$67,298","$98,200",,,"$108,322","$294,829","$1,729,255","$2,227","$312,949",
1228705,,Iron Man 2 (2010),"$2,566,778","$22,418,342","$1,357,508",,"$1,890,409","$311,086","$15,835,025","$138,746",,"$1,454,137","$7,919,827","$1,275,996","$212,418",,"$442,253","$2,292,730",,,"$122,460","$1,243,781","$300,567","$77,051",,"$796,554","$19,792,160","$9,254,348","$8,290","$1,572,625","$3,760,485","$704,870","$198,156","$1,232,814","$4,487,383","$684,653","$9,979,666",,"$12,831,962",,,"$104,864","$165,313","$97,230","$4,642,633",,"$18,396,680",,,"$2,136,565","$2,701,225",,"$59,572","$2,463,643",,"$883,729","$1,862,616","$6,252,102","$1,136,267","$1,132,347",,"$466,054","$8,672,930","$14,762,084","$41,653","$4,194,650","$202,047","$122,290","$2,589,816","$27,095,727","$7,601,695","$1,968,871","$318,294",,,"$4,036,495","$4,618,190",,"$1,838,197","$1,199,098","$2,251,242","$30,456,328","$103,005","$1,903,726",
