imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0236576,,Paragraph 175 (2000),,,,,,,,,,,,,,,,,,,,,,"$96,630",,,,,,,,"$3,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0238936,,Devdas (2002),,,,,,,,,,,,,,,,,,,,,,"$2,745,382",,,,,,,"$143,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$944,,,,,,,,,,,,,,,,"$2,538,825",,,
0242527,,The Hole (2001),,,,"$203,770",,,,,"$46,744",,,,,,,,,,,,,,,,,,,,,"$1,228,806",,,,,,,,,,,,,,,,,,,"$434,644",,,,,,,,,,,,,,,,,,,,,,,,"$2,343,390",,,"$49,938","$125,552",,,,"$3,139,788",,,
0243931,,Good Advice (2001),,,,"$56,153",,,,,,,,,,,,,,,,,,,,,,"$2,002",,,,"$371,342",,,,,,,,,,,,,,,,,,,,,,"$46,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0246692,,Old Men in New Cars: In China They Eat Dogs II (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,000",,,,,,,,,,,,,,,,,,,
0248126,,Kabhi Khushi Kabhie Gham... (2001),,,,,,,,,,,,,,,,,,,,,,"$2,902,000",,,,"$4,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,761",,,,,,,,,,,,,,,,"$3,221,591",,,
0249241,,Werckmeister Harmonies (2000),,,,,,,,,,,,,,,,,,,,,,"$69,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0250223,,Asterix & Obelix: Mission Cleopatra (2002),,,,"$1,444,514",,,,,"$191,415","$30,028",,,,,,,,,"$1,231,076",,,"$3,115,188",,,,,,,"$77,209,645","$7,164,783",,,"$545,085",,,,,"$3,580,443",,,,,,,,,,,,,,"$519,620",,,"$1,409,696",,,,"$2,259,554",,,,,,"$1,250,000",,,,,,,"$652,632","$6,057,973",,,,,"$286,029",,,,,,
0251447,,The Tunnel (2001),,,,,,,,,,,,,,,,,,,,,,"$46,296",,,,,,,"$8,949",,,,,,,,,,,,,,,,,,,,,,,,"$59,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0251806,,Long Time Dead (2002),"$243,951",,"$144,092",,,,,,"$551,520",,,"$54,141","$117,715",,"$409,092",,,,,,,,,,,,,,,,,"$75,642",,"$26,487","$6,929",,,"$720,702",,,,,,,"$21,173",,,"$217,248","$3,248,404","$214,166",,"$148,328","$95,761",,,,"$291,733","$76,202",,,,,,,,,,"$297,107",,,"$96,740",,"$1,449,784",,,,"$365,454","$699,173",,,"$2,562,448",,"$371,511",
0265651,,Ripley's Game (2002),,,"$2,618,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$309,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0273069,,The Adversary (2002),"$43,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0273108,,The Beautiful Country (2004),,,,,,,,,,,,,,,,,,,,,,"$442,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$400,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0273517,,Darkness (2002),"$66,238",,"$8,873",,,,,,"$800,000",,,,"$22,812",,,,,,,,,,,,,"$3,909",,,"$800,000","$160,181","$76,500",,"$31,877",,,,,"$2,594,128",,"$218,568",,,,,,,,,"$1,934,902",,,"$301,365","$68,790",,,,"$81,987",,"$12,616","$111,500",,,,,,,,,,,,,"$4,032,048",,,"$3,629",,"$35,222",,,"$460,149",,,
0275947,,Avenging Angelo (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0276830,,Renegade (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$516,868",,,,,,,,,,,,,,,,,,,
0280105,,Shackleton's Antarctic Adventure (2001),,,"$4,030,122",,,,,,,,,,,,,,,,,,,"$15,553,324",,,,,,,"$39,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0280969,,My Little Eye (2002),,,"$52,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$630,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0283283,,Millennium Mambo (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$346,876",,,,,,,,,"$12,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,133","$13,861",,,"$3,191",,,,,,,,
0284837,,Ali G Indahouse (2002),,,"$2,143,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$366,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0285492,,Cube²: Hypercube (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,644",,,,,,,,,,,,,,,,,,,,,,,"$1,327,594",,,,,,,,,,,,
0286751,,Pulse (2001),,,,,,,,,,,,,,,,,,,,,,"$51,420",,,,,,,,,,"$231,031",,,,,,"$33,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,637",,,
