Movie Name,Mexico,United Arab Emirates,Germany,Türkiye,Spain,Malaysia,Netherlands,Norway,Denmark,Austria,Belgium,Lithuania,Romania,Hungary,United Kingdom,Domestic,France,Italy,Greece,Poland,Portugal,Ukraine,Sweden,Finland,South Africa,Switzerland,Bulgaria,Croatia,Lebanon,Estonia,Latvia,Serbia and Montenegro,Nigeria,East Africa,Iceland,Russia/CIS,Taiwan,Philippines,Thailand,Brazil,Argentina,Venezuela,Peru,Colombia,Chile,Uruguay,Ecuador,Bolivia,China,Kuwait,Qatar,Egypt,Bahrain,Oman,Ethiopia,Ghana,Curaçao,Central America,Jamaica,Lesser Antilles,Aruba,Singapore,New Zealand,Israel,South Africa/Nigeria,Australia,South Korea,Puerto Rico,Middle East Other,Czech Republic/Slovakia,Czech Republic,Slovakia,Slovenia,Cyprus,Central America+,Japan,Hong Kong,Indonesia,Vietnam,India,Dominican Republic,Greece and Cyprus,S/E/W Africa,Jordan,Laos,Switzerland (German),Switzerland (French),Switzerland (Italian),Pakistan,E/W Africa,Trinidad & Tobago
Gomorrah (2008),"$102,605",,"$1,231,245","$40,807","$3,282,402",,"$725,714","$185,172","$201,536","$334,252","$358,371","$26,745","$10,380",,"$1,386,619",,"$4,301,513","$17,665,830","$332,145","$77,632","$172,536",,"$569,845","$69,987",,"$1,083,729",,"$36,547",,,,"$15,171",,,,"$45,584","$13,136",,,"$181,576","$254,128",,,"$41,118","$39,643","$15,855",,,,,,,,,,,,,,,,"$24,222","$54,244",,,"$363,962",,,,,,,"$38,132",,,,,,,,,,,,,,,,,,
The Accidental Husband (2008),"$1,286,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,640,497","$36,432","$24,259",,"$1,056,833","$225,379","$505,288","$223,925","$194,856","$55,410","$24,188","$174,634","$41,542",,,,,,,,,,"$77,395",,,,,,,,,"$1,231,952",,,,,,,,,,,,,,,,,,,,,,,,
KM 31: Kilometre 31 (2006),"$10,963,219",,,,,"$71,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$241,860",,,,,,,,,,,,,,,,,,,,"$69,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Duchess (2008),"$509,855","$80,776","$677,525","$147,880","$1,487,262",,"$191,965","$84,627",,"$156,158","$458,360","$88,146","$192,430","$86,545","$11,869,300",,"$1,761,579","$2,901,441","$373,833","$313,031","$187,010",,"$160,070","$77,634","$127,451","$153,446",,,"$63,169",,"$70,833",,,,,"$340,724",,,"$12,340","$440,790","$263,387","$118,431","$44,164","$62,772","$75,042","$3,640","$14,448","$2,093",,,,,,,,,,,,,,"$95,554","$420,892",,,"$3,631,592","$1,197,805",,,,"$286,885",,,,"$48,704",,"$214,817",,,,,,,,,,,,,,
Rachel Getting Married (2008),"$163,954","$18,952","$273,535",,"$285,120",,"$33,901",,,"$154,559","$23,974",,,,"$477,379",,"$438,675","$288,409","$56,891",,"$108,123",,"$44,630","$40,083","$58,193",,,,,"$3,738","$11,559",,,,,,,,,"$334,135",,,,"$29,014",,,,"$312,670",,,,,,,,,"$1,923",,,,,"$68,234","$22,210","$14,593",,"$438,367","$27,535",,,,,,,,,"$361,991","$48,780",,,,,,,,,,,,,,
Body of Lies (2008),"$2,147,839","$889,804","$5,351,455","$1,276,581","$7,558,975","$218,000","$1,097,269","$761,448","$924,738","$865,910","$895,108","$87,918","$304,094","$198,223","$4,419,345",,"$7,047,530","$6,005,344","$1,295,910","$521,467","$877,852","$142,157","$491,725","$144,240","$520,155","$1,404,939","$217,282","$123,774","$213,809","$52,873","$35,917","$51,782","$32,062","$57,217","$40,757","$1,018,965","$1,072,583","$458,918","$577,019","$1,625,422","$930,022","$584,341","$220,185","$469,701","$234,585","$51,395","$43,779","$33,195",,,,"$368,885",,,,,,"$383,872",,,,"$713,516","$390,584","$651,213",,"$4,924,310","$2,791,289",,,,"$160,781","$101,206","$83,001",,,"$9,651,930","$772,815","$509,120",,"$606,489",,,,,,,,,,,
Max Payne (2008),"$1,406,445","$570,174","$2,983,015","$776,133","$3,329,645","$657,894","$849,507","$519,152","$466,153","$529,142","$319,884","$176,225","$194,145","$262,581","$3,818,126",,"$3,233,461","$1,849,465","$579,228","$756,340","$425,116","$623,502","$724,964","$543,271","$414,147","$470,402","$142,361","$31,943","$86,851","$94,240","$89,028","$49,499","$19,265","$42,378","$76,142","$6,479,113","$257,686","$775,703","$745,153","$1,042,018","$165,343","$620,977","$156,696","$87,099","$74,714","$4,637","$86,334","$23,631",,"$220,368","$109,337","$147,261","$79,640","$31,168",,,,"$170,737","$61,628","$87,902",,"$784,223","$375,752","$233,110",,"$2,118,438","$1,217,541","$593,469",,"$248,048","$150,211","$82,658","$62,067",,,,,"$480,034","$112,317","$122,795","$33,837","$623,231","$513,242","$89,595",,,,,,,
Zack and Miri Make a Porno (2008),"$341,052",,"$318,384","$85,995","$878,711",,"$250,980","$113,769","$12,400","$29,716","$286,845",,"$35,227",,"$3,663,335","$31,457,946",,"$630,524","$132,935",,"$183,332","$114,156","$134,647","$174,310","$37,861",,,"$14,887",,"$32,040","$30,523",,,,"$37,890","$911,372","$84,984",,,"$726,241","$32,456",,,,,,"$3,853","$1,881",,,,,,,,,,,,,,"$108,465","$205,123","$311,277",,"$1,270,158",,,,,"$45,159",,,,,,"$85,910",,,,,,,,,,,,,,
My Best Friend's Girl (2008),"$956,550","$129,740",,"$298,111","$1,730,906","$139,703","$1,260,910","$48,903","$39,413",,"$444,591","$193,142","$425,474","$535,553","$3,158,855",,"$547,058","$1,537,633","$207,450","$894,313","$181,054","$359,576","$84,286","$50,964","$581,045",,"$12,433","$165,667","$65,164",,"$108,241",,"$10,065","$21,538","$42,535","$2,886,947","$206,480","$76,014","$68,475","$1,985,004","$99,311","$409,580","$279,926",,"$59,152","$25,444","$56,201","$18,593",,,,,,,,,,"$17,833",,,,"$178,478","$157,363",,,"$1,230,088",,"$253,536",,,"$63,902","$32,808",,,,,"$69,429",,,,,,,,,,,,,,
The Secret Life of Bees (2008),"$173,055",,"$6,654",,"$190,372",,,"$383,549",,,,,,,"$299,600",,"$31,528",,,,,,,,"$205,304",,,,,,,,,,,,,"$6,343",,"$22,459","$18,338","$30,474",,,,"$7,102",,,,,,,,,,,,,"$22,261","$24,848",,"$10,925","$165,914",,,"$293,492",,"$47,386",,,,,,,,"$72,000",,,,,,,"$170,671",,,,,,,,
