Movie Name,Mexico,United Arab Emirates,Germany,Türkiye,Spain,Malaysia,Netherlands,Norway,Denmark,Austria,Belgium,Lithuania,Romania,Hungary,United Kingdom,Domestic,France,Italy,Greece,Poland,Portugal,Ukraine,Sweden,Finland,South Africa,Switzerland,Bulgaria,Croatia,Lebanon,Estonia,Latvia,Serbia and Montenegro,Nigeria,East Africa,Iceland,Russia/CIS,Taiwan,Philippines,Thailand,Brazil,Argentina,Venezuela,Peru,Colombia,Chile,Uruguay,Ecuador,Bolivia,China,Kuwait,Qatar,Egypt,Bahrain,Oman,Ethiopia,Ghana,Curaçao,Central America,Jamaica,Lesser Antilles,Aruba,Singapore,New Zealand,Israel,South Africa/Nigeria,Australia,South Korea,Puerto Rico,Middle East Other,Czech Republic/Slovakia,Czech Republic,Slovakia,Slovenia,Cyprus,Central America+,Japan,Hong Kong,Indonesia,Vietnam,India,Dominican Republic,Greece and Cyprus,S/E/W Africa,Jordan,Laos,Switzerland (German),Switzerland (French),Switzerland (Italian),Pakistan,E/W Africa,Trinidad & Tobago
Splinter (2008),"$51,364","$78,046",,"$152,955",,,,,,,,,,,,"$14,154",,,,,,,,,,,,,,,,,,,,"$58,311",,,,,,"$84,464","$71,064",,,,,"$12,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia (2008),"$4,369,708","$310,230","$16,239,240","$1,162,439","$15,206,346","$285,500","$4,508,197","$1,242,151","$4,308,167","$2,220,069","$1,726,568","$211,992","$180,494","$507,472","$11,410,879","$49,554,002","$15,016,825","$7,351,155","$1,407,115","$851,258","$1,771,139","$153,312","$5,699,462","$1,416,700","$520,585","$5,514,870","$156,174","$224,553","$116,418","$101,258","$161,220","$134,334","$18,040","$57,909","$96,238","$3,318,540","$1,120,587","$182,838","$384,878","$1,197,888","$856,824","$785,303","$353,481","$578,214","$327,444","$87,062","$170,105","$52,547","$2,402,985","$185,684","$34,056","$117,276","$51,980","$13,800","$6,460","$1,656",,"$430,002","$41,499","$49,663",,"$571,894","$1,328,183","$387,415",,"$26,521,500","$4,724,980","$244,152",,"$718,536","$541,082","$104,911","$318,368",,,"$5,905,025","$562,802","$256,655","$61,046","$419,800","$14,074","$1,478,991","$626,525","$38,781",,,,,,,
Bolt (2008),"$7,915,302","$467,860","$8,394,859","$1,314,254","$10,972,787","$1,344,988","$3,577,161","$2,088,690","$2,923,427","$2,198,122","$3,284,544","$353,955","$441,817","$760,781","$26,755,584",,"$23,381,553","$7,073,495","$988,063","$4,846,800","$2,228,595","$687,878","$3,683,425","$1,817,483","$930,116","$1,782,764","$325,734","$597,946","$69,055","$306,993","$210,294","$64,007","$11,159","$24,306","$159,231","$12,242,512","$896,642","$564,838","$350,751","$4,640,182","$2,103,777","$2,236,184","$1,116,711","$2,385,318","$1,788,695","$150,701","$1,045,198","$329,401","$6,578,259",,,"$31,973",,,,"$9,044",,"$771,216",,,,"$1,781,132","$1,110,008","$1,615,026",,"$7,611,037","$3,600,363",,,,"$665,245","$248,517","$290,295",,,"$16,537,605","$1,981,317","$723,640",,,,,,,,,,,,,
Milk (2008),"$561,611",,"$1,658,829","$78,257","$1,785,238",,"$554,412","$235,232","$465,693","$199,271","$376,401","$1,326","$18,117","$23,482","$1,973,899","$31,841,299","$4,902,485","$3,202,523","$454,274","$208,797","$480,616",,"$209,265","$137,352","$108,510","$850,531","$6,283",,,,,,,,"$17,036","$336,134","$139,288","$17,394","$49,323","$1,012,071","$238,822","$65,571","$62,088","$102,648","$41,028","$45,336","$4,270",$923,,,,,,,,,,"$9,530",,"$4,526",,"$90,949","$134,316",,,"$1,375,995","$84,278",,,,"$51,170",,"$16,382",,,"$173,611","$130,925",,,"$52,241",,,,,,,,,,,
Twilight (2008),"$9,842,699","$1,257,768","$23,734,298","$1,715,562","$15,830,746","$922,855","$1,294,203","$1,589,423","$1,499,585","$2,032,590","$3,294,541","$101,859","$293,735","$293,826","$16,305,715","$193,962,473","$23,534,630","$14,410,854","$2,891,150","$1,764,732","$1,174,576","$66,645","$2,172,455","$1,812,540","$801,542","$2,986,625","$126,416","$402,019","$279,268","$61,400","$150,831","$39,047",,,"$97,358","$3,577,854","$1,771,850","$3,812,947","$1,705,835","$27,353,149","$1,844,290","$2,766,971","$993,676","$1,461,655","$1,290,455","$106,674","$315,415","$71,198",,,,"$250,788",,,,,,"$709,508",,,,"$1,774,300","$2,712,257",,,"$15,534,902","$7,918,638",,,,"$410,286","$431,196","$128,117",,,"$2,530,714","$2,213,774",,,,,,,,,,,,,,
The Children (2008),"$391,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$183,926","$74,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transporter 3 (2008),"$707,060","$945,296","$11,778,941","$491,400","$3,528,751","$749,820","$310,035","$137,553",,"$1,439,197","$1,284,778","$161,666","$154,503","$268,632","$3,736,278",,"$11,370,900",,"$308,104","$274,258","$453,646","$827,074",,,"$769,016","$642,210","$108,784","$4,099","$164,167","$64,179","$107,323",,"$11,206",,"$35,416","$9,345,065","$1,510,709","$373,148","$790,898","$634,790","$386,925","$516,739","$111,791","$295,442","$39,041","$8,583","$33,965","$7,893","$8,556,760",,,"$40,393",,,,,,"$7,824",,,,"$468,808","$320,395",,,"$2,275,647","$4,454,269",,,,"$145,538",,"$25,173",,,"$6,080,399",,,,,,,,,,,,,,,
Four Christmases (2008),"$2,121,744","$237,035","$1,290,546","$169,322","$1,350,701","$113,666","$649,706","$161,695","$214,140","$780,235","$397,149","$118,267","$252,050","$432,644","$15,868,934",,"$1,752,200","$526,291","$399,072","$486,273","$373,705","$268,627","$211,733",,"$508,332","$458,501","$137,453","$151,422","$142,031","$42,746","$82,930","$63,918",,,"$99,651","$2,581,190","$208,707","$163,685",,"$947,050","$419,584","$1,231,687","$265,271","$81,870","$93,324","$39,751","$162,283","$19,528",,,,"$93,007",,,,,,"$373,429",,,,"$461,427","$410,002",,,"$4,938,100",,"$374,899",,,"$132,338","$109,155","$132,292",,,,"$309,586",,,"$97,296",,,,,,"$458,501",,,,,
The Boy in the Striped Pajamas (2008),"$959,188",,"$218,186",,"$13,315,890",,"$232,569","$80,942","$6,329","$109,727","$135,110","$79,868",,"$4,657","$7,162,900",,,"$3,802,419",,,"$114,991",,,"$10,223","$39,707","$39,711",,,,,,,,,"$9,240",,,"$5,151",,"$327,032","$86,300","$287,615","$108,093","$339,040","$259,677","$4,061","$51,891","$30,545",,,,,,,,,,"$36,939",,,,"$14,234","$391,600","$45,110",,"$2,929,712",,,,,,,"$29,245",,,,,,,,,,,,,,,,,,
Surveillance (2008),"$110,048","$19,255","$51,605",,,,"$1,142",,,"$55,218",$658,,,,"$347,592","$27,349","$441,033",,,,"$77,274",,,,,,,,,,,,,,,,,,,,"$3,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor (2008),"$1,097,430","$44,984",,"$7,657",,"$107,399",,,,,"$2,439",,,,"$6,731,993",,"$1,554,432",,"$262,418",,"$94,866",,,,"$34,710",,,,"$7,808",,,,,,"$5,336","$196,388","$40,881","$92,617",,,"$94,999","$56,582","$68,263",,"$21,892","$4,663",,"$20,766",,"$44,270","$14,059","$1,410","$6,004","$5,419",,,,,,,,"$47,551",,"$471,089",,"$225,751","$1,207",,,,,,,,,,,,,,,,,,,,,,,,
Hunger (2008),"$21,342",,,"$38,677",,,"$19,772","$6,771",,"$2,802","$42,936",,,,"$1,200,337","$154,084","$834,623","$397,707","$78,788",,"$43,957",,"$2,062",,,,,,"$6,263",,,"$5,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$588,,,"$241,092","$38,788",,,,,,"$2,569",,,,,,,,,,,,,,,,,,
The Day the Earth Stood Still (2008),"$9,562,903","$575,706","$8,126,430","$1,575,974","$8,791,871","$1,439,687","$2,188,225","$724,658","$897,789","$1,222,969","$1,939,964","$215,887","$359,731","$601,688","$10,900,889",,"$9,772,274","$6,037,792","$1,015,441","$1,428,840","$1,118,524","$1,079,765","$1,432,388","$406,748","$643,025","$1,098,068","$283,714","$187,565","$105,410","$85,894","$134,404","$65,881","$24,547","$69,623","$72,248","$10,202,644","$2,182,686","$1,140,347","$1,518,405","$5,037,096","$2,100,530","$2,353,805","$937,067","$1,548,908","$1,099,037","$75,309","$528,230","$176,973",,"$171,875","$74,414","$198,367","$61,311","$11,938","$6,314",,,"$1,122,333","$78,515","$150,555",,"$1,111,350","$497,520","$457,477",,"$5,634,071","$7,467,940","$886,074",,"$458,305","$325,332","$118,534","$95,504",,,"$25,096,478","$2,487,864","$743,625","$118,031","$1,030,348","$116,792","$1,165,767","$794,458","$78,585",,,,,,,
Che: Part One (2008),"$576,566","$143,080","$1,022,079",,"$9,794,107",,"$111,609","$184,807",,"$157,278","$116,751",,"$4,797",,"$1,968,517","$748,555","$4,626,981","$2,749,408","$36,559",,"$257,303",,"$188,939","$175,873","$8,012","$324,440","$9,569","$9,817","$9,263",,,,,,,,"$20,850",,,"$789,064","$669,305",,"$69,730",,"$128,625","$31,402",,"$29,326",,,,,,,,,,"$4,235",,,,,"$1,585",,,"$15,092","$17,088","$118,212",,,"$29,364","$7,799",,,,"$9,053,079",,,,,,,,,,,,,,,
Pandora's Box (2008),"$10,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doubt (2008),"$805,095",,"$431,088","$251,399","$3,535,903","$4,366","$140,453","$137,204","$67,642","$133,233","$327,351","$12,740",,"$39,556","$1,910,768",,"$963,496","$2,302,842","$707,753",,"$459,463",,"$46,496","$67,437","$772,288","$252,857","$17,641","$25,575",,"$7,511","$7,616",,"$8,130",,"$8,730","$72,662","$19,261","$18,088","$14,108","$757,109","$538,725","$320,447","$67,811","$123,528","$133,548","$47,557","$61,907","$8,671",,,,,,,,"$3,626",,"$118,185",,,,"$75,553","$208,962","$242,209",,"$1,358,191","$68,837",,,,"$19,439",,"$39,815",,,"$351,583","$139,059",,,,,,,,,,,,,,
Gran Torino (2008),"$2,177,471","$263,940","$6,371,649","$218,632","$19,038,938",,"$827,018","$778,225",,"$467,728","$1,126,546","$41,204","$66,468","$88,679","$13,739,813",,"$27,879,232","$12,993,866","$1,243,943","$190,515","$1,109,506","$7,469","$749,174","$585,360","$295,574","$2,296,282","$36,467","$101,156","$43,105","$20,485","$24,605","$3,133","$5,961","$21,176","$63,772","$389,745","$91,226","$87,844",,"$1,653,661","$903,115","$486,735","$257,828","$163,750","$356,118","$133,412","$36,822","$23,679",,,,"$26,362",,,,"$4,010",,"$52,773",,,,"$245,631","$556,699","$749,105",,"$11,524,910","$720,438",,,,"$125,218",,"$81,382",,,"$10,187,296","$107,340",,,"$20,735",,,,,,,,,,,
Frost/Nixon (2008),"$98,859","$18,616","$766,777","$17,449","$439,038",,"$145,778","$72,770","$156,233","$93,905","$143,328","$1,395","$22,499","$38,285","$2,788,581",,"$390,950","$879,567","$86,144","$48,641","$66,361",,"$68,568","$37,056","$45,255","$177,851","$6,976","$11,224","$7,010","$4,987","$8,633",,,,"$5,907","$30,230","$19,188",,,"$90,706","$43,972",,"$10,812","$13,739","$4,716","$8,083","$5,583","$1,226",,,,,,,,,,,,"$1,397",,,"$111,501","$45,480","$45,979","$1,337,135","$109,527",,,,"$10,893",,"$11,845","$4,868","$19,783","$180,627","$48,371",,,,,,,,,,,,,,
The Reader (2008),"$1,108,524","$32,833","$20,544,884","$345,438","$6,648,318","$28,207","$2,000,700","$419,342",,"$1,294,334","$912,785",,"$48,389","$111,196","$8,469,233",,"$5,494,936","$3,645,596","$1,633,587","$777,478","$587,908",,"$663,680","$314,509","$339,802","$1,495,763","$33,898","$57,549","$86,560",,,"$28,436",,,"$53,422",,"$377,530","$22,954","$85,772","$1,824,947","$570,036",,"$58,707","$154,956","$87,013","$93,723","$3,013","$7,123",,,,,,,,,,"$35,148",,,,"$173,842","$866,562","$526,510",,"$3,436,114","$2,321,258",,,,"$214,604",,"$79,637",,,"$5,317,138","$406,769",,,"$67,355",,,,,,"$775,167",,"$24,894",,,
Room of Death (2007),"$24,310",,,,,,,,,,"$75,751",,,,,,"$987,890",,,,,,,,,,,,,,,,,,,,"$8,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've Loved You So Long (2008),"$95,168",,"$409,803","$51,646","$720,566",,"$1,096,304","$285,452","$342,307","$40,840","$549,993",,"$5,876",$31,"$1,796,602","$3,169,305","$9,157,138","$554,704","$69,088",,,,"$106,809",,,"$155,248",,,,,,,,,,,"$21,932",,,"$252,894","$194,736",,"$41,992",,"$63,427","$35,064",,"$1,919",,,,,,,,,,,,,,,"$325,346",,,"$1,558,192","$11,908",,,,"$7,239",,,,,,,,,,,,,,,,,,,,
Seven Pounds (2008),"$4,294,120","$275,653","$10,948,614","$515,273","$13,462,297","$140,579","$826,954","$62,488","$240,493","$885,364","$949,850","$39,280","$128,697","$71,953","$8,147,094",,"$9,964,159","$16,157,223","$156,925","$402,828","$832,889","$249,188","$284,004","$55,635","$309,025","$1,666,823","$21,736","$27,680","$79,978","$34,104","$20,535","$8,185","$62,860","$36,481","$27,823","$1,565,709","$514,496","$92,154","$71,657","$4,651,219","$263,090","$1,324,899","$285,044","$752,979","$95,209","$72,117","$136,643","$44,437",,"$182,333","$38,901","$58,645","$44,882","$23,403","$9,175","$11,302","$18,983","$408,943","$98,533","$78,431","$15,675","$375,922","$583,337","$214,788",,"$4,081,722","$1,090,854",,,,"$94,349","$65,104","$39,402",,,"$8,311,706","$439,200","$207,119",,"$140,653","$55,231","$143,220",,"$42,026",,"$1,121,252","$451,641","$93,930",,,
The Wrestler (2008),"$570,671","$31,725","$1,002,239","$81,940","$1,113,996",,"$247,409","$449,800",,"$193,357","$262,875","$12,985","$19,911","$39,252","$3,734,050",,"$1,952,017","$2,824,964","$547,172","$96,344","$200,067",,"$427,091","$387,071","$61,962","$262,176","$5,061","$46,132","$10,013","$15,826","$28,809","$14,943",,,"$24,761","$612,650","$21,343",,"$22,056","$438,906","$191,690","$78,506","$55,422","$59,817","$71,088","$16,803",,,,,,,,,,,,,,,,"$72,070","$120,201",,,"$1,081,646","$296,753",,,,"$50,078","$4,986","$16,970",,,"$578,933","$41,880",,,,,,,,,,,,,,
The Curious Case of Benjamin Button (2008),"$7,182,452","$615,943","$20,368,188","$2,815,121","$16,210,146","$360,441","$4,157,439","$1,209,374","$1,647,700","$2,584,645","$3,305,657","$193,006","$211,154","$527,317","$13,341,148",,"$20,832,798","$15,750,900","$4,106,250","$1,697,809","$2,235,429","$449,823","$2,404,571","$1,007,337","$685,513","$2,941,784","$127,731","$202,046","$127,881","$91,611","$155,672","$94,307","$7,374","$32,452","$85,687","$4,355,492","$2,328,845","$746,279","$547,545","$8,598,448","$2,046,098","$1,822,504","$583,115","$1,367,443","$1,109,721","$185,937","$247,473","$113,052",,,,"$385,605",,,,"$2,226",,"$652,328",,,,"$1,024,707","$1,063,151","$933,099",,"$11,450,474","$10,533,860",,,,"$852,956","$243,546","$129,840",,,"$25,400,000","$3,145,777","$328,923",,"$328,310",,,,,,,,,,,
Yes Man (2008),"$4,970,699","$738,370","$5,405,766","$1,883,542","$5,972,772","$810,980","$3,719,800","$2,116,415","$2,707,572","$1,566,285","$2,112,042","$461,082","$434,875","$466,881","$15,009,401",,"$5,775,299","$10,187,158","$1,553,805","$962,362","$1,227,220","$595,500","$3,120,932","$1,278,955","$863,630","$1,342,175","$195,700","$202,576","$257,289","$95,307","$212,804","$67,456","$22,243","$58,446","$276,217","$7,822,926","$2,942,790","$326,831","$465,594","$5,321,595","$1,324,861","$3,356,562","$424,983","$961,557","$929,148","$139,346","$334,547","$107,385",,,,"$273,105",,,,"$2,278",,"$584,956",,,,"$1,478,018","$1,115,875","$1,390,320",,"$8,792,793","$6,771,041",,,,"$216,251","$114,822","$272,349",,,"$1,249,449","$1,241,033","$704,041",,"$214,649",,,,,,,,,,,
Valkyrie (2008),"$4,592,143","$585,039","$11,442,619","$865,827","$7,963,996","$355,600","$3,794,826","$817,547","$1,360,876","$1,338,143","$1,926,066","$74,445","$154,654","$278,590","$9,552,207",,"$5,402,177","$6,094,571","$770,132","$864,715","$1,022,644","$380,155","$1,724,481","$595,066","$324,914","$1,228,347","$104,711","$103,797","$262,278","$64,375","$52,608","$66,834","$12,259","$50,255","$45,803","$3,947,905","$695,875","$470,754","$483,039","$4,605,676","$727,580","$127,001","$361,395","$554,817","$788,657","$86,068","$213,178","$84,011","$8,374,867","$356,319","$102,341","$172,805","$145,553","$45,013",,"$6,643",,"$325,751","$58,609","$65,024",,"$568,680","$623,910","$386,223",,"$4,335,295","$8,501,030","$446,443",,"$365,875","$334,020","$87,729","$939,999",,,"$12,118,887","$714,246","$494,106","$53,913","$335,832","$78,394","$853,942",,"$91,708",,,,,,"$65,871",
Bedtime Stories (2008),"$8,783,222","$586,369","$8,873,264","$559,867","$6,753,174","$1,373,911","$1,337,412","$295,099","$386,689","$1,393,031","$961,701","$58,274","$133,871","$803,126","$12,886,242",,"$2,957,682","$899,750","$758,382","$1,703,431","$371,363","$783,373","$932,164","$53,561","$622,079","$1,278,388","$73,260","$16,198","$148,488","$44,182","$47,090","$41,954","$28,140","$37,958","$74,325","$8,546,565","$1,804,642","$947,606","$972,001","$3,618,106","$2,096,916","$3,556,942","$1,139,970","$1,700,466","$1,019,509","$121,022","$832,194","$83,516",,,,"$81,150",,,,"$1,226",,"$767,928",,,,"$1,419,771","$851,958","$637,106",,"$10,627,387","$949,389",,,,"$230,032",,"$43,668",,,"$2,552,699","$1,192,894","$921,206",,,,,,,,,,,,,
Revolutionary Road (2008),"$993,848","$120,826","$4,764,151","$490,183","$5,580,919",,"$722,526","$657,591","$688,954","$535,803","$1,017,408","$57,055","$79,345","$200,539","$5,117,981",,"$8,657,060","$4,832,138","$1,073,743","$786,220","$610,150","$178,445","$709,717","$476,639","$218,915","$2,263,937","$23,605","$74,134","$88,300","$38,356","$37,144","$32,018","$2,339","$11,022","$24,359","$1,004,685","$312,845","$19,900","$72,909","$881,573","$290,486","$224,445","$88,209","$92,519","$124,733","$43,446","$29,166","$2,214",,,,"$70,278",,,,,,,,,,"$140,332","$422,299","$359,830","$188,590","$2,138,833","$284,229",,,,"$220,128","$5,097","$72,765",,"$108,979","$4,181,251","$381,015",,,"$143,574",,,,,,,,,,,
Wild Child (2008),"$348,673",,,,,"$120,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$229,490","$69,668","$11,703",,"$6,094","$41,489","$6,502",,,,,,,,,,"$35,075",,,,"$181,208","$245,063",,,"$3,259,776",,,,,,,,,"$43,560",,,,"$69,058",,,,,,,,,,,,
Defiance (2008),"$1,253,622","$319,122","$860,153",,"$3,260,190",,"$520,262","$57,377",,"$96,119","$265,967","$28,969",,,"$5,584,810",,"$2,265,303","$1,224,839","$61,320","$94,251","$173,237",,"$46,045","$38,321","$79,475","$61,600","$7,405","$24,840","$31,748","$15,636","$10,261",,,,"$25,543",,"$110,349",,"$132,060","$321,534","$120,141",,"$28,583","$82,792",,"$6,678",,"$110,242",,,,,,,,,,,,,,"$138,258","$416,049",,,"$2,934,207","$1,108,965","$65,776",,,"$41,903",,,,,"$497,600","$96,386",,,,,,,,,,,,,,
Marley & Me (2008),"$2,695,991","$399,539","$8,479,376","$333,123","$3,762,236","$283,701","$1,739,447","$354,426","$284,828","$1,418,975","$1,107,042","$139,599","$134,915","$520,770","$23,286,860","$143,153,751","$6,340,900","$6,737,110","$730,545","$283,350","$1,351,571","$449,973","$560,867","$455,248","$1,440,176","$1,378,244","$56,474","$359,903","$70,215","$107,000","$75,001","$50,690","$10,673","$49,543","$96,672","$3,546,048","$773,889","$262,309",,"$6,314,657","$637,908","$1,126,566","$433,875","$448,296","$167,017","$87,004","$272,938","$76,282",,"$138,911","$47,441","$134,871","$47,604","$11,805","$6,625","$12,957",,"$174,353","$109,756","$90,683",,"$875,168","$778,424","$514,417",,"$6,966,395","$1,012,861","$790,758",,"$319,655","$351,428","$95,548","$111,014",,,"$7,536,297","$933,323","$278,804","$21,191","$190,929","$64,062","$881,647",,"$34,585",,,,,,"$27,240",
Ponyo (2008),"$89,917","$81,090","$751,256","$8,365","$691,812",,"$42,620","$101,396","$207,340","$45,761","$114,702",,"$4,608",,,"$15,743,471","$6,901,818","$1,107,774",,,"$125,424",,"$103,625","$364,193",,,,,"$3,360",,,,,,,"$176,483","$1,072,756",,"$27,906","$145,841","$59,312",,,"$24,231","$36,353",,,"$1,024","$1,620,000",,,,,,,,,,,,,"$297,824","$102,388",,,"$331,663","$6,941,531",,,,,,,,,"$164,565,997","$3,029,041",,,,,,,,,,,,,,
What My Eyes Have Seen (2007),"$25,048",,,,,,,,,,,,,,,,"$324,301",,,,,,,"$30,980",,,,,,,,,,,,"$34,500","$22,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Chance Harvey (2008),"$264,672","$42,847","$2,139,464","$266,252","$2,341,564",,"$151,713","$37,760","$166,460","$358,194","$134,736",,,"$124,063","$3,391,327","$14,889,042","$2,747,905",,"$300,379",,"$199,446",,"$7,443","$46,896","$204,447","$255,126",,,"$10,209",,,,,,"$5,457","$12,966","$45,067",,"$20,692","$791,723","$472,455","$66,304","$126,409",,"$158,660","$74,598","$30,884","$1,461",,,,,,,,,,,,,,"$30,834","$640,144",,,"$1,780,800","$203,864",,,,,,,,,,"$26,164",,,,,,,,,,,,,,
Replicant (2001),"$823,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passengers (2008),"$445,522","$211,752",,"$390,725","$512,075","$29,203","$50,580",,,,"$104,277","$4,830",,,,"$292,437","$697,158","$758,564","$206,074",,"$120,615",,,,"$28,222",,,"$11,425","$29,019",,"$16,512",,,,"$7,700",,"$283,055","$207,854",,"$428,500",,,"$43,902",,,,"$7,126","$11,822",,,,,,,,,,,,,,"$106,858",,,,"$9,892",,,,,,,,,,"$710,000","$73,275",,,,,,,,,,,,,,
The Tale of Despereaux (2008),"$2,297,403","$304,498","$803,545","$1,483,127","$3,948,152","$67,057","$971,010","$702,275","$345,350","$289,342","$407,923","$282,007","$59,128","$663,950","$3,727,089",,"$2,969,527","$645,683","$346,022","$471,362","$934,104","$365,515","$330,482","$189,696","$288,058","$191,882","$90,850","$130,263","$48,597","$56,786","$79,979",,"$2,372",,"$39,732","$3,836,436",,,,"$811,425","$176,458","$759,036","$312,352","$248,631","$158,946","$15,837","$181,761","$19,664",,,,"$35,574",,,,,,,,"$23,241",,"$124,805","$134,678","$426,079","$290,909","$1,599,837","$1,869,901",,"$197,564",,"$266,986","$92,344","$172,237",,"$252,744",,"$539,924",,,,,,,,,,,,,,
Bride Wars (2009),"$2,665,329","$342,172","$3,483,297","$323,650","$3,447,831","$398,728","$1,512,958","$508,642","$277,023","$912,503","$1,010,104","$153,404","$193,660","$379,922","$10,598,856",,"$2,191,237","$1,742,791","$212,200","$339,451","$240,424","$515,505","$515,594","$184,190","$785,479","$542,622","$73,305","$96,505","$149,530","$43,461","$92,112","$50,416","$13,858","$49,279","$54,169","$3,633,158","$1,186,291","$365,182",,"$1,646,667","$390,434","$1,028,611","$349,857","$220,226","$146,672","$59,343","$156,658","$60,262",,"$176,347","$70,995","$134,437","$90,005","$12,788","$7,647","$10,262",,"$449,072","$49,474","$96,219",,"$787,122","$449,187","$222,026",,"$7,880,947","$488,185","$443,244",,,"$57,202","$14,293","$183,643",,,,"$638,452","$379,982","$131,626",,"$72,480","$271,800",,"$101,560",,,,,,"$97,777",
My Bloody Valentine (2009),"$1,838,594","$284,301","$3,135,001","$875,120","$4,593,087","$94,482","$1,175,804","$255,700","$142,938","$1,059,834","$617,724","$124,231","$573,262","$414,926","$10,150,007",,"$1,243,679","$8,725,914","$140,664","$822,494","$194,087",,"$529,643","$124,493","$47,860","$236,606","$166,802","$191,210","$138,047","$160,017","$216,948","$2,254",,,"$95,533","$2,093,298","$650,526","$120,335","$465,833","$1,229,646","$574,286","$293,961","$485,701","$334,759","$103,629","$100,897","$432,238","$106,046",,,,,,,,,,"$53,412",,,,"$382,635","$194,914",,,"$1,293,069","$962,057",,,,"$538,771",,"$87,559",,,,"$313,932",,,,,,,,,,,,,,
Timecrimes (2007),"$124,152",,,,"$389,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grbavica (2006),"$56,105",,"$300,022","$14,071","$250,275",,,"$37,580",,,,,"$1,588","$1,682","$7,397","$43,460",,"$31,233",,,,,,,,,$932,,,,,,,,,,"$10,378",,,$377,"$23,859",,,,,"$4,044",,,,,,,,,,,,,,,,,,,,,"$23,392",,,,"$14,152",,,,,,,,,,,,,,,,,,,,
Underworld: Rise of the Lycans (2009),"$3,847,460","$471,453","$2,465,572","$386,898","$3,548,025","$1,836,866",,,"$26,025","$524,711","$94,540","$86,788","$90,114","$196,276","$3,687,631",,"$2,969,896","$1,592,463","$1,226,172","$746,464","$281,000","$295,186",,,"$262,809",,"$164,969","$83,584","$69,443","$28,977","$62,676","$25,568","$59,764","$30,266","$27,912","$3,166,564","$350,200","$1,671,604","$1,816,412","$1,410,880","$375,781","$1,033,059","$286,161","$358,079","$316,294","$21,169","$171,717","$40,237",,"$249,999","$87,605","$84,621","$59,401","$28,017","$6,857","$9,939","$17,075","$310,431","$79,053","$106,241","$15,857","$721,425","$393,629","$20,322",,"$3,421,006","$218,346",,,,"$278,926","$81,807","$65,147",,,"$325,807","$396,653","$672,678",,"$1,064,719",,"$1,391,779",,"$41,641",,,,,,,
Inkheart (2008),"$2,379,443","$265,041","$10,112,691","$946,333","$3,085,514","$1,080,825","$97,770","$44,859","$18,933","$514,167","$105,975","$31,106","$59,387","$53,772","$5,781,992",,"$1,484,027","$3,289,477","$126,414",,"$185,162",,"$43,713","$75,473","$167,905","$318,918","$48,810","$46,720","$6,321",,,,"$9,489","$9,542","$33,700","$1,681,477","$1,815,500","$368,500","$766,623","$1,239,242","$365,145","$953,627","$327,675","$327,602","$369,600","$12,459","$266,773","$23,816",,,,,,,,"$4,727",,"$347,625",,,,"$967,282",,"$94,950",,"$1,222,364","$2,665,476","$232,949",,,,,"$20,573",,,,"$683,374",,,,,,,,,"$318,918",,,,,
Paul Blart: Mall Cop (2009),"$2,252,572","$483,020","$12,900,472",,"$105,532","$485,757",,,,"$2,350,624","$73,064","$43,907","$67,307",,"$7,732,094",,,"$25,473",,,,,"$133,211",,"$170,747","$936,327","$71,279",,"$53,793","$16,513","$40,733",,"$43,215",,"$92,203","$274,502",,,,,,"$1,305,828","$383,632","$146,436","$69,509","$81,975","$158,482","$46,703",,"$286,914","$130,888","$77,578","$79,907","$18,979","$2,467","$2,163","$22,864","$300,180","$37,000","$37,000","$69,244","$569,938","$300,010",,,"$3,733,141",,,,,,,,,,,,,,,"$37,854",,,"$32,342",,"$728,872",,,,,
