imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
5034474,,The Assignment (2016),,,,,,,,,,,,,,,,,,,,,,,,,,"$31,833",,,,,,,,"$166,516",,,,,,,,,,,,,,,,,,,,,,,"$44,012",,,,,,,,,"$15,334",,,,,,,,,"$131,094",,,,
1564777,,Fallen (2016),,,,,,,,"$815,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$128,992",,,,,,,,
2872518,,The Shack (2017),"$74,364",,"$437,321","$554,505",,,"$17,817","$23,607,140","$33,772","$30,980",,"$856,348",,"$198,058",,,,,"$33,247","$131,320",,,,,"$2,542,630","$30,764",,"$514,238",,"$7,147",,,"$68,421",,,"$196,984",,,,"$8,756",,,"$2,960,730",,,"$203,255",,,"$190,438",,,"$126,386","$24,800","$50,948","$130,137","$1,388,316","$151,663",,,,"$26,436","$90,639","$441,711","$39,919","$389,848","$518,989","$216,615",,"$927,413","$198,571","$106,444",,"$25,710",,,"$459,483","$27,887","$267,878","$12,035"
6095090,,The Bride (2017),"$237,715",,,,,,"$89,861","$1,330,331",,,,"$247,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,870,872",,,,,,,,,,"$21,854",,,,,,,"$3,066,828",,,,,,,,,,,,,,,,,"$37,527",,
5442430,,Life (2017),"$387,266",,"$3,144,651","$340,219",,"$491,296","$33,241","$1,718,404","$69,417","$136,825","$19,881,127","$316,907",,"$88,027",,"$252,511","$432,358",,"$27,535","$168,898","$47,805","$98,549","$342,079","$3,840,741","$2,771,044","$218,416",,"$1,218,712","$320,603","$79,983","$692,525","$991,758","$211,868","$1,662,772",,"$1,448,197",,,"$70,736","$80,431","$112,167","$719,947","$2,520,773",,"$872,988","$359,668",,,"$362,516",,"$24,367",,"$17,813","$402,055","$282,051","$550,829","$258,503",,"$276,831","$5,582,464","$22,932","$662,247","$103,842","$19,016","$151,878","$3,226,364","$2,849,451","$796,279","$397,849","$903,027","$916,829","$42,914","$669,614","$343,012","$1,061,741","$2,568,840","$33,384","$143,252","$178,636"
5460276,,Kaabil (2017),,,,,,,,,,,"$5,097,469",,,,,,,,,,,,,,,,,,,,"$16,402,229",,,,,,,,,,,,,,,"$101,890",,,,,,,,,,,,,,,,,,,,,"$12,897",,,,,,,,,"$278,759",,,
1212428,,The Lost City of Z (2016),,,"$66,143","$46,677","$39,652","$135,392",,"$184,486","$6,803","$40,259","$981,968","$31,961",,"$84,770",,"$106,003","$8,794",,,"$44,100","$29,035","$31,275",,"$2,591,367","$228,026","$54,144",,,,,"$10,332",,"$111,556","$734,437",,,"$15,699","$172,204","$18,000","$32,883","$42,635",,"$61,592",,"$166,191",,,,,"$5,095",,,"$15,868","$23,345","$98,462",,"$115,061",,,"$640,821","$21,753","$67,214","$34,929",,"$45,191","$317,140","$1,775,649",,"$210,875","$36,297",,,"$44,920","$45,885","$225,185","$873,033",,,"$8,426"
4573516,,Sleight (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,002",,,"$1,458",,,,,,,,,,,
5078204,,Two Is a Family (2016),"$52,471",,"$488,509",,,,"$7,621","$382,761",,,,"$174,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$239,074",,,$35,,,,,,,,,,,,,,"$1,741,939",,,,,,"$56,706",,,,,"$2,937",,,,,,"$31,943",,
3717490,,Power Rangers (2017),"$463,299",,"$2,900,769","$251,635",,"$524,863","$160,283","$5,100,188","$38,655","$342,383","$4,246,955","$651,097",,"$53,143","$39,768","$189,457","$144,463",,"$127,580","$670,418","$46,875","$23,584","$45,147","$3,766,394","$1,830,779","$160,930",,"$617,635","$75,885","$56,514","$120,358","$1,251,179","$190,641","$856,648",,"$1,912,288",,,"$13,419","$114,536","$10,937","$2,764,913","$5,801,428",,"$335,425","$377,923",,,"$140,955",,"$32,898","$124,953","$11,235","$891,265","$2,112,895","$468,433","$155,455",,"$175,796","$1,406,645","$19,310","$1,301,436","$79,290","$13,549","$594,658","$505,141","$826,546","$139,741","$206,256","$743,630","$618,957",,"$160,507","$117,714","$1,058,903","$6,058,693","$38,184","$949,013","$411,762"
2316204,,Alien: Covenant (2017),"$1,176,839",,"$7,003,238","$761,430","$83,625","$1,021,023","$146,431","$3,048,444","$211,174","$846,593","$45,400,330","$955,362",,"$152,854",,"$715,360","$885,590","$74,262,031","$75,989","$349,167","$85,368","$178,145","$746,829","$10,000,130","$6,035,747","$346,494",,"$3,563,613","$843,733","$119,642","$870,234","$2,060,448","$230,373","$2,834,020","$22,494","$7,503,250","$46,731","$284,755","$106,244","$73,039","$115,618","$1,834,747","$5,648,202","$33,234","$1,255,992","$875,807",,,"$76,403","$76,403","$42,914",,"$29,981","$1,221,516","$883,384","$1,766,529","$641,339","$203,110","$439,559","$7,549,945","$91,248","$1,571,116","$324,792","$62,714","$224,909","$9,474,927","$4,232,757","$1,904,491","$1,117,158","$2,697,297","$1,634,751","$121,563","$738,164","$620,860","$899,304","$16,643,305","$70,209",,"$602,918"
6197094,,Beata ignoranza (2017),"$14,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4158096,,Free Fire (2016),,,"$14,048",,,,,,,,,,,,,,,,,,,,,"$37,191",,,,,,,,,,,,,,,,,"$10,615",,,,"$8,052",,,,"$20,357",,,,,,,,,,,"$394,738",,,,$547,"$3,737",,,,,,,,,"$38,227","$105,845","$1,286,714",,,
1538221,,Angel & Tony (2010),"$26,458",,"$309,902","$12,518",,"$41,089",,,,,,,,,,,,,,,,,,"$984,369","$242,679",,,,,,,,,"$261,097",,,,,,,,,"$10,663",,,,,,,,,,,,,"$6,633","$6,086",,,,,,,,,,"$60,649",,,,,,,,,"$2,821",,"$1,974",
1236434,,Deseo (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$170,339",,,,,,,,,,,,,,,,,,,,,,,,"$411,811",,,,,,,,,,,,
6247936,,Django (2017),,,,,,,,,,,,"$28,999",,,,,,,,,,,,"$3,592,972",,,,,,,,,,,,,,,,,,,,,"$183,170",,,,,,,,,,,,"$7,872",,,,,,,,,,,,,,,,,,"$7,305",,,,
3203620,,The Dinner (2017),,,"$163,312",,,,,,,,,,,,,,,,,,,,,,,"$50,194",,,,,,,,"$636,883",,,,,,,,,,,,"$27,215",,,,,,,,,,,,,,"$35,796",,,,,,,"$145,617",,,,,,,,"$48,496","$114,096",,,
0093615,,Ngati (1987),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0157262,,2001: A Space Travesty (2000),,,,"$101,833",,,,,,,,,,,,"$24,706",,,,,,,,"$64,776","$79,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4197642,,A Date for Mad Mary (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$94,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5133392,,Zoology (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,352",,,,,,,,,,,,,,,,,,,
0386504,,Haven (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,354",,,,,,,,,,,"$1,995",,,,,"$38,480",,,,
4629266,,Born in China (2016),,,,,,,,,,,"$9,880,653","$14,709",,,,,,,,,,,,"$1,082,729","$25,873",,,,,,,,,,,,,,,,,"$2,734","$37,418",,"$8,918",,,,,,,,,,,,,,,,,"$5,903",,,,,,,,,,,,,,,,,
4073166,,One Breath (2015),,,,,,,,,,,,,,,,,,,,,,,,,"$26,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,114",,,,,,"$1,926",,,,,,
2936884,,Lost in Paris (2016),"$56,889",,"$157,178",,,,,"$108,701",,,,,,,,,,,,,,,,"$259,856",,,,,"$11,100",,,,,"$413,654",,,,,,,,,,,,"$130,985",,,,,,,,,,,,,"$8,245","$42,352",,,,,,"$184,101",,,,,,,,,,"$9,432","$13,135",,
0313300,,The Blue Butterfly (2004),,,,,,,,,,,,,,,,,,"$1,755,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,264",,,,,,,,,
1140871,,The Russian Game (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$240,878",,,,,,,,,,,,,,,,,,,
0896815,,Missing (2008),,,,,,,,,,,"$3,330,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5023260,,The Last Word (2017),,,,,,,,,,,,,,,,,,,,,,,,,"$482,921",,,,,,,,,"$337,903",,,,,,,,,,,,,,,,,,,,,,,"$18,352",,,,,,,,"$43,599","$284,457",,,,,,,,,,"$31,351",,,
0493405,,CHIPS (2017),"$143,000",,"$735,000",,,,,,"$63,956",,,"$109,000",,,,,,,,,,,"$88,728",,"$128,000",,,,"$170,623","$52,285",,,,"$125,000",,,,,,,"$35,101",,"$599,000",,"$487,000","$85,279",,,"$164,682",,,,,,,,"$138,917",,"$414,088",,,,"$30,926",,"$170,067",,,,"$211,000",,,,,"$122,297","$702,174","$593,000","$14,803",,
1412528,,Table 19 (2017),,,"$650,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,532",,,,,,,,,,,,"$62,882",,,,,,,,,,,,,,,,,,,"$73,624",,"$32,613",,,,,,,,,"$161,576",,,
2568862,,Going in Style (2017),"$557,000",,"$3,452,728",,,,"$62,790","$743,000","$107,016",,,"$409,966",,,,"$153,698",,,,,,,"$319,376","$2,900,000","$4,200,000","$328,264",,"$219,000","$515,848","$59,351",,,,"$589,000",,"$611,000",,,,,"$51,708",,"$2,800,000",,"$1,900,000","$737,031",,,"$94,910",,,,"$29,793",,,"$816,552","$659,287",,"$741,961","$1,500,000",,,"$148,688","$77,994","$340,729",,"$1,500,000",,"$1,300,000",,,,"$112,000","$460,881","$1,008,197","$3,900,000","$177,546",,
5657028,,Alibi.com (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$228,022",,,,,,"$78,858",,,,,,,,,,,,,
4662420,,All Nighter (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,174",,,,,,,,,,,,,,,,,,,
6095616,,Mr & Mme Adelman (2017),"$59,512",,,,,,,"$162,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$263,753",,,,,,"$15,138",,,,,,,,,,,"$13,546",,
5235880,,A Flying Jatt (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,289,698",,,,,,,,,,,,,,,"$36,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4250566,,Fog in August (2016),,,,,,,,,,,,"$66,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3182620,,Bitter Harvest (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,086",,,,,,,"$322,795",,"$9,277",,,
5460530,,Vengeance: A Love Story (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,744",,,,
0814005,,The Amazing Truth About Queen Raquela (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4652532,,Enter the Warriors Gate (2016),,,,,,,"$19,932",,,,"$3,279,810","$84,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,982",,,,,,,,
5121816,,The Bar (2017),"$266,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$77,790",,,,,,"$18,336",,,,,,,,,,,"$25,349",,
1896788,,My Little Princess (2011),,,,,,"$2,132",,,,,,,,,,,,,,,,,,,"$84,941",,,,,,,,,,,,,,,"$2,755",,,,,,,,,,,,,,,,,"$7,449",,,"$31,260",,,,,,"$8,018",,,,,,,,,,,,,
0357111,,RRRrrrr!!! (2004),,,,,,,,,,,,,,,,"$35,456",,,,,,,,"$11,835,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$653,751","$25,158",,,"$688,581",,,,,,,,,,"$22,364",,,,,,,,,
0339707,,Song for a Raggy Boy (2003),,,,,,$445,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$751,647",,,
0415678,,Boy s tenyu (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,200,000",,,,,,,,,,,,,,,,,,,
2398241,,Smurfs: The Lost Village (2017),"$2,177,079",,"$5,047,495","$1,537,644",,"$2,589,352","$253,865","$6,672,422","$740,463","$853,948","$25,558,593","$1,432,649",,"$452,291",,"$2,064,824","$1,115,192",,"$149,094","$796,234","$100,554","$237,448","$1,087,763","$11,583,307","$9,814,621","$1,220,807",,"$738,572","$504,891","$170,660","$1,041,599","$1,318,060","$2,797,762","$3,081,000",,,,,"$248,186","$405,912","$341,217","$1,143,908","$5,448,819",,"$3,723,301","$841,200",,,"$933,468",,"$22,222",,"$48,573","$2,813,646","$855,235","$5,878,934","$1,112,079",,"$828,480","$4,133,030","$255,327","$717,077","$738,523","$378,004","$1,250,229","$2,781,307","$7,699,869","$1,440,461","$1,521,537","$179,112","$576,064","$189,933","$2,882,836","$575,935","$2,709,874","$7,428,880","$294,544","$947,825","$1,090,419"
4977530,,Viceroy's House (2017),,,"$2,635,197",,,,,,,,,,,,,,,,,,,,,"$1,122,370",,"$21,978",,,,,,,,"$369,836",,,,,,,,,,,"$223,946","$584,289",,,,,,,,,,,"$144,928",,,,,,,,"$110,553",,"$215,354",,,,,,,,"$53,022","$5,281,031",,,
