Movie Name,Germany,United Kingdom,Austria,France,Netherlands,Switzerland,Denmark,Spain,Italy,Belgium,Norway,Hungary,United Arab Emirates,Poland,Israel,Sweden,South Africa,Finland,Ukraine,Romania,Slovakia,Czech Republic,Croatia,Estonia,Portugal,Iceland,Bulgaria,Lebanon,Türkiye,Slovenia,Lithuania,Latvia,Egypt,Serbia and Montenegro,Greece,Mexico,Brazil,Peru,Ecuador,Argentina,Chile,Colombia,Panama,Bolivia,Uruguay,Paraguay,Australia,New Zealand,Russia/CIS,Hong Kong,India,Singapore,Malaysia,Taiwan,Vietnam,Indonesia,Thailand,Philippines,Domestic,South Korea,Japan,China,Venezuela,Cambodia,Pakistan,Switzerland (German),Switzerland (French),Nigeria,Dominican Republic,Ghana,Jordan,Qatar,Oman
A Quiet Passion (2016),,"$419,974",,"$379,517",,,,"$336,723","$353,130",,,,,,,,,,,,,,,,,,"$5,986",,,"$5,782",,,,,,,,,,"$118,572",,,,,"$8,617",,"$646,439",,,,,,,,,,,,,"$19,110",,,,,,,,,,,,,
Chosen (2016),,$253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race 2 (2013),,"$1,412,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,878",,,"$17,367,468",,"$51,095",,,,,,,,,,,,,,,,,,,,
Irreplaceable (2016),,"$2,280",,"$11,272,162","$287,392",,,"$1,187,841","$827,942","$267,378",,,,,,,,,,,,,,,"$46,115",,,,,,,,,,"$75,833",,,,,"$147,252",,"$53,980",,,,,"$514,878","$154,189",,,,,,,,,,,,,,,,,,,"$285,176",,,,,,
The Fits (2015),,"$2,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$705,,,,,,,,,,,,,,,,,,,,,,,,,
Hattrick (2007),,"$60,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,345",,,,"$1,820,333",,,,,,,,,,,,,,,,,,,,,,
Dhamaal (2007),,"$464,752",,,,,,,,,,,,,,,"$8,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,816",,,,"$10,393,150",,"$11,488",,,,,,,,,,,,,,,,,,,,
Himmatwala (2013),,"$314,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,780","$45,781",,,"$7,948,229",,,,,,,,,,,,,,,,,,,,,,
Tees Maar Khan (2010),,"$975,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$267,680","$94,165",,,"$11,227,520",,"$40,957",,,,,,,,,,,,,,,,,,,,
Rascals (2011),,"$351,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,857",,,,,"$13,992",,,,,,,,,,,,,,,,,,,,
God Tussi Great Ho (2008),,"$205,914",,,,,,,,"$2,582",,,,,,,"$16,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,255",,,,"$4,381,576",,,,,,,,,,,,,,,,,,,,,,
Khiladi 786 (2012),,"$308,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,829","$51,629",,,,,"$24,488",,,,,,,,,,,,,,,,,,,,
Housefull (2010),,"$808,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$233,701","$54,744",,,,,"$38,316",,,,,,,,,,,,,,,"$12,686",,"$8,965",,,
Murder 2 (2011),,"$162,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,849,848",,"$6,742",,,,,,,,,,,,,,,,,,,,
The Ardennes (2015),,"$1,320",,,,,,,,"$1,355,004",,,,"$1,366",,,,,,"$2,218",,,,,,"$1,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunnel (2016),,"$11,601",,"$487,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,477","$25,809",,,,,,,,,,,,"$51,299,527",,,,,,,,,,,,,
Certain Women (2016),,"$62,650","$5,110","$371,044",,,,,,,,,,,,,,,,,,,,,,$309,,,,,,,,,,,,,,,,,,,,,"$4,563",,,,,,,,,,,,,,,,,,,,,,,,,,
Aquarius (2016),,"$30,610",,"$1,012,483",,,,"$100,539","$78,992",,,,,,,,,,,,,,,,"$68,831",,,,"$5,086",,,,,,"$15,442",,"$1,271,543",,,"$142,149",,"$8,767",,,"$24,133",,,"$41,472",,,,,,,,,,,,,,,,,,,,,,,,,
Equity (2016),,"$31,711",,,,,,,,,,,,,,$544,"$19,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,810",,,,,,,,,,,,,,,,,,,,,,,,,,
Ingrid Bergman: In Her Own Words (2015),,"$5,118",,,,,,,,,,,,,,,,"$64,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,482",,,,,,,,,,,,,
David Lynch: The Art Life (2016),,"$30,160",,,,,,"$21,927",,,,,,,,,,,,,,,,,"$11,084",,,,"$5,219",,,,,,,,,,,"$15,289",,,,,,,,"$2,714","$53,658",,,,,,,,,,,,,,,,,,,,,,,,
Hacksaw Ridge (2016),,"$6,137,782",,"$3,814,001","$1,380,213",,"$634,115","$2,386,289","$3,792,996","$533,118","$412,725","$390,159","$1,541,002","$1,533,061","$579,137","$800,172","$420,091","$432,223",,"$398,779","$136,176","$302,129","$284,988","$77,400","$959,435","$67,647","$22,551",,"$130,307","$58,123","$255,858","$35,100",,,"$258,487","$1,992,607","$1,180,620",,,"$866,535","$135,254","$254,976",,"$93,176","$87,723","$31,382","$6,490,019","$623,504","$1,298,342","$2,118,421","$33,629","$91,966",,"$3,638,467",,"$772,733","$119,733",,,"$1,143,806","$2,482,122","$62,124,942",,,,,,,,,,,
The King of Pigs (2011),,$727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$123,341",,,,,,,,,,,,,
Christine (2016),,"$14,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire at Sea (2016),,"$18,705",,"$108,902","$52,938",,,"$24,168","$772,498",,,,,,,,,,,,,,,,"$6,306",,,,"$2,636",,,,,,"$14,580",,"$8,752",,,"$11,506",,"$21,485",,,,,,,"$14,968",,,,,,,,,,,,,,,,,,,,,,,,
"I, Olga Hepnarova (2016)",,"$1,260",,,,,,,,,,,,,,,,,,,"$10,838","$214,547",,,,,,,,,,,,,$821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After the Storm (2016),,"$28,300",,"$815,129","$68,743",,,"$139,214","$171,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,261",,"$31,568",,,,,,"$24,944",,,,,,,,,,,,"$672,818","$3,120,206",,,,,,,,,,,,
The Sicilian Girl (2008),,,,"$190,888",,,,,"$199,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,846",,,,,,,,,,,"$71,239",,,,,,,,,,,,,,
Bosch: The Garden of Dreams (2016),,,,"$209,117",,,,"$198,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,396",,,,,"$11,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenian Girl (2009),,,,"$17,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,261",,,,,,,$463,,,,,,,,,,"$7,489",,,,,,,,,,,,,,,,,,,
Masterminds (2015),,,,"$511,335",,,,"$457,063","$2,643,130",,"$74,806","$440,563","$732,714","$110,342",,,"$181,075","$55,062",,"$434,959","$146,666","$41,588",,,"$271,053","$47,135","$114,528",,"$47,277","$38,531","$38,756",,,,,"$675,777","$2,388,920",,,"$357,766",,"$291,716",,"$108,746","$55,129","$20,943","$827,013",,"$1,165,422",,,,,,,,"$28,662",,,,,,,,,,,,,,,,
It's Hard Being Loved by Jerks (2008),,,,"$301,633",,,,,,"$3,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$697,,,,,,,,,,,,,,
High Strung (2016),,,,"$971,166",,,,,"$894,427",,,,"$22,286",,,,"$56,369",,,,,,,,"$22,586",,,,,,"$43,632",,,,,,,,,,,,,,,,,,,,,"$14,857",,,,,"$5,681",,"$53,447","$9,274",,,,,,,,,,,,,
Marock (2005),,,,"$405,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agathe Cléry (2008),,,,"$9,690,769",,,,,,"$305,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,012",,,,,,,,,,,,,,,,,,,,,
The Sea of Trees (2015),,,,"$128,822","$39,317",,,,"$643,421",,,,,,,,,,,,,,,,"$3,833",,,,"$18,981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,444","$52,177",,,,,,,,,,,,,
The Search (2014),,,,"$341,127",,,,,"$59,954",,,,,,,,,,,,,,,,,,,,,,"$2,633",,,,,,,,,,,,,,,,,,,"$23,726",,,,,,,,,,"$7,517",,,,,,,,,,,,,
Planetarium (2016),,,,"$470,145",,,,,,,,,,,,,,"$4,795",,,,,,,"$4,826",,,,"$11,127",,,,,,,,,,,,,$507,,,,,,,"$51,922",,,,,,,,,,,,,,,,,,,,,,,,
"Hieronymus Bosch, Touched by the Devil (2015)",,,,,"$29,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kiki, Love to Love (2016)",,,,,"$16,588",,,"$6,840,205","$336,351",,,,,,,,,,,"$7,342","$27,090",,,,"$26,717",,,,,,"$4,755",,,,"$4,740",,,,,"$21,816",,"$21,137",,"$7,166","$13,767",,"$180,670",,"$30,488",,,,,,,,,,,,,,,,,,,,,,,,
Klown Forever (2015),,,,,,,"$6,995,833",,,,"$429,010",,,,,,,,,,,,,,,"$155,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Wish I Knew (2010),,,,,,,,"$12,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,153",,,,,,,,,,,,,,,,,,,,,,,
Las 13 rosas (2007),,,,,,,,"$6,881,072","$29,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horses of God (2012),,,,,,,,"$25,735",,"$55,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,817",,,,,,,,,,,,,,
Shin Godzilla (2016),,,,,,,,"$8,031",,,,,"$100,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$84,090","$15,880",,,,,,,,,"$322,061",,"$1,918,403","$36,915","$75,403,349",,,,,,,,,,,,
Birdboy: The Forgotten Children (2015),,,,,,,,"$16,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wondrous Boccaccio (2015),,,,,,,,"$50,074","$579,198",,,,,,,,,,,,,,,,"$4,206",,,,,,,,,,,,,,,,,,,,,,,,"$28,115",,,,,,,,,,,,,,,,,,,,,,,,
Sworn Virgin (2015),,,,,,,,,"$101,629","$1,582",,,,,,,,,,,,,,,$667,,,,,,,,,$167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Fish & Begonia (2016),,,,,,,,,"$20,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$127,803",,,,,,,,,,,"$385,745",,"$85,023,628",,,,,,,,,,,
Solo (2016),,,,,,,,,"$1,760,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,428",,,,,,,,,,,,,,,,,,,,,,,,
News from Planet Mars (2016),,,,,,,,,,"$23,173",,,,,,,,,,,,,,,,,$229,,,,,,,,,,,,,"$13,967",,,,,,,,,"$40,453",,,,,,,,,,$310,,,,,,,,,,,,,,
Hands of Stone (2016),,,,,,,,,,,"$12,092",,"$105,801",,,,"$1,936",,,"$44,658",,,,,"$8,364",,"$22,178",,"$5,122",,,,,,,"$20,257",,,,"$23,525",,"$5,074",,"$8,017",,,,,,,,,,,,,,,,"$8,537",,,,,,,,,,,,,
Porto (2016),,,,,,,,,,,,"$13,090",,,,,,,,,,,,,"$22,473",,,,,,,,,,,,,,,,,,,,,,,,"$16,213",,,,,,,,,,"$15,126","$40,160",,,,,,,,,,,,,
Robo-Dog (2015),,,,,,,,,,,,,"$50,028",,,,"$65,626",,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle School: The Worst Years of My Life (2016),,,,,,,,,,,,,"$101,416",,"$88,265",,"$80,760",,,,,,"$27,692",,"$25,102","$29,556","$12,187","$44,663","$28,550",,,,"$8,462",,"$43,261","$18,802",,,,,,,,,,,"$2,372,000","$129,199",,"$13,266",,"$59,299",,,"$66,177","$35,465","$10,480",,,,,,,,,,,,,,,,
Battle for Incheon: Operation Chromite (2016),,,,,,,,,,,,,"$261,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,465,302",,,,,,,,,,,,,
Bachelors (2015),,,,,,,,,,,,,"$15,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,081",,,,,,,,,,,,,,,,,,,,,,,,
Bad Cat (2016),,,,,,,,,,,,,"$49,206",,,,,,,,,,,,"$6,973",,,,"$1,592,506",,,,,,,,,,,"$7,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Karamazov Brothers (2008),,,,,,,,,,,,,,,,,,,,,,"$297,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Other Side (2015),,,,,,,,,,,,,,,,,,,,,,,,,,$94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsglaive: Final Fantasy XV (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$142,841",,,,,,,,,,,,,,,,,,"$175,047","$45,699",,,,,,,,,,,,"$14,570","$907,524","$4,169,821",,,,,,,,,,,
A Monster with a Thousand Heads (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,047",,,,,,,,,,,,,,,,$966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misunderstood (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,160","$18,516",,,,,"$1,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna M. (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viral (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$119,452",,,,,,,,,,,,,"$24,910",,,,,,,,,,,,,,,,,,,,,,,,
Summer Camp (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,409,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 9th Life of Louis Drax (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$93,976",,,,,,,,"$7,530",,,,,"$254,237",,,,,,,,,,,"$14,713",,,,,,,,,,,,,
Skiptrace (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,323","$106,709",,,,,"$191,649",,"$160,714",,,,,"$584,313",,,,,,,,"$403,156",,,"$124,796","$557,962","$129,014,985",,,,,,,,,,,
Compadres (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,225,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Whole Truth (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$763,488","$90,038",,,,,"$101,502",,"$6,586","$34,780","$7,410",,,,,,,,,,,,,,,,,,,,,,,,,,,
El Jeremías (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,889,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastorela (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,017,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahid (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,192",,,,,"$21,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olmo & the Seagull (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.T. (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$493,330",,,,,"$92,251",,"$20,180",,,,,"$123,154",,,,,,,,,,,,,"$868,323",,,,,,,,,,,
Intruder (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$69,090",,,,"$5,185","$2,624","$5,431",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Confessions (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,335",,"$32,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sieranevada (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Devil's Dolls (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$115,701",,"$23,985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil's Bride (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Need to Talk (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumbos (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One More Time with Feeling (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$291,326","$32,282","$18,778",,,,,,,,,,,,,,,,,,,,,,,,
Gentleman (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,008",,,,,,,,,,,,,,,,,,,,,,,,,,
Matru Ki Bijlee Ka Mandola (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$66,624","$33,924",,,,,"$11,871",,,,,,,,,,,,,,,,,,,,
David Brent: Life on the Road (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$515,174","$163,134",,,,,,,,,,,,,,,,,,,,,,,,,
Madaari (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,294",,,"$2,701,450",,,,,,,,,,,,,,,,,,,,,,
The Spirit of '45 (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,838",,,,,,,,,,,,,,,,,,,,,,,,,
Phantom Detective (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,837",,,,,,,,,,,,"$9,682,304",,,,,,,,,,,,,
Spirits' Homecoming (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,508",,,,,,,,,,,,"$23,724,093",,,,,,,,,,,,,
Belle & Sebastian: The Adventure Continues (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,335",,,,,,,,,,,,,,,,,,,,,,,,
Snowtime! (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$361,350",,,,,,,,,,,"$174,927",,"$6,272,750",,,,,,,,,,,
Sibir. Monamur (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,700",,,,,,,,,,,,,,,,,,,,,,,,
Lift (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$123,182",,,,,,,,,,,,,,,,,,,,,,,,
The Childhood of a Leader (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,741",,,,,,,,,,,,,,,,,,,,,,,,
The Model (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,825",,,,,,,,,,,,,,,,,,,,,,,,
Imperium (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,259",,,,,,,,,,,,,,,,,,,,,,,,
I'm Staying (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$783,600",,,,,,,,,,,,,,,,,,,,,,,,
Ripoux 3 (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$127,345",,,,,,,,,,,,,,,,,,,,,,,,
The Happiest Day in the Life of Olli Maki (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,038",,,,,,,,,,,"$8,836",,,,,,,,,,,,,
It Doesn't Hurt Me (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$909,595",,,,,,,,,,,,,,,,,,,,,,,,
USS Indianapolis: Men of Courage (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$342,778",,,,,,,,,,,,,,,,,,,,,,,,
31 (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,599",,,,,,,,,,,,,,,,,,,,,,,,
The Neighbor (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$117,029",,,,,,,,,,,,,,,,,,,,,,,,
Penny Pincher! (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$404,890",,,,,,,,,,,"$42,935",,,,,,,,,,,,,
The Touch (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,393,265",,,,"$237,975",,,,,,,,,,,,,,,,,,,
The Little House (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$142,377",,,,,,,,,,,"$10,245,638",,,,,,,,,,,,
The Rooftop (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$176,153",,"$271,724","$309,520",,,,,,,,,"$18,990,000",,,,,,,,,,,
My Girl (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$59,896",,,,$571,,,"$3,370,000",,,,,,,,,,,,,,,,
In the Room (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,572",,,,,"$2,825",,,,,,,,,,,,,,,,
Murder 3 (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,060",,,,,,,,,,,,,,,,,,,,
Marathon (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,296",,,,,"$1,703",,,,,,,,,,,,,,
Tell Me How I Die (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,079",,,,,,,,,,,,,,,,
Miss Stevens (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,611","$133,924",,,,,,,,,,,,,
Remember You (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,830,310",,,,,,,,,,,,,
Like for Likes (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,664,716",,,,,,,,,,,,,
Time Renegades (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,252,936",,,,,,,,,,,,,
Phantom of the Theatre (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,482,888",,,,,,,,,,,
Just Call Me Nobody (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,668,639",,,,,,,,,,,
