Movie Name,Domestic,United Kingdom,Italy,Germany,Poland,Spain,Netherlands,France,Finland,Norway,Portugal,South Africa,Czech Republic,Hungary,Türkiye,Romania,Slovakia,Lithuania,Bulgaria,Slovenia,United Arab Emirates,Iceland,Australia,Japan,South Korea,New Zealand,Russia/CIS,Argentina,Brazil,Colombia,Bolivia,Greece,Belgium,Uruguay,Sweden,Lebanon,Austria,Denmark,Croatia,Serbia and Montenegro,Switzerland (French),Ukraine,Oman,Mexico,Peru,Ecuador,Venezuela,Thailand,Taiwan,Switzerland (German),Egypt,Chile,Malaysia,Philippines,Singapore,Hong Kong,Vietnam,China,Israel,Switzerland,Paraguay,India,Bahrain,Panama,Estonia,Latvia,Costa Rica,Honduras,Indonesia,Kuwait,Qatar,Nigeria,Jordan,Kenya,Ghana,Trinidad & Tobago,Dominican Republic,Jamaica,Pakistan,Mongolia,Cambodia
I Saw the Light (2015),,"$114,736",,,,,,,,,,"$2,936",,,,,,,,,,,,,,,,,,,,,,,,,,"$3,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keanu (2016),,"$18,118",,,,,,,,,,"$6,952",,,,,,,,,,"$34,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lure (2015),,"$1,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love & Friendship (2016),,"$2,301,875","$270,954",,"$26,175","$286,109","$403,809","$1,017,247","$80,793","$293,632","$64,607",,,,,,,"$4,858",,"$14,449","$20,398",,"$1,637,671",,"$26,464","$396,360","$197,063","$55,940","$124,563","$57,827",,"$92,806",,"$2,536",,,,,,,,"$9,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mapplethorpe: Look at the Pictures (2016),,"$33,196",,,,,,,,,"$1,630",,,,,,,,,,,,,,"$27,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everybody Wants Some!! (2016),,"$470,261","$506,414",,,"$94,830",,,,"$9,028","$11,973","$10,702",,,,,,,,,,,"$35,387",,"$49,619",,"$55,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sing Street (2016),,"$1,836,700","$418,739","$430,772",,"$241,741","$24,338","$604,736",,,"$6,160","$28,091",,,,,,,,,,,"$225,101","$1,490,254","$3,585,341","$307,643",,,,,,,"$23,196",,,,,,,,,,,,,,,"$180,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Huntsman: Winter's War (2016),,"$7,665,716","$4,088,762","$4,780,433","$965,539","$3,642,051","$1,896,771","$6,642,959","$336,986","$411,371","$632,596","$783,809","$258,126","$357,147","$1,229,699","$477,291","$121,081","$41,403","$326,158","$43,965","$1,613,410","$32,191","$5,140,914","$4,345,439","$3,095,433","$655,300","$3,741,002","$1,006,922","$6,778,158","$1,275,327",,"$359,886","$1,191,748","$33,469","$865,526",,"$680,962","$394,382","$91,926","$75,000","$224,896","$628,937",,"$7,685,545","$1,405,029","$469,933","$368,288","$2,282,712","$2,294,903","$89,149","$190,082","$391,754","$3,459,241","$3,138,235","$1,796,017","$1,514,736","$1,032,950","$16,952,540",,,,,,,,,,,,,,,,,,,,,,,
Neighbors 2: Sorority Rising (2016),,"$9,249,000","$574,723","$7,491,113","$445,436","$1,570,373","$1,984,937","$3,398,715","$380,327","$866,823","$587,272","$426,346","$101,035","$494,740","$164,740","$325,271","$102,060","$60,533","$82,678","$115,617",,"$104,493","$5,650,502",,,"$567,089","$670,211","$581,561","$872,811",,"$170,195",,"$896,822","$127,000","$794,355","$131,614","$1,327,828","$510,701","$120,845","$54,927",,"$263,944",,"$3,458,000",,,"$112,000","$346,821",,"$1,124,598",,"$173,000",,,,"$952,970",,,"$1,423,882","$1,233,843",,,,,,,,,,,,,,,,,,,,,
Things to Come (2016),,"$290,830","$416,265",,,"$523,840","$533,502","$2,196,661","$11,778","$234,615","$41,788",,,"$5,201","$9,235",,,"$1,789",,,,,"$631,381",,"$216,246",,,"$56,786",,,,"$45,842","$23,488","$11,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land of Mine (2015),,"$19,507","$417,317","$23,663",,"$70,935","$61,706",,"$2,882","$40,236",,,,,,,,,,,,"$5,220","$350,732",,"$73,727",,,,,,,,,,,,"$1,864","$1,666,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Our Fathers Did: A Nazi Legacy (2015),,"$14,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan (2016),,"$994,702",,"$100,355",,"$10,517",,,,"$46,634",,,,,"$8,863","$3,769",,,,,,,"$375,357",,,"$108,659",,,,,,,,,,"$4,127","$4,928",,,,,,,,,,,,,,,,,,,,,"$219,921",,,,"$17,680,000",,,,,,,,,,,,,,,,,,,
The Man Who Knew Infinity (2015),,"$765,993","$1,200,726","$357,536",,"$503,862","$262,278",,"$82,377",,"$140,749","$94,582",,,"$110,730",,,,,"$6,869","$159,917",,"$1,133,888","$333,888","$211,672","$203,952",,"$72,614","$126,135",,,"$146,343","$67,370","$14,851","$33,385","$84,028","$40,220",,"$21,286",,,,,,,,,"$36,656","$312,682","$156,621","$25,787",,"$23,362",,"$107,014","$163,392",,,"$287,850","$225,929",,"$748,381","$10,494","$4,156",,,,,,,,,,,,,,,,,
Mary Shelley (2017),,"$183,761","$422,742",,,"$361,187",,"$557,448",,,"$15,246","$5,213",,,"$13,824",,,,,"$9,079",,,"$206,722",,"$64,993","$32,068","$100,692",,,,,"$14,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
