Movie Name,Domestic,United Kingdom,Italy,Germany,Poland,Spain,Netherlands,France,Finland,Norway,Portugal,South Africa,Czech Republic,Hungary,Türkiye,Romania,Slovakia,Lithuania,Bulgaria,Slovenia,United Arab Emirates,Iceland,Australia,Japan,South Korea,New Zealand,Russia/CIS,Argentina,Brazil,Colombia,Bolivia,Greece,Belgium,Uruguay,Sweden,Lebanon,Austria,Denmark,Croatia,Serbia and Montenegro,Switzerland (French),Ukraine,Oman,Mexico,Peru,Ecuador,Venezuela,Thailand,Taiwan,Switzerland (German),Egypt,Chile,Malaysia,Philippines,Singapore,Hong Kong,Vietnam,China,Israel,Switzerland,Paraguay,India,Bahrain,Panama,Estonia,Latvia,Costa Rica,Honduras,Indonesia,Kuwait,Qatar,Nigeria,Jordan,Kenya,Ghana,Trinidad & Tobago,Dominican Republic,Jamaica,Pakistan,Mongolia,Cambodia
Playback (2012),,,,,,,,,,,,,,,,,,,,,"$57,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Being Charlie (2015),,,,,,,,,,,,,,,,,,,,,"$2,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherpa (2015),,,,,,,,,,,,,,,,,,,,,,,"$940,323",,,"$213,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billa (2007),,,,,,,,,,,,,,,,,,,,,,,$472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$744,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrambam (2013),,,,,,,,,,,,,,,,,,,,,,,"$52,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,486,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yennai Arindhaal (2015),,,,,,,,,,,,,,,,,,,,,,,"$119,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vedalam (2015),,,,,,,,,,,,,,,,,,,,,,,"$105,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,910,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veeram (2014),,,,,,,,,,,,,,,,,,,,,,,"$55,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billa 2 (2012),,,,,,,,,,,,,,,,,,,,,,,"$49,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$947,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Aum Arivu (2011),,,,,,,,,,,,,,,,,,,,,,,"$124,749",,,"$7,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajab Prem Ki Ghazab Kahani (2009),,,,,,,,,,,,,,,,,,,,,,,"$140,963",,,"$21,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,685,515",,,,,,,,,,,,,,,,,,,
Enchanted Kingdom (2014),,,,,,,,,,,,,,,,,,,,,,,,"$7,936,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Despite the Falling Snow (2016),,,,,,,,,,,,,,,,,,,,,,,,,"$8,942","$29,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noma: My Perfect Storm (2015),,,,,,,,,,,,,,,,,,,,,,,,,"$30,169","$17,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leatherface (2017),,,,,,,,,,,,,,,,,,,,,,,,,"$25,677",,"$207,999","$36,953",,,"$62,688",,,"$12,010",,,,,,,,,,,,,,"$57,186",,,,,,,,,,,,,"$17,802",,,,,,,,,,,,,,,,,,,,
War on Everyone (2016),,,,,,,,,,,,,,,,,,,,,,,,,,"$9,995","$130,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine Superman (2014),,,,,,,,,,,,,,,,,,,,,,,,,,"$8,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dead Room (2015),,,,,,,,,,,,,,,,,,,,,,,,,,"$12,444",,"$40,128",,,,,,"$16,538",,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,755",,,,,,,,,,,,,,,,,,,,
Ghayal Once Again (2016),,,,,,,,,,,,,,,,,,,,,,,,,,"$52,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,637,413",,,,,,,,,,,,,,,,,,,
"New York, New York (2016)",,,,,,,,,,,,,,,,,,,,,,,,,,"$5,853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$861,,,"$1,446,261",,,,,,,,,,,,,,,,,,,,,,,
Thoongaa Vanam (2015),,,,,,,,,,,,,,,,,,,,,,,,,,"$3,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Search of Mozart (2006),,,,,,,,,,,,,,,,,,,,,,,,,,"$75,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoga Hosers (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day 2 (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,674,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrAngeLove (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,673",,,,,,,,,,,,,,,,,,,,,,"$14,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Spit on Your Grave: Vengeance Is Mine (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,"$111,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jock the Hero Dog (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,"$614,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Sun (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Families (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,538","$26,217",,,,,,"$2,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan Night (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,992",,,,,,,,,,,,,,,,,"$119,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holidays (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorry If I Want to Marry You (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,"$963,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flight Crew (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,241,048",,,"$101,185","$73,831",,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,613,127",,,,,,,,,,,,,,,,,,,,,,,
Refugiado (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$131,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Nights Till Morning (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,946",,,,,,"$9,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Race (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Boyfriend for My Wife (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,655,910","$63,236",,$260,,,"$106,466",,,,,,,,,,,,"$57,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It's Not You, It's Me (2004)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$448,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Big Night (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,897",,"$15,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Faith of Anna Waters (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,448",,"$259,557","$90,442",,,,,,,,,,,,,"$827,696",,,,,,,,,,"$118,928",,,,,,,"$30,347",,,,,,,,,,,,,,,,,,,,
One Man and His Cow (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,982","$316,567",,,,"$18,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Central (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Angela and All Political Prisoners (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,$903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Priest's Children (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$170,231",,,,,,,,,,,,,,,"$41,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penance (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,241",,,,,,,,,,,,,,,,,,,,,,,"$32,654",,,,,,,,,,,,,,,,,,,,,,,,,
Live Wire (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mancora (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$166,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freelancers (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precious Cargo (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glass (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mankatha (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,104,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deiva Thirumagal (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$733,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singam (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,471,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 Pounds Beauty (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,076,217",,,,,,,,,,,,,,,,,,,,,,,
The Crossing 2 (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,660,000",,,,,,,,,,,,,,,,,,,,,,,
My Beloved Bodyguard (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,371,457",,,,,,,,,,,,,,,,,,,,,,,
