Movie Name,Belgium,Argentina,Uruguay,Russia/CIS,Domestic,Brazil,Thailand,South Korea,Spain,Italy,Germany,France,Austria,Norway,United Arab Emirates,Bulgaria,Türkiye,Greece,Portugal,Croatia,South Africa,Slovenia,Iceland,Serbia and Montenegro,Oman,Australia,United Kingdom,Romania,Ukraine,Switzerland,Hungary,Chile,Switzerland (German),Finland,Poland,Slovakia,New Zealand,Singapore,Netherlands,Denmark,Sweden,Lebanon,Switzerland (French),Czech Republic,Lithuania,Latvia,Switzerland (Italian),Kenya,Mexico,Venezuela,Colombia,Peru,Bolivia,Ecuador,Japan,Hong Kong,India,Taiwan,Malaysia,Philippines,Vietnam,China,Qatar,Egypt,Israel,Bahrain,Jordan,Nigeria,Estonia,Ethiopia,Ghana,Cyprus,Panama,Paraguay,Cambodia
Fifty Shades of Black (2016),"$60,714","$624,758",,"$610,293",,"$2,950,153",,,,"$1,442,610",,,,,,,"$39,120","$165,972","$307,252","$27,188","$142,907","$74,780","$6,231","$92,415",,,"$118,854","$339,372","$131,393",,"$191,065",,,,"$386,970","$236,306",,,,"$184,937",,,,"$329,921","$57,883",,,,"$531,318",,"$108,914","$210,154",,,,,,,,,,,,,,,,,,,,,,,
Nocturnal Animals (2016),"$227,142","$109,412","$15,877","$1,117,755",,"$593,988","$39,234","$246,920","$1,096,338","$2,241,355","$1,301,547","$1,655,859","$117,203","$49,099",,"$28,281","$132,416","$209,521","$127,484","$37,479","$10,932","$26,645",,,,"$1,566,598","$3,788,129","$133,566",,"$422,455","$128,427",,,"$83,891","$326,956","$26,950","$155,124","$130,831","$897,499","$240,000","$280,116",,,"$63,131","$35,458","$37,819",,,"$591,473","$22,498","$84,508","$24,446",,,"$432,457",,,"$110,072",,,,,,,"$113,914",,,,"$44,914",,,"$10,827","$47,217","$4,049",
Daddy's Home (2015),"$344,515","$1,185,905","$171,343","$2,079,885",,"$1,992,032","$253,287",,"$2,114,036","$192,643","$1,811,127",,"$413,661","$575,737","$1,432,189","$129,447","$59,373","$25,797","$218,386","$40,273","$467,749","$47,553","$182,569",,"$33,253","$15,361,513","$24,287,482","$412,400","$490,406",,"$577,100",,,"$292,186","$83,421","$40,194","$1,051,916","$568,870","$770,523","$598,325","$774,443","$205,097",,"$24,350","$81,269","$37,195",,"$12,537","$7,056,781","$283,950","$1,518,646","$2,378,465","$402,552","$487,875",,"$302,303",,"$901,711","$262,075",,,,,,"$819,041",,,,,,,,,,
Kung Fu Panda 3 (2016),"$1,732,240","$3,854,608","$431,040","$13,905,351",,"$6,607,390","$1,257,143","$26,388,997","$6,765,036","$9,188,861","$7,029,300","$19,366,374","$1,220,923","$2,026,269","$3,459,523","$468,362","$1,155,535","$873,002","$1,214,569","$351,400","$1,292,415","$359,505","$156,478","$162,781","$288,996","$9,807,545","$20,321,914","$499,925","$1,140,564",,"$679,576","$2,523,491","$1,697,068","$1,346,971","$2,756,669","$446,033","$1,463,837","$3,759,394","$3,027,409","$3,151,584","$2,224,755","$292,667","$979,544","$879,348","$334,820",,,,"$15,897,655","$712,073","$3,173,014","$3,017,302","$635,833","$1,623,556",,"$3,531,619",,"$1,654,097","$3,548,516",,,"$154,304,371","$514,763",,"$1,273,945","$435,416",,,"$227,230","$10,544",,,,,"$88,488"
Arabian Nights: Volume 1 - The Restless One (2015),"$9,498",,,,,,,,,,,,,,,,,,,,,,$286,,,,"$6,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pride and Prejudice and Zombies (2016),"$52,708","$104,778","$7,351","$532,267",,"$101,622","$308,340","$64,058","$174,632","$487,887","$175,789",,,,"$183,178","$21,433","$52,951",,"$60,010",,"$39,240",,,,"$25,261","$130,802","$1,037,601","$43,641","$52,973",,,,,,,,,"$157,086",,,"$35,987","$20,784",,,,,,,"$373,430",,"$87,924","$66,053",,"$105,908",,"$346,624",,,"$474,649","$132,831","$34,595",,,,,"$26,967",,,,,,,,,
Smoorverliefd (2010),"$1,368,490","$14,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasserie Romantiek (2012),"$996,191",,,,,"$209,040",,,"$66,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomé (2002),,"$13,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truman (2015),,"$2,363,282","$139,836",,,"$623,238",,,"$3,830,630","$370,257","$198,433","$367,643","$59,277","$30,982",,,,,"$21,025",,,,,,,"$210,094","$4,961","$6,044",,,,"$73,854","$106,082","$31,217",,,,,"$165,792",,,,,,,,,,"$81,818",,"$95,678","$36,617",,,,,,,,,,,,,,,,,,,,,,,
