imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Syria,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,Yugoslavia
0105236,,Reservoir Dogs (1992),,"$30,519",,,,,,,,,,,,,,,,,"$2,832,029",,,,,,,,,,,,,,,,,,"$27,721",,,,,,,,,,,,,,,,"$2,161",,,,,,,,,,,,,,,,,,,,"$21,214",,,,,,,,,,,,,
0091763,,Platoon (1986),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,067",,,,,,,,,,,,,,
0103772,,Basic Instinct (1992),,,,,,,,,,,,,,,,,,,"$117,727,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$154,219",,,,,,,,,,,,,,,,,,,,,,,
0101761,,The Doors (1991),,,,,,,,,,,,,,,,"$13,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,574",,,,,,,,,,,,,,,,,,,,,,,
0084707,,Sophie's Choice (1982),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0083866,,E.T. the Extra-Terrestrial (1982),"$2,882,000","$18,464,000","$2,183,000",,"$4,532,000",,"$13,382,000","$30,345","$1,518,000",,"$1,603,000","$1,189,478","$1,631,000","$24,312","$17,826","$10,571","$48,882","$3,235,000","$437,141,279","$263,000",,"$294,000","$104,000",,"$2,134,000","$27,588,000","$23,723,000","$585,000",,"$3,034,000","$18,870","$25,480","$213,000","$173,976",,"$1,630,000","$19,003,000",,"$66,928,000",,"$18,432",,"$128,000",,"$255,000",,"$135,989","$5,219,000",,,,"$5,091,000","$1,834,000","$2,463,000",,,"$893,000","$1,172,000","$252,785","$1,359,000",,"$2,074","$181,605",,,,"$489,068",,"$29,341","$3,258,000",,"$665,271","$13,966,000","$5,120,000","$5,796,000",,"$3,359,000","$896,000","$110,216",,,"$29,614,000","$260,000","$3,155,000",,
0099371,,Days of Thunder (1990),,"$4,492,812",,,,,,,,,,,,,,,,,"$82,670,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0092099,,Top Gun (1986),,,,,,,,,,,,,,,,,,,"$180,258,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,442",,,,,,,,,,,,,,,,,,,"$130,056",,,,,,,,,,,,,,
0048545,,Rebel Without a Cause (1955),,,,,,,,,,,,,,,,,,,"$212,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0044081,,A Streetcar Named Desire (1951),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,523",,,,
0082846,,On Golden Pond (1981),,,,,,,,,,,,,,,,,,,"$119,285,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101775,,Drop Dead Fred (1991),,$77,,,,,,,,,,,,,,,,,"$13,878,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0096754,,The Abyss (1989),,$316,,,,,,,,,,,,,,,,,"$54,461,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080749,,The Fog (1980),,,,,,,,,,,,,,,,,,,"$21,448,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0082340,,Escape from New York (1981),,,,,,,,,,,,,,,,,,,"$25,244,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$673,,,,,,,,,,"$29,666",,,,,,,,,,,,,,,,,,,,,,,
0071853,,Monty Python and the Holy Grail (1975),,,,,,,,,,,,,,,,"$3,811",,,"$1,827,696",,,,,,,"$31,382",,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0084589,,The Return of Martin Guerre (1982),,,,,,,,,,,,,,,,,,,"$3,723,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
