imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Iraq,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2523600,,Long Live Freedom (2013),"$82,041",,"$40,999",,"$60,322",,"$113,387",,,,,,,,,,"$48,541",,,,,,,,"$43,010",,,,,,,,,"$2,772,977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$607,690",,,,,,,,,,,,,
0898897,,Ballerina (2006),,,,,,,,,,,,,,,,,,,,,,,,"$16,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2936180,,Far from Men (2014),,"$526,782","$18,750",,"$31,669",,,,,,,,,,,,"$5,336",,,,,,,"$273,061","$57,388",,,,,,,,,,,,,,,,,,,,"$27,515",,"$5,218",,,,,,,,,,,,,"$5,980",,,"$174,082",,,,,,,"$15,652",,,,,,
3297330,,Good Kill (2014),"$32,027",,,"$2,244",,,,,,"$8,369",,,,,,,,,"$64,024","$5,530",,,,"$300,211",,,,,,"$4,419",,,,"$223,939",,"$5,421",,,,,,"$77,366",,,,,,"$12,039","$17,003",,,"$12,429","$14,935",,,,,"$56,337",,,,,,,,,,"$50,883","$19,763",,,,,"$5,545","$223,824","$21,691"
3344922,,Hungry Hearts (2014),,,,,"$3,059",,,,,,,,,,,,"$6,921",,,,,,,,,,,"$20,105",,,,,,"$504,464",,,,,,,,,,,,,,,,,,,,,,"$15,274",,,,,,,,,,,,,,,,,,,,
1510726,,The Woman with the 5 Elephants (2009),,,"$71,913",,,,,,,,,,,,,,"$11,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885265,,Good Deeds (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,521",,,"$544,865",,,,,,,,,,,,,,,
1462017,,In Search of Memory (2009),,,"$10,066",,,,,,,,,,,,,,,,,,,,,,"$525,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3894190,,Black Souls (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$943,793",,,,,,,,,,,,,"$31,662",,,,,,,,,,,,,,,,"$192,170",,,,,"$6,662",,,,,"$2,985",,,
3450650,,Paul Blart: Mall Cop 2 (2015),"$970,819","$2,625,978","$996,995","$448,598","$8,260","$287,170",,"$43,044",,"$136,302",,"$1,124,049",,,,,"$71,038,190","$13,165","$445,309","$65,323","$11,694","$7,569",,,"$6,129,025","$1,546",,,"$224,214","$63,446",,,"$203,455",,,"$120,890","$14,572",,"$17,801","$254,825","$23,554","$481,057","$5,615,133",,,"$59,765",,"$79,021","$1,040,665","$181,686",,"$199,306","$361,654","$178,732",,,,"$363,845",,,"$232,591",,"$1,494,459","$105,750",,,"$713,608",,,,,"$1,020,655","$2,195,452","$327,543","$5,222,889",
1242527,,At World's End (2009),,$715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218580,,Alleluia (2014),,,,,"$27,327",,,,,,,,,,,,,,,,,,,"$14,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535430,,Cheburashka (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,530,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3365778,,Breathe (2014),,,,,"$24,346",,,,,,,,,,,,,,,,,,,"$1,012,245",,,,,,,,,,,,,,,,,,,"$79,807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659216,,Spiders (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,154",,,,,,,,,,,,,,,,,,,"$21,338",,,,,,,
1169809,,Book of Blood (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,104",,,,,,"$400,997",,,,,,,,,,,,,"$1,006",,,,,,,
3600950,,Space Dogs: Adventure to the Moon (2014),,,,,,"$14,469",,,,"$16,261","$379,033","$62,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$101,803",,,,,,,"$5,853,400",,,,,,,,,,,,,,,,"$24,533",,,,
1552224,,Outcast (2014),,,,,,,,,,,"$3,860,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$226,932","$277,032",,,,,,,"$16,726",,,,,,,,"$23,739",,,,,,,,,,,"$7,245",,,,,,,
3541262,,The Admiral: Roaring Currents (2014),,"$177,071",,,,,,,,,"$3,980,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$131,556,156",,,,,,,"$39,220",,,,,,,
3402110,,Tazza: The Hidden Card (2014),,,,,,,,,,,,,,,,,"$251,555",,,,,,,,,,,"$111,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,915,237",,,,,,,,,,,,,,"$65,989"
2726560,,The Longest Ride (2015),,"$3,875,481","$839,066","$32,760","$792,012","$11,727","$474,879","$40,602",,"$69,437",,"$104,469","$14,284",,,,,"$5,518","$128,977","$166,560","$27,790",,,"$4,788","$5,607,774",,,,,,,,,"$1,154,816",,"$12,338","$10,800",,"$13,100","$129,419","$23,916",,"$1,641,849","$1,353,565","$394,720","$18,677","$242,151","$10,899","$41,579","$224,836","$414,691","$218,147","$13,790","$67,982",,"$410,268","$16,485","$196,249",,,"$177,260",,"$1,807,858",,,"$40,625","$951,468","$253,867",,"$157,957","$42,932","$148,112","$1,558,766","$12,864",,"$13,371"
1467388,,Astral City: A Spiritual Journey (2010),,,,,,,"$21,218,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,592",,,,,,,,,,,,,
2911668,,Beyond the Reach (2014),"$27,189",,,,,,,,,,,,"$5,193",,,,,,,,,,,,,,,,,,,,,"$82,921",,"$22,425",,,,"$31,390",,,"$595,450",,,,,,"$21,249",,,"$42,195",,,,"$167,404",,,,,,,,,,,,,,"$17,338","$15,610","$21,566",,"$4,607",,
0456144,,"Carry On, Munna Bhai (2006)",,"$57,244",,,,,,,,,,,,,,,,,,$97,,,,,,,,,,,"$14,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,522,624",,,
3660770,,Monkey Kingdom (2015),,,,,"$26,882",,,,,,,,,,,,,,"$43,211",,,,,"$268,744","$11,823",,,,,,,,,,,,,,,,,,"$56,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655441,,The Age of Adaline (2015),"$244,972","$2,128,652","$191,596","$68,364","$438,835",,"$890,312","$120,519",,"$108,959",,,"$161,930",,"$26,693",,,,"$33,904","$168,907","$54,352",,,,"$902,152",,"$211,873","$270,672","$210,325","$21,758",,,,"$3,533,982",,"$31,950","$2,111",,"$94,722","$236,452","$76,176","$117,706","$2,596,528","$1,002,720","$380,586",,,"$10,434","$183,361","$54,780","$715,872","$259,154","$27,261","$223,327",,"$833,317","$42,800","$370,148","$38,756","$47,744","$70,929","$264,852","$2,006,494","$18,528",,,"$374,372","$510,380","$418,091","$246,002","$36,504","$218,935","$1,689,799","$21,392",,"$22,560"
2387513,,The Liberator (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,969,031",
1772288,,Danny Collins (2015),,,,,"$27,319",,"$792,839","$24,176",,"$21,456",,,"$5,858",,,,,,,,,,,,,,"$26,963","$81,177","$11,089",,,,,,,"$6,253","$4,215",,"$9,399","$23,710","$5,424","$31,104","$304,941",,,,,"$3,543","$32,101",,"$216,968","$17,298","$4,562","$67,918",,"$105,885",,"$15,690","$7,534",,"$30,709","$370,696","$84,657",,,,,,"$13,724","$109,119",,,"$720,695",,,"$5,213"
3662904,,Finding Gaston (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$532,,,,,,,,"$10,875",,,,,,,,,,,,,,,,,,,,,,,,,,,
4270516,,Grandma (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,096",,,,,,"$2,720",,"$1,742",,,,,,,,,,,,"$83,658","$53,622",,,,,,,,,"$54,711",,,
0950500,,The Unseeable (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$388,087",,,,,,,,,,,,,,,,,,,,,,,,,,"$527,537",,,,,,,
1837562,,A Royal Night Out (2015),,"$1,680,930","$28,049",,,,,,,,,,,,,,,,,,"$3,504",,,,"$128,871",,"$21,278","$26,803",,,,,,"$90,652",,,,,"$8,352","$9,925","$6,027",,,,"$512,220",,,,,,"$114,383","$23,493",,,,,,"$32,912",,,"$39,291",,"$220,130",,,,,,,"$13,647",,,"$1,590,567",,,
3202120,,Barbecue (2014),$509,,,,,,"$73,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,143",,
3539664,,Dior and I (2014),,"$200,007","$20,533",,"$27,915",,"$51,864",,,,,,,,,,,,,,,,,,"$5,121",,,"$168,986",,,,,,,,,,,,,,,,"$32,725","$231,393",,,,,,,"$2,335",,,,,,,,,,,,,,,,,,,,,,,,
2044801,,Kite (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$315,039",,,,,,,,,,,,,"$82,263",,,,,,,
3120408,,Tinker Bell and the Legend of the NeverBeast (2014),,"$743,022",,,,"$121,356","$2,589,846",,,"$316,280",,,,,,,,,"$603,499",,,,,,,,,,,,,,,,,,,,,,,,"$1,727,841",,"$374,105",,,,,,,,,,,"$2,303,556",,,,,,,,,,,,,,,,,,"$74,303",,
2483260,,The Pirate Fairy (2014),"$2,008,765","$3,437,728",,,,"$107,714","$2,366,564",,,"$391,822",,"$279,687",,,,,,,"$433,905",,,,,,,,,,,,,,,,,,,,,,,,"$2,058,700",,"$833,635",,,,"$334,895",,,,,,,"$4,859,051",,,,,,,,,,,,,,,,,,"$143,042","$1,178,605",
1434435,,Mother's Day (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,029",,,,,,"$57,354",,,,,,,,,,,,,,,,,,,"$82,825",,,,,,,"$164,473",
3662066,,One More Time (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,317",,,,,,,,,,,,,,
3064298,,Man Up (2015),,"$245,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,671",,,"$478,209",,,,,,,,,,,,,"$45,634",,,,"$23,516",,,,,,,,,,,,,,"$9,856"
3477752,,Sweet Home (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$595,"$425,345",,,,,,,"$16,049",,,,,,
2126355,,San Andreas (2015),"$7,211,836","$6,752,710","$608,082","$248,367","$1,242,065","$1,207,240","$10,131,388","$479,005",,"$5,761,109","$103,190,000","$7,154,116","$127,252",,"$174,214","$541,413","$155,190,832",,"$2,148,763","$356,693","$114,428",,,"$8,801,600","$6,037,020",,"$356,286","$5,024,308","$291,601","$90,776","$2,540,021",,"$1,519,707","$2,640,524","$2,357,028","$215,305","$89,153",,"$148,600","$426,984","$169,007","$6,292,257","$28,445,871","$1,780,143","$1,131,984",,"$868,436","$130,017","$4,419,015","$4,572,502","$919,523","$796,679","$374,885",,,"$10,094,957","$47,063","$2,343,403","$116,674","$27,993","$1,127,214","$12,468,588","$3,540,118","$1,080,782",,"$545,927","$879,634","$8,896,258","$2,466,116","$1,461,323","$509,150",,"$17,630,829","$411,083","$8,451,445","$1,312,702"
3319920,,Regression (2015),,,"$119,072",,"$192,187",,,,,,,,,,,,,,,,,,,"$875,515","$551,494",,"$70,465",,,,,,,"$1,370,648",,,,,,,,"$54,213",,"$229,964",,,,,,"$51,957",,"$71,168",,,,"$237,033",,"$42,864",,,"$19,020","$121,003","$9,722,131",,,"$66,190","$86,197","$76,176","$33,125","$100,830","$19,194",,"$329,167",,,"$75,210"
2788716,,Welcome to Me (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,725","$2,242",,,
2043979,,Rose (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$295,,,,,,,,,,,,,,,,,,,,
1441953,,Testament of Youth (2014),,"$590,963",,,"$33,465",,,,,,,,,,,,,,,,"$3,938",,,"$249,297",,,,,,,,,,,,,,,"$1,705",,"$7,297",,,,"$184,893",,,,,,,"$12,855",,,,,,,,,"$21,069",,,"$64,267",,,,,,,"$5,500",,"$2,877,384",,,
3741860,,Awake: The Life of Yogananda (2014),,,,,,,"$160,866",,,,,,,,,,,,,,,,,,"$67,417",,"$19,528",,,,,,,"$82,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,959",,,,,,,,,,,,,
2935476,,Far from the Madding Crowd (2015),,"$2,812,956","$47,791","$2,939","$350,455",,,,,,,,,,"$31,595","$622,418","$12,236,500",,,,,,"$62,612","$271,549","$580,448",,"$13,319","$81,939","$8,815",,,,,"$78,145",,,,,"$10,993","$24,375","$24,024",,,"$220,794","$743,972",,"$97,698","$2,980",,,"$177,725",,"$4,640",,,"$105,418",,"$54,380","$6,321",,"$155,277",,"$451,566","$57,767",,"$18,106",,"$27,320",,"$27,337","$23,579",,"$8,767,667",,,
3077108,,Appropriate Behavior (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,787",,,
3089326,,Magical Girl (2014),,,,,,,"$11,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$202,756",,,,,,,,,,,,,
3148834,,Thunder and the House of Magic (2013),"$205,245","$2,963,520","$653,167",,"$1,297,283",,"$1,279,657","$240,846",,"$122,141","$7,220,000","$354,565","$279,387",,"$327,518",,,,"$267,136","$17,293",,,"$440,196","$9,663,523","$5,291,155",,"$206,081",,"$179,983","$70,167",,,,"$1,563,184",,,,,,"$94,836","$81,660",,,"$756,662","$535,984",,"$821,459",,"$155,934",,"$700,083",,,,,"$5,842,813","$38,982","$106,648","$232,322","$30,444","$661,585","$5,649,400","$734,554","$775,701",,,,,,"$397,350","$336,221","$124,668","$3,398,104","$51,697","$539,932",
3697566,,No Tears for the Dead (2014),,,,,,,,,,,,,,,,,"$63,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,750",,,,
3103576,,Love Is the Perfect Crime (2013),,,,,,,"$51,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4215332,,Barbie in Princess Power (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,035",,,,,,,,,"$8,919",,,,,,,,,,,,,,,,,,
3921852,,Barbie and the Secret Door (2014),"$200,966",,,,,,,,,,,"$22,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,983",,,,,,"$7,036",,,,,,,,,,,,,,,,,,,,,,,,,"$22,395",,
