imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
2193215,,The Counselor (2013),"$746,430","$2,759,896","$365,524",,"$1,225,316","$40,579","$1,412,252","$246,532",,"$166,892",,"$296,446","$135,531","$133,575","$333,795",,"$15,477","$101,082",,,"$230,878","$5,383,009","$3,260,027",,"$606,408","$326,149","$273,889","$33,600",,"$283,650","$4,154,040",,"$4,542,384",,,,"$135,272",,,"$1,966,847","$1,332,343","$219,516",,"$133,215",,"$238,031","$197,856","$1,033,626","$745,962",,"$5,402,238","$81,818","$262,842","$140,169","$61,646","$209,660","$865,103","$4,035,345","$509,929",,,"$133,762","$467,601","$619,485",,"$3,027,450","$35,028",
1821641,,The Congress (2013),,,"$15,128",,"$24,134",,"$11,517",,,,,,,"$13,145",,"$137,815",,,"$63,623",,,"$197,127","$35,212",,,,,,,,"$26,457",,,,,,,,,,,,,,,,,"$17,624","$1,938",,,"$2,159",,,,,,"$74,645",,,,,"$2,566",,,"$135,664",,
1937269,,One Small Hitch (2013),,,,,,,,,,,,,,,,"$7,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,735",,,,,
1444307,,Episode 3: 'Enjoy Poverty' (2009),,,$557,,"$1,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825157,,The Double (2013),,,,,"$34,161",,,,,,,,,"$11,362",,,,,,,"$25,189","$85,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,942",,"$22,671","$1,272,555",,
2024544,,12 Years a Slave (2013),"$1,247,262","$7,054,930","$1,432,894",,"$2,874,196","$98,910","$3,025,293",,,"$704,106",,"$575,565","$166,577","$136,614","$2,835,616","$56,671,993","$29,302","$194,495",,,"$1,362,184","$13,835,227","$7,439,636",,"$1,167,010","$518,802","$150,996","$93,939",,,"$6,617,083",,"$3,104,806",,,,"$153,862",,"$62,639","$5,558,102","$4,403,254","$1,491,515","$76,814","$1,977,186",,"$372,118","$78,871","$526,277","$1,657,582",,"$1,532,707","$62,989","$257,123","$22,399","$122,320","$273,778","$3,293,829","$8,321,572","$3,189,487",,,"$199,624","$310,063",,"$543,228","$33,011,149","$162,587","$629,560"
2286990,,The Right Kind of Wrong (2013),,,,"$3,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,944",,,,,,,,"$1,803",,"$22,141",,,,,,,,,,,,,,,,"$155,034",,,,,
2187115,,Child's Pose (2013),"$66,906","$92,492","$22,835",,"$6,694",,"$33,284",,,,,,$961,,,,,,,,,,"$236,409",,,,,,,,"$142,120",,,,,,,,,"$35,458",,,,,,,,,,,,"$3,783",,,,,,"$240,514",,,,,"$2,409",,,,"$13,091",
1311071,,Kill Your Darlings (2013),,"$89,080",,,"$15,437",,"$50,562",,,,,,,,,,,,,,,,"$108,463",,,,,,,,"$393,529",,,,,,,,,,,"$4,646",,,,,,,,,,,"$2,950",,,"$4,906",,,,,,,,,,"$178,287",,
0412308,,Being Cyrus (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,246,407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094627,,Buddha Collapsed Out of Shame (2007),,,,,"$6,281",,,,,,,,,,,,,,,,,"$983,843",,,,,,,,,,,,,,,,,"$8,647","$6,159",,,,"$1,152",,,,,,,,,,,,,"$7,600","$489,438","$36,245",,"$3,768",,"$20,410",,,"$9,052",,
1753773,,August (2011),,,,,,"$8,034","$22,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180311,,The Flower of Kim Jong II (2009),,,,,,,,,,,,,,,,"$4,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,085",,,,,,,,,,,
1891845,,The Day of the Crows (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$86,421",,,,,,,,,,,,,,,,,
2014351,,Spinning Plates (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,407",,,,,,,,,,,,,,,,,,,,,,,,,,
2017038,,All Is Lost (2013),,,"$154,096",,,,"$176,383",,,,,,,"$34,931",,,,,,,,"$653,383","$2,008,798",,"$225,798",,,,,,"$179,887",,,,,,"$32,977",,,"$133,213",,"$11,755",,,,,"$7,821",,"$28,873",,,,"$10,076","$5,207","$31,651","$25,402",,"$366,540",,,,"$14,499","$132,231","$30,239","$80,904","$1,259,533",,
