Movie Name,Hong Kong,United Kingdom,Italy,France,United Arab Emirates,Poland,Greece,Portugal,Lebanon,Ukraine,Croatia,Iceland,Serbia and Montenegro,Oman,Spain,Russia/CIS,Singapore,Vietnam,Thailand,Malaysia,Philippines,South Korea,New Zealand,China,Domestic,Germany,Netherlands,Belgium,Sweden,Austria,Switzerland (German),Israel,Denmark,Norway,Finland,Czech Republic,Türkiye,Hungary,South Africa,Switzerland (French),Switzerland,Slovakia,Romania,Ghana,Lithuania,Bulgaria,Slovenia,Latvia,Estonia,Jordan,Egypt,Kenya,Nigeria,Mexico,Brazil,Argentina,Venezuela,Chile,Colombia,Peru,Ecuador,Uruguay,Bolivia,Japan,Australia,Taiwan,India,Ethiopia,Russia,Indonesia,Cambodia,Qatar,Bahrain,Pakistan
Love in the Buff (2012),"$3,605,850",,,,,,,,,,,,,,,,"$28,806",,,"$85,128",,,"$7,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,321",,,,,,,,,
The Eye 3 (2005),"$976,256",,"$247,825",,,,,,,,,,,,,,,,"$730,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$649,331",,,,,,,,
Batman v Superman: Dawn of Justice (2016),"$8,504,499","$53,128,158","$12,098,949","$21,319,616","$7,031,185","$2,300,823","$2,125,858","$2,222,072","$843,082","$1,279,073","$522,416","$283,469","$243,971","$475,077","$11,396,396","$12,683,409","$5,742,914","$2,240,920","$5,388,316","$7,500,064","$11,214,492","$16,457,193","$3,269,068","$95,769,365","$330,360,194","$18,918,262","$4,181,863","$2,685,186","$3,941,571","$2,564,737","$1,754,810","$2,612,698","$2,572,539","$3,297,349","$1,324,808","$1,118,646","$5,430,850","$1,037,694","$2,701,224","$1,029,568",,"$499,444","$1,556,295",,"$212,708","$540,102","$166,343","$251,315","$242,623",,"$1,501,078",,,"$36,621,767","$37,566,828","$7,592,895","$1,113,858","$5,181,205","$8,149,484","$4,999,649","$3,781,279","$329,922","$2,138,879","$16,531,874","$22,517,365","$7,238,467","$10,736,869",,,"$14,000,000","$170,698",,,
Goddess (2013),$779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,631,548",,,,,,,,,
Road to Ninja - Naruto the Movie (2012),"$63,253",,"$197,516",,,,,,,,,,,,,,"$70,950",,"$97,857","$1,234","$123,613",,,,"$43,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,278,965",,,,,,,,,,
Seal Team Six: The Raid on Osama Bin Laden (2012),"$96,998",,,,,,,,,,,,,,,,"$83,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$504,857","$96,354",,,,,,,,,,,,,,,,,,,
Amy (2015),"$26,289","$5,737,984","$944,284","$212,132",,"$581,273",,,,,"$23,036","$34,573","$8,437",,"$579,234","$101,892","$46,598",,"$54,902",,,"$70,547","$407,745",,"$8,413,144","$827,506","$1,687,401","$318,648","$125,231","$207,313","$133,805",,"$750,392","$225,661","$406,244","$160,938","$99,222",,,"$89,569","$89,611","$35,660","$15,027",,"$17,996",,,"$7,542",,,,,,"$62,964","$108,202",,,,,,,,,,"$1,095,384",,,,,,,,,
That Demon Within (2014),"$2,243,059",,,,,,,,,,,,,,,,"$93,343",,,"$393,629",,,"$23,413","$17,430,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,147",,,,,,,,,
Magic Mike XXL (2015),"$160,139","$10,466,689","$1,076,751","$1,284,811",,"$775,349","$16,474","$513,167","$21,137","$124,198","$114,545","$73,036","$19,305",,"$1,014,510","$1,371,075","$439,449",,"$155,742",,"$573,781",,"$995,247",,,"$8,006,367","$2,959,619","$1,369,797","$1,236,052","$1,162,767","$1,411,299","$73,531",,"$1,595,869","$974,794","$369,745",,"$78,963","$555,429","$169,992","$170,035","$362,611",,,"$63,296","$103,449","$76,350","$63,674","$68,447",,,,"$8,304","$274,633","$771,193","$115,206","$438,073","$27,200","$38,772","$34,465","$73,547","$16,575","$30,241",,"$9,036,427","$651,595",,,,,,,,
The Jungle Book (2016),"$3,403,921","$66,601,849","$11,956,478","$28,011,400","$9,159,319","$2,507,223",,"$882,767","$140,199","$1,723,037","$45,898","$229,521","$28,626","$142,477","$19,385,604","$20,359,530","$3,517,370",,"$5,219,657","$5,685,000","$3,536,000","$18,901,624","$3,464,927","$150,431,684","$364,001,123","$19,672,002","$10,665,030","$4,813,615","$7,715,641","$2,303,017","$2,270,210","$412,616","$2,883,901","$3,677,980","$1,137,691","$1,262,304","$1,163,056","$509,468","$2,126,980","$1,141,721","$3,701,126","$347,278","$1,797,170",,"$102,277","$763,873","$65,174",,"$42,500",,"$35,456",,,"$24,351,449","$10,886,275","$8,862,758","$1,517,326","$4,739,063","$5,629,021","$1,461,681","$1,349,242","$188,939","$842,959","$23,073,831","$20,727,878","$2,726,000","$38,835,000",,,,,,,
"Dragon Ball Z: Resurrection ""F"" (2015)","$269,649","$168,560","$589,376",,"$96,420",,,,,,,,"$2,919","$1,803","$289,150",,,"$16,785","$41,529","$225,065","$5,416","$150,465","$135,419","$1,607,680",,"$301,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,155,757","$1,207,904","$2,902,971","$1,532,860","$1,391,670","$796,314","$2,037,530","$899,015","$45,799","$136,253","$30,117,264","$1,093,511",,,,,,,,,
The Man from U.N.C.L.E. (2015),"$759,059","$9,756,904","$859,792","$2,395,272","$1,408,709","$573,558","$481,343","$367,608","$133,513","$676,986","$139,568","$69,224","$68,338",,"$2,950,066","$9,094,917","$1,133,843","$543,529","$470,849","$912,124","$533,198","$720,214","$799,061",,,"$2,011,305","$763,454","$420,269","$670,469","$271,590","$287,948","$384,706","$203,117","$184,985","$121,957","$213,465","$575,577","$466,937","$303,061","$136,546",,"$117,416","$439,279","$481,343","$84,287","$256,539",,"$101,511","$87,799","$48,348","$141,782","$54,612",,"$1,997,078","$1,318,299","$368,127","$802,978","$89,422","$267,832","$80,724","$178,631","$9,433","$26,457","$4,236,529","$3,236,386","$2,371,500","$553,991",,,,,,,
The Walk (2015),"$670,129","$1,922,084","$1,060,588","$1,356,733","$1,182,785","$373,944","$142,547","$166,436","$139,512","$502,433","$82,743","$20,339","$32,891","$134,280","$2,249,956","$5,024,536","$540,960","$67,027","$357,036","$657,340","$263,238","$1,924,118","$106,394","$13,773,172",,"$809,869","$281,575","$137,856","$220,289","$126,321","$86,721","$417,938","$153,234","$77,447","$125,412","$216,985","$304,397","$125,477","$109,001","$70,535",,"$89,342","$309,529","$1,920","$127,233","$114,189","$18,690","$37,262","$71,441","$49,851","$169,766","$17,541","$41,159","$1,817,746","$693,881","$559,051","$2,188,956","$167,008","$287,561","$106,911","$228,925","$25,328","$69,480","$2,434,973","$722,113","$729,835","$1,242,438","$2,626",,,,"$132,617","$84,715",
