Movie Name,United Kingdom,Spain,Germany,France,Netherlands,Italy,United Arab Emirates,Poland,Sweden,Greece,Belgium,Norway,Israel,Denmark,Türkiye,Ukraine,Portugal,Bahrain,Austria,South Africa,Hungary,Finland,Lebanon,Egypt,Czech Republic,Nigeria,Croatia,Slovakia,Bulgaria,Iceland,East Africa,Slovenia,Serbia and Montenegro,Mexico,Brazil,Venezuela,Argentina,Peru,Colombia,Chile,Ecuador,Uruguay,Bolivia,Australia,Japan,Russia/CIS,Singapore,Hong Kong,South Korea,New Zealand,India,Philippines,Thailand,Malaysia,Domestic,Latvia,China,Oman,Taiwan,Kuwait,Lithuania,Ghana,Romania,Switzerland,Estonia,Central America,Jamaica,Jordan
12 Years a Slave (2013),"$33,011,149","$8,321,572","$7,439,636","$13,835,227","$4,403,254","$6,617,083","$543,228","$526,277","$3,189,487","$1,167,010","$2,874,196","$1,977,186",,"$2,835,616","$310,063",,"$1,657,582",,"$1,432,894","$273,778","$150,996","$1,362,184","$153,862",,"$136,614","$76,814","$166,577","$22,399",,"$93,939","$29,302","$122,320","$62,989","$5,558,102","$3,025,293","$629,560","$1,247,262","$372,118","$575,565","$704,106","$194,495","$162,587","$98,910","$7,054,930","$3,104,806","$1,532,707","$257,123","$518,802","$3,293,829","$1,491,515",,"$78,871","$199,624","$62,639","$56,671,993",,,,,,,,,,,,,
Kill Your Darlings (2013),"$178,287",,"$108,463",,,"$393,529",,,,,"$15,437",,,,,,,,,"$4,906",,,,,,,,,,,,,,,"$50,562",,,,,,,,,"$89,080",,,"$2,950",,,"$4,646",,,,,,,,,,,,,,,,,,
Buddha Collapsed Out of Shame (2007),"$9,052","$489,438",,"$983,843",,,,,"$36,245",,"$6,281","$1,152",,,"$20,410",,,,,,,,,,,,,,,,,,,"$6,159",,,,,,,,,,,,,,,"$7,600",,,,,"$8,647",,,,,"$3,768",,,,,,,,,
All Is Lost (2013),"$1,259,533","$366,540","$2,008,798","$653,383",,"$179,887","$80,904",,,"$225,798",,,,,"$132,231","$30,239","$28,873",,"$154,096","$25,402",,,"$32,977",,"$34,931",,,"$5,207",,,,"$31,651",,"$133,213","$176,383",,,,,,,,,,,,"$10,076",,,"$11,755",,"$7,821","$14,499",,,,,,,,,,,,,,,
Arthur Newman (2012),"$69,209",,,"$65,666",,"$272,913","$37,369",,,,,,,,,,"$26,081",,,"$26,534",,,"$4,676",,,,,,,,,,,,,,,,,,,,,,,,"$12,895",,,,,"$16,936","$7,008",,,,,,,,,,,,,,,
Ender's Game (2013),"$4,790,708","$2,867,193","$1,684,158","$3,496,632","$249,759","$1,357,470","$339,488","$641,748","$304,881",,"$250,802","$85,178",,"$49,107","$218,289","$264,788","$123,808",,"$169,537","$258,888","$82,906","$84,722",,"$9,115","$153,798",,"$67,007","$48,208","$76,357","$36,079",,"$14,772","$14,975","$3,028,212","$2,296,170","$980,055","$270,683","$332,151","$377,899","$142,832","$248,397","$22,223","$7,100","$2,281,002","$1,538,161","$2,499,124","$979,996","$456,911","$4,587,139","$582,591",,"$505,290","$1,034,533","$1,185,991",,,"$22,710,000",,,,,,,,,,,
The Last Days on Mars (2013),"$78,520",,,,,,"$29,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,540",,,,,,,,,,,,,,,,,,,,,
Jackass Presents: Bad Grandpa (2013),"$10,493,198",,"$9,260,136","$358,562","$1,251,590",,"$374,526",,"$216,745",,,"$1,143,813",,"$403,948",,,,,"$1,255,530","$81,500",,"$549,426","$158,898","$39,623",,,"$286,438",,,"$143,230",,"$268,726",,"$3,109,862","$2,105,455","$684,804","$280,756","$260,747","$155,087","$64,706","$143,302",,"$51,527","$8,560,988",,"$3,925,483","$106,608",,,"$452,595",,,"$73,991",,,,,,,,,,,,,,,
Race (2008),"$1,750,917",,,,,,,,,,,,,,,,,,,"$89,307",,,,,,,,,,,,,,,,,,,,,,,,"$330,599",,,,,,"$39,130","$20,833,227",,,"$23,884",,,,,,"$69,181",,,,,,,,
Thor: The Dark World (2013),"$26,224,037","$8,862,218","$20,356,156","$22,289,092","$3,212,754","$11,176,894","$3,451,574","$3,160,256","$3,944,319","$1,267,903","$2,230,285","$2,546,889","$1,149,742","$2,128,547","$3,692,896","$2,787,498","$1,485,608",,"$2,561,728","$2,068,342","$1,104,097","$1,129,411","$523,712","$536,616","$1,398,191","$164,215","$309,572","$493,999","$883,334","$306,525","$204,454","$148,061","$146,913","$23,857,540","$27,751,884","$9,147,580","$5,646,086","$4,040,720","$4,085,479","$3,330,635","$2,790,162","$205,337","$1,108,797","$20,494,942","$6,017,520","$35,732,140","$6,300,035","$4,730,882","$21,114,584","$2,790,409","$3,598,734","$7,950,502","$4,552,606","$8,819,558",,,"$55,340,000",,,,,,,,,,,
Dallas Buyers Club (2013),"$8,755,794","$1,641,722","$1,718,555","$1,803,273","$246,951","$1,700,465",,"$853,702","$568,417","$200,151","$220,625","$437,870",,"$73,443","$173,591",,"$391,212",,"$460,776","$138,547","$191,573","$359,598","$32,712",,"$22,181",,"$88,683","$11,096",,"$39,201",,"$22,136","$8,929","$815,918","$823,858","$72,862","$312,235","$140,588","$135,745","$119,048","$72,264","$59,263","$15,616","$2,038,722","$508,812","$1,377,152","$111,941","$176,785","$262,385","$477,849",,,"$33,521",,,,,,,,,,,,,,,
The Selfish Giant (2013),"$450,086",,,"$244,131","$119,194",,,,"$19,793","$43,809","$73,800",,,,,,,,,,,,,,,,,,,,,,,"$53,950",,,,,,,,,,,,,,,,"$97,075",,,,,,,,,,,,,,,,,,
A Touch of Sin (2013),"$67,376","$127,805","$21,695","$329,657",,"$33,461",,,,,"$66,282",,,,,,"$17,965",,,,,,,,,,,,,,,,,,"$36,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How I Live Now (2013),"$746,312","$16,822",,"$85,905",,,"$11,447",,,,,,,,"$5,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Most Likely (2012),"$264,134",,,"$226,791","$36,978",,,,,,"$82,537",,,,,,"$39,063",,,"$26,733",,,,,,,,,,,,,,,"$30,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Expectations (2012),"$3,575,497","$820,878","$83,379",,,"$373,096","$63,489","$7,618",,"$115,514","$22,880",,,,"$31,670",,"$23,903",,"$12,093","$72,673",,,,,"$28,376",,,,,,,,,,,,,,,,,,,"$323,746",,"$209,884","$38,757",,,"$140,770",,,,,,,,,,,,,,,,,,
