Movie Name,United Kingdom,Spain,Germany,France,Netherlands,Italy,United Arab Emirates,Poland,Sweden,Greece,Belgium,Norway,Israel,Denmark,Türkiye,Ukraine,Portugal,Bahrain,Austria,South Africa,Hungary,Finland,Lebanon,Egypt,Czech Republic,Nigeria,Croatia,Slovakia,Bulgaria,Iceland,East Africa,Slovenia,Serbia and Montenegro,Mexico,Brazil,Venezuela,Argentina,Peru,Colombia,Chile,Ecuador,Uruguay,Bolivia,Australia,Japan,Russia/CIS,Singapore,Hong Kong,South Korea,New Zealand,India,Philippines,Thailand,Malaysia,Domestic,Latvia,China,Oman,Taiwan,Kuwait,Lithuania,Ghana,Romania,Switzerland,Estonia,Central America,Jamaica,Jordan
Saving Mr. Banks (2013),"$7,101,128","$1,908,674","$479,282","$1,487,018",,"$1,921,920","$159,271","$51,994","$133,477","$52,792","$245,892",,"$175,545","$104,815","$130,230","$101,996","$172,373",,"$62,692","$86,243","$31,347","$34,324","$19,927","$27,071","$9,725",,"$16,071",,"$35,603","$10,243","$8,786","$11,510","$7,059","$914,547","$348,381","$216,851","$291,772","$50,229","$52,272","$42,135","$88,243","$16,751",,"$8,987,501","$3,192,366","$783,505","$111,869","$621,550","$50,735","$879,605","$57,357","$49,254","$82,963","$86,482",,,,,,,,,,,,,,
Oldboy (2013),"$314,468","$29,292","$267,889","$150,038","$156,135","$158,604","$254,836","$266,007",,,"$39,350",,,,"$86,995",,"$31,382",,,,,"$31,929",,,"$21,098",,"$25,642","$9,742",,"$8,392",,,,"$101,050","$31,124","$9,877","$12,553","$52,406","$64,020","$9,004","$5,283","$10,477","$2,734",,,"$764,219","$31,082",,,,,,"$47,481",,,,,,,,,,,,,,,
Anchorman 2: The Legend Continues (2013),"$23,475,178",,"$698,262",,,,"$258,651",,"$1,085,461",,,"$252,626","$90,362","$129,922",,,,,"$92,047","$177,428",,,"$19,953",,,"$5,534",,,,"$141,215",$916,"$28,015",,"$397,193","$351,668",,,,,,,,,"$15,808,876",,,"$103,467",,,"$1,716,273",,,,,"$127,352,707",,,,,,,,,,,,,
In the Fog (2012),"$16,404","$86,228",,"$36,116",,,,,,"$17,930",,,,,,,"$1,441",,,,,,,,,,,,,,,,"$1,614","$10,482","$4,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False Trail (2011),"$1,745",,,,,,,,"$7,441,638",,,"$258,366",,,,,,,,,,"$78,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fun Size (2012),"$863,400",,,,,,"$131,460",,,,,,,,,,,,,"$187,335",,,,,,,,,,,,,,,,,,,,,,,,"$644,021",,,,,,,,,,,,,,,,,,,,,,,,
Vendetta (2013),"$8,197",,,,,,,,,,,,,,,,,,,,,,,,"$89,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Am Divine (2013),"$34,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grudge Match (2013),"$746,713","$550,119","$1,366,434","$1,137,152","$49,401","$1,398,015","$322,262",,,"$67,093","$139,007",,"$114,613","$51,997",,"$204,689","$90,586",,"$346,036","$43,993",,"$92,307","$26,523","$24,569","$91,633",,"$31,618",,"$116,357","$12,761","$15,229",,"$11,611","$802,158","$582,906",,"$266,208","$86,689","$62,604","$22,020","$59,441","$11,133","$31,738","$306,685","$184,866","$2,787,455","$122,549",,,"$66,569","$23,838","$39,942",,,,,,,,,,,,,,,,
Justin Bieber's Believe (2013),"$527,591","$189,374","$320,488",,"$131,088",,,"$205,720","$393,055","$49,227","$113,499","$365,027",,,"$145,832",,"$111,977",,,"$55,627",,"$219,404","$23,874","$7,976","$50,776",,"$50,320","$25,929","$15,462",,,"$25,791","$10,973","$517,278","$398,846","$95,774","$461,446","$3,614","$72,233",,"$74,026","$53,908","$2,391",,,,,,,"$18,196",,,,"$36,869",,,,,,,,,,,,,,
Dhoom (2004),"$254,633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,811,820",,,,,,,,,,,,,,,,,
Paranormal Activity: The Marked Ones (2014),"$4,800,827","$1,996,331","$5,614,725","$4,904,105","$698,260","$352,589","$413,910","$381,861","$551,146",,"$796,001","$390,391","$236,533","$297,890","$726,622","$394,565",,,"$870,778","$91,550",,"$246,205","$20,618","$67,070","$151,678","$2,383","$56,658","$90,724",,,,"$29,854","$25,917","$6,776,552","$5,115,712","$636,032","$2,372,732","$1,095,344","$1,095,745","$784,207","$393,587","$120,198","$190,578","$3,075,050","$625,841","$6,031,458","$245,169",,,"$275,574",,"$183,503","$60,900","$532,457",,,,,,,,,,,,,,
Only Lovers Left Alive (2013),"$452,958","$194,328","$1,694,244","$1,339,257",,"$210,980","$5,707","$190,805",,,"$59,849",,,,"$28,906",,,,"$300,441",,,"$35,137","$4,086",,"$16,937",,"$11,188",,,,,"$10,377","$12,294",,"$88,830",,,,,,,,,"$172,374",,"$753,125",,"$43,348",,"$104,482",,,,,"$1,879,534",,,,,,,,,,,,,
The Lunchbox (2013),"$800,271","$169,192","$1,574,498","$474,401","$121,582","$444,915",,,"$448,856","$34,372","$212,057","$171,202",,,"$16,423",,,,"$239,926",,,"$92,718",,,"$10,407",,,,"$16,871",,,,,"$144,673","$119,582",,"$227,751","$4,915","$116,840",,,"$19,021",,"$1,254,462",,,"$47,541","$185,048",$196,"$388,250",,,"$50,656",,"$4,235,151",,,,,,,,,,,,,
Yves Saint Laurent (2014),"$689,489","$252,295","$1,399,444","$13,933,172","$216,617","$726,355",,"$248,625",,"$26,779","$624,717",,,,"$67,086",,"$25,816",,"$80,891",,"$36,151","$120,048",,,"$73,347",,"$17,982",,,,,,,"$140,593","$278,672",,,,,,,,,"$411,064",,,,"$164,672",,"$6,166",,,,,,,,,,,,,,,,,,
The Invisible Woman (2013),"$1,373,682","$210,900","$47,630",,,,"$9,943","$2,459",,"$23,641","$77,382",,,,"$13,808",,,,,"$30,429",,"$38,369","$16,951",,"$17,887",,"$5,903",,"$2,736",,,"$4,514","$19,884",,,,,,,,,,,"$699,398",,,,,,"$157,118",,,,,,,,,,,,,,,,,,
Underdogs (2013),"$1,260,890","$3,941,325",,,,"$1,805,214","$56,806","$586,306",,,,,,,,"$95,439","$393,185",,"$10,792",,,,"$26,376",,"$22,751",,,"$16,270",,,,,"$28,950","$2,317,039","$1,678,128","$1,364,858","$14,270,781","$457,351","$594,773","$300,254","$274,072","$69,503","$133,594",,,"$1,294,601",,"$63,031","$993,221",,,"$34,632","$44,942",,,"$15,283","$570,000","$4,496",,,"$42,677",,,,,,,"$1,400"
"Like Father, Like Son (2013)","$81,441","$460,731","$26,458","$2,138,555","$156,135","$238,779",,"$8,767","$19,894",,"$200,760",,,,,,"$58,703",,"$14,228",,,"$19,430",,,,,,,,,,,"$6,521","$258,370","$132,286",,,"$19,357",,,,"$10,774",,"$100,219","$31,133,900",,"$43,163","$676,090","$861,599","$118,864",,,"$39,801","$10,722",,,,,,,,,,,,,,
The Railway Man (2013),"$8,455,269","$634,492","$133,018","$229,556","$133,009","$867,207","$81,885","$463,847",,"$61,221","$48,407",,,,"$45,451",,"$51,743",,"$71,336","$58,902",,"$22,193",,,"$18,555",,"$7,698",,,"$1,855",,,"$9,302","$285,834",,"$352,360",,"$66,310","$78,431","$19,439","$6,723",,,"$6,272,879",,,"$49,450","$22,240",,"$1,063,400",,,"$124,435",,,,,,,,,,,,,,,
Diana (2013),"$3,035,442","$547,818","$464,050","$2,388,571","$185,322","$1,391,339","$345,212","$914,475","$368,799","$47,759","$255,916",,,"$980,515","$278,056",,"$466,023",,"$106,525","$83,692","$108,498","$304,019","$47,428","$15,149","$188,874","$2,286","$176,184","$65,902",,"$9,296",,"$53,849","$24,320","$453,780","$421,390","$172,798","$156,325","$85,598","$79,665","$95,278",,"$39,859","$6,886","$1,408,278","$1,718,167","$594,313","$73,585","$122,277","$270,277","$301,363",,,"$137,664","$59,044",,,,,,,,,,,,,,
Chinese Puzzle (2013),"$101,704","$451,916","$797,098","$13,269,807",,"$175,162",,"$69,538",,"$67,512","$528,657",,,,"$36,675",,,,"$77,160",,"$21,028",,"$30,460",,,,"$6,636",,"$2,544",,,,,,"$189,475",,"$212,691","$41,618",,,,"$58,646","$3,678","$271,062",,"$153,070","$17,971","$38,303",,,,,"$7,363",,,,,,,,,,,,,,,
Ride Along (2014),"$6,931,768",,"$2,564,537","$29,419","$583,815","$205,035","$1,342,229",,,,"$191,465",,,,"$22,162","$244,373",,,"$147,067","$435,478","$187,394",,"$248,317","$88,021",,"$25,370",,,"$151,055","$75,311","$9,703",,,,,,,,,,,,,"$2,305,378",,,,,,,,,,,,,,,,,,,,,,,,
Breakaway (2011),"$172,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,623","$6,674",,,,"$6,899",,,,,,,,,,,,,,
Jack Ryan: Shadow Recruit (2014),"$5,579,249","$2,339,132","$2,268,689","$3,540,009","$1,364,869",,"$1,240,890","$126,238","$568,449","$90,247","$645,075","$401,901","$546,302","$372,144","$625,284","$530,406","$420,326",,"$254,151","$464,493","$226,697","$226,232","$139,455","$102,644","$41,442","$13,246","$79,442","$19,089","$215,518","$42,563","$21,448","$35,681","$22,215","$2,815,135","$1,756,432","$1,323,958","$344,216","$265,769","$405,480","$50,465","$187,770","$14,505","$23,438","$4,919,544","$4,949,111","$3,603,026","$856,810","$639,121","$2,195,358","$694,151",,"$508,336","$673,417","$1,092,620",,,"$26,210,000",,,,,,,,,,,
Divergent (2014),"$11,110,379","$4,187,988","$7,111,957","$12,418,719","$2,566,597","$3,269,278","$1,618,986","$682,819","$1,946,109","$442,589","$3,757,959","$1,799,643",,"$1,667,520","$963,060","$273,401","$763,952",,"$863,930","$237,994","$397,042","$1,033,559","$307,175","$224,148","$245,874","$69,623","$140,636","$99,696","$181,082","$136,169","$26,953","$67,298","$28,614","$7,797,101","$6,482,718","$2,906,845","$1,295,582","$933,915","$1,282,700","$1,111,666","$332,440","$161,954","$122,921","$9,805,295","$1,569,923","$6,663,129","$2,276,242","$1,135,055","$2,998,675","$2,148,949","$262,730","$1,644,662","$1,692,999","$1,489,105",,,"$12,320,000",,,,,,,,,,,
Devil's Due (2014),"$3,497,595","$182,063","$119,701","$1,466,073","$802,524","$317,363","$222,833","$141,597",,,,,,,"$201,365",,,"$100,868",,"$44,991",,,"$21,590","$216,748",,,"$26,059",,,,,,"$9,963","$3,543,448","$1,623,080","$555,446","$796,325","$454,665","$841,647","$586,413","$234,037","$32,267","$69,083",,,"$1,619,067","$343,490",,,,,"$221,116",,"$789,222",,,,,,,,,,,,,,
Concussion (2013),"$36,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeh Jawaani Hai Deewani (2013),"$1,649,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$574,592",,,,,,"$138,588","$24,801,783",,,,,,,,,,,,,,,,,
Over Your Cities Grass Will Grow (2010),"$18,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I, Frankenstein (2014)","$2,271,158","$854,277","$2,470,358","$2,221,308","$366,202","$950,827","$898,188","$241,924","$26,805","$304,410","$521,614",,,,"$1,417,108","$1,064,799","$469,950",,"$538,576","$113,091","$263,499",,"$119,306","$251,988","$139,788",,"$37,224","$54,551","$261,432","$12,204",,"$10,494","$2,477","$5,387,885","$5,878,797",,"$831,916","$1,030,352","$1,203,850","$577,373","$104,383","$5,080","$113,445","$318,233",,"$11,399,505","$1,101,916","$577,631","$1,576,079","$337,088",,"$381,108","$1,531,446","$1,926,244",,,"$7,560,000",,,,,,,,,,,
Nymphomaniac: Vol. I (2013),"$155,414","$624,968","$1,372,664","$438,177","$60,964","$1,161,824",,"$809,186","$190,935","$247,584","$413,610",,,"$1,013,050",,"$60,252","$89,642",,"$291,397",,"$32,831","$103,069",,,"$497,190",,"$46,498","$175,717","$34,492","$13,991",,"$26,056","$22,452","$882,628","$1,336,290",,,"$48,607","$251,618",,,,,"$38,317",,"$1,804,861",,"$108,335","$336,190","$20,670",,,,,"$785,896",,,,,,"$55,781",,,,,,,
I Saw the Sun (2009),"$7,020",,"$1,555,535",,,,,,,,,,,,"$12,824,420",,,,"$180,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stranger by the Lake (2013),"$243,243","$65,296","$87,403",,,"$133,172",,,,,"$27,438",,,,,,"$13,122",,"$29,046",,,,,,,,,,,,,,,"$122,390","$70,396",,"$11,824",,"$2,715",,,,,,,,,,"$24,896",,,,,,"$325,196",,,,,,,,,,,,,
Labor Day (2013),"$1,164,374","$626,902","$417,002","$205,479",,,"$93,170",,,,,,,"$647,165",,,"$24,847",,,"$58,405",,,"$16,504",,"$46,793","$2,566",,"$8,147",,,"$1,873",,,"$787,275","$171,069",,"$83,210","$49,673","$52,195","$36,268","$31,535","$14,397",,"$665,462",,,"$37,304",,,"$68,894",,,,"$59,667",,,,,,,,,,,,,,
The Young and Prodigious T.S. Spivet (2013),"$138,298","$280,309","$1,492,951","$5,633,054","$50,095",,"$13,847",,,"$46,632","$408,982",,,,,,"$6,763",,"$118,341",,,,"$9,142",,,,"$17,716",,,,,,,,"$85,761",,,,,,,,,,"$132,869",,,"$174,069",,,,,,,,,,,,,"$1,784",,,,,,,
The Prey (2011),$779,,,"$3,051,086",,,,,,,"$36,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,959",,,,,,,,,,,,,
Gloria (2013),"$93,427","$475,660","$792,289",,"$271,677","$1,076,085",,"$12,067","$96,601","$132,774","$71,136",,,,"$27,557",,,,"$102,647",,,,,,,,,,,,,,,"$64,430","$126,758",,"$7,480",,"$50,201","$797,613","$11,384",,,,,,,,,"$143,848",,,,,,,,,,,,,,,,,,
The Monuments Men (2014),"$10,239,935","$5,742,105","$6,477,176","$11,024,135","$2,253,161","$5,271,040","$394,695","$337,233","$1,223,052","$661,173","$1,235,391","$411,748","$348,067","$591,502","$549,316","$246,146","$930,428","$40,702","$639,132","$224,388","$368,623","$398,675","$116,197","$57,538","$205,262",,"$100,239","$92,899","$114,362","$30,889","$13,728","$54,986","$43,863","$1,753,510","$2,809,633","$314,396","$530,689","$207,870","$285,640","$235,035","$136,556","$55,839","$15,109","$8,075,296","$1,064,988","$2,069,493","$374,651","$602,220","$390,527","$1,182,136","$202,355","$165,096","$173,869","$202,324","$78,031,620",,"$7,390,000",,,,,,,,,,,
The Lego Movie (2014),"$56,890,654","$7,189,524","$13,186,119","$11,649,032","$4,429,895","$4,689,551","$1,293,821","$3,937,105","$2,512,566","$610,618","$2,763,810","$2,239,641","$1,371,007","$2,909,554","$839,124","$318,055","$1,086,024",,"$1,923,423","$949,538","$791,334","$1,808,878","$197,773","$101,636","$1,267,726","$66,862","$285,321","$581,463","$93,527","$271,163","$35,883","$111,443","$74,553","$10,004,633","$5,663,649","$2,372,628","$416,315","$1,211,817","$1,169,671","$1,868,661","$972,545","$146,210","$223,513","$27,757,563","$1,743,079","$6,108,299","$2,459,282","$1,919,875","$1,433,366","$3,582,781","$262,120","$1,161,725","$419,202","$1,331,532","$257,966,122",,,,,,"$95,145",,,,,,,
RoboCop (2014),"$13,333,956","$2,944,315","$5,177,375","$5,662,696","$1,111,674","$2,381,508","$1,569,094","$659,774","$1,789,572","$493,479","$129,996","$552,254","$464,135","$585,384","$682,764","$1,100,934","$667,468","$172,988","$629,567","$466,205","$298,350","$270,946","$158,607","$121,752","$254,663","$335,752","$147,921","$112,390","$186,609","$58,946","$68,140","$33,726","$25,918","$8,012,807","$14,246,934","$2,821,410","$1,976,144","$1,816,465","$2,045,660","$1,309,488","$1,024,743","$134,001","$390,722","$6,317,302","$4,033,472","$9,797,101","$3,035,339","$2,014,363","$6,876,965","$933,237","$794,574","$2,188,074","$2,366,356","$5,833,356",,,"$50,820,000",,,,,,,,,,,
The Art of the Steal (2013),"$13,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nymphomaniac: Vol. II (2013),"$92,015","$255,499","$539,594","$220,009",,"$459,498",,"$83,649",,"$107,007","$190,129",,,"$65,826",,"$52,148","$50,436",,"$127,682",,,,,,"$202,274",,"$21,188","$51,932","$20,307","$4,189",,"$12,913","$16,203","$350,019","$540,146",,,"$9,066","$68,389",,,,,,,"$999,934",,"$54,601",,,,,,,"$327,167",,,,,,"$12,905",,,,,,,
Haute Cuisine (2012),,"$758,005","$587,995","$7,753,225",,"$484,352",,"$7,304","$70,222","$40,962","$211,263","$31,113",,,,,"$4,406",,"$69,534","$35,503",,"$54,914",,,,,,,,,,,,"$127,595","$123,945",,,,"$47,564",,,,,"$590,682",,,"$5,438",,"$82,442","$205,595",,,,,,,,,,,,,,,,,,
Just Wright (2010),,"$19,758",,"$14,161",,"$10,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child's Pose (2013),,"$240,514","$236,409",,,"$142,120",,,,,"$6,694",,,,"$2,409",,,,"$22,835",,,,,,,,$961,,,,,,"$3,783","$35,458","$33,284",,"$66,906",,,,,"$13,091",,"$92,492",,,,,,,,,,,,,,,,,,,,,,,,
More Than Honey (2012),,"$1,279","$1,092,063",,,,,,"$9,251",,"$36,892",,,,,,,,"$371,958",,,"$10,904",,,,,,,,,,,,,"$3,769",,,,,,,,,,,,,,,,,,,,"$79,772",,,,,,,,,,,,,
Clandestine Childhood (2011),,"$77,939",,,"$5,001","$18,071",,,,,"$19,081",,,,,,,,,,,,,,,,,,,,,,,,"$171,152",,"$907,322",,,,,,,,,"$4,771",,,,,,,,,,,,,,,,,,,,,,
Twice Born (2012),,"$1,973,414",,,,"$6,728,725",,,,,,,,,"$315,396",,"$9,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,091",,,,,,,,,,,,,,,,,,
Captain Abu Raed (2007),,"$57,295","$10,473",,"$1,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,572",,,,,,,,,,,,,,,,,,,,"$3,434",,,,,"$6,098",,,,,,,,,
Measuring the World (2012),,"$5,209","$7,035,544",,,,,,,,,,,,,,,,"$840,362",,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,656",,,,,,,,,,,,,,,,,,,,,,
The Nutcracker: The Untold Story (2010),,"$258,466",,,,"$1,730,099","$114,516",,,,,,,,"$73,879","$298,820",,,,,,,,,,,"$16,694",,"$14,747",,,,,,,,"$4,233",,,,"$31,901",,,,,"$13,770,023",,"$63,187","$222,913",,,,,,"$195,459","$63,431",,,"$125,507",,"$60,510",,"$107,930",,"$25,678",,,
Una noche (2012),,"$7,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Family (2010),,"$17,071",,,,"$6,111,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowpiercer (2013),,"$100,632","$530,987","$5,306,545","$158,027","$1,264,864","$394,829","$106,320",,"$118,522",,,,,,,"$41,281",,"$74,571","$21,718",,"$219,134",,,,"$26,765","$5,149",,,,,,,"$341,256","$266,786",,,,,,,,,"$312,914","$816,302","$169,569",,"$260,479","$59,802,711",$192,,,"$488,059","$78,987",,,"$11,100,000",,,,,,,,,,,
Phase 7 (2010),,"$2,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$158,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School (2010),,"$27,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,699",,,,,,,,,,,,,,,,,,,,,,
Borgman (2013),,"$32,723",,"$49,529","$844,447",,,,,,"$23,448",,,,"$4,074",,,,,,,"$5,737",,,,,,,,,,,,,,,,,,,,,,,,"$34,578",,,,,,,,,,,,,,,,,,,,,,
Kauwboy (2012),,"$14,468",,,"$20,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,170",,,,,$482,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Ball Z: Battle of Gods (2013),,"$485,600",,,,"$1,285,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,465,917","$1,719,914","$1,051,114","$3,059,381","$1,840,479","$1,168,525","$1,352,247","$834,730","$46,334","$48,863","$117,258","$29,947,013",,,"$179,253","$204,072","$18,882",,"$22,553","$60,732",,"$2,553,002",,,,,,,,,,,,,
The We and the I (2012),,"$1,539",,"$251,433",,,,,,,,,,,,,"$2,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,172",,,,,,,,,,,,,
We Are What We Are (2013),,"$53,236",,,,,"$17,011",,,,,,,,"$7,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernest & Celestine (2012),,"$53,085",$309,"$6,470,088",,"$221,973",$890,,,,"$735,966","$118,594",,,,,"$4,743",,,,,,,,"$33,835",,,"$3,772",,,,,,,,,,,,,,,,"$59,196",,"$100,502",,"$19,211",,"$84,426",,,,,,,,,,,"$1,668",,,,,,,
The House of Branching Love (2009),,"$30,201",,,,,,,,,,,,,,,,,,,,"$1,801,039",,,,,,,,,,,,,,,"$10,306",,,,,"$5,202",,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy (2013),,"$194,169","$217,023","$1,122,752","$82,919",,"$52,267","$19,756",,"$93,397","$3,690",,,,"$11,718",,"$51,826",,,,,,,,,,"$7,011",,,,,,,,"$203,903",,"$59,052","$64,679","$20,792",,,,"$3,175",,,"$118,553","$45,922",,,,,"$22,731","$45,212",,,,,,"$18,951",,,,,,,,,
Xingu (2011),,"$5,932",,,,,,,,,,,,,,,"$2,969",,,,,,,,,,,,,,,,,,"$2,131,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bad Wolves (2013),,"$121,107",,"$136,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monsieur Batignole (2002),,"$300,134",,"$8,353,894",,"$241,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$153,453",,,,,,,,,,,,,,,,,,
Red Needles (2006),,"$13,515",,"$1,468,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Somewhat Gentle Man (2010),,,"$426,144",,,,,"$15,833",,,"$3,680","$1,232,271",,"$69,416",,,,,"$31,458",,,,,,"$3,584",,,,,,,,,"$23,278",,,,,,,,,,,,"$9,914",,,,,,,,,"$37,743",,,,,,,,,,,,,
My Piece of the Pie (2011),,,"$147,094","$8,735,527",,,,,,,"$155,131",,,,"$8,052",,,,"$17,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,056",,,,
Pianomania (2009),,,"$178,239",,,,,,,,,,,,,,,,"$47,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,639",,,,,,,,,
Death of a Superhero (2011),,,"$30,443",,,,,,,,,,,,,,,,"$1,904",,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,621",,,,,,,,,,,,,,,,,,,,,,
Fireworks Wednesday (2006),,,,"$29,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$90,519",,,,,,,,,,,,,
Saint Laurent (2014),,,,"$2,498,642",,,,,,,"$74,215",,,,,,,,,"$3,571",,,,,"$8,066",,"$6,472",,"$4,806",,,,,,"$57,785",,,,,,,,,,,,"$16,216","$31,680",,,,,"$39,256",,,,,,,,"$24,024",,,,"$8,031",,,
The Assault (2010),,,,"$4,228,029",,,,,,,"$114,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mystery of the Yellow Room (2003),,,,"$5,813,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$409,,,,,
The String (2009),,,,"$56,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pieta (2012),,,,,,"$582,059",,"$9,917",,,,,,,"$8,475",,,,"$2,049",,,,,,,,,,,,"$2,274,727",,,,"$17,173",,,,,,,,,,,"$46,256",,"$16,599","$3,635,108",,,,"$1,853",,,,,,,,,,,,,,,
When Darkness Falls (2006),,,,,,"$218,530",,,"$220,218","$2,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just Like a Woman (2012),,,,,,"$7,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Citizen (2012),,,,,,,"$24,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decoding Annie Parker (2013),,,,,,,"$8,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,543",,,,,"$48,390",,,,,,,,,,,,,
Wonderful and Loved by All (2007),,,,,,,,,"$2,221,447",,,,,,,,,,"$68,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Episode 3: 'Enjoy Poverty' (2009),,,,,,,,,,,"$1,660",,,,,,,,$557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wind Journeys (2009),,,,,,,,,,,$165,,,,,,,,,,,,,,,,,,,,,,,"$5,249",,,"$5,374",,,,,,$200,,,,,,,,,,,,,,,,,,,,,,,,,
North Sea Texas (2011),,,,,,,,,,,"$30,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,307",,,,,,,,,,,,,
One Small Hitch (2013),,,,,,,,,,,,,,,"$12,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,965",,,,,,,,,,,,,
The Right Kind of Wrong (2013),,,,,,,,,,,,,,,"$155,034",,,"$3,085",,,,,"$23,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,141",,,,,,"$1,803",,,,,,,,,,
Silmido (2003),,,,,,,,,,,,,,,,,"$16,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,540,528",,,,,,,,,,,,,,,,,,,,,,,
The Strange Little Cat (2013),,,,,,,,,,,,,,,,,,,"$6,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Better Living Through Chemistry (2014),,,,,,,,,,,,,,,,,,,,,"$45,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Obsession (2013),,,,,,,,,,,,,,,,,,,,,,"$17,851",,,,,,,,,,,,,,,,,,,,,,"$197,953",,,,"$9,220",,,,,,,,,,,,,,,,,,,,
Masquerade (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,416,146",,,,,,,,,,,,,,"$3,082,338",,"$17,871",,"$81,829,156",,,,,,,,,,,,,,,,,,,
