imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0462335,,High-Rise (2015),,,,,,,,,,,,,,,,,,"$346,472",,,,,,,,,,,,,,,,,,,,,,,,,"$18,430",,,,"$86,065",,,,"$1,566",,,,,,,"$2,498",,,,"$645,580",,,,,,"$160,878","$48,370",,,,,,"$5,713",,,"$43,591","$16,339","$2,913,572",,,
3530002,,The Night Before (2015),,"$1,920,809","$416,734",,"$20,527","$20,207",,"$75,595",,,,,,,,,,,"$58,507",,"$63,914",,,,"$1,186,316",,,,,"$71,045",,,,,"$743,349",,,,,,"$61,069",,"$90,963",,"$41,202",,"$189,309","$227,958",,,,,,,,,,"$228,566",,"$327,250",,,,,,,"$50,633",,"$52,286","$323,489",,,,,,,,"$287,200",,"$950,963",,"$1,426,855",
2625810,,Into the Forest (2015),"$54,748",,,,,,,,,,,,,,,,,,,,,,,,,,"$27,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505712,,Time Out of Mind (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,313",,,,,,,,,,,"$80,055",,,,,,,,,,,"$31,939",,,
4058500,,A Perfect Man (2015),"$45,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,463",,,,,,,,,,,,,,,,,,,,,,,"$14,054",,,,,,,,,,,,,,,
2719848,,Everest (2015),"$2,445,099","$7,352,404","$1,547,719",,"$909,628","$255,484","$1,837,939","$484,926",,,"$649,990","$15,446,746","$815,252","$151,513",,"$854,460","$569,436",,"$667,132","$118,024","$272,584",,"$527,878","$7,050,663","$9,361,585","$742,102","$991,038","$2,317,978","$811,224","$691,470","$3,063,683",,,"$3,000,000","$1,497,241","$5,107,872","$6,133,397","$79,463","$47,341",,"$203,103","$208,829","$225,804","$1,525,677","$8,232,318",,"$1,377,529","$1,555,533","$6,759","$1,111,048","$54,500",,,,"$1,484,490","$964,062","$3,074,161","$668,418",,"$802,659","$8,800,000","$10,483,022","$101,224","$1,676,596","$332,083","$257,396","$408,083","$2,692,488","$6,575,707","$1,465,820",,"$735,368","$1,468,147","$3,192,262","$606,942",,"$864,771","$1,357,145","$1,812,752","$15,794,142","$79,300","$2,538,157","$243,624"
2457282,,Puella Magi Madoka Magica the Movie Part III: The Rebellion Story (2013),,,,,,,,,,,,,,,,,,"$375,627",,,,,,,,,,,,,,,,,,,"$19,169,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,113",,,,,,,,,,,,,,,
3792960,,The Brand New Testament (2015),"$30,526",,"$296,124",,"$2,217,821",,"$69,858",,,,,,"$42,490",,,"$125,210",,,,,,,,"$5,773,091","$2,820,179",,"$36,972",,"$61,552","$7,169",,,,,,"$1,486,889",,,,,,,"$15,577",,,,"$305,247",,,"$84,059",,,,,,,"$437,596","$36,880",,"$23,731",,"$381,858",,,,,,"$650,358","$147,987",,,"$421,306","$39,799",,,,"$24,047",,,"$45,416",,,
0177882,,Kebab Connection (2004),,,,,,,,,,,,,,,,,,,,,,,,,"$879,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,612",,,,,,,,,,,,,,,,,"$81,085",,,,,,
3781476,,Monster Hunt (2015),,"$329,979",,,,,,,,,,"$382,490,000",,,,,,,,,,,,,,,,"$1,451,683",,,,,,,,"$1,138,689",,,,,,,,"$463,727",,,,"$84,293",,,,,,,,,,,,,,"$53,549",,"$473,420",,,,"$157,839",,,,,,,"$70,537",,,"$6,773",,,,,"$300,251"
3801934,,Wild City (2015),,,,,,,,,,,,"$23,670,000",,,,,,,,,,,,,,,,"$667,343",,,,,,,,,,,,,,,,"$283,059",,,,,,,,,,,,,,,,,,,,"$162,584",,,,,,,,,,,,,,,,,,,
1895587,,Spotlight (2015),"$646,897","$4,376,884","$621,189",,"$594,049","$39,337","$1,958,559","$49,756","$1,151",,"$266,344",,"$269,689","$81,892",,"$82,984","$562,614",,"$88,101",,"$59,767",,"$332,223","$4,548,141","$3,278,068",,"$521,156","$582,202","$255,701","$44,411","$333,530",,,,"$442,879","$4,614,517","$4,293,342",,,,"$19,420",,"$41,073",,"$1,321,049",,"$1,073,317","$544,964",,"$313,535",,"$47,422","$47,422","$13,098","$196,798","$33,933","$570,237","$590,136",,"$138,038",,"$123,951","$46,964","$276,108","$49,288","$33,513","$157,777","$1,936,411","$4,457,282","$509,234","$1,212,147","$190,586","$316,002","$605,214","$210,212",,"$279,543",,,"$9,142,744","$148,652","$43,025",
