imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Iraq,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Tunisia,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0483206,,The Wind Blows Round (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$659,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591123,,It Begins with the End (2010),,,,,,,,,,,,,,,,,,,,,,,,"$162,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,649",,,,"$22,091",,,,,,,,,,,,,,,
3715320,,Irrational Man (2015),"$815,783",,"$296,748","$230,314",,"$354,629",,"$826,596","$43,498",,,,"$91,210","$24,847",,"$98,750","$258,872",,,,"$6,600",,"$75,741","$6,348,367","$1,292,275",,"$649,962","$109,071","$65,914",,,,,"$3,676,258",,,,,"$28,015",,"$22,450",,"$123,318",,"$397,524","$41,701",,"$78,391",,,"$20,650",,"$979,219","$273,237",,"$54,873",,"$746,671",,"$24,037","$46,395","$7,034","$25,879","$134,097","$2,347,074","$47,813","$319,769","$231,460","$81,473","$14,406",,"$114,233","$34,310",,"$638,508","$73,487",,,
3278330,,Tale of Tales (2015),,,,"$42,939",,,,"$25,972",,,,,,"$3,378",,,,"$118,925",,,,,"$48,234","$631,293","$20,186",,"$35,046",,,,,,,"$3,276,144",,,,,,,,,,,,,,"$8,867",,,,,"$62,826","$8,413",,,,"$449,301",$824,,,,,"$193,818","$14,125","$9,908",,,,,,,,"$34,316","$515,762",,,,
0498525,,Lissi und der wilde Kaiser (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,005,817",,,,,,,,,,,,,,,,,,,,,
0451010,,One Missed Call 2 (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$131,569",,,,,,,"$9,062,843",,,,,,,,,,,,,,,,,,,,,,,"$106,560",,,,,,"$2,008,503",,,,,"$469,477",,,,,,,,,,
0978797,,One Missed Call 3: Final (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,462,907",,,,,,,,,,,,,,,,,,,,,,,"$162,279",,,,,,"$1,531,247",,,,,"$368,740",$695,,,,,,,,,
4126304,,Cartel Land (2015),,,,,,,,,,,,,,,,,,,,,,,,,"$58,107",,,,,,,,,,,,,,,,,,"$279,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,971",,,,
2631186,,Baahubali: The Beginning (2015),,,,,,,,,,,,"$1,112,291",,,,,,"$6,738,000",,,,,,,,,,,,,"$16,613,251",,,,,,,,,,,,,,,"$4,920",,,,,,,,,,,,,,,,,,"$18,963",,,,,,,,,,"$10,758","$49,855",,,,
3526408,,Yellowbird (2014),,,,"$98,003",,,"$8,851",,"$21,865",,,"$207,155",,,,"$40,593",,,,,"$92,065",,,,,,"$62,289",,"$101,878",,,,,,,,"$18,743",,"$60,498","$60,334","$91,655",,,,,,,,"$5,474",,,,"$1,055,173","$133,171",,"$178,917",,"$1,036,928",,,,,"$144,031",,"$33,142",,,,,,,"$185,166",,"$154,183",,,,,
3062976,,Learning to Drive (2014),,,"$177,472","$152,598",,,,,,,,,,,,,,,,,,,,,"$969,739",,"$38,525","$46,434",,,,,,,,,,,,,,,,,,"$210,396",,,,,,,,,,,,,,,,,,,"$879,123",,,,,,,,,,"$45,596",,,,
3162938,,The True Cost (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,618",,,,,,,,,,,,,,,,,,,,,
3461252,,The Blue Elephant (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$342,698",,"$331,717",,,,,
3411432,,All Creatures Big And Small (2015),"$157,480",,,"$418,625",,"$316,394","$122,942","$390,005","$185,430",,"$125,955","$1,830,151","$10,205","$161,749",,"$34,844",,,"$363,674",,"$118,735",,,"$3,354,765","$1,695,025",,,,"$117,974","$45,797",,,,"$377,887",,"$1,571","$11,763",,"$47,852","$6,249","$104,630","$50,649","$877,937",,"$405,994",,,,,,"$421,305",,"$1,074,458","$206,536",,"$70,134",,"$1,377,038","$13,677",,"$79,949","$6,524",,"$1,354,131","$839,933",,,,,,,,"$132,755",,"$3,809,182","$19,598","$2,044,197",,
1798684,,Southpaw (2015),"$242,708",,"$3,722,359","$493,232",,"$545,436","$11,128","$75,437","$94,874",,"$70,765","$1,168,081",$748,"$41,605",,"$102,181","$227,440",,"$51,928",,"$92,127",,"$114,915","$4,432,922","$2,509,359",,"$411,263","$262,727","$20,612","$52,794","$74,605",,,"$1,371,785",,"$58,534",,,"$39,149","$187,188","$49,679","$122,949","$1,366,459",,"$291,527","$340,433",,"$187,617","$1,311",,"$97,511","$40,861","$514,776","$94,927",,"$318,363",,"$722,893",,"$194,131","$124,373",,"$119,313","$618,471","$517,708","$496,294","$218,562","$418,324","$659,915","$134,091",,"$262,496","$46,546","$744,152","$12,283,085",,,,
3397884,,Sicario (2015),"$332,549","$10,391","$3,834,030","$329,982","$113,841","$486,901","$15,382","$199,001","$133,297","$12,800","$152,457",,,"$50,916","$10,236","$100,237","$319,221","$46,889,293","$48,711","$22,500","$35,150",,"$201,027","$2,669,472","$2,363,150","$162,230","$162,230","$351,255","$187,339","$61,231","$81,220","$26,478","$332,378","$923,268","$1,043,808","$55,260","$42,168","$228,308","$31,093","$214,119","$51,047","$144,984","$2,234,320","$13,500","$591,864","$361,414","$85,314","$208,402","$31,571","$26,192","$68,637","$70,549","$551,861","$250,915","$156,345","$222,461",,"$340,772",,"$387,669","$71,167","$8,208","$140,362","$998,475","$1,954,488","$440,373","$40,449","$471,917","$364,324","$332,363",,"$92,437","$137,161","$1,045,911","$7,236,353","$30,478","$86,468","$48,230","$52,802"
3086442,,Goodnight Mommy (2014),"$110,662",,,"$50,699",,,,"$72,477",,,"$315,975",,,,,,,,"$70,869",,,,,,"$3,798",,,,,"$5,056",,,,,,,,,,,,,"$353,034",,,,,,,,,,"$2,313",,,"$1,813",,,,,,,,,,,,,,,,"$10,145",,,"$18,437",,,,
2191765,,One Wild Moment (2015),,,,,,,,"$8,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149038,,A Brilliant Young Mind (2014),,,"$176,435",,,"$20,557",,,,,,,,,,,,,,,,,,,,,,"$74,224",,,,,,,,,,,,,,,,,"$24,231","$112,608",,,,,,,,,,,,,,,,,,,,,,,,"$19,951",,,,,"$443,821",,,,
0443465,,Before We Go (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$56,996",,,,,,,,,,,,"$62,686",,,,,,,,,,,,,,"$15,047",,,,,,"$9,064","$58,924",,"$20,118",,,,,,"$11,833",,,"$67,587",,"$123,469",,,,,
2614860,,Marina (2013),,,,,,,,"$73,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157631,,Dog Eat Dog (2008),,,,,,,,,,,,,"$671,736",,,,,$80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0884335,,Chrysalis (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3526706,,Chevalier (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,061",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,114",,,,,,,,$899,,,,,,,,,,,,,"$23,820",,,,
2401878,,Anomalisa (2015),"$22,916",,,"$29,226",,"$68,924",,"$80,942",,,,,,,,,,,"$7,117",,,,,"$167,895","$123,592",,,"$35,919",,"$6,403",,,,"$42,217",,,,,,,,,"$54,745",,,,,,,,"$3,468",,"$6,818","$13,271",,,,,,"$23,288",,,"$9,666","$81,861","$71,906",,,,"$21,912","$9,865",,,,"$8,711","$321,379",$458,,,
4005402,,Colonia (2015),,,,"$151,962",,,,,,,,,,,,"$91,707",,,,,,,,"$882,273","$1,965,877",,,,,,,,,"$185,421",,,,,,"$15,907",,,,,,,,,"$5,460",,,,,,,,,"$98,172",,,"$26,666","$1,295",,,"$15,038",,,"$75,610",,"$31,424",,,"$4,398","$54,127",,,,,
