imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Iraq,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Tunisia,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
1741273,,Secret in Their Eyes (2015),"$591,504",,"$1,085,906",,,,,"$792,664","$40,383",,"$155,441",,"$113,226",,,"$94,399","$55,062",,,,,,"$43,991",,"$396,793",,"$87,828","$240,175","$218,547",,,,,"$824,727",,,,,,"$187,967","$11,042",,"$1,856,632",,,"$162,716",,"$68,505","$2,593",,"$134,830",,"$366,015","$167,779",,"$209,282",,"$675,222",,,"$41,283","$7,163","$265,998","$104,397","$472,499","$36,940",,"$138,406","$452,712",,,"$207,675","$75,339","$401,067","$162,482","$41,022",,"$51,747",
2752772,,Sinister 2 (2015),"$428,364",,,"$422,483",,"$404,589","$127,993","$1,610,912",,,"$329,339",,"$454,985","$16,702",,"$230,196","$247,065",,"$252,330",,"$17,231",,"$290,381","$1,771,859","$2,005,876",,,"$19,326","$117,721",,,,,"$819,807",,"$71,086",,,"$43,150","$23,321","$51,558","$814,433","$2,520,742",,"$456,053",,,"$261,761",,,"$562,375","$232,810","$720,993",,,"$128,606",,"$2,335,537","$29,108","$306,105","$117,453",,,,"$503,486","$514,261",,,"$120,190","$57,809",,"$160,886","$100,314","$150,527","$4,838,437","$78,610","$821,425",,
4084744,,Battle for Sevastopol (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,148",,"$13,130",,,,,,,,,,,,,,,,,"$8,405,850",,,"$49,828",,,,,,,,,,,,"$614,548",,,,,,
1224369,,Made in Hungaria (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$929,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,611",,,,,,,,,,,,,,
2371411,,Painted Skin: The Resurrection (2012),,,"$104,860",,,,,,,,,,,,,,,,,,,,,,,,,"$1,176,506",,,,,,,,,,,,,,"$489,845",,,,"$96,381",,,,,,,,,,,,,,"$470,204",,,,,,,,,,"$67,138",,,,,,,,,
2552296,,Ghadi (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$579,164",,,,,,,,,,,,,"$3,577",,,,,,,,,,,,"$66,572",,,,,,,,,"$19,457",,,,,
2476552,,West (2013),,,,,,,,,,,,,,,,,,,,,,,,,"$110,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$110,117",,,,,,,,,,,,,,
2911342,,Dragon Nest: Warriors' Dawn (2014),,,,,,,"$8,155",,,,,"$8,810,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$105,513",,,,,,,,,"$99,109",,,,,,"$494,150",,,,,,"$36,508",,,,,,,,,,,,,,,
3397918,,Harbinger Down (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,430",,,,,,,,"$23,976",,,,,,,,,,,,,,,,,,,
3316948,,American Ultra (2015),"$112,587",,"$368,628","$107,408",,"$167,138","$11,861","$36,535","$63,453",,"$61,094","$3,010,322",,,,"$32,045",,,"$73,991",,"$54,946",,,"$2,255,212","$477,035",,,"$127,705",,,,,,"$262,131",,"$21,594",,,"$19,684","$41,743","$21,306",,"$48,342",,"$184,347",,,,"$9,057",,"$59,336","$21,650",,"$47,030",,"$82,071",,"$2,135,533",,,"$41,767",,"$64,453",,"$543,578",,"$37,689",,"$418,058","$165,782",,"$70,258","$49,430","$534,374","$982,216",,,,
1781922,,No Escape (2015),"$848,854",,,,,,,"$126,430",,,"$184,331",,"$535,308",,,,"$82,972",,"$74,243",,,,"$20,127","$1,243,443",,,"$204,331","$1,575,878",,"$28,378","$32,445",,,"$831,783",,"$16,267",,,"$14,224","$181,799",,"$176,846","$2,047,373",,"$233,021",,,,"$1,587",,"$505,105","$63,398",,"$215,086",,,,"$52,060",,"$219,101",,,"$76,793","$300,776","$1,000,930","$162,412",,,"$134,043","$93,684",,"$221,074",,"$1,158,076","$1,875,129","$34,675",,"$61,983",
1398426,,Straight Outta Compton (2015),,,"$8,733,790","$269,782",,"$285,261",,"$92,824","$1,652",,,,,"$25,123",,"$36,815","$232,046",,,,"$32,860",,"$289,950","$3,447,640","$5,355,084",,,,,"$119,607",,,"$130,136","$641,650","$166,982",,"$4,676",,,"$6,076",,,"$371,425",,"$950,508","$789,751","$3,253","$469,094","$2,703",,,"$10,086","$244,462",,,,,"$147,425",,"$37,674","$3,837",,"$134,837","$356,286","$213,348","$583,296","$185,937","$972,508","$250,277","$15,296",,,,"$128,965","$12,216,965",$497,,,
3813310,,Cop Car (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,381",,,,,,,,,
2205948,,Puella Magi Madoka Magica the Movie Part 1: Beginnings (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,635,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125652,,Pasolini (2014),,,,"$16,461",,,,,,,,,,,,,,"$30,757",,,,,,,,,"$13,471",,,,,,,"$347,240",,,,,,,,,,,,,,,,,,,,"$18,598",,,,,,,,,,,"$124,665",,,,,,,,,,,,,,
0488870,,Always: Sunset on Third Street (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,754",,,,,,,"$25,492,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$97,301",,,,,,,,,,
2072230,,Attack on Titan Part 1 (2015),,,"$173,046",,,,,,,,,,,,,,,,,,,,,,,,,"$1,407,115",,,,,,,"$25,786,343",,,,,,,"$201,197",,,,"$49,528",,,,,,"$668,086",,,,,,"$302,422",,"$583,912",,,,,,,,,"$600,667","$560,656",,,"$28,163",,,,,,
0106417,,Sailor Moon R: The Movie: The Promise of the Rose (1993),,,,,,,,,,,,,,,,,,"$619,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3824458,,Tangerine (2015),,,"$11,225",,,,,"$21,910",,,,,,,,,,"$702,354",,,,,,"$16,458",,,,"$7,778",,,,,,,,,,,,,,,"$9,913",,,"$18,188",,,,,,,"$1,744","$1,152",,,,,,,,,,"$14,006",,,,,,"$6,995",,,,,"$28,376",,,,
1708135,,13 Minutes (2015),,,,"$37,212",,"$10,512",,,,,,,"$76,196",,,,,,,,,,"$3,785",,"$858,772",,,,,,,,,,,,,,,,,,,,,"$36,692",,"$26,762",,,,,,"$12,802",,,,"$15,044",,,,,,,"$47,037",,,,,,,"$41,888",,,,,,,
4255626,,I Kissed a Girl (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706598,,Every Secret Thing (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,197",,,,,
3313908,,Women Who Flirt (2014),,,"$95,656",,,,,,,,,"$36,720,000",,,,,,,,,,,,,,,,"$1,717,934",,,,,,,,,,,,,,"$167,001",,,,"$18,374",,,,,,,,,,,,,,"$61,672",,,,,,,,,,,,,,,,,,,
0466043,,Khottabych (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,382,540",,,,,,,,,,,,,,,,,,,,,
2637378,,Match (2014),,,,,,,,,,,,,,,,,,"$37,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,192,080",,,,,,,,,,,,,,,"$242,801",,,,,,
2446980,,Joy (2015),"$314,194",,"$5,828,619","$527,184","$67,881","$445,375","$37,195","$1,358,552","$54,581",,"$60,278",,"$99,743","$94,132",,"$51,229","$693,952",,"$82,718",,,,"$385,359","$3,323,140","$2,204,519",,"$288,617","$608,525","$129,855","$43,019","$220,995",,"$608,906","$2,792,298",,,"$11,316",,"$22,513","$107,161","$50,453","$26,260","$1,409,739",,"$880,621","$749,409",,"$576,149","$13,847",,"$159,701",,"$344,828","$459,621","$47,931","$114,564",,"$543,431","$34,940","$260,155","$34,039","$32,672","$163,253","$1,160,224","$3,137,235","$980,971","$269,809","$715,162","$1,188,104","$86,391",,"$247,865","$43,761","$532,617","$6,850,975","$59,810",,,
1242457,,Taras Bulba (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,054,215",,,,,,,,,,,,,,,"$1,834,005",,,,,,
1606652,,PiraMMMida (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,169,868",,,,,,,,,,,,,,,,,,,,,
1976009,,Victor Frankenstein (2015),"$737,337",,,,"$12,395",,"$124,954","$2,228,410","$59,699",,"$288,011",,"$483,324",,,"$42,385",,,"$364,171",,,,,"$996,428",,,,"$593,595",,,,,,"$169,460",,,"$12,985",,,"$19,110",,"$1,096,145","$5,176,528",,,,,,"$13,466",,"$707,410",,,,"$17,123","$80,168",,"$3,205,055","$20,859","$327,433","$28,005",,"$42,638",,"$82,621",,,,"$406,880",,,"$92,283","$389,365",,"$1,395,831","$11,244","$2,932,106","$399,098",
3170902,,Theeb (2014),,,,,,"$26,215",,"$27,934",,,,,"$19,982",,,,,,,"$6,230",,,,,,,,,,,,$488,,,,"$54,991",,"$72,115",,"$4,547",,,,,,"$37,684",,"$102,000","$7,474",,,,,,$664,,,,,,,"$1,763",,,"$15,356",,,,,,"$1,309",,,"$32,638","$74,035",,,,
4635372,,Masaan (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$530,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4819514,,Go Away Mr. Tumor (2015),,,"$124,830",,,,,,,,,"$80,120,000",,,,,,,,,,,,,,,,"$40,590",,,,,,,,,,,,,,,,,,"$21,460",,,,,,,,,,,,,,,,,,"$13,374",,,,,,,,,,,,,,,
3802576,,Brothers (2015),,,"$83,223",,"$121,033",,,,,,,,,,,,,"$613,775",,,,,,,,,,,,,"$17,012,208",,,,,,,,,,"$1,160","$19,736",,,,"$102,999",,,"$150,466",,,,,,"$131,155",,,,,,,,,,,,,,,,,,,"$1,236,953","$222,902",,,,
4600952,,The Guardians (2017),,,,,,,"$156,886","$140,183","$52,304",,,"$2,877,806","$168,675",,,"$9,728",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,160,864",,,,,,,,,,,,,,,"$4,803,565",,,,,,,,,,,,"$356,898",,,,"$36,065",,"$2,509",,,
0940656,,Arthur 3: The War of the Two Worlds (2010),,,,,,"$1,260,038",,,"$92,717",,,,,"$115,004",,"$56,808","$299,218",,,,,,"$140,522","$27,367,493",,,"$179,075",,"$68,234","$26,872",,,,"$498,181",,,,,,"$5,873",,,,,"$101,439",,,"$205,755",,,,,"$343,640","$138,198",,,,"$1,085,296","$36,861",,,,,"$366,645","$1,171,965","$238,864",,,"$27,212",,,,,"$60,069",,,,,
1699745,,Captive (2012),"$21,333",,,,,,,"$18,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,880",,,,,,,,,,,,,"$16,081",,,,,,,,,,,,,,
2474958,,Kill Your Friends (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$86,630",,,,,,,,,,,,"$34,544",,,,,,,,,
3289728,,Equals (2015),,,,,,"$15,841",,,"$4,129",,,,,,,,,,,,"$7,608",,,,,,,"$11,562",,,,,"$35,133","$329,680","$3,087",,,,"$4,139",,,,,,"$39,143",,,,,,"$12,202","$94,094",,"$15,566",,,,"$455,753",,"$93,555",,,"$7,583","$467,098",,,,,"$83,868","$132,770",,"$70,377","$26,445","$24,369",,,,"$30,945",
1727776,,Scouts Guide to the Zombie Apocalypse (2015),,,"$670,632","$101,501",,,"$203,823","$1,285,548",,,"$114,835",,"$297,047",,,,,,"$119,378",,"$16,452",,,,"$506,480",,,"$1,288,139",,"$35,798",,,,,,,,,"$24,367",,"$13,431",,"$2,030,837",,"$62,102","$52,662",,$480,,,"$688,538","$266,907",,"$55,092",,,,"$491,354",,"$336,959",,"$22,339","$21,733",,,,,,"$940,808","$110,846",,,,,"$819,197",,"$626,226",,
3362914,,We Come as Friends (2014),,,,"$23,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3077214,,Suffragette (2015),,,"$2,910,615","$338,823",,"$142,244",,"$444,748",,,"$18,328",,"$17,769",,,,"$131,456",,"$12,564",,,,"$129,184","$304,257","$2,036,701",,"$46,439","$73,402",,"$10,545",,,,"$1,263,230",,,,,,,,,"$146,913",,"$235,586","$798,145",,"$147,907",,,"$43,316",,"$68,830","$297,876",,,,,,"$33,988",,"$3,926","$45,726","$189,500","$1,604,077","$1,404,284","$65,025",,"$35,412","$4,742",,"$54,157",,"$11,992","$14,074,045","$26,222","$97,702",,
4298958,,Sweet Bean (2015),"$8,340",,,"$92,842",,"$103,174",,"$34,844",,,,,,,,,,"$124,800",,,,,"$65,661",,,,,"$167,499",,,,,,"$343,939","$2,562,291",,,,,,"$6,951",,,,,"$36,456",,"$134,449",,,,,,"$28,611",,,,,,,,"$6,584",,"$188,040","$817,724",,,,,,,,,,"$6,145",,,,
3900206,,Flowers (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,722",,,,,,,,,,,,,,
1779824,,The Marquis (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,521",,,,,,,,,,,,,,,,,,,,,
2088883,,Rising from Ashes (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4593108,,The High Sun (2015),"$67,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730695,,Blades of Blood (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,258,631",,,,,,,,,,,,,,,
4768764,,Veteran (2015),,,"$184,651",,,,,,,,,,,,,,,,,,,,,,,,,"$43,861",,,,,,,,,,,,,,,,,,"$48,039",,,,,,,,,,,,,,,,,,"$92,838,964",,,,,,"$1,544",,,,,,,,"$75,334",
3501416,,Assassination (2015),,,"$223,922",,,,,,,,,"$6,730,000",,,,,,,,,,,,,,,,"$187,249",,,,,,,,,,,,,,,,,,"$64,448",,,,,,,,,,,,,,"$61,014",,,,"$86,915,500",,,,,,"$2,993",,,,,,,,"$29,965",
