imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1617661,,Jupiter Ascending (2015),,"$4,049,140","$644,135",,"$840,405","$240,779","$4,126,103","$489,728",,"$815,544","$44,620,000",,"$116,661","$314,493","$419,248",,,"$877,104",,"$173,402","$276,549","$5,572,135","$4,892,483",,"$200,782","$923,871","$545,271","$52,107","$344,331",,"$262,573","$2,196,060","$1,060,714","$47,748","$354,394","$111,434","$153,268","$105,846","$2,390,940","$3,826,366","$1,136,300","$907,350",,"$206,591","$120,225",,"$922,045",,"$735,302","$651,408",,"$829,349","$10,023,110","$51,550","$700,221","$202,937","$15,563","$539,001","$2,043,766","$2,188,763","$527,909",,,,"$1,920,541","$1,158,293","$1,020,594","$70,253","$1,348,850","$6,551,281","$52,755","$1,420,052",$112
1291150,,Teenage Mutant Ninja Turtles (2014),"$3,713,727","$15,627,840","$1,275,647",,"$1,603,949","$745,655","$19,219,133","$670,893",,"$2,290,873","$62,130,000","$6,066,880","$307,047","$733,536","$793,792",,"$53,624","$2,207,577","$248,593",,"$649,548","$16,347,373","$10,253,688",,"$41,130","$1,058,353","$378,407","$183,902","$1,189,105",,"$937,677","$4,563,212","$8,827,229",,"$54,199",,"$361,096",,"$5,263,569","$18,214,290","$1,304,099","$2,152,806","$49,758","$873,229",,,"$3,583,364","$3,013,681","$849,496","$434,692",,,"$28,916,123","$142,738","$3,244,553","$264,858","$117,201","$1,135,560","$2,592,317","$4,060,024","$1,652,941",,,,,"$2,325,532","$1,703,941","$1,560,525","$2,976,029","$21,569,311","$250,529","$3,470,371",
2481480,,Rob the Mob (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$920,,,,,,,
0435651,,The Giver (2014),"$87,845","$1,384,251","$116,496",,,"$8,984","$2,806,386","$51,105",,"$77,409",,,,"$86,069",,,,"$59,612",,,,"$1,589,461","$984,252",,"$45,068","$477,309","$201,960","$19,035","$48,922",,,"$1,962,293",,,,,"$15,425",,"$234,036","$1,274,913",,"$260,696",,$260,,,"$67,888","$188,077","$1,110,727","$128,177",,,"$3,492,812",,"$103,751","$18,068","$8,774","$138,821","$605,023",,,,"$69,710",,,,"$154,216","$47,914","$67,794","$519,087","$2,324",,
1396523,,Revenge of the Green Dragons (2014),,,,,,,,,,,,,,,,,,,,,,,,,,"$47,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568924,,Cane Toads: The Conquest (2010),,"$10,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,472",,,,,,,,,,,,,,,,,,,,
1924435,,Let's Be Cops (2014),,"$3,528,968","$1,319,476","$643,839",,"$20,519",,"$356,751",,"$143,625",,"$245,684","$165,139","$154,175","$1,120,384",,"$29,696","$99,992","$68,784",,"$426,756","$1,188,933","$6,033,903","$5,467",,"$997,510","$615,758","$168,495",,,"$2,160,104","$94,066",,,,"$40,520","$365,943",,,"$717,309","$3,404,167","$637,657","$28,453","$1,368,560",,,"$127,426","$60,070","$431,701","$958,403",,,"$4,778,569","$64,401","$465,949","$82,863","$38,095","$301,263",,"$1,251,994","$2,108,368",,,,"$459,792",,"$114,425","$336,077","$1,824,988","$8,602,722",,"$423,740",
1262990,,Paradise (2013),,,,,,,$420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,906",,,,,,,,,,,"$2,372",,,,,,,
1244496,,Aleksandr. Nevskaya bitva (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,783,062",,,,,,,,,,,,,,,,,,,,
2436046,,Antboy (2013),,,"$7,155",,,,,,,,,,,,"$1,915,529",,,,,,"$6,214",,"$17,340",,,,,,,,,,,,,,,,,,,,,"$35,807",,,,,,$378,,,,"$10,864",,,"$1,657",,,,,,,,,,,,,,,,
1401636,,Switch (2011),,,,,"$7,523",,,,,,,,,,,,,,,,,"$2,312,076",,,,"$257,762",,,,,,,,,,,,,"$386,427",,,,,,,,,,,,,,,,"$113,606",,,,,,,,,,,"$60,873",,,"$472,468",,,,
2091325,,Bad Johnson (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,743",,,,,,,,,,,,,,,,,,
3097204,,The Inbetweeners 2 (2014),,"$6,598,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$473,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
