Movie Name,France,Belgium,Colombia,Domestic,Portugal,United Kingdom,Greece,Russia/CIS,Argentina,Australia,Mexico,Bolivia,Taiwan,Hong Kong,Germany,Sweden,Austria,Norway,Switzerland,Finland,Denmark,Netherlands,Poland,Hungary,Czech Republic,South Africa,Iceland,Türkiye,Spain,Italy,Bulgaria,United Arab Emirates,Slovakia,Serbia and Montenegro,Romania,Brazil,New Zealand,Singapore,Egypt,Lebanon,Puerto Rico,Venezuela,Peru,Ecuador,Central America+,Uruguay,Japan,Malaysia,South Korea,Thailand,Chile,Russia,Kuwait,Bahrain,Qatar,East Africa,Jordan,Estonia,Nigeria,Latvia,Oman,Croatia,Lithuania,India,Philippines,Indonesia,China,Middle East/UAE,Czech Republic/Slovakia,Israel,Slovenia,Lesser Antilles,Dominican Republic,Jamaica,Ukraine,Russia/CIS/Ukraine,Baltic States,Central America,West Indies,Cyprus,Kenya,Curaçao,Vietnam,Switzerland (German),Switzerland (French),Switzerland (Italian),Middle East Other,Pakistan,North Macedonia,Sri Lanka,Netherlands Antilles,Lebanon/United Arab Emirates
Kes (1969),"$1,741",,,,,"$60,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brodeuses: A Common Thread (2004),"$1,254,145",,,"$26,042",,,,,"$20,579",,,,"$5,460",,"$68,111",,,,,,,,,,,,,,,"$399,994",,,,,,,"$43,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unleashed (2005),"$5,388,580","$306,871",,,"$197,490","$2,586,265","$43,200",,"$77,892","$2,024,943","$850,548",,"$283,157","$449,089","$2,918,306",,"$245,195","$19,395","$142,189","$28,505",,"$186,116","$104,583",,"$72,013","$189,871","$44,592","$245,858","$2,772,470","$531,476","$40,229","$345,182","$23,129",,"$28,515","$227,728","$249,447",,"$22,460",,,,,,,,"$3,022,463",,"$2,007,983","$298,400","$31,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Wars: Episode III - Revenge of the Sith (2005),"$56,861,798","$4,894,503","$1,609,776","$380,270,577","$2,100,790","$72,827,146","$1,390,276","$8,269,382","$2,368,526","$27,286,605","$15,276,917","$305,835","$3,241,852","$2,531,147","$47,301,389","$7,748,924","$4,611,122","$4,037,450","$4,775,784","$2,784,340","$5,605,203","$4,704,603","$4,266,950","$3,140,982","$1,111,774","$1,644,087","$464,583","$1,655,890","$23,789,750","$11,301,748","$511,077","$916,027","$150,374","$153,530","$392,713","$7,323,519","$4,182,607","$2,501,307","$53,429","$74,341","$2,048,489","$1,360,203","$1,611,447","$666,571","$1,687,269","$134,185","$82,665,136","$1,668,063","$10,862,110","$2,491,185","$3,456,204","$9,462,812",,,,,,"$135,877",,"$131,303",,"$448,714","$102,573","$747,344","$2,299,165","$589,179","$9,128,645",,"$1,274,881","$803,595","$235,856","$218,907","$185,871","$73,531",,"$9,462,812",,,,,,,,,,,,,,,,
Monster-in-Law (2005),"$3,372,475","$639,120","$195,861",,"$936,027","$12,018,392","$2,099,150","$2,057,999","$727,444","$6,920,116","$5,109,524","$24,511",,,"$6,272,334","$649,096","$1,557,557","$394,172","$787,872","$604,314","$622,616","$192,608","$784,804","$335,344","$155,565","$1,242,149","$135,553","$847,006","$6,567,397","$5,173,546","$95,110","$430,081","$45,879","$70,047","$139,131","$4,374,546","$409,716","$621,699","$95,909","$126,202","$838,934","$482,481","$325,810","$119,719",,,,,"$510,967","$295,837","$165,256",,,,,,,,,,,"$79,492",,,"$370,692","$163,295",,,"$210,159","$609,070","$305,425",,,,"$398,979",,"$210,984","$508,268","$99,786",,,,,,,,,,,,,
Deep Blue (2003),"$5,196,870",,,"$132,261",,"$208,219",,,,"$491,879",,,,,"$5,445,518",,"$341,289",,,,,,,,$846,,,,"$163,754","$434,366","$11,283",,"$3,432",,,,"$107,468",,,,,,,,,,"$6,751,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar (2005),"$22,506,646","$5,134,065","$2,892,373",,"$3,535,907","$40,190,822","$1,769,796","$7,461,616","$4,933,447","$19,539,058","$18,328,833",,"$3,906,162","$2,885,257","$42,605,461","$4,514,955","$5,960,593","$5,788,140","$7,715,868","$1,865,445","$3,932,213","$6,254,920","$5,771,136","$1,882,169","$1,222,997","$2,285,746","$475,305","$1,101,105","$16,372,728","$28,044,781","$290,819","$647,285","$303,864","$53,063","$103,589","$11,724,562","$3,587,965","$2,150,865","$42,492","$163,214",,"$1,287,462","$938,867","$475,557","$2,520,012",,"$20,243,457","$1,216,434","$9,754,887","$665,411","$2,248,679","$7,655,466",,,,,,"$82,972",,"$174,914",,"$357,135","$102,192","$335,263","$941,733","$533,716","$3,399,000","$1,606,720","$1,472,974","$2,958,532","$242,837",,,,"$953,409",,,,,"$190,647","$54,500",,,,,,,,,,,
The Longest Yard (2005),"$22,304",,"$105,380",,"$303,551","$8,282,250",,"$1,161,220",,"$8,123,714","$2,722,170","$16,047",,"$35,736","$1,741,318","$228,907",,"$207,983",,,"$400,469",,,"$188,040",,"$1,055,444","$154,718",,"$716,446","$400,180","$67,068","$523,628",,"$39,014","$110,386",,"$1,387,872","$481,303","$119,793","$81,502",,"$367,565","$118,369","$89,689","$290,353","$12,647","$179,471","$136,948",,"$226,328","$36,669","$1,411,769","$326,077","$147,144","$81,205","$32,760","$111,320","$46,912","$32,578","$50,217","$39,660","$31,524",,"$122,792","$431,159",,,,,"$214,381","$108,891",,,,,,,,,,,"$24,225",,,,,,,,,,
Cinderella Man (2005),"$2,132,066","$522,398",,,"$476,166","$4,178,054","$568,200","$528,515","$348,258","$4,558,675","$3,221,978",,"$385,688","$282,498","$666,350","$187,912","$220,841","$353,738","$467,799","$81,547","$127,629","$379,734","$192,774",,"$53,476","$158,893","$34,246","$979,052","$3,905,918","$3,401,719","$30,091","$164,222","$7,879","$10,443","$45,824","$488,982","$330,455",,"$40,677","$49,069",,,,,,,"$10,149,037",,"$2,785,002",,"$87,355",,,,,,,,,,,,,,,,,,,,,,,,"$109,650",,,,,,,,,,,,,,,,,
Lords of Dogtown (2005),"$340,379",,,,,"$90,721",,,,"$247,737","$82,268",,,,"$173,098","$44,769",,,"$16,989","$63,068",,,,,"$70,029",,,,"$47,018","$280,461",,,"$3,862",,,,"$14,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
