Movie Name,France,Belgium,Colombia,Domestic,Portugal,United Kingdom,Greece,Russia/CIS,Argentina,Australia,Mexico,Bolivia,Taiwan,Hong Kong,Germany,Sweden,Austria,Norway,Switzerland,Finland,Denmark,Netherlands,Poland,Hungary,Czech Republic,South Africa,Iceland,Türkiye,Spain,Italy,Bulgaria,United Arab Emirates,Slovakia,Serbia and Montenegro,Romania,Brazil,New Zealand,Singapore,Egypt,Lebanon,Puerto Rico,Venezuela,Peru,Ecuador,Central America+,Uruguay,Japan,Malaysia,South Korea,Thailand,Chile,Russia,Kuwait,Bahrain,Qatar,East Africa,Jordan,Estonia,Nigeria,Latvia,Oman,Croatia,Lithuania,India,Philippines,Indonesia,China,Middle East/UAE,Czech Republic/Slovakia,Israel,Slovenia,Lesser Antilles,Dominican Republic,Jamaica,Ukraine,Russia/CIS/Ukraine,Baltic States,Central America,West Indies,Cyprus,Kenya,Curaçao,Vietnam,Switzerland (German),Switzerland (French),Switzerland (Italian),Middle East Other,Pakistan,North Macedonia,Sri Lanka,Netherlands Antilles,Lebanon/United Arab Emirates
Murderball (2005),"$1,684",,,"$1,531,154",,"$63,786",,,,"$123,471","$5,611",,,,,,,,,"$8,944",,"$4,351",,,,,,,,,,,,,,,"$11,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wedding Crashers (2005),"$2,453,630","$767,126","$162,789","$209,273,411","$871,431","$24,147,777","$941,745","$1,258,015","$393,268","$12,646,659","$2,829,609",,"$1,199,132","$349,573","$2,714,391","$1,443,262","$757,677","$1,024,864","$912,501","$301,627","$769,318","$1,168,259","$529,147","$315,371","$178,036","$1,353,304","$326,897","$560,270","$3,230,574","$2,550,388","$72,199","$412,924","$42,815","$22,077","$147,867","$2,560,494","$1,674,612","$506,011","$30,788","$304,753","$673,628","$484,503","$161,233",,"$163,551",,,,"$1,614,439","$260,400","$223,016","$1,385,545",,,,,,,,,,"$86,099",,,"$362,697","$107,331",,,,"$1,060,980","$173,766",,,,"$239,513",,"$198,151",,"$85,692",,,,,,,,,,,,,
Russian Dolls (2005),"$18,871,418",,,,"$106,079",,,"$131,435","$104,864","$284,057",,,,,,,,,"$718,180",,,,"$38,344",,,,,,"$609,810","$63,655","$8,696",,,,"$7,836",,,,,"$6,591",,"$73,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Time to Love and a Time to Die (1958),"$11,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hustle & Flow (2005),"$92,236",,,,,"$214,410",,,,"$339,585","$20,175",,,,"$416,411","$16,402",,"$7,138",,,"$8,438","$54,194",,,,"$45,012",,,"$6,041",,,"$47,343",,,,"$7,976","$26,207",,,,,,,,,,"$17,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Island (2005),"$10,430,376","$1,933,951",,,"$1,095,384","$9,317,545","$1,851,100","$2,820,512","$732,391","$4,742,239","$6,502,373",,"$1,152,992","$1,113,575","$8,190,627","$976,632","$1,256,984","$1,278,892","$1,894,964","$432,001","$663,702","$1,558,497","$627,245","$122,000","$154,891","$616,800","$177,730","$1,250,164","$9,225,276","$3,737,321","$141,787","$550,109","$48,657","$22,446","$892,174","$2,997,427","$990,940","$409,000","$152,325","$32,603",,"$89,158",,,,,"$11,253,661","$225,000","$21,613,170","$1,439,900","$463,067","$1,218,000",,,,,,,,,,,,"$136,100","$317,000","$173,000",,,,,,,,,"$488,671",,,,,,,,,,,,,,,,,
Bad News Bears (2005),"$1,385",,,,,"$191,473",,,,"$374,747","$169,111",,,,"$41,840","$2,318",,$800,,,"$2,377","$6,098",,,,"$24,074",,,"$50,023",,,,,,,,,,,,,,,,"$12,206",,"$448,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Devil's Rejects (2005),"$205,929","$22,916",,,,"$1,508,964","$15,850","$174,611",,"$208,695",,,,,"$159,992",,"$74,728",,,,,"$11,257",,,,,"$5,835",,"$246,772","$1,101,520",,"$90,634",,,,,"$29,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Days (2005),"$1,439,931",,,,"$50,476","$74,061",,,,,,,,,"$42,370",,,,,,,,,,,,,,"$81,819","$235,234",,,,,,,"$26,929",,,,,,,,,,,,"$42,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stealth (2005),"$2,226,804","$323,107","$178,276",,"$212,547","$2,219,485",,"$1,842,958","$40,314","$1,766,029","$2,129,176","$16,722","$2,134,826","$505,815","$1,188,338","$115,834","$229,948",,,,,,"$57,603","$171,602",,"$325,394","$25,406","$249,555","$1,430,740","$353,082","$53,356","$393,551",,,"$41,085","$602,112","$384,884","$508,908","$60,665","$49,671",,"$220,895","$105,038","$79,059","$231,088","$8,296","$10,599,748","$662,263","$3,959,885","$996,219","$79,350","$1,395,871","$267,388","$49,540","$31,961","$38,849","$30,502","$25,232","$26,994","$29,614","$22,544","$9,117","$6,835","$1,605,948","$396,809","$498,820",$0,,,"$114,182","$21,438",,,,,"$2,373,392",,,,,,,,"$141,658","$67,063","$7,847",,,,,,
Serenity (2005),"$541,497","$68,698",,,"$221,620","$4,834,320",,"$1,580,822",,"$2,427,169",,,,,"$1,221,745","$55,125","$169,062","$57,342","$27,573",,"$84,382","$97,679",,,,,"$36,765",,"$1,018,603","$107,531",,,,,,,"$227,166",,"$4,241","$18,166",,,,,,,,,,,,"$1,691,368",,,,,,"$13,177",,,,,,,,,,"$206,942",,,,,,,"$205,216",,,,,,,,,,,,,"$14,403",,,,
Let's Get Lost (1988),"$232,559",,,,,"$108,084",,,,,,,,,,,,,,,,,,,,,,,"$99,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Flowers (2005),"$9,002,126","$479,297",,,"$249,851","$3,529,343","$685,800","$361,271","$344,794","$1,768,183","$253,781",,"$31,300","$568,897","$4,230,181","$363,254","$510,685","$471,090","$1,838,935","$580,672","$476,681","$619,511","$839,872",,"$158,484","$435,453","$68,206",,"$2,087,587","$2,629,203","$10,200","$17,752",,"$31,986","$19,352","$292,628","$300,302",,,,,"$28,801",,,,,,,"$111,806",,"$187,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dukes of Hazzard (2005),"$1,148,422","$339,768",,,"$387,408","$8,207,227","$453,900","$876,987",,"$7,900,398","$1,785,085",,"$73,880",,"$1,761,167","$105,907","$678,165",,,"$148,065","$197,597","$492,257",,,,"$434,162","$130,256",,"$756,143","$949,599","$44,362","$464,277",,,,"$257,293","$1,199,003",,"$23,657","$13,746",,,,,,,,,,,"$26,771",,,,,,,,,,,,,,,,,,,,,,,,"$43,051",,,,,,,,,,,,,,,,,
Deuce Bigalow: European Gigolo (2005),"$6,555","$451,161","$62,428",,"$389,321","$1,501,705",,"$1,457,125",,"$4,104,574","$3,233,583","$16,076","$972,524",,"$488,589","$214,920","$320,458",,,,,"$933,769",,"$554,197",,"$354,067","$143,433","$154,975","$3,027,722","$502,296","$65,136",,,,"$127,092","$854,933","$354,105","$476,572",,,,"$329,432","$241,334","$79,062","$285,041",,,,,"$335,752",,,,,,"$14,034",,"$26,906","$13,385","$44,604",,"$11,833","$34,962",,"$462,204",,,,,,"$47,770",,,,,,,,,,,"$15,772",,,,,,,,,,
The Skeleton Key (2005),"$2,769,333","$965,141","$250,337",,"$734,705","$4,667,996","$874,581","$2,139,306","$354,001","$2,429,460","$4,726,392",,"$1,282,676","$494,611","$5,902,743","$300,772","$883,604","$147,576","$713,840","$111,578","$179,277","$1,001,716","$471,116","$246,669","$71,961","$217,556","$207,637","$936,465","$3,562,138","$1,275,206","$19,619","$214,145","$46,761","$5,737","$44,301","$2,106,447","$316,253","$219,676","$64,466","$18,332",,"$150,255","$218,147",,,,,"$189,195","$337,210","$191,568","$243,788","$2,234,181",,,,,,,,,,"$30,660",,,"$285,429","$228,771",,,"$128,216","$265,407","$47,491",,,,"$342,518",,,"$209,230",,,,,,,,,,,,,,
Four Brothers (2005),"$1,891,333","$728,446",,,"$206,520","$4,451,373",,"$123,522","$53,008","$867,506","$786,048",,"$165,410",,"$1,429,567","$45,461",,"$79,039","$72,597","$10,015","$33,598","$1,077,326","$38,765","$96,819","$21,312","$295,005","$48,847","$170,515","$1,230,314","$483,446","$38,233","$465,226","$13,517",,"$33,339","$561,372","$399,666","$148,248","$23,001","$16,159",,,,,,,"$135,145","$98,552","$557,774",,,"$292,874",,,,,,,,,,"$40,794",,,"$165,321","$153,301",,,"$40,387",,,,,,,,,,,,,,,,,,,,,,,
Asylum (2005),"$1,556",,,"$375,403",,"$195,410","$22,900","$519,857",,,,,,,"$66,132",,,,,,,,,,,,,,,"$385,847",,"$130,230",,,,,,,,"$1,004",,,,,,,,,"$1,413","$2,503",,,,,,,,,,,,,,,"$54,235",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sea (2002),"$50,620",,,,,,,,,,,,,,,,,"$41,712",,"$8,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (2005),"$3,141",,,"$754,819",,"$508,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 40-Year-Old Virgin (2005),"$3,039,993","$1,459,533","$207,226",,"$1,308,828","$13,526,589","$874,371","$1,636,839","$481,058","$6,838,853","$3,459,945",,"$385,169",,"$7,501,839","$821,171","$1,323,812","$483,487","$1,395,732","$129,022","$486,369","$1,467,576","$917,635","$748,958","$86,015","$793,174","$223,842","$517,789","$2,969,873","$6,116,775","$58,678",,"$54,078","$15,327","$125,024","$1,924,078","$613,241","$445,680",,"$130,754",,"$693,781","$280,994","$148,338",,,"$66,079",,"$332,651","$175,166","$197,192",,,,,,,"$71,594",,"$83,582",,"$63,661","$51,874",,"$572,230",,,,"$154,902","$1,198,127","$192,762",,,,,,,"$367,710",,"$151,090","$6,676",,,,,,"$269,325",,,,,
Who Killed Bambi? (2003),"$958,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Eye (2005),"$1,512,277","$703,914","$258,908",,"$407,015","$6,460,784","$444,898","$1,170,514","$314,592","$2,775,666","$3,105,871",,"$798,441","$484,619","$2,639,337","$389,644","$534,613","$223,323","$633,620","$144,070","$144,070","$1,006,563","$268,501","$101,316","$42,673","$329,345","$77,607","$502,615","$2,332,071","$1,602,083","$23,482","$371,478","$14,568","$2,921","$40,345","$1,130,974","$320,113","$367,890","$122,250","$18,651",,"$493,060","$237,633",,"$377,147",,,"$356,152","$2,234,001","$318,124","$212,941","$1,213,509",,,,,,,,,,"$29,216",,,"$296,961","$309,197",,,"$63,834","$374,854","$28,147",,,,,,,,,,,,,,,,,,,,,
Caché (2005),"$3,000,458",,,,,"$2,667,906","$334,125",,"$219,986","$790,448","$28,619",,"$33,878","$58,092","$1,252,816",,"$472,189","$65,103","$311,718","$27,697","$163,384","$233,554",,,,,"$20,913",,"$830,950","$1,336,153",,,,"$17,496","$5,711","$293,490","$88,263",,,"$1,651",,,,,,,,,"$18,307",,"$68,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valiant (2005),"$8,185,272","$859,329",,,"$344,623","$15,921,564",,"$1,280,000","$231,705","$2,189,083","$2,786,075",,"$40,277","$491,818",,"$307,163",,"$426,832",,"$271,950","$712,325","$156,595","$1,094,046",,"$80,367","$375,048","$84,620",,"$3,577,534","$1,139,363",,"$143,154","$28,979","$3,576",,"$675,438","$122,840",,,,,,,,,,,,"$431,408",,"$307,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brothers Grimm (2005),"$9,820,392","$1,258,401",,,"$378,081","$4,200,000","$1,604,150","$3,220,000","$161,462","$2,357,551","$3,463,809",,"$1,228,586","$696,110","$4,358,904","$236,764","$786,631","$215,669","$777,967","$158,733","$518,937","$537,285","$723,149","$112,000","$485,472","$546,860","$92,996","$321,288","$6,168,617","$2,860,077","$54,901","$272,846","$99,716","$12,720","$40,210","$2,001,265",,,"$24,019","$48,621",,,,,,,"$9,018,976",,"$5,012,705","$439,600","$95,412","$2,600,000",,,,,,,,,,,,,,,,,,,,,,,"$349,541",,,,,,,,,,,,,,,,,
The Cave (2005),"$828,247",,,,"$138,154","$2,985,547","$243,100",,"$233,766","$360,256",,,"$367,558","$550,034",,,,,,,,,,,"$128,847",,,"$421,534","$1,067,257","$1,040,117","$34,384","$190,047","$16,537",,,"$673,571",,,"$85,849","$51,694",,,,,,,,,"$1,235,305","$442,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Constant Gardener (2005),"$3,818,888","$1,254,707","$384,314","$33,579,797","$191,651","$10,751,629","$1,455,050","$75,741","$343,320","$3,261,207","$625,330",,"$195,241","$175,316","$4,139,378","$754,526","$378,616","$360,180","$1,026,647","$120,099","$876,376","$644,118","$567,347",,"$435,988","$359,387","$32,533","$115,567","$7,418,017","$1,054,754","$27,948","$28,807","$3,253","$12,934","$43,733","$2,223,320","$901,871",,"$23,851",,,"$110,747","$99,299",,"$76,754",,"$4,205,852",,,,"$274,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transporter 2 (2005),"$9,059,265","$916,467","$253,132",,"$290,878","$1,792,953","$425,600","$1,670,000","$232,622","$1,412,882","$1,303,363","$8,320","$837,622","$179,001","$5,432,070","$53,089","$651,580","$334,198",,,,"$111,163","$241,018","$533,075","$91,340","$789,193","$81,496","$373,521","$2,975,304","$194,529","$106,815","$510,873","$26,688","$18,197","$88,308","$438,052","$382,551","$325,215","$45,276","$95,802","$1,025,285","$172,971","$80,792","$43,993","$232,775",,"$1,879,663","$269,338","$590,393","$556,048","$40,120","$1,957,226",,,,,,"$59,689",,"$67,901",,"$19,114","$40,710","$733,665","$421,023","$304,619","$3,751,032","$949,070","$133,537",,"$46,240","$125,327","$84,160","$121,224",,,,,,,,,,,,,,,,,,
Just Like Heaven (2005),"$4,549,472","$1,225,542","$128,146",,,"$9,401,998","$224,622","$2,068,216","$254,969","$4,616,017","$4,652,330",,"$902,724","$316,671","$4,527,372","$134,814","$1,121,512","$461,547","$661,006","$25,024","$119,476","$711,321","$457,905","$136,697","$49,525","$812,578","$42,669","$739,757","$4,795,897","$1,931,823","$21,739",,"$10,836","$2,521","$95,382","$2,352,775","$435,927","$425,846","$50,474","$37,565",,"$305,623","$174,762",,"$273,846",,,"$195,499","$1,850,677","$454,001","$244,616",,,,,,,,,,,"$40,182",,,"$406,227","$185,016",,,"$67,301","$400,974","$67,940",,,,"$358,745",,,,,,,,,,,,,,,,,
Lord of War (2005),"$8,318,438","$1,121,780",,,"$189,504","$4,346,499","$431,050","$208,279","$419,282","$1,288,027","$1,399,424",,"$920,696",,"$3,526,248","$135,593","$624,783","$351,968","$811,676","$215,306","$166,372","$638,250","$453,529",,"$171,167","$228,522","$71,835","$983,618","$3,543,503","$1,461,115","$59,424","$335,841","$31,660",,"$51,171",,"$195,861",,"$112,004","$45,970",,,,,,,,,"$713,179","$334,800","$157,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doom (2005),"$1,297,050","$335,724","$237,417",,"$294,045","$2,406,657","$217,940","$3,276,267","$160,465","$2,611,978","$952,577",,"$624,360","$295,529","$3,115,504","$192,053","$540,581","$140,037","$212,660","$96,816","$265,891","$189,913","$305,649","$175,468","$134,235","$293,558","$29,849","$580,003","$1,749,594","$635,565","$20,290","$438,270",,"$12,596","$16,721","$337,919","$426,377","$387,537","$16,226","$15,073",,"$155,713","$86,798",,"$181,154",,"$242,716","$526,691","$263,708","$723,903","$127,943","$3,442,002",,,,,,,,,,"$42,818",,,"$407,335","$263,633",,,"$151,988","$181,952","$23,034",,,,,,,,,,,,,,,,,,,,,
Domino (2005),"$1,127,327","$226,562",,"$10,169,202","$18,176","$2,220,079",,"$844,055",,"$1,137,577","$209,681",,"$66,977",,"$1,047,621","$58,125","$174,423","$40,307",,"$14,628","$220,973","$268,413",,,"$73,452",,"$43,147","$58,236","$1,192,373","$1,275,082","$6,373","$131,069",,,"$16,721","$109,179","$42,333",,"$3,710",,,,,,,,"$1,989,913",,,"$50,900","$13,372",,,,,,,,,,,"$21,950",,,,,,,,,,,,,"$72,566",,,,,,,,,,,,,,,,,
Æon Flux (2005),"$232,946","$191,860","$60,890",,"$595,561","$1,967,049",,"$2,159,894",,"$1,735,704","$1,760,916",,"$376,424",,"$905,477","$23,210",,"$39,627",,,"$30,388","$118,563","$39,873",,,"$410,784",,"$253,109","$4,256,221","$1,075,683",,"$209,584",,,"$29,312","$446,078","$334,070","$496,308","$8,651",,,,,,"$141,346",,"$5,324,923","$453,001","$434,856","$625,447","$65,617","$2,024,405",,,,,,,"$5,276",,,"$30,395",,,"$360,079","$223,809",,,,,,,,,,,,,,,,,,,,,,,,,,
An Unfinished Life (2005),"$1,698,072","$163,839",,,,"$148,626",,"$67,351","$329,320",,"$307,187",,"$82,000",,"$1,017,425","$58,216","$146,005","$35,875","$558,975","$52,470","$61,297","$30,154",,,"$33,499","$77,204",,,"$3,482,262","$883,431",,"$127,419",,,"$17,507","$551,809",,,"$19,126",,,,,,,"$25,456",,,,,"$57,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man (2005),"$223,282","$129,619","$49,145",,,"$1,511,071",,,"$65,650","$107,196","$775,596","$6,584",,,,,,,,,,"$28,440",,,,"$225,486","$56,967",,"$275,435","$703,960",,"$113,260",,,,"$244,502",,,"$13,953","$25,444","$215,838",,,,"$22,069",,,,,,"$18,752",,,,,,,,,,,,,,,,,,,"$124,176",,,,,,,,,"$218,000",,,,,,,,,,,,,
The Exorcism of Emily Rose (2005),"$2,760,183","$587,039","$1,033,543",,"$507,269","$6,536,421","$1,286,589","$1,005,812","$999,596","$2,029,956","$7,193,919","$56,734","$1,170,319","$335,275","$5,609,245","$624,987","$1,238,996","$322,249",,"$242,365","$396,728","$436,094","$1,225,797","$68,622","$74,390","$184,373","$128,260","$1,286,894","$7,055,676","$5,751,578","$28,397","$447,329","$8,866","$29,819","$41,483","$3,471,442","$613,443","$682,888","$223,386","$160,181",,"$840,098","$453,804","$300,118","$756,043","$65,697","$5,579,875","$532,009","$1,090,802","$9,891","$719,649","$1,303,611","$389,733","$91,265","$81,455","$17,700","$47,451","$44,336","$12,561","$50,694","$31,197","$52,921","$38,925","$179,788","$465,708","$195,847",,,,"$151,980","$62,289","$58,622",,"$58,622",,,,,,,,"$14,505",,"$444,956","$66,563","$29,492",,,,,,
Flightplan (2005),"$4,962,530","$2,950,277",,,"$464,887","$11,046,764","$1,163,550","$1,852,540","$1,247,586","$5,680,211","$8,652,448",,"$1,653,675","$1,445,709","$14,527,979","$1,669,459","$1,602,519","$945,045","$1,950,172","$411,932","$672,113","$2,411,733","$1,111,384",,"$197,875","$816,184","$210,381","$1,851,528","$9,936,348","$6,135,492","$62,003","$482,350","$48,435","$18,595","$102,539","$2,267,249","$609,335",,"$125,916","$90,978",,,,,,,"$25,796,448",,"$4,850,671","$633,800","$552,899",,,,,,,,,,,,,,"$330,000",,,,,,,,,,"$152,934",,,,,,,,,,,,,,,,,
Corpse Bride (2005),"$8,889,745","$453,810",,"$53,401,527",,"$8,579,125","$567,900","$372,502","$6,856,168","$2,500,350","$6,226,957",,"$530,452","$1,261,206","$1,000,066","$170,156","$260,687","$275,528","$614,909","$188,772","$334,849","$222,770","$256,872",,"$192,784","$94,756","$62,824",,"$5,253,565","$5,893,918",,"$169,000","$4,326",,,"$2,442,971","$261,503",,,,,,,,,,"$7,100,000",,"$2,750,000","$248,100","$695,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Street Hooligans (2005),"$681,960",,,,,"$2,301,097",,,,,,,,,,,,,,,,"$257,368","$202,750",,"$6,837",,,,,,,,"$17,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A History of Violence (2005),"$4,707,552","$897,582","$85,634",,,"$6,735,040","$638,900","$323,087","$675,097","$1,770,177","$886,926",,"$89,752",,"$665,939","$413,965","$236,050","$268,736","$600,080","$197,824","$1,326,309","$309,041","$211,238","$94,765","$47,609","$138,961","$67,998","$364,132","$2,553,333","$2,957,195","$36,000","$102,932","$9,707","$18,421","$44,702","$791,127","$137,289","$83,824",,"$14,451","$145,089",,,,"$18,893",,,,"$15,900",,"$94,015","$438,184",,,,,,,,,,"$9,064",,,"$4,450","$25,208",,,,"$325,842","$32,673",,,,"$33,111",,"$47,128",,"$189,500",,,,,,,,,,,,,
Oliver Twist (2005),"$8,958,005","$563,863",,,,"$4,547,473","$403,200","$249,867","$118,340","$116,510","$464,152",,"$17,829","$323,729","$2,313,683",,"$257,313",,"$1,217,034",,,"$63,569","$1,370,161",,"$64,842",,"$39,088",,"$3,499,404","$5,014,686","$6,760",,,"$11,382","$9,875","$107,518",,,"$5,847","$33,754",,,"$18,043",,,,"$5,996,401",,"$32,850",,"$3,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capote (2005),"$3,000,015","$242,477","$148,353",,"$460,704","$2,870,941","$602,000",,"$489,233","$2,062,685","$388,166","$4,588","$30,760","$100,632","$1,725,056","$246,968","$189,365","$405,354",,"$135,011","$340,131","$358,436","$214,242","$25,160","$31,365","$144,170","$39,454","$131,660","$2,058,336","$831,467",,"$20,190",,"$10,437","$7,043","$993,986","$226,931","$29,305",,"$11,509",,"$52,272",,"$15,656","$36,632","$58,242","$733,098","$3,651","$49,087","$12,853","$102,267",,,,,,,"$12,710",,"$20,719",,"$8,624",,"$25,045","$10,250",,,,,"$319,882","$9,630",,,,,,,,,,,,,"$361,621","$163,870","$4,636",,,,,,
Côte d'Azur (2005),"$1,061,394",,,,,"$35,508",,,,,,,,,"$545,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Into the Blue (2005),"$2,558,972","$564,882","$237,510",,"$253,103","$3,100,986",,"$1,318,746","$72,651","$2,200,800","$1,760,140",,"$532,078",,"$2,623,513","$514,978",,,"$144,509","$188,379",,,,,,"$554,011","$71,672","$158,132","$2,489,496","$422,190",,"$248,415",,,,"$426,019","$475,858","$290,878","$121,831","$68,908","$732,036","$669,463","$44,169","$43,236","$110,526",,"$431,275","$314,419","$172,446","$406,589",,"$1,667,534",,,,,,"$54,582",,"$53,123",,,,"$143,070","$305,563","$161,877",,"$421,948",,,,"$58,915","$111,003","$16,031",,,,,,,,,,,,,,,,,,
Man to Man (2005),"$3,392,867",,,,,,,,"$3,488",,,,,,,,,,,,,,,,,,,,"$136,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace & Gromit: The Curse of the Were-Rabbit (2005),"$15,711,783","$1,820,560","$261,813","$56,110,897","$465,954","$56,550,630","$416,679","$1,705,334","$460,255","$8,266,080","$4,454,364",,"$266,603","$1,098,266","$9,554,426","$1,708,028","$1,319,397","$1,496,205","$2,500,377","$1,329,657","$755,501","$1,817,678","$1,015,059","$186,865","$235,486","$541,806","$109,380","$763,343","$4,694,208","$3,866,286","$4,605","$52,053","$19,107","$6,334","$13,371","$2,186,659","$1,203,873","$384,300","$9,990","$19,558",,"$357,753","$189,440","$172,681","$410,055",,"$3,468,120","$144,921","$2,275,196","$92,247","$374,359","$1,797,943",,,,,,"$49,837",,"$55,224",,"$49,285","$37,735",,"$81,979","$40,998",,"$157,845",,"$697,484","$41,815",,,,"$212,359",,,,,"$39,305","$8,052",,,,,,,,,,,
Kiss Kiss Bang Bang (2005),"$2,285,521","$101,794",,,,"$2,833,928",,"$523,175",,"$2,011,548","$110,237",,,,"$1,299,910","$46,457","$284,526","$311,731","$316,562","$60,421","$400,044","$301,829","$110,710",,,"$74,398","$58,852",,"$140,106",,,,,"$53,522",,,"$213,449",,,"$2,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darwin's Nightmare (2004),"$1,959,665",,"$1,872",,,,,,,"$32,230","$30,856",,,,"$211,425",,"$343,633",,,,,,,,,,,,"$198,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goal! The Dream Begins (2005),"$2,071,683",,,,"$74,651","$3,699,444","$86,400","$227,555","$21,448","$972,961",,,"$32,755","$276,688",,,,"$293,078","$222,075","$29,531",,"$306,968","$39,064",,"$16,090",,,"$84,133","$540,260","$93,995","$5,472","$69,522","$10,958",,,,"$57,805",,"$6,064","$5,853",,,,,,,"$4,051,882",,,"$262,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Come Knocking (2005),"$695,114",,,,"$31,480","$40,404",,,"$8,037",,,,,,"$816,414",,,"$16,773","$427,934",,,,,,,,,,"$227,578","$400,841",,,,,,,"$3,304",,,,,,,,,,,,"$26,845",,"$9,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Her Shoes (2005),"$1,727,332","$1,192,170","$124,558",,"$181,291","$7,700,725","$301,000","$119,705","$520,959","$6,071,349","$2,484,989","$10,143","$468,634",,"$7,087,481","$1,319,422","$1,072,686","$872,820","$1,291,200","$253,566","$570,401","$1,398,256","$157,186","$156,859","$41,400","$853,980","$71,214","$369,063","$3,875,186","$1,313,493","$42,080","$14,325","$18,581","$30,230","$53,270","$754,902","$498,697","$216,102","$444,872","$56,369","$181,369","$255,504","$130,590","$76,667","$169,413","$69,125","$4,276,456",,"$313,559","$15,723","$99,386","$378,542",,,,,,"$29,519",,"$42,868",,"$51,863","$28,808","$101,962","$124,972",,,,"$73,401","$542,550","$69,959","$26,442","$10,517","$11,191",,,,,,,,,,,,,,,,,,
The Squid and the Whale (2005),"$291,444","$22,976",,,"$68,800","$1,229,887",,,"$137,460","$443,036","$44,790",,,,"$54,271","$191,015",,"$41,191",,,"$53,710",,,,,"$11,509",,,"$273,230",,,,,,"$5,856","$205,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$93,441",,,,,,,,,,,,,,,,,,,,,,
Two for the Money (2005),"$584,997","$87,900","$76,104",,,"$614,467","$167,050","$859,440","$115,327","$407,352","$969,279",,,,,,,,,"$30,217",,"$246,304","$145,620",,,"$176,207","$45,132","$168,975","$514,178","$1,123,368","$25,273","$93,878",,,"$114,827","$561,866",,,,"$3,279",,,"$52,914",,"$115,148",,"$81,142",,,,"$19,754",,,,,,,,,,,,,,,,,,,,,,,,"$113,663",,,,,,,,,,,,,,,,,
Separate Lies (2005),"$460,502",,,,,"$115,204",,,,"$971,322","$358,580",,,,"$86,315",,,,,,,,,,,"$72,910",,,"$23,867","$66,768",,,,,,"$267,304","$84,003",,,,"$8,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,792",,,,,,,,,,,,,,,,,,,,,,
