Movie Name,South Africa,United Kingdom,Türkiye,United Arab Emirates,Portugal,Spain,Israel,Lebanon,Colombia,Ecuador,Uruguay,New Zealand,Germany,Italy,Netherlands,Austria,Sweden,Belgium,Greece,Ukraine,Norway,Romania,Czech Republic,France,Slovenia,Bulgaria,Croatia,Egypt,Finland,Estonia,Lithuania,Serbia and Montenegro,Latvia,Hungary,Iceland,Mexico,Argentina,Brazil,Venezuela,Peru,Bolivia,Russia/CIS,Australia,South Korea,Hong Kong,Singapore,Malaysia,Thailand,Indonesia,Philippines,Vietnam,Taiwan,Poland,Switzerland,Nigeria,Slovakia,Chile,Domestic,Denmark,Japan,India,Kuwait,East Africa,Central America,China,Ghana,Qatar,Oman,Bahrain,Ethiopia,Panama,Dominican Republic,Trinidad & Tobago,Jamaica,Curaçao,Aruba,Jordan
Hereafter (2010),"$116,507","$2,244,176",,"$222,330","$1,029,073","$14,048,686","$319,396",,"$443,942","$98,231","$110,893",,"$1,387,104","$11,240,698","$136,290","$160,255","$85,267","$944,011","$1,640,551",,"$311,353",,,"$16,700,888",,,,,"$180,386",,,"$29,628",,,"$53,065","$2,644,498","$1,273,818","$3,613,748","$701,301","$391,612","$69,359",,"$2,473,268","$296,697","$203,907","$439,786",,"$82,451",,"$173,317",,"$334,165",,"$1,513,391",,,,,"$86,017","$8,409,324",,,,,,,,,,,,,,,,,
Saw 3D (2010),"$268,032","$12,878,181","$3,852,405","$747,699","$903,034","$5,055,458",,"$240,371","$1,991,350","$455,608","$127,998","$224,420","$10,999,677","$7,037,160","$1,016,037","$1,998,947","$2,258,133","$851,471","$849,941",,"$311,959","$523,390","$580,755","$5,560,500","$313,423","$241,588","$112,350",,"$428,682","$151,051","$154,115",,"$123,084","$398,799","$11,477","$1,342,094","$1,467,534","$4,255,802","$1,151,381","$688,746","$98,294","$5,370,092","$2,424,417","$1,269,754","$956,017","$118,834",,"$5,305",,"$210,526",,"$695,862","$2,189,236","$1,290,418",,"$292,098","$683,075","$45,710,178",,"$4,136,240",,,,,,,,,,,,,,,,,
Due Date (2010),"$1,342,183","$16,344,250","$779,563","$1,041,044","$1,641,765","$3,905,948","$1,270,218","$240,740","$639,569","$179,643","$166,766",$635,"$13,028,652","$5,406,458","$2,111,394","$1,894,789","$2,241,876","$1,282,667","$1,703,059","$813,329","$1,635,746","$647,275","$200,013","$6,505,509","$230,944","$208,186","$234,707","$155,505","$758,200","$106,956","$166,911","$127,159","$109,520","$971,977","$206,197","$4,592,401","$938,241","$3,173,988","$615,547","$247,240","$65,265","$7,481,785","$10,367,478","$372,838","$438,562","$865,407","$290,512","$260,692","$368,517","$310,714","$97,915","$835,999","$1,535,180","$2,520,978","$41,852",,"$316,563",,"$1,662,389",,,,,,,"$12,055",,,,,,,,,,,
127 Hours (2010),"$115,189","$12,513,887","$300,493","$302,249","$425,503","$2,149,650",,"$25,438","$211,659","$141,130","$54,232","$522,881","$1,783,233","$908,310","$448,219","$304,726","$607,081","$398,894","$133,721",,"$562,937","$6,968","$268,097","$2,895,060",,"$3,826","$25,051",,"$424,449","$42,916",,"$37,495",,"$32,475","$14,533","$1,143,116","$254,158","$1,240,129","$51,876","$236,440","$46,013","$906,061","$3,590,355","$1,193,430","$873,239","$518,989","$356,996","$103,478",,"$329,591",,"$374,441","$279,052","$571,483",,,"$318,318",,"$81,469","$468,959","$976,881","$276,709","$2,561",,,,"$18,549","$12,657","$6,045",,,,,,,,
Megamind (2010),"$1,895,039","$16,048,975","$736,330","$996,492","$1,036,132","$9,807,726","$1,339,654","$200,885","$2,400,191","$798,821","$113,281","$1,486,230","$4,399,694","$9,751,231","$1,636,203","$1,083,480","$2,482,015","$1,340,560","$384,412","$1,780,018","$1,491,176","$272,192","$413,488","$11,629,091","$177,852","$297,929","$203,222","$131,336","$873,889","$133,373","$264,917","$34,023","$159,986","$271,880","$165,292","$14,231,674","$2,864,778","$10,259,047","$2,512,019","$1,253,184","$278,640","$22,006,475","$15,816,607","$8,060,878","$998,360","$2,511,869","$1,586,482","$423,323","$1,260,778","$1,270,543","$551,383","$528,594","$2,698,582","$1,228,520",,"$90,517","$1,135,920",,"$1,253,001",,,,,,,,,,,,,,,,,,
Black Swan (2010),"$758,581","$26,014,490","$1,259,656",,"$1,776,937","$14,463,540","$1,553,873","$98,309","$1,434,113","$313,298","$294,384","$1,596,735","$22,340,179","$8,127,017","$3,870,206","$2,190,493","$2,385,899","$2,780,060","$2,139,722","$185,650","$2,839,609","$190,226","$899,126","$23,924,495","$164,404","$70,515","$167,202",,"$212,884","$85,602","$118,466","$103,749","$77,880","$392,121","$143,628","$9,645,726","$1,967,697","$8,838,452","$428,095","$674,118","$115,693","$4,504,400","$14,838,638","$9,481,558","$2,435,723","$974,372","$293,467","$263,046",,"$243,435",,"$2,789,220","$2,575,906","$4,429,850","$8,086","$131,909","$1,122,992",,"$2,285,591","$27,403,464",,,"$6,253",,,,,,,,,,,,,,
Fair Game (2010),"$156,254","$1,125,856",,"$223,352","$488,044","$3,410,708",,"$87,575","$96,136",,"$31,382","$166,678","$1,591,252","$1,248,756","$260,948","$165,443","$91,138","$219,809","$461,915","$35,079","$44,995",,,"$1,512,564",,"$39,784","$48,489","$60,014","$10,060",,,"$8,064","$4,670",,,"$612,011","$182,990","$588,814",,"$84,889","$8,038","$70,076","$2,419,121",,"$98,052","$62,569","$108,181","$50,736",,,,"$36,661",,"$355,159",,,,"$9,540,691",,,,,,,,,,,,,,,,,,,
Unstoppable (2010),"$963,953","$7,205,520","$526,020","$658,553","$814,528","$4,218,424","$258,386","$148,801","$601,459","$125,562","$54,955","$662,888","$2,560,388","$1,683,466","$1,509,288","$334,042","$485,110","$1,236,886","$314,026","$297,671","$337,809","$277,705",,"$4,913,441",,"$143,460",,"$172,819","$87,756","$44,190","$60,378",,"$39,128","$104,134","$19,430","$3,956,996","$495,173","$2,845,109","$400,233","$294,648","$81,235","$3,206,005","$5,977,260","$2,855,916","$787,451","$1,038,383","$1,757,568","$598,545","$1,380,127","$767,114","$134,172","$879,087","$396,910","$531,202","$58,892",,,,,"$12,807,068",,"$359,344","$124,487",,"$9,854,870","$20,742","$90,406","$37,409","$95,406","$9,369",,,,,,,
Morning Glory (2010),"$472,412","$1,907,000",,"$262,634","$256,872","$1,993,700","$325,646","$72,743",,,,"$263,823","$1,780,007","$88,408","$400,935","$278,325","$28,306","$147,757","$48,305","$366,554","$130,719","$87,872","$166,020","$1,962,035","$47,728","$55,311",,"$7,765","$80,684","$8,176",,,,"$155,645",,"$872,595","$277,897","$914,511",,,,"$3,148,093","$5,815,537","$1,432,760","$285,618","$292,930",,"$58,545",,,,"$285,996","$176,105","$154,239","$9,551",,,,,"$2,182,831",,,,,,"$2,526",,,,,,,,,,,
The Next Three Days (2010),"$648,787","$3,939,257","$386,413","$512,480","$789,091","$2,826,141",,"$127,288",,"$61,661","$75,079",,"$4,224,075","$4,371,936","$995,135","$542,877","$688,767","$870,418","$498,582","$469,482","$210,377","$323,805","$134,483","$1,252,245",,"$233,799","$100,569",,"$77,469","$27,308","$36,044",,"$45,847","$389,450","$42,794","$1,951,942","$279,325","$2,535,654","$391,410","$182,327","$18,896","$3,122,221","$1,924,999","$1,784,812","$458,314","$382,482","$307,454","$9,515",,,"$63,356","$588,853","$1,265,955","$571,273",,,"$34,948",,"$326,450",,,,,,,,,,,,,,,,,,
