Movie Name,South Africa,United Kingdom,Türkiye,United Arab Emirates,Portugal,Spain,Israel,Lebanon,Colombia,Ecuador,Uruguay,New Zealand,Germany,Italy,Netherlands,Austria,Sweden,Belgium,Greece,Ukraine,Norway,Romania,Czech Republic,France,Slovenia,Bulgaria,Croatia,Egypt,Finland,Estonia,Lithuania,Serbia and Montenegro,Latvia,Hungary,Iceland,Mexico,Argentina,Brazil,Venezuela,Peru,Bolivia,Russia/CIS,Australia,South Korea,Hong Kong,Singapore,Malaysia,Thailand,Indonesia,Philippines,Vietnam,Taiwan,Poland,Switzerland,Nigeria,Slovakia,Chile,Domestic,Denmark,Japan,India,Kuwait,East Africa,Central America,China,Ghana,Qatar,Oman,Bahrain,Ethiopia,Panama,Dominican Republic,Trinidad & Tobago,Jamaica,Curaçao,Aruba,Jordan
Barney's Version (2010),"$41,280","$173,303","$55,327",,"$91,540","$584,207",,,,,"$15,550","$258,619","$387,814","$3,764,747","$30,587",,"$15,679","$21,252",,,,,,,,,,,,,,,,,"$5,442","$315,759","$95,538","$263,990","$56,132","$61,336","$2,156",,"$1,414,307",,,"$8,675",,,,,,"$4,480",,,,,,"$4,439,201",,,,,,,,,,,,,,,,,,,
Faster (2010),"$499,347","$488,515",,"$562,487",,"$1,080,922","$45,156","$106,673","$187,153",,,,"$597,870","$325,860",,,,"$58,376",,,,"$169,496","$439,987","$401,911","$14,842","$152,565","$9,752","$30,699",,"$28,876","$20,441",,"$31,872","$32,055","$37,614","$421,869",,,,"$51,474","$30,954",,"$1,412,028",,,"$259,756","$1,267,705","$154,475","$902,981","$141,530","$139,908",,,,"$193,227",,,,"$17,194","$147,257","$829,484","$299,874","$37,044","$166,973",,"$21,720","$118,919","$39,126","$38,557","$4,939",,"$72,390","$79,046","$35,391","$41,927","$14,973","$51,671"
Rabbit Hole (2010),"$26,903","$87,941","$179,889","$48,640","$3,792",,,,,,"$14,044",,,"$228,156","$38,219",,"$42,745","$75,663","$83,025",,,"$5,217",,"$285,146",,,,,"$7,235",,"$25,542","$8,724","$1,350",,,"$327,772","$87,718","$159,604",,"$73,907","$2,204","$115,535","$579,666","$2,695","$36,376","$13,654",,"$14,552",,,,"$5,486","$334,259",,,,,"$2,229,058",,,,,,,,,,,,,,,,,,,
Little Fockers (2010),"$1,977,706","$30,669,391","$750,230","$1,020,212","$1,518,686","$10,182,446","$882,668","$341,098","$704,965","$251,063","$268,182","$1,074,277","$11,734,435","$6,708,478","$2,915,298","$2,739,854","$1,300,005","$2,354,719","$1,730,368","$1,246,532","$773,066","$804,614","$1,028,563","$10,884,568","$518,587","$482,621","$304,851","$164,770","$519,046","$127,718","$127,327","$164,556","$153,301","$994,401","$148,651","$7,274,874","$3,982,943","$5,331,601","$1,535,888","$641,367","$128,811","$12,607,406","$18,830,734","$466,017","$1,226,294","$1,247,516","$604,211","$264,332","$530,811","$612,951",,"$862,732","$1,787,463","$3,410,560","$37,395","$180,678",,,,,,,"$17,028",,,"$22,659",,,,,,,,,,,
Gulliver's Travels (2010),"$1,001,891","$24,736,921","$919,009","$1,219,146","$691,225","$11,545,998","$428,737","$217,609","$2,423,189","$923,906","$176,012","$1,551,918","$10,099,348","$4,986,372","$1,618,673","$2,076,149","$1,169,068","$1,027,665","$89,140","$239,265","$739,651","$406,897","$795,342","$6,473,272","$120,261","$155,483","$78,390","$145,820","$564,646","$73,098","$148,019","$142,235","$156,140","$402,048","$86,616","$11,595,299","$2,273,857","$8,032,354","$1,707,898","$1,884,577","$442,038","$17,075,542","$16,243,551","$14,549,300","$4,004,131","$2,412,547","$3,569,846","$204,135",,"$1,879,756","$363,873","$866,863","$2,327,649","$1,294,263",,"$146,797",,,,"$18,927,634",,"$488,126","$51,660",,,,"$175,067","$32,945","$66,203","$5,753",,,,,,,
Mao's Last Dancer (2009),"$428,842",,,,,"$1,243,460",,,"$114,239",,,"$1,451,110","$231,782",,"$91,237",,"$29,848",,,,"$16,679",,,,,,,,,,,,,,,"$143,736",,"$267,440","$37,495",,,,"$14,008,032","$259,456",,"$86,519",,,,,,,,,,,"$7,170",,"$679,916",,,,,,,,,,,,,,,,,,
Burlesque (2010),"$577,110","$2,515,180",,"$228,719","$265,213","$1,831,895","$85,884","$107,002","$97,482","$114,191","$40,403","$1,582,475","$4,578,664","$920,192","$806,877","$737,218","$605,204","$397,123","$326,614","$535,236","$502,570","$125,265","$130,677","$1,244,069","$50,672","$114,155","$34,976","$24,472","$326,228","$19,470","$93,760","$25,270","$87,890",,"$38,100","$1,155,918","$132,781","$391,219","$198,624","$87,573","$44,256","$2,583,055","$7,669,204",,"$204,596","$561,300","$282,182","$421,838","$312,480","$191,041","$67,639","$3,443,045","$421,003","$1,569,698","$46,473","$50,190","$106,385","$39,440,655","$470,185","$9,445,911","$47,567",,"$20,327","$97,483",,"$8,616",,,,"$2,937",,"$46,750","$12,572","$7,884","$19,928","$18,821","$19,088"
Yogi Bear (2010),"$339,389","$14,569,067","$2,531,925","$526,398","$898,894","$5,083,092","$496,884","$72,327","$2,605,932","$1,453,560","$227,738","$2,003,654","$4,988,967","$2,743,464","$3,169,356","$1,355,259","$1,006,742","$1,396,304","$175,092","$263,802","$971,101","$354,656","$1,282,990","$2,153,788",,"$216,191","$36,228","$24,312","$990,932","$56,724","$41,704","$44,085","$43,945","$825,092","$67,502","$10,456,252","$2,295,065","$6,458,734","$2,568,366","$1,815,257","$278,721","$2,192,762","$14,733,481",,"$307,402","$588,745","$727,807","$164,091","$448,468","$346,632",,"$120,179","$2,700,615","$1,349,097",,"$491,713","$1,327,106",,"$790,642",,"$85,132",,,,,,,,,,,,,,,,
Made in Dagenham (2010),"$117,007","$5,714,597","$16,397",,"$9,410",,,,,,,"$735,139","$844,670","$1,325,620",,"$103,124",,"$102,220",,,,"$2,752",,"$1,081,716",,,,,,,,,,,,,,,,,,,"$1,367,962",,,"$12,955","$11,323",,,,,,,"$89,210",,,,,,,,,,,,,,,,,,,,,,,
The Green Hornet (2011),"$698,249","$8,737,550","$357,069","$992,396","$253,869","$2,441,333","$358,309","$139,700","$1,244,724","$569,127","$65,751","$1,232,768","$10,852,729","$946,715","$1,556,157","$1,796,654","$1,015,913","$772,985","$275,280","$728,989","$729,365","$360,026","$249,889","$7,337,939","$66,771","$187,414","$57,574","$4,585","$218,681","$38,932","$79,417","$39,784","$56,048","$236,863","$100,564","$7,895,269","$723,389","$5,059,358","$1,694,717","$697,845","$158,329","$6,561,777","$9,251,745","$1,886,316","$1,857,479","$2,222,876","$3,417,444","$943,291","$1,513,920","$1,110,899","$302,006","$4,065,644","$313,226","$2,012,654","$152,590","$61,669","$551,640",,"$445,111","$6,868,354","$869,504","$257,589","$55,951","$771,124","$19,804,848","$16,663","$178,507","$5,561","$40,167","$7,378",,"$79,891","$188,239","$72,492","$32,707","$82,229","$67,810"
The Way Back (2010),"$87,083","$3,073,321","$9,405","$157,360","$92,195","$4,046,269",,"$10,316",,,,,"$174,611","$174,172","$423,345",,"$34,144","$496,125","$298,597",,"$138,887",,"$239,627","$7,404,457",,,"$51,129",,"$169,598",,,"$3,461",,,"$14,479","$307,999",,"$121,258","$84,883","$97,855",,,"$785,527","$710,995",,"$61,765","$117,715",,,,,"$96,712","$1,666,468","$188,141",,"$58,594",,,"$73,849",,,,,,,,,,,,,,,,,,
The Warrior's Way (2010),"$68,143","$294,211",,"$290,375",,,,,,,,,,,,,,,"$48,527","$89,909",,,,,,"$90,916","$9,004",,,,"$5,009",,,,,,,,,,,"$1,265,408",,"$2,671,637",,,"$269,642","$285,606",,"$47,454",,,,,,,,,"$1,253",,,,,,,,,,,,,,,,,,
Season of the Witch (2011),"$96,904","$442,904","$1,713,310","$951,578","$501,461","$3,406,703",,"$78,040","$884,949","$84,078",,,"$2,231,211","$4,383,131","$732,446","$454,706",,"$642,396","$478,452","$953,881","$90,441","$297,186","$669,279","$8,789,369","$47,019","$227,488","$174,472",,"$14,043","$15,948","$93,825","$14,755","$24,927","$138,213","$5,722","$5,039,134","$847,437","$7,993,077","$765,591","$393,161","$25,973","$11,319,708",,"$2,898,323","$286,411","$761,985","$1,160,389","$144,945",,"$644,024","$64,872","$295,056","$1,329,427","$311,835",,"$120,550","$143,393",,"$243,188",,,,,,,,,,,,,,,,,,
Cowboys & Aliens (2011),"$553,559","$9,034,965","$466,218","$514,238","$732,804","$4,744,645","$275,561","$55,361","$409,114","$1,500,062","$21,628","$845,274","$3,648,567","$1,313,197","$996,633","$614,931","$707,633","$879,021","$223,956","$401,948","$653,034","$126,728","$138,282","$7,852,035","$54,184","$158,950","$62,174","$47,664","$267,249","$43,607","$51,621","$19,682","$37,039","$205,154","$104,745","$3,883,754","$467,722","$2,606,859","$225,751","$404,727","$64,474","$6,481,974","$5,536,688","$1,784,061","$727,154","$1,189,263","$1,479,620","$1,025,547",,"$709,169","$249,212","$1,229,274","$431,131",,"$40,179","$50,367","$126,318",,"$335,254","$5,425,404",,,"$33,937",,,,,,,,,,,,,,
The Dilemma (2011),"$324,138","$4,584,381",,"$413,340","$376,160","$589,410","$131,314","$76,033",,"$60,497",,"$184,725","$4,546,097","$405,477","$585,055","$822,638",,"$54,671","$107,428","$172,187",,"$231,071","$53,443","$48,728","$101,109","$21,273","$84,019","$20,288",,,"$18,953","$35,232","$28,324","$389,450","$36,066","$1,326,571",,,"$257,998","$132,680","$6,509",,"$3,700,904",,,,,,,,,,,"$466,047","$72,581",,,,,,,,"$4,677",,,,,,,,,,,,,,
Limitless (2011),"$968,463","$13,773,623","$477,435","$1,075,732","$424,030","$5,573,340",,"$164,118",,"$32,640",,"$772,973","$3,540,298","$5,477,558","$1,557,916","$761,083","$526,809","$920,614","$912,862","$275,875","$689,844","$526,735","$194,761","$7,809,396","$133,701","$307,201","$223,184",,"$497,332","$106,645","$76,529","$65,380","$46,209","$301,244","$103,486","$2,851,166","$712,446","$1,886,534","$627,863","$345,411","$11,026","$6,199,604","$8,134,446","$486,207","$589,437","$980,570","$281,225","$85,160",,"$112,131",,"$1,493,095","$2,199,193",,,"$144,128",,,"$761,867",,,,,,,,,,,,,,,,,,
No Strings Attached (2011),"$1,160,279","$4,054,979","$524,046","$525,465","$1,182,594","$4,001,913","$1,132,876","$194,157","$541,711","$287,079","$171,800","$481,471","$3,833,001","$2,369,436","$2,157,486","$1,258,347","$326,579","$1,417,023","$354,762","$926,569","$398,554","$456,728","$204,917","$8,154,245","$200,067","$219,207","$172,574","$88,829","$534,103","$72,495","$149,449","$104,990","$104,739","$494,724","$51,729","$4,986,344","$1,366,277","$3,382,874","$1,833,907","$766,702","$92,223","$6,714,135","$7,926,017","$1,842,083","$670,581","$989,390","$397,381","$453,451","$957,560",,"$271,628","$1,281,833","$520,323","$1,048,947","$45,097","$47,093","$186,069",,"$369,841",,,,,,,,,,,,,,,,,,
The Lincoln Lawyer (2011),"$458,642","$3,455,603","$262,881","$337,693","$213,972","$2,385,567",,"$138,255",,"$36,235","$49,360",,"$2,052,288",,"$378,424","$545,791","$199,887","$293,204","$263,879",,"$163,274","$193,881","$98,739","$2,213,692","$13,851","$70,722","$66,756","$60,573","$55,226","$7,963","$9,074","$12,892","$22,081","$225,864","$33,698","$2,314,110","$619,729","$493,905",,"$116,778",,"$2,123,738","$5,173,938","$2,304,612","$185,624","$272,194",,"$110,451",,"$34,871",,"$537,949",,,,,,,"$135,286",,,,,,,,,,,,,,,,,,
The Rite (2011),"$172,448","$2,544,156","$901,725","$397,558","$504,091","$4,494,964",,"$84,385","$2,170,705","$530,136","$177,282",,"$2,105,071","$5,133,279","$487,735","$425,679","$541,176","$831,829","$1,437,831",,"$234,977","$362,215","$260,176","$7,306,480","$90,473","$101,122","$154,876","$164,664","$121,957","$36,946","$34,673","$48,282","$30,530","$247,472","$24,764","$11,365,781","$3,125,253","$3,964,870","$2,833,818","$832,857","$208,967",,"$955,358","$383,201","$458,531","$429,463","$259,204","$347,982",,"$394,565",,"$634,857","$1,225,530","$72,820",,"$123,765","$1,019,423",,"$146,124","$2,570,932",,,,,,,,,,,,,,,,,
For Colored Girls (2010),"$234,633","$17,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$335,,,,,,,,,,,,,,,,,,,,,,,,,
From Prada to Nada (2011),"$117,615",,,"$83,636","$46,822",,,"$13,402",,,,,,,,,,,"$23,016",,,,,,,,"$13,404",,,,,,,,"$6,931","$468,876",,,,,,"$148,428",,,,,,"$98,990",,"$17,355",,,,,,,,"$3,033,623",,,,,,,,,,,,,,,,,,,
Unknown (2011),"$974,313","$10,606,084","$730,735","$674,361","$485,588","$5,062,049","$843,701","$270,476","$223,071","$161,876","$165,932","$686,079","$6,642,765","$2,294,900","$1,042,061","$526,837","$133,721","$568,713","$894,495","$204,246","$391,403","$376,965","$89,660","$8,941,125","$97,828","$151,798","$153,806","$132,107","$89,645",,,"$48,590",,"$309,755","$111,161","$4,503,566","$864,475","$1,666,139","$947,529","$396,901","$66,408","$1,859,086","$5,802,140","$3,503,340","$538,946","$758,714","$391,218","$342,246",,"$567,820",,"$1,834,452","$647,470","$340,030","$76,124","$32,493",,,,"$2,603,120","$182,697",,,,,"$12,872",,,,,,,,,,,
Sanctum (2011),"$43,593","$3,244,219","$1,772,862","$677,228","$461,886","$4,624,533",,"$185,869","$770,917",,"$20,788","$203,065","$1,845,785","$4,506,935","$239,758","$153,962","$2,097,482","$118,665","$940,361","$483,648","$61,519",,"$171,071","$2,214,350",,,"$144,458","$67,968","$329,371","$101,823","$131,573",,"$54,692","$33,847","$61,740","$1,948,096","$561,372","$5,533,504","$456,600","$273,077","$28,408","$8,646,203","$3,846,797","$4,323,341","$2,836,543","$519,118","$1,188,948","$614,043",,"$230,131",,"$2,121,132","$2,534,498",,,"$22,642",,,"$780,653","$4,772,698",,,,,,,,,,,,,,,,,
Gnomeo & Juliet (2011),"$1,229,164","$25,283,924","$249,925","$403,089","$994,313","$8,162,614",,"$39,017","$220,054","$277,901","$68,278","$463,271","$4,826,803","$2,205,926","$1,294,447","$733,819","$342,065","$1,141,539","$959,844","$378,510","$344,356","$210,376","$433,476","$5,769,095",,"$84,331","$191,801",,"$312,740",,,,,"$287,307","$24,336","$3,915,763","$624,738","$8,418,224","$472,923","$613,958","$77,560","$6,265,601","$7,287,184","$1,798,804","$493,744","$736,902",,"$181,068",,"$219,460",,"$582,163","$4,209,077","$66,082",,"$113,844","$215,559",,"$365,169",,,,,,,,,,,,,,,,,,
Rango (2011),"$1,408,931","$11,277,681","$725,739","$890,276","$1,194,174","$7,338,148","$978,862","$84,787","$1,594,851","$410,621","$93,287","$1,208,306","$6,359,881","$6,831,092","$1,462,733","$1,260,658","$952,241","$1,646,279","$553,846","$1,005,795","$1,305,187","$312,596","$702,135","$10,563,989","$208,974","$198,915","$89,784","$39,385","$546,820","$157,358","$156,612","$52,095","$144,361","$594,935","$126,630","$10,466,177","$2,387,583","$5,021,346","$2,327,609","$985,057","$249,035","$11,761,936","$10,532,753","$2,782,893","$206,835","$977,083","$1,162,652","$518,483",,"$598,954",,"$405,387","$1,381,901","$1,510,263","$9,395","$212,772",,,"$662,074","$300,934","$264,124",,"$14,900",,,,,,,,,,,,,,
The Adjustment Bureau (2011),"$347,424","$8,197,549","$775,218","$697,351","$713,931","$4,604,025","$463,512","$156,987","$232,762","$66,491","$13,939","$330,267","$2,828,788","$2,640,766","$644,874","$449,550","$1,018,465","$782,306","$700,551","$609,587","$337,966","$241,265","$310,972","$5,832,458","$48,930","$53,755","$72,155","$67,013","$320,956","$70,986","$65,386","$50,207","$67,402","$325,229","$19,545","$2,645,045","$431,880","$1,013,794","$842,270","$237,319","$12,061","$4,053,567","$7,228,501","$2,531,594","$327,833","$664,783","$425,119","$318,383",,"$528,502",,"$1,654,069","$373,969","$327,864","$40,606","$22,915",,,"$260,558","$4,681,969",,,"$15,548",,,,,,,,,,,,,,
The Mechanic (2011),"$658,268","$3,915,910",,"$1,044,517","$239,354","$2,382,128",,"$99,069",,"$60,669","$19,317",,"$2,455,375","$690,772","$443,049","$497,330",,"$413,124","$605,301","$629,116","$137,338","$143,871","$50,079","$1,762,203",,"$402,664","$25,088",,,"$62,689","$116,074","$28,885","$64,332","$75,394","$31,579","$1,049,194","$179,355","$405,879",,"$185,781","$4,252","$8,208,998","$1,708,754","$1,471,238",,"$184,201","$939,543","$5,578",,"$355,786",,"$913,993",,,"$36,594",,,,,"$217,710",,,,,"$14,088,244",,,,,,,,,,,,
Hall Pass (2011),"$424,450","$5,206,774",,"$410,543","$576,630","$1,229,672","$639,790","$104,653","$343,461","$176,247","$185,947","$482,253","$3,194,060","$1,802,615","$803,758","$1,452,634",,"$716,228","$361,091","$366,149",,"$291,710",,"$3,578,037","$143,870","$95,678","$132,626","$58,010","$96,651","$91,347","$93,407","$33,345","$66,614","$543,703","$82,682","$1,830,458","$633,347","$1,264,854","$1,106,944","$211,535","$58,732","$3,154,302","$7,584,094",,,"$409,214",,,,"$180,151",,,"$353,058","$428,299","$29,960","$60,183",,,,,,,,,,"$6,737",,,,,,,,,,,
The Eagle (2011),"$147,268","$4,589,682","$119,956","$232,789","$194,474","$2,469,421",,"$98,517",,,,,"$910,895","$645,870","$207,698","$191,657",,"$252,359","$70,075","$115,334","$203,584","$133,785","$44,826","$2,123,408",,"$70,264",,"$30,102","$40,479","$13,518","$53,919",,"$17,573","$27,656","$7,545","$444,692",,,,,,"$4,065,840","$19,066",,"$51,604","$127,163","$178,519","$173,232",,,,"$78,421",,"$116,158",,,,,"$232,294",,,,,,,,,,,,,,,,,,
I Am Number Four (2011),"$728,291","$5,045,495","$432,145","$719,187","$362,594","$1,742,525","$429,919","$96,271","$742,160","$435,828","$30,213","$725,234","$4,580,259","$1,458,848","$1,854,191","$730,028","$1,783,054","$1,255,925","$234,176","$555,952","$720,961","$261,115","$64,362","$6,082,255","$29,162","$310,899","$55,141","$62,512","$183,666","$22,893","$33,127",,"$19,926","$233,164","$52,494","$2,034,825","$1,029,710","$3,373,958","$788,626","$161,408","$34,236","$7,135,120","$7,501,851","$4,395,393","$906,507","$1,463,707","$2,038,051","$1,600,108",,"$1,535,755",,"$1,678,477","$831,840","$187,906","$27,364","$12,109","$120,327",,"$689,282","$3,457,836",,,,,"$17,328,244",,,,,,,,,,,,
Battle Los Angeles (2011),"$219,643","$7,792,937","$708,564","$570,252","$316,225","$5,152,165","$228,431","$95,026","$1,060,086","$330,124","$81,753","$800,643","$2,947,597","$1,027,709","$590,600","$288,167","$414,631","$467,731","$513,866","$378,107","$417,294","$165,323","$247,211","$3,697,098","$38,358","$152,282","$106,616","$41,459","$246,363","$64,912","$114,498","$28,396","$56,991","$382,619","$79,754","$4,230,173","$987,555","$4,273,272","$1,728,168","$877,734","$186,782","$8,313,968","$5,891,584","$8,972,614","$1,241,299","$1,635,954","$2,636,753","$1,832,494",,"$911,528","$412,312","$1,545,552","$837,215","$58,388","$79,476","$80,252","$1,002,152",,"$639,879","$9,187,721","$4,455,577","$304,334","$53,900","$447,459","$25,190,840","$13,617","$128,961","$33,849","$11,923","$5,240",,"$38,538","$82,376","$38,191","$20,011","$18,493","$47,389"
Mars Needs Moms (2011),"$177,128","$784,118",,"$302,588",,,"$303,258","$33,802","$885,922","$530,622","$32,286","$91,962",,"$29,388",,,,,"$190,709","$493,713","$14,832","$199,417","$135,738",,,"$157,216",,"$2,562",,,,,,"$179,846","$85,049","$3,437,291","$1,064,388",,"$1,174,443","$218,093","$73,102","$5,728,634","$82,808",,,"$129,704","$500,360","$51,326",,"$175,037",,,"$562,796",,"$8,502",,,,,,,,,,,"$4,280",,,,,,,,,,,
Closing the Ring (2007),"$12,357","$296,867","$153,274","$10,149","$23,066","$269,893",,,,,,"$114,667",,,$966,,,,,,,,"$2,879",,"$6,617",,,,,,,,,,,,,"$134,925",,,,,"$385,671",,,"$19,110",,,,,,"$8,501",,,,,,,,,,,,,,,,,,,,,,,,,
Elite Squad 2: The Enemy Within (2010),"$6,524","$10,690",,,"$358,622",,,,,,,,,,,,"$29,151","$14,940",,,"$88,777",,,,,,,,"$9,184",,,,,,"$14,933",,,"$62,927,562",,,,,,"$4,235",,,,,,,,,"$54,113",,,,,,,,,,,,,,,,,,,,,,,,
Just Go with It (2011),"$2,534,937","$9,287,544","$1,070,921","$832,831","$1,192,391","$5,711,634","$1,728,634","$205,900","$1,218,601","$317,150","$244,048","$600,960","$12,226,518","$2,153,785","$1,396,707","$2,518,827","$1,116,916","$927,691","$959,972","$918,252","$676,740","$539,544","$411,299","$2,295,207","$321,361","$161,463","$180,234","$123,147","$511,147","$128,612","$107,902","$83,774","$155,940","$995,436","$121,838","$7,541,885","$904,659","$11,661,400","$2,805,280","$997,060","$162,258","$13,174,937","$9,025,086",,"$517,119","$996,463","$576,883","$330,417",,"$639,198","$270,646","$2,257,650","$1,005,962","$1,546,447","$140,737","$233,888","$435,619",,"$695,697",,"$522,578",,"$26,331","$752,557",,"$24,907","$137,788","$21,629","$19,300",,,"$141,688","$104,731","$68,095","$34,300","$29,200","$116,481"
Red Riding Hood (2011),"$674,904","$4,377,364","$424,263","$338,137","$519,361","$4,706,679","$169,319","$113,323","$966,807","$215,536","$41,734","$495,890","$2,190,702","$2,578,521","$340,524","$440,718","$559,001","$902,781","$1,244,855","$243,438","$740,103","$156,085",,"$2,987,782","$39,148","$110,994","$56,464","$32,990","$600,099","$36,024","$37,786","$51,040","$50,284","$139,965","$22,900","$4,049,641","$812,221","$2,337,618","$757,472","$509,891","$79,915","$4,161,602","$4,800,119","$2,520,786","$482,273","$718,249","$630,933","$336,259",,"$1,334,699",,"$768,836",,,"$25,367",,,,"$343,501","$1,313,995",,,,,,"$9,316",,,,,,,,,,,
"Big Mommas: Like Father, Like Son (2011)","$1,352,084","$8,340,294","$57,833","$1,075,925","$309,932","$2,420,490",,"$308,439","$739,216","$230,789","$55,768","$228,180","$2,946,414","$40,569","$1,520,573","$497,223","$366,827","$1,353,926",,,,"$190,431",,"$2,813,926","$132,519","$148,629","$45,115","$60,207",,,"$57,703",,"$44,040","$286,269","$49,300","$3,761,284","$145,988","$3,136,006","$1,430,585","$642,257","$70,279","$2,185,694","$2,355,403",,,"$785,990","$853,428","$16,137",,"$266,331",,"$42,021","$96,796",,,,"$66,836",,,,,"$1,112,657","$23,707",,,,"$304,070","$50,336","$24,963","$5,744",,,,,,,
Source Code (2011),"$371,142","$9,933,594","$1,165,884","$812,742","$321,967","$4,147,621",,"$171,270",,"$64,820","$41,375","$937,228","$3,461,971","$2,718,562","$1,195,467","$434,725","$393,888","$819,506","$483,327","$150,936","$389,777","$265,063","$230,718","$6,556,672",,"$106,577","$64,595","$118,448","$216,367","$54,898","$51,402","$25,649","$62,982","$249,153","$48,377","$2,882,091","$1,271,291","$363,346","$507,898","$344,338",,"$5,053,622","$5,951,576","$8,966,835","$1,188,443","$924,597","$661,101","$1,041,559",,"$278,534",,"$2,916,077","$1,175,982",,,"$56,296","$150,073",,,"$5,354,083",,,,,"$10,120,593",,,,,,,,,,,,
Jane Eyre (2011),"$248,379","$7,836,637","$58,925","$64,947","$91,001","$1,198,552",,"$21,525",,,,"$500,717","$1,091,405","$445,255","$124,066","$152,696","$292,786","$148,390","$139,716","$95,593","$358,253",,"$190,579","$315,254","$30,041",,"$4,038",,,"$44,195","$32,121","$5,377","$41,113",,,,,,,,,"$1,104,032","$3,303,178","$910,338","$84,055","$55,053",,,,,,"$166,063","$159,043",,,,,,"$313,708",,,,,,,,,,,,,,,,,,
X Games 3D: The Movie (2009),"$81,313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucker Punch (2011),"$186,626","$3,823,250","$345,882","$385,473","$195,775","$1,355,415","$124,923","$15,008","$107,016","$167,848","$4,773","$760,518","$4,230,565","$1,349,817","$963,885","$561,138","$662,939","$654,882","$372,555","$213,496","$333,719","$109,453","$124,821","$4,958,885","$14,986","$82,027","$27,018","$15,635","$190,790","$33,138","$19,414","$15,446","$37,631","$190,907","$44,060","$1,993,564","$277,656","$1,072,454","$333,422","$108,466","$42,952","$3,831,792","$4,590,740","$1,093,929","$651,741","$904,874","$1,312,528","$512,699",,"$1,114,810",,"$1,050,203","$330,188",,"$24,525","$14,247",,,"$302,284","$2,793,077",,,,,,"$6,589",,,,,,,,,,,
Chalet Girl (2011),"$19,799","$3,063,763",,"$48,511","$27,952",,,,,,,"$32,695","$430,514",,"$316,496","$95,123",,"$54,930",,"$73,334",,,,,,,,,,,,,,,"$13,007",,,,,,,"$1,193,445","$77,342",,,"$20,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil (2010),,"$4,477,471","$575,791","$342,953","$216,171","$1,357,244",,"$53,861","$326,586","$160,114","$17,633","$133,339","$1,890,582","$1,676,907","$795,614","$458,563","$244,563","$218,859","$191,798","$157,129","$145,194","$95,227","$91,214","$72,182","$70,951","$69,743","$64,309","$63,709","$44,830","$40,384","$28,336","$27,436","$26,048","$20,813","$12,424","$2,193,500","$730,523","$635,735","$573,129","$478,951","$90,168","$2,306,011","$1,658,511","$750,904","$665,203","$573,430","$555,731","$327,541","$303,702","$290,408","$246,949","$172,794",,,,,,,,,,,,,,,,,,,,,,,,,
Catfish (2010),,"$43,602",,,,,,,,,,"$33,519",,,,,,,,,,,,,,,,,,,,,,,$186,,,,,,,"$29,366","$189,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside Job (2010),,"$516,001",,,"$173,993","$862,111",,,"$28,627",,"$20,172","$137,426",,,,,"$13,014",,,,,,,"$669,049",,,,,,,,,,,,"$55,163",,"$108,467",,,,,"$389,910","$40,096","$73,083",,,,,,,,"$14,647",,,,,,"$80,615","$181,418","$32,027",,,,,,,,,,,,,,,,
Partir (2009),,"$315,552","$59,033",,,"$251,210",,"$15,215",,,"$18,006","$149,688","$150,044","$410,506","$54,227","$17,992","$110,504","$327,698","$76,151",,,"$5,621",,"$4,995,229",,,,,,,,,,,,"$21,822","$123,433",,$698,"$6,727",,"$24,248","$34,437",,,,,,,,,"$10,844",,,,,"$10,451",,"$190,585",,,,,,,,,,,,,,,,,,
Monsters (2010),,"$1,442,663","$108,473","$19,929","$17,801","$194,369",,,,,,"$42,911","$186,963","$17,799",,"$62,742",,,,,"$43,747",,,"$327,437",,,,,,"$2,573",,,,,,"$463,534",,,,,,"$1,403,668","$218,559",,"$88,851","$39,817",,"$30,335",,,,,"$110,966",,,,,,,,,,,,,,,,,,,,,,,,
The Illusionist (2010),,"$1,417,299","$36,752",,"$95,457","$152,938",,,,,,"$66,024",,"$317,410","$8,763","$31,528",,"$57,223",,,,"$11,096",,"$1,019,655",,,,,"$6,965",,"$2,675",,"$4,652",,,,"$148,313","$72,095",,,,"$164,496","$35,504","$110,500",,"$16,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hedgehog (2009),,"$10,325","$16,391",,,"$1,789,908",,,,,"$66,347","$95,058","$1,763,274","$3,236,371",,"$110,836",,"$248,982",,,"$46,400",,,"$5,935,575",,,,,,,,,,,,"$60,582","$96,422",,,,,,"$417,414",,,"$9,586",,,,,,"$49,401",,,,,,,"$34,958",,,,,,,,,,,,,,,,,,
Kaboom (2010),,"$71,545",,,,,,,,,,,,,,"$14,069",,"$35,928",,,,,,"$385,110",,,,,,,,,,,,,,"$7,932",,,,,,,,,,,,,,"$1,659",,,,,,,,,,,,,,,,,,,,,,,,,
Luck by Chance (2009),,"$183,212",,,,,,,,,,"$7,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,909",,,,,,,,,,,,"$2,551",,,,,,"$3,914,500",,,,,,,,,,,,,,,,
