Movie Name,Chile,South Korea,South Africa,New Zealand,Australia,Singapore,Russia/CIS,Peru,Uruguay,Colombia,Ecuador,Bolivia,United Kingdom,Germany,France,Spain,Italy,Austria,Belgium,Netherlands,Poland,Israel,Egypt,Qatar,Switzerland (German),Portugal,Ukraine,Hungary,Greece,Sweden,Norway,Czech Republic,Slovakia,Bulgaria,Bahrain,Serbia and Montenegro,Switzerland (French),Lithuania,Oman,Lebanon,Estonia,Jordan,Croatia,Latvia,Kenya,Nigeria,Brazil,Mexico,Argentina,Venezuela,Malaysia,India,Philippines,Vietnam,Hong Kong,Taiwan,Thailand,United Arab Emirates,Romania,Denmark,Türkiye,Iceland,Finland,Slovenia,Japan,China,Domestic,Kuwait,East Africa,Cyprus,Iraq,Ethiopia,Cambodia,Ghana,Switzerland,Russia
Midnight Special (2016),,,,,"$76,011",,,,,,,,"$1,342,203","$24,721","$1,417,567",,,"$2,802",,"$44,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,714",,,,,,,"$42,156",,,"$37,492",,,,,,,,,,,,"$9,003",,,
Santa's Apprentice (2010),,,,,"$263,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiss Me Again (2010),,,,,"$14,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$437,134",,,,,,,,,,
At World's End (2009),,,,,$715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carry On, Munna Bhai (2006)",,,,,"$57,244",,,,,,,,"$1,522,624",,,,,,,,,,$97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,100,000",,,,,,,,,,,,,,,,,,,,,,,,
Cymbeline (2014),,,,,,"$4,179","$18,122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise of the Legend (2014),,,,,,"$706,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$935,847",,,,,,,,,,,"$29,290,000",,,,,,,,,,
The Road Within (2014),,,,,,"$8,324","$15,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,661",,,,,,"$6,532",,,,,,,,,,,,,,,,,,,
Outcast (2014),,,,,,"$23,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$277,032",,,"$226,932",,"$16,726",,,,"$7,245",,,,,,,,,"$3,860,000",,,,,,,,,,
Barbie in Princess Power (2015),,,,,,"$8,919",,"$10,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Magnificent Haunting (2012),,,,,,,"$49,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby Red (2013),,,,,,,"$782,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not My Type (2014),,,,,,,"$17,954",,,,,,,,"$2,280,946","$133,095","$934,061",,"$263,701",,,,,,,,,,"$27,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,215",,
Ronal the Barbarian (2011),,,,,,,"$609,823",,,,,,,"$27,642",,,,"$21,613",,,"$181,382",,,,,"$15,364","$43,706",,,,,,,"$12,202",,"$7,004",,,,"$29,545",,,,,,,,,,,,,,,,,,,,"$1,455,128",,,,,,,,,,,,,,,,
Girls on Top 2 (2004),,,,,,,"$270,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russendisko (2012),,,,,,,"$20,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girls on Top (2001),,,,,,,"$460,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Führer (2007),,,,,,,"$15,997",,,,,,,"$6,870,273","$79,752","$88,200","$145,077","$391,123",,,"$38,700",,,,,,,,,,"$12,933","$14,455","$6,880",,,"$1,160",,,,,,,"$11,860",,,,,,"$1,330",,,,,,"$17,277",,,,,,,,,"$5,361",,,"$2,465",,,,,,,,"$54,765",
More Ants in the Pants (2002),,,,,,,"$380,000",,,,,,,"$4,838,417",,,"$520,745","$421,684",,,,,,,,,,"$159,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
App (2013),,,,,,,"$313,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,217",,,,,,,,,,,,,,,,,,,,,
What Men Talk About (2010),,,,,,,"$12,051,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Humbling (2014),,,,,,,"$15,372",,"$11,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,111",,,,,,,,,,,,,,,,,,,,
"Isoroku Yamamoto, the Commander-in-Chief of the Combined Fleet (2011)",,,,,,,"$41,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$99,492",,,,,,,,,,"$17,969,314",,,,,,,,,,,
Last Knights (2015),,,,,,,"$772,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,191",,,,"$9,515",,,,,,,,"$230,073",,,,,,,,,,,
Hungry Hearts (2014),,,,,,,"$15,274",,,,,,,,,,"$504,464",,"$3,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,105",,,,,,,,,,,,"$6,921",,,,,,,,,
Book of Blood (2009),,,,,,,"$400,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,104",,,,"$1,006",,,,,,,,,,,,,,,,,,,
Beyond the Reach (2014),,,,,,,"$167,404","$21,249","$4,607",,,,,,,,"$82,921",,,,,,,,,"$42,195","$15,610",,,,,,,,,,,,,"$31,390",,"$22,425","$5,193",,,,,"$595,450","$27,189",,,,,,,,,"$21,566",,,"$17,338",,,,,,,,,,,,,,,
Kite (2014),,,,,,,"$315,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$82,263",,,,,,,,,,,,,,,,,,,
Rose (2011),,,,,,,$295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick: Evil Awakens (2013),,,,,,,,"$37,985","$15,430","$6,374","$5,699","$3,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finding Gaston (2014),,,,,,,,"$10,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandma (2015),,,,,,,,"$2,720",,,,,"$54,711",,,"$83,658",,,,,"$1,742",,,,,,,,,"$53,622",,,,,,,,,,,,,,,,,,"$28,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother's Day (2010),,,,,,,,"$57,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,029",,"$164,473",,,,,,"$82,825",,,,,,,,,,,,,,,,,,,,
Barbie and the Secret Door (2014),,,,,,,,"$7,036","$22,395","$22,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,983","$200,966",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mystery of Happiness (2014),,,,,,,,,"$129,346",,,,,,,"$85,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,993,207",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Good Day, Ramon (2013)",,,,,,,,,"$7,036","$50,716","$60,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,832,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbecue (2014),,,,,,,,,"$14,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$73,982",,$509,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monkey Kingdom (2015),,,,,,,,,,,"$43,211",,,"$11,823","$268,744",,,,"$26,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$56,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Souls (2014),,,,,,,,,,,,,"$2,985",,,"$192,170","$943,793",,,,,,,,,,,,,,"$31,662",,,,,,,,,,,,,,,,,,,,,,,,,"$6,662",,,,,,,,,,,,,,,,,,,,
Welcome to Me (2014),,,,,,,,,,,,,"$2,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,725",,,,,,,,,,,,,,,,,,
Appropriate Behavior (2014),,,,,,,,,,,,,"$76,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon & the Oaks (2011),,,,,,,,,,,,,,"$184,084",,,,"$4,785",,,,,,,,,,,,"$4,010,600","$155,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount St. Elias (2009),,,,,,,,,,,,,,"$236,879",,"$4,713",,"$887,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hui Buh: Das Schlossgespenst (2006),,,,,,,,,,,,,,"$12,886,988",,,"$598,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$714,796",,,,,,,,,"$234,228",
Night of the Living Dorks (2004),,,,,,,,,,,,,,"$1,466,934",,,"$285,728","$69,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stopped on Track (2011),,,,,,,,,,,,,,"$678,888",,"$1,409",,"$18,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seven Dwarves (2004),,,,,,,,,,,,,,"$48,726,183",,,,"$5,322,380","$145,545",,"$1,067,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,580",,,,,,,,,,,,,,,,,,,"$2,871,961",
Long Live Freedom (2013),,,,,,,,,,,,,,"$43,010",,"$607,690","$2,772,977","$40,999","$60,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$113,387",,"$82,041",,,,,,,,,,,,,,,,,,"$48,541",,,,,,,,,
In Search of Memory (2009),,,,,,,,,,,,,,"$525,967",,,,"$10,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awake: The Life of Yogananda (2014),,,,,,,,,,,,,,"$67,417",,"$21,959","$82,468",,,,,,,,,,,,"$19,528",,,,,,,,,,,,,,,,,,"$160,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippocrates: Diary of a French Doctor (2014),,,,,,,,,,,,,,,"$7,127,673","$273,249",,,"$78,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Futuro Beach (2014),,,,,,,,,,,,,,,"$12,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$747,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Day I Saw Your Heart (2011),,,,,,,,,,,,,,,"$1,940,056",,,,"$23,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,021",,,,,,,,,,,,,,,,,,,"$3,546",,,,,,,,,
Ballerina (2006),,,,,,,,,,,,,,,"$16,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alleluia (2014),,,,,,,,,,,,,,,"$14,765",,,,"$27,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breathe (2014),,,,,,,,,,,,,,,"$1,012,245",,,,"$24,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$79,807",,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Wolf at the Door (2013),,,,,,,,,,,,,,,,"$6,334",,,,,,,,,,$836,,,,,,,,,,,,,,,,,,,,,"$168,285",,,,,,,,,,,"$270,981",,,,,,,,,,,,,,,,,,
Astral City: A Spiritual Journey (2010),,,,,,,,,,,,,,,,"$6,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,218,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magical Girl (2014),,,,,,,,,,,,,,,,"$202,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casomai (2002),,,,,,,,,,,,,,,,,"$2,953,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$131,593",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Forger (2014),,,,,,,,,,,,,,,,,"$65,987",,,,,,"$13,475","$9,224",,,,,,,,,,,"$19,165",,,,"$10,534","$39,839",,"$4,221","$8,887",,,,,"$264,604",,,,,,,,,,"$64,368",,,,,,,,,,,,,,,,,,
The Woman with the 5 Elephants (2009),,,,,,,,,,,,,,,,,,"$71,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,026",,,,,,,,,
Racing Hearts (2014),,,,,,,,,,,,,,,,,,,"$513,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,953",,,,,,,,,,,,
Kill Me Three Times (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,946",,,,,,,,,,,,,,"$50,600",,,,"$12,780",,,"$10,185",,,,,,,,,,,,,,,
Closed Curtain (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Is the Perfect Crime (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Unseeable (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$388,087",,,,,,,,,"$527,537",,,,,,,,,,,,,,,,,,,
The Liberator (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,969,031",,,,,,,,,,,,,,,,,,,,,,,,,,
Filmistaan (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,237,311",,,,,,,,,,,,,,,,,,,,,,,,
Spiders (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,154",,,,"$21,338",,,,,,,,,,,,,,,,,,,
No Tears for the Dead (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,750",,,,,,,,,"$63,063",,,,,,,,,
Berserk: The Golden Age Arc I - The Egg of the King (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,152,610",,,,,,,,,,,
Cheburashka (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,530,705",,,,,,,,,,,
