Movie Name,Chile,South Korea,South Africa,New Zealand,Australia,Singapore,Russia/CIS,Peru,Uruguay,Colombia,Ecuador,Bolivia,United Kingdom,Germany,France,Spain,Italy,Austria,Belgium,Netherlands,Poland,Israel,Egypt,Qatar,Switzerland (German),Portugal,Ukraine,Hungary,Greece,Sweden,Norway,Czech Republic,Slovakia,Bulgaria,Bahrain,Serbia and Montenegro,Switzerland (French),Lithuania,Oman,Lebanon,Estonia,Jordan,Croatia,Latvia,Kenya,Nigeria,Brazil,Mexico,Argentina,Venezuela,Malaysia,India,Philippines,Vietnam,Hong Kong,Taiwan,Thailand,United Arab Emirates,Romania,Denmark,Türkiye,Iceland,Finland,Slovenia,Japan,China,Domestic,Kuwait,East Africa,Cyprus,Iraq,Ethiopia,Cambodia,Ghana,Switzerland,Russia
Unfriended (2014),"$109,480","$1,435,368",,,"$2,285,525","$403,280","$1,549,511","$525,205","$21,079","$147,828","$93,960","$33,859","$5,146,449","$5,897,228","$1,289,416","$2,359,850","$966,418","$573,628",,"$353,964",,,,,"$353,034",,"$44,660",,,,"$3,413","$139,566","$28,067",,,,"$98,106","$102,529","$10,905","$21,563","$61,037","$37,084",,"$51,291",,,"$157,628","$1,251,578","$517,364","$626,111","$453,497",,"$856,752",,,,"$181,568",,,,,,"$26,364","$58,270",,,,,,,,,,,,
Child 44 (2015),"$5,909",,"$14,688",,,"$143,182",,"$17,331","$17,704",,"$12,201","$4,325","$2,078,131","$300,121","$602,547","$949,162","$1,260,810","$18,177","$58,151","$105,112","$435,579",,"$20,611","$14,386","$29,573","$38,938",,"$129,089","$143,506","$212,077",,"$69,042","$19,186","$48,526","$21,495","$19,710",,"$12,482","$5,772","$41,723","$4,941","$26,230","$28,072","$9,508",$910,"$2,007","$65,304","$370,758",,"$187,227","$59,191",,,,"$214,512","$140,908","$36,871","$40,122","$80,154",,"$51,489","$26,474",,,,,,,,,,,,,,
Ants in the Pants (2000),"$7,023",,,,,,,,,,,,,"$7,476,698",,,"$142,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaun the Sheep Movie (2015),"$89,920","$559,389","$164,331","$607,005","$5,041,778","$377,856","$1,272,828","$163,916","$24,790","$100,265","$115,638","$29,722","$21,952,598","$11,730,462","$6,715,152","$3,157,336","$2,689,725","$1,299,587","$930,817","$1,555,089","$1,166,687",,"$13,653",,"$1,783,089","$714,822","$167,973",,"$139,131","$1,425,094","$1,267,996","$468,409","$138,400","$37,888",,"$55,921","$486,049","$125,824",,"$153,702","$145,796","$31,873","$134,190","$83,179",,,"$368,618","$745,588","$314,956","$905,249",,"$57,051",,,"$423,149","$135,936",,"$370,256","$83,292",,"$544,730","$34,443","$830,933","$199,026","$4,552,326","$8,713,376","$19,375,982",,,,,,,,,
The Ages of Love (2011),"$44,496",,,,"$400,909",,"$562,899","$121,417","$83,714",,,"$13,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$288,885",,"$272,584",,,,,,"$36,256",,,,,,,,,,,,,,,,,,,,,
Woman in Gold (2015),"$113,163","$860,631","$218,660","$1,450,987","$4,653,694","$13,114",,"$130,719","$97,234","$75,703",,,"$3,878,626","$1,573,115","$1,683,359","$1,484,687","$1,091,400","$259,887","$200,532","$458,646","$232,921",,,,"$332,555","$186,081",,"$18,781","$112,812","$509,986","$83,210","$22,475","$43,244",,,,"$175,955",,"$2,351","$32,045",,"$2,143",,,,,"$422,093","$937,548","$348,412",,,,,,,"$262,927","$47,880",,,"$1,305,480","$81,982",,"$97,090",,"$1,251,653",,,,,,,,,,"$115,088",
Tomorrowland (2015),"$734,487","$1,804,359","$216,818","$593,547","$3,397,228","$1,931,395","$7,164,018","$1,038,299","$86,279","$873,302","$840,948","$151,240","$7,740,556","$3,162,814","$6,535,891","$4,845,253","$3,415,898","$444,682","$700,466","$811,291","$1,079,509","$351,908","$168,374","$155,025","$359,445","$539,593","$555,540","$184,818","$283,693","$641,267","$228,891","$123,651","$75,458","$150,631","$70,528","$26,438","$270,539","$47,922","$89,288","$156,914","$60,463","$47,045","$55,177","$35,778","$29,558","$42,141","$2,784,174","$5,671,204","$1,760,538","$1,539,781","$1,952,169","$406,983","$2,488,622","$590,773","$1,860,305","$2,275,297","$1,476,090",,,"$603,740",,"$46,761",,"$32,040","$10,255,853","$19,240,000",,,,,,,,,,
Good Kill (2014),"$8,369",,,,,"$56,337",,"$17,003","$5,545",,"$64,024",,,,"$300,211",,"$223,939",,,,,,"$5,530","$14,935",,"$12,429",,,,,,,,,"$2,244",,,,"$12,039",,,"$5,421",,,,,,,"$32,027","$223,824","$77,366",,,"$21,691",,"$50,883","$19,763",,,,,"$4,419",,,,,,,,,,,,,,
Paul Blart: Mall Cop 2 (2015),"$136,302",,"$232,591",,"$2,625,978","$363,845",,"$1,040,665","$327,543","$1,124,049","$445,309","$287,170","$2,195,452","$6,129,025",,"$1,494,459",,"$996,995","$8,260",,,"$203,455","$65,323","$361,654","$713,608","$199,306",,"$224,214",,"$105,750",,,,"$43,044","$448,598",,,"$23,554","$79,021","$254,825","$11,694","$120,890",,"$17,801","$14,572","$59,765",,"$5,615,133","$970,819","$5,222,889","$481,057",,"$181,686",,,,,"$1,020,655","$178,732",,,"$63,446",,,,,"$71,038,190",,"$13,165",,,"$7,569",,"$1,546",,
Space Dogs: Adventure to the Moon (2014),"$16,261",,,,,,"$5,853,400","$101,803",,"$62,393",,"$14,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,533",,,,,,,,"$379,033",,,,,,,,,,
The Longest Ride (2015),"$69,437",,"$177,260","$394,720","$3,875,481","$196,249","$410,268","$41,579","$12,864","$104,469","$128,977","$11,727","$1,558,766","$5,607,774","$4,788","$1,807,858","$1,154,816","$839,066","$792,012","$1,353,565","$414,691",,"$166,560","$13,790","$951,468","$218,147","$42,932",,,,"$242,151",,,"$40,602","$32,760","$16,485","$40,625","$23,916","$10,899","$129,419","$27,790","$12,338","$14,284","$13,100","$10,800","$18,677","$474,879","$1,641,849",,,,,"$224,836","$13,371",,"$253,867",,"$148,112","$67,982",,"$157,957",,,,,,,,"$5,518",,,,,,,
The Age of Adaline (2015),"$108,959","$264,852","$70,929","$380,586","$2,128,652","$370,148","$833,317","$183,361","$21,392",,"$33,904",,"$1,689,799","$902,152",,"$2,006,494","$3,533,982","$191,596","$438,835","$1,002,720","$715,872",,"$168,907","$27,261","$374,372","$259,154","$36,504","$210,325","$211,873","$18,528",,"$26,693","$38,756","$120,519","$68,364","$42,800",,"$76,176","$10,434","$236,452","$54,352","$31,950","$161,930","$94,722","$2,111",,"$890,312","$2,596,528","$244,972",,"$117,706",,"$54,780","$22,560","$270,672","$510,380","$418,091","$218,935","$223,327",,"$246,002","$21,758",,"$47,744",,,,,,,,,,,,
Danny Collins (2015),"$21,456","$370,696","$30,709",,,"$15,690","$105,885","$32,101",,,,,"$720,695",,,"$84,657",,,"$27,319",,"$216,968",,,"$4,562",,"$17,298",,"$11,089","$26,963",,,,"$7,534","$24,176",,,,"$5,424","$3,543","$23,710",,"$6,253","$5,858","$9,399","$4,215",,"$792,839","$304,941",,,"$31,104",,,"$5,213","$81,177",,"$13,724",,"$67,918",,"$109,119",,,,,,,,,,,,,,,
Tinker Bell and the Legend of the NeverBeast (2014),"$316,280",,,"$374,105","$743,022",,"$2,303,556",,"$74,303",,"$603,499","$121,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,589,846","$1,727,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pirate Fairy (2014),"$391,822",,,"$833,635","$3,437,728",,"$4,859,051","$334,895","$143,042","$279,687","$433,905","$107,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,366,564","$2,058,700","$2,008,765","$1,178,605",,,,,,,,,,,,,,,,,,,,,,,,,,
San Andreas (2015),"$5,761,109","$12,468,588","$1,127,214","$1,131,984","$6,752,710","$2,343,403","$10,094,957","$4,419,015","$411,083","$7,154,116","$2,148,763","$1,207,240","$17,630,829","$6,037,020","$8,801,600","$3,540,118","$2,640,524","$608,082","$1,242,065","$1,780,143","$919,523","$1,519,707","$356,693","$374,885","$879,634","$796,679","$509,150","$291,601","$356,286","$1,080,782","$868,436","$174,214","$116,674","$479,005","$248,367","$47,063","$545,927","$169,007","$130,017","$426,984","$114,428","$215,305","$127,252","$148,600","$89,153",,"$10,131,388","$28,445,871","$7,211,836","$8,451,445","$6,292,257","$2,540,021","$4,572,502","$1,312,702","$5,024,308","$8,896,258","$2,466,116",,,"$541,413","$1,461,323","$90,776",,"$27,993","$2,357,028","$103,190,000","$155,190,832",,,,,,,,,
Thunder and the House of Magic (2013),"$122,141","$5,649,400","$661,585","$535,984","$2,963,520","$106,648","$5,842,813","$155,934","$51,697","$354,565","$267,136",,"$3,398,104","$5,291,155","$9,663,523","$734,554","$1,563,184","$653,167","$1,297,283","$756,662","$700,083",,"$17,293",,,,"$336,221","$179,983","$206,081","$775,701","$821,459","$327,518","$232,322","$240,846",,"$38,982",,"$81,660",,"$94,836",,,"$279,387",,,,"$1,279,657",,"$205,245","$539,932",,,,,,,,"$124,668",,,"$397,350","$70,167","$440,196","$30,444",,"$7,220,000",,,,,,,,,,
Sadako 3D (2012),,"$693,819",,,,"$338,008","$885,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$472,871",,,,"$1,008,419",,"$74,736",,,,,,,,"$16,862,420",,,,,,,,,,,
In the Name of the Son (2012),,"$187,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saving Santa (2013),,"$1,279,726",,,,,"$2,542,740","$341,366",,,"$323,355","$28,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$680,620",,"$1,364,628",,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix (2014),,"$62,378",,"$151,940","$196,497",,,,"$14,331","$24,111",,,"$58,634","$704,818","$809,167","$353,358","$96,375","$35,735","$32,453",,,,,,,,,,"$85,838","$28,175",$501,,$836,"$2,322",,,,"$2,261",,,,,,,,,"$4,802",,"$6,619",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pirates (2014),,"$64,414,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,494",,,,,,,,,,,,,,,,,,,,,,,
Kristy (2014),,"$194,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,848",,"$8,034",,,,,,,,,,,,,,,,,,,,,,,
Samba (2014),,"$234,814",,"$107,909","$306,771",,"$250,872",,,"$57,015",,,,"$2,434,309","$24,245,847","$2,494,011","$955,266","$268,977","$1,667,788","$2,064,910","$258,956",,,,"$1,121,080","$228,709","$19,796","$22,710","$107,440","$35,183",,"$42,091",,,,,"$1,072,774","$7,295",,"$14,413","$12,607",,"$15,078","$17,721",,,"$537,929","$162,071",,,,,,,,,,,,"$228,762",,"$29,374",,"$4,687",,,,,,,,,,,,
Space Dogs (2010),,"$240,726",,,,,,,,,,,,,,,"$20,729",,,,"$1,308,603","$221,361",,,,"$23,609","$175,732",,"$156,113",,,,,,,,,"$15,415",,"$10,542","$8,721",,"$36,150","$17,506",,,,,,,,,,,,,,"$82,280",,,,,,,,,"$14,408",,,,,,,,,"$6,221,940"
The Admiral: Roaring Currents (2014),,"$131,556,156",,,"$177,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,220",,,,,,,,,"$3,980,000",,,,,,,,,,
Tazza: The Hidden Card (2014),,"$30,915,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$65,989","$111,684",,,,,,,,,,,,"$251,555",,,,,,,,,
