Movie Name,Domestic,United Kingdom,Spain,Germany,Italy,France,Netherlands,Switzerland,Austria,South Africa,Belgium,Israel,Portugal,Poland,Norway,Türkiye,Denmark,Greece,Hungary,Sweden,Lebanon/United Arab Emirates,Middle East Other,Finland,Ukraine,Czech Republic/Slovakia,Slovenia,Iceland,Egypt,Romania,Czech Republic,Cyprus,Estonia,Croatia,Bulgaria,Lithuania,Latvia,Kenya,Serbia and Montenegro,Mexico,Brazil,Argentina,Venezuela,Central America+,Colombia,Peru,Chile,Australia,Japan,South Korea,Russia/CIS,Taiwan,New Zealand,Philippines,Singapore,Thailand,Hong Kong,Malaysia,India,Indonesia,Puerto Rico,Ecuador,West Indies,China,United Arab Emirates,Middle East,Baltic States,Central America,Middle East/UAE,Lebanon,Lesser Antilles,Dominican Republic,Jamaica,Bolivia,Uruguay,East Africa,Russia,Palestine,Soviet Union,Greece and Cyprus,S/E/W Africa,Slovakia
Beethoven (1992),"$57,114,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyz n the Hood (1991),"$57,504,069","$25,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugsy Malone (1976),"$2,783,840","$6,579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Meaning of Life (1983),"$14,929,552",,,,,"$20,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Come and See (1985),"$71,909",,,,,,,,,,,,,,,,,"$96,908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$580,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,760,251",,,
Sudden Fear (1952),"$24,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School of Rock (2003),"$81,261,177","$19,218,493","$1,330,126","$5,432,447","$961,683","$1,542,699","$1,074,008","$807,349","$1,107,344","$716,378","$523,087","$133,150","$287,074","$41,815","$308,515","$52,080","$184,618","$265,208","$92,640","$435,990",,"$56,361","$272,347","$61,800","$43,059","$62,001","$75,290","$3,110","$10,221","$30,167","$20,185","$19,315","$48,912","$1,294","$10,949","$10,949","$7,243","$6,690","$1,365,360","$337,623","$123,212","$42,145","$95,684","$18,535","$102,616","$106,853","$6,274,713","$3,150,134","$462,352","$226,966","$133,566","$122,115","$180,408","$603,994","$182,871","$262,291","$174,186","$45,937","$97,867",,"$32,991",,,,,,,,"$24,645",,,,,,,"$231,869",,,,,
Concert for George (2003),"$134,600","$28,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Station Agent (2003),"$5,739,376","$903,919","$9,928","$277,600",,,,,"$27,090",,,,,,"$37,616","$39,960",,,,,,,"$59,392",,,,,,,,,,,,,,,,,,,,,,,,"$47,433",,"$21,523",,,"$502,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus 174 (2002),"$217,201",,,,,,,,,,$259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Boy (2003),"$37,667,746","$1,343,709","$5,387","$8,355","$34,179",,,,,"$178,399",,,,"$69,169",,,,,,,,,,,,,,,,,,,,,,,,,"$1,822,333",,,,,,,,"$594,801",,,"$379,749",,"$208,787",,,"$80,900","$91,401",,,,,,,,,,,,,,,,,,,,,,,,,
Intolerable Cruelty (2003),"$35,327,628","$11,306,817","$7,868,455","$8,809,812","$11,642,818","$8,744,342","$1,321,018","$2,604,745","$1,885,515","$770,293","$1,637,828","$1,662,497","$894,857","$584,735","$663,808","$1,008,444","$1,070,622","$2,125,437","$298,609","$475,295",,,"$411,368",,"$354,034",,"$173,087","$95,800","$86,998","$316,219","$115,657",,,"$60,396",,,"$37,053","$39,113","$3,001,789","$1,633,588","$572,092","$248,763","$39,933","$133,750","$199,269","$169,298","$5,816,924","$1,777,266","$1,082,660","$1,725,299","$529,246","$474,917",,"$289,833","$153,634","$182,489","$100,931","$113,798","$162,464",,,,,,,,,,,,,,,,,,,,,,
Kill Bill: Vol. 1 (2003),"$70,099,045","$19,958,331","$5,835,334","$8,432,199","$7,610,643","$13,559,208","$2,584,572",,"$1,501,571","$504,028",,,,"$1,178,449","$1,243,582","$545,492",,,"$401,545",,,,"$781,256",,,,,"$61,605",,"$1,180,399",,,,"$34,879",,,,,"$1,439,516",,"$825,353",,,,,"$486,314","$5,873,489","$20,034,221",,"$3,120,000",,"$626,060",,,"$377,600","$545,887",,,,,,,,,,,,,,,,,,,,,,,,,
The Texas Chainsaw Massacre (2003),"$80,571,655","$6,647,662","$1,118,744","$1,623,397",,"$1,468,107","$477,800",,"$489,756","$169,607",,,"$57,682","$406,862","$309,139","$291,053",,"$320,000","$48,283",,,,"$159,064",,,,,"$27,276",,"$229,833",,,,"$20,129",,,,,"$1,600,136",,"$66,008",,,,,,"$2,636,548",,"$1,361,063","$572,356",,"$255,477",,,,"$283,361",,,,,,,,,,,,,,,,,,,,,,,,,
Pieces of April (2003),"$2,528,664",,,"$188,012","$10,293",,,,"$33,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,607",,,,,"$34,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Sixteen (2002),"$316,319","$1,124,374","$498,958","$27,023","$430,223","$1,447,940",,,,,,,,,,"$8,527",,"$62,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,232",,,,,"$21,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Red Circle (1970),"$432,820","$31,184",,,,,,,,,,,,,,,,,,,,,"$6,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Matrix Revolutions (2003),"$139,313,948","$31,021,051","$12,812,680","$16,198,045","$11,190,290","$24,214,417","$4,645,962",,"$2,610,853","$1,875,400",,,"$1,787,068","$3,441,705","$2,515,112","$3,530,650",,"$1,232,000","$690,333",,,,"$1,609,925","$3,361",,,,"$10,515",,"$926,112",,,,"$419,112",,,,,"$7,470,073",,"$1,828,573",,,,,,"$13,015,662","$61,050,622",,"$12,000,000",,"$2,209,991",,,"$2,331,000","$2,300,506",,"$700,000",,,,,,,,,,,,,,,,,,,,,,,
Elf (2003),"$178,053,220","$2,663,222","$4,082,173","$801,913","$894,430","$902,069","$68,937",,"$299,640","$271,999","$134,732",,"$78,740",,,,,"$206,558",,,,,,"$23,082",,"$27,582","$157,547",,,,,,,,,,,,"$1,596,764","$196,622","$78,368","$220,990","$176,329","$154,036","$99,221","$23,205","$6,197,979",,,"$358,054","$21,121","$391,796","$141,171","$395,976","$103,952",,,,"$24,279","$655,429",,"$49,205",,,,"$21,650",,,"$207,473",,,,"$7,338",,,"$487,905","$176,329",,,,
Gloomy Sunday (1999),"$585,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,928",,,,,,,,,,,,,,,,,,,,,,,,,
Love Actually (2003),"$59,696,144","$63,499,523","$9,339,384","$14,402,665","$8,186,390","$6,470,401","$5,035,140","$3,527,582","$2,243,116","$1,680,224","$1,981,140","$1,326,926","$2,366,220","$2,655,124","$4,410,198","$1,352,164","$1,918,831","$1,907,964","$940,859","$3,549,311",,,"$949,181",,"$489,893",,"$389,112","$31,166","$77,194","$447,928",,,,"$79,658",,,"$47,397","$79,738","$1,076,161","$3,059,112","$407,812","$185,794","$250,000","$196,646","$201,159","$157,787","$13,328,560","$14,224,088","$2,124,443","$2,068,143","$846,096","$2,031,980",,"$795,683","$696,423","$1,322,540",,"$142,846","$239,196",,"$71,872",,,"$165,900",,,,,"$89,055",,,,,,,,,,,,
Love Forbidden (2002),"$11,421",,,,,"$25,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Architect (2003),"$2,762,863","$40,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$128,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Grams (2003),"$16,290,476","$4,470,545","$5,552,041","$1,021,277","$5,549,599","$4,644,078","$517,763",,"$258,482",,,,"$433,552","$356,483","$327,430","$388,641",,"$702,050","$87,372",,,,"$214,703",,,,,,,"$169,870",,,,"$43,001",,,,,"$4,949,270","$909,400","$637,305","$332,973","$164,006","$203,442","$78,629","$381,103","$2,363,809","$2,059,191","$438,268","$458,848",,"$122,592",,,,"$110,453",,,,,"$54,562",,,"$39,037",,,,,"$23,555",,,,,,,,,,,,
The Barbarian Invasions (2003),"$8,544,975","$274,108","$1,388,311","$317,185","$4,380,190","$7,941,164","$183,315",,"$107,317",,,,,,,"$14,927",,"$328,550","$9,077",,,,,,,,,,,"$65,450",,,,"$2,263",,,,,,,"$449,069",,,,,"$23,788","$448,840",,,,,"$23,588",,,,"$16,444",,,,,,,,,,,,,"$6,320",,,,,,,,,,,,
Blue Gate Crossing (2002),"$6,242",,,,,"$19,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$66,509",,"$122,536",,,,,"$77,457",,,,,,,,,,,,,,,,,,,,,,,,,
Bad Santa (2003),"$60,060,328","$4,751,324","$228,692","$1,091,895","$2,267,750","$369,719","$228,593",,"$169,792",,,,"$34,901","$732,236","$412,576",,,"$489,950","$293,033",,,,"$114,532",,,,,,,"$117,849",,,,,,,,,"$451,367",,"$21,272",,,,,,"$2,801,131",,,"$671,421",,"$156,066",,,,"$4,437",,,,,,,,,,,,,,,,,,,,,,,,,"$50,176"
Europa (1991),"$1,007,001",,,,"$7,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,068",$938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cabinet of Dr. Caligari (1920),"$8,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah and Her Sisters (1986),"$40,084,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invasion of the Body Snatchers (1978),"$24,946,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Tango in Paris (1972),"$36,144,000","$35,290",,,,,,,,,,,"$2,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matador (1986),"$279,394",,,,,"$3,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over the Top (1987),"$16,057,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streets of Fire (1984),"$8,089,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teen Wolf (1985),"$33,086,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Heels (1991),"$1,710,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty Blue (1986),"$2,016,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild at Heart (1990),"$14,560,247",,,,,,,,,,,,"$1,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,178",,,,,$817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Witches (1990),"$10,360,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast (1946),"$298,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Year at Marienbad (1961),"$207,917","$7,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Shot in the Dark (1964),"$12,368,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullitt (1968),"$511,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Passage to India (1984),"$27,187,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$243,,,,,"$13,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amarcord (1973),"$125,493",,,,,,,,,,,,"$4,882",,,,,,,,,,,,,,,,,,,,,,,,,,,"$66,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivers and Tides (2001),"$2,200,276",,"$60,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nausicaä of the Valley of the Wind (1984),"$495,770",,"$39,306",,"$117,462","$1,521,343",,,,,,,,,"$8,871","$7,708",,,,"$7,327",,,"$69,493",,,,,,,,,,,,,,,,,,,,,,,,"$2,351","$6,393,174",,"$72,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 (1979),"$31,755,742",,,,,,,,,,,,$236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Sur (1983),,"$11,959","$10,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Lose a Guy in 10 Days (2003),,"$11,243,705","$3,038,108","$9,709,364","$2,710,890","$2,234,765","$1,985,019","$1,803,655","$1,784,578","$1,278,371","$1,251,969","$1,213,841","$982,208","$705,836","$671,791","$513,013","$494,846","$467,322","$397,231","$340,568","$317,778","$305,978","$249,071","$227,475","$179,622","$166,927","$151,200","$109,344","$108,024","$105,775","$90,696","$57,576","$51,502","$40,953","$36,354","$32,044","$25,225","$23,121","$4,122,486","$2,140,422","$499,925","$370,776","$335,036","$334,026","$259,028","$235,727","$7,287,449","$3,518,049","$2,931,377","$1,312,432","$651,211","$641,590","$405,893","$388,604","$350,277","$301,202","$189,172","$160,722","$147,865",,,,,,,,,,,,,,,,,,,,,,
Shanghai Knights (2003),,"$3,606,453","$1,062,298","$1,842,056","$17,926","$793,453","$447,904",,"$166,523","$619,391","$28,484",,"$97,315",,"$187,064","$22,778",,,"$85,232",,,,"$44,287",,,,,"$39,708",,"$45,379",,"$10,606",,"$45,112","$8,423",,,,"$1,530,784",,,,,,,"$7,009","$2,795,786","$1,136,098","$1,550,451","$1,053,118","$1,292,254","$628,420","$365,000","$1,400,000","$250,000",,"$925,000","$169,160",,,,,,,,,,,,,,,,,,,,,,,
Daredevil (2003),,"$9,021,016","$6,174,446","$4,491,470","$3,869,885","$7,763,102","$717,862",,"$736,136","$1,054,249","$259,000",,,"$32,953","$444,440","$310,544","$197,000","$802,300","$107,239","$207,000",,,"$356,270",,,"$18,000",,"$66,043",,"$72,358",,"$30,330","$23,000","$86,565","$4,630","$18,246",,"$52,785","$5,233,949",,"$486,946","$184,000",,,,"$194,516","$4,539,133","$6,439,500",,"$2,011,744","$1,322,618","$858,908","$743,000","$495,000","$550,000",,,"$12,425","$216,000","$481,000","$54,000",,,,,,,,,,,,,,,,,,,,
All the Real Girls (2003),,"$30,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"He Loves Me, He Loves Me Not (2002)",,"$51,579",,"$720,970","$146,254","$2,802,202",,,"$101,483",,,,,"$42,151",,"$140,124",,,"$60,825",,,,"$92,473",,,,,,,"$13,306",,,,,,,,,,,,,,,,,,,,,"$25,354",,,,,"$116,274",,,,,,,,,,,,,,,,,,,,,,,,,
Dark Blue (2002),,"$427,159","$120,790","$167,848","$503,178","$877,828","$78,572","$63,012",,,"$73,991",,,,"$32,688","$9,163",,,,,,,"$19,492",,,,"$22,186",,,,,"$1,661",,"$16,242",,,,,"$182,248",,,,,,,,"$35,485",,,"$94,716",,"$28,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Life of David Gale (2003),,"$4,016,065","$1,066,611","$1,623,331","$940,438","$2,801,863","$325,668",,"$478,270","$206,566","$646,422","$453,404",,"$317,712","$115,623",,,"$213,600","$34,554",,,,"$34,586",,,,"$26,779",,,"$39,830",,,,,,"$8,738",,,"$885,917","$14,081","$69,819",,,,,,"$654,583","$641,280","$304,010","$135,313",,"$105,323",,,,"$77,033",,,,,,,,,,,,,,,,,,,,,,,,,
Old School (2003),,"$3,698,173","$1,726,832","$1,865,281","$1,056","$30,034","$415,869",,"$386,704","$209,739",,,"$372,044",,,,,,,,"$77,495","$58,206",,,,"$25,590","$32,109",,,,"$24,445",,,,,,,,"$954,378",,,,"$65,435","$28,730","$47,839",,"$1,416,741",,"$86,228",,,,,,,,,,,,"$27,499",,,,,,,,,,,,,,,,,,,,
Lawless Heart (2001),,"$161,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cradle 2 the Grave (2003),,"$1,924,621","$886,008","$3,637,370","$246,828","$2,586,548","$421,615",,"$415,080","$286,785","$234,333",,,"$50,992",,"$305,768",,"$24,500","$33,082","$126,503",,,,,,,,"$26,206",,"$23,094",,"$16,964",,"$88,411","$13,597",,,"$15,457","$669,414","$200,000",,,,,,,"$1,550,475","$1,551,193",,"$57,670","$549,886","$224,706","$233,000","$350,000","$239,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Spider (2002),,"$525,331","$160,989","$150,599","$1,397,383","$888,243",,,,,,,,,,,,"$148,900",,,,,"$69,787",,,,,,,"$2,666",,,,,,,,,"$199,654",,,,,,,,"$144,894",,,"$14,103",,,,,,"$6,761",,,,,,,,,,,,,,,,,,,,,,,,,
Bringing Down the House (2003),,"$5,786,550","$4,631,323","$2,877,845","$1,967,391","$771,258","$211,316","$567,505","$570,601","$871,511","$473,445",,,,,"$131,278","$9,525","$460,400","$79,636","$89,495",,,"$9,571",,,,,"$35,021",,"$6,342",,,,,,"$2,535",,,"$3,290,970","$800,000","$185,062",,,,,"$82,301","$2,749,435",,,,"$532,722","$279,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tears of the Sun (2003),,"$1,350,756","$3,061,190","$3,185,460","$2,325,869","$3,077,732","$443,161",,"$257,774","$516,853","$811,996",,,"$132,228","$55,478","$579,896","$387,190","$90,000","$77,050","$229,783",,,,,,,"$24,181","$36,424",,"$89,538",,"$13,710",,"$48,102","$17,606",,,"$43,170","$2,951,643","$500,000","$196,762",,,,,"$84,710","$1,449,248","$7,953,845",,"$803,416","$1,299,626","$373,968","$354,000","$391,000","$217,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Nowhere in Africa (2001),,"$402,715","$2,336,875","$10,259,553",,"$117,000",,,"$238,904",,"$107,279",,,,,,,,,"$46,688",,,"$23,889",,,,,,,"$8,068",,,,,,,,"$4,674","$279,650",,"$371,051",,,,,"$67,598","$855,643",,,"$2,989","$5,183","$232,731",,,,"$51,177",,,,,,,,,,,,,,,,,,,,,,,,,
The Hunted (2003),,"$1,928,152","$2,009,094","$821,924","$826,909","$1,256,440","$338,791",,"$91,012","$363,036","$426,356",,,"$24,204","$53,672","$200,138",,"$336,000","$78,409",,,,"$24,706",,,,,"$22,629",,"$54,636",,,,"$38,500","$7,638",,,,"$1,829,680","$200,000","$273,243",,,,,"$64,294",,,,"$462,277","$86,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spun (2002),,"$174,727",,"$20,986",,,,,,,,,,,"$22,168",,,,,,,,,,,,,,,"$13,554",,,,,,,,,,,,,,,,,,,,"$43,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ringu (1998),,"$14,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,598",,,,"$78,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boat Trip (2002),,"$1,572,461","$2,136,202","$470,212",,,"$106,774",,,,"$122,564",,,"$46,011",,"$19,418",,,"$194,505",,,,,,,,,,,"$67,488",,,,"$31,793",,,,,"$1,158,507",,"$33,546",,,,,"$19,401",,,,"$441,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piglet's Big Movie (2003),,"$6,922,153","$932,013","$3,207,365","$625,647","$4,905,647","$1,322,317",,"$812,467","$178,290",,,,"$1,047,790","$1,297,112","$320,530",,,"$114,968",,,,"$1,610,467",,,,,,,"$191,711",,,,"$15,525",,,,,"$1,417,509",,"$188,777",,,,,"$139,994","$2,315,222",,,,,"$448,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic (2003),,"$994,736","$1,501,745","$404,707","$2,391,366","$1,675,440","$463,430",,"$109,543","$288,267",,,,"$273,624","$128,016","$138,074",,"$100,800",,,,,"$105,467",,,,,"$24,457",,"$22,631",,,,"$49,122",,,,,"$926,233",,"$124,186",,,,,,"$1,386,905","$2,433,935",,"$64,890","$172,764","$127,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Core (2003),,"$2,553,665","$2,194,107","$2,770,142","$2,693,563","$957,183","$184,618","$403,367","$354,181","$378,144","$405,855","$229,096","$260,546","$190,015","$79,309","$285,287","$126,913","$346,776","$140,199","$121,237","$286,443","$409,770","$35,214","$160,455","$89,921","$64,022","$39,385","$42,160","$32,363","$57,746","$25,919",,"$8,919","$35,526","$11,000",,"$20,013",,"$3,282,256","$545,707","$136,550","$107,701","$274,609","$245,387","$155,850","$128,139","$980,977","$12,500,000","$1,552,488","$828,433","$990,113","$146,244","$568,670","$375,958","$565,610","$397,898","$346,444","$96,462","$283,304",,,,"$1,361,040",,,,,,,,,,,,,,,,,,
What a Girl Wants (2003),,"$1,400,365","$735,521","$1,982,578","$382,950","$223,657","$499,560","$369,667","$608,992","$575,814","$312,024",,,,"$245,278","$184,633",,,"$32,232","$175,780",,,,,,,"$61,807","$23,842",,"$9,955",,,,"$25,606","$13,469","$7,672",,,"$1,554,008","$400,000",,,,,,"$27,886","$3,534,182",,,,,"$314,348","$79,000",,,,,,,"$65,071",,,,,,,,,,,,,,,,,,,,,
Raising Victor Vargas (2002),,"$200,542",,,,"$117,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In a Lonely Place (1950),,"$8,401",,,,"$13,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Good Thief (2002),,"$512,294","$532,821","$201,013","$159,493","$254,060",,,"$33,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$147,115",,"$59,507",,,,,"$15,220","$243,863",,,,,"$43,665",,,,,,,,,,,,"$36,781",,,,,,,,,,,,,,,,,
A Man Apart (2003),,"$2,037,053","$2,026,645","$364,592","$1,071,006","$1,616,765","$539,048","$108,075","$252,943","$509,779","$674,458","$109,802","$252,595",,,"$33,763",,"$252,943","$97,336",,,,,"$54,262",,"$10,793","$44,826","$23,039",,"$61,811",,,,"$82,114","$10,193","$2,977",,"$26,852","$832,697","$800,000","$158,857",,,"$115,657","$45,715",,"$788,976","$332,206",,"$835,213","$568,082","$189,558","$152,556",,"$209,408","$65,986",,,"$126,843","$854,489",,"$63,690",,,"$279,997","$18,463","$42,168",,,,,,,,,,,,,,
Phone Booth (2002),,"$10,975,277","$5,890,593","$4,132,687","$1,067,543","$4,149,018","$570,163",,"$594,240","$359,295",,,,"$523,244","$277,740","$334,654",,"$123,200","$244,512",,,,"$245,769",,,,,,,"$184,432",,,,"$30,980",,,,,"$3,399,923",,"$476,500",,,,,"$211,207","$3,143,533","$3,753,782",,"$348,913","$237,669","$239,051",,,,,,,,,,,,"$118,920",,,,,,,,,,,,,,,,,
Anger Management (2003),,"$9,341,693","$4,925,648","$9,634,990","$1,585,477","$1,005,592","$962,680",,"$1,302,098","$790,542",,,,"$495,760","$720,972","$701,589",,"$1,187,000","$307,751",,,,"$213,614",,,,,"$77,897",,"$230,164",,,,"$66,509",,,,,"$4,397,956",,"$620,799",,,,,"$220,367","$7,116,457",,,"$980,764","$177,503","$723,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulletproof Monk (2003),,"$3,219,040","$2,615,924","$874,937","$1,750,863","$402,305","$131,116",,"$161,638","$393,125","$168,729",,,"$30,222","$82,656","$80,109",,,,"$10,245",,,"$24,133",,,,,,,"$16,969",,"$2,946",,"$54,569","$10,537","$4,220",,,"$486,441","$100,000","$233,443",,,,,"$47,628","$1,566,435","$284,595",,"$505,078","$686,996","$363,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Mighty Wind (2003),,"$259,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$343,129",,,,,"$99,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holes (2003),,"$2,345,021","$79,689","$95,562","$9,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$344,238",,,,,,,,"$446,507",,,"$103,177",,"$221,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence (2003),,"$1,844,828","$1,212,636","$70,301","$3,162,056","$494,138",,,,"$97,308",,,,"$83,039","$40,637",,,"$302,400","$78,110",,,,"$68,824",,,,,"$25,374",,"$243,692",,,,,,,,,"$570,310",,"$90,203",,,,,"$13,142","$620,842",,,"$198,007",,"$877,058",,,,"$26,395",,,,,,,,,,,,,,,,,,,,,,,,,
Identity (2003),,"$5,282,390","$3,087,927","$4,711,166","$964,871","$1,769,994","$624,296",,"$909,076","$122,796",,,,"$319,668","$121,536","$600,571",,"$497,500","$198,659",,,,"$257,947",,,,,"$63,898",,"$109,193",,,,"$27,512",,,,,"$1,687,477",,"$407,602",,,,,"$162,238","$2,885,854","$1,275,586",,"$619,195","$93,630","$314,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
