Movie Name,Domestic,United Kingdom,Spain,Germany,Italy,France,Netherlands,Switzerland,Austria,South Africa,Belgium,Israel,Portugal,Poland,Norway,Türkiye,Denmark,Greece,Hungary,Sweden,Lebanon/United Arab Emirates,Middle East Other,Finland,Ukraine,Czech Republic/Slovakia,Slovenia,Iceland,Egypt,Romania,Czech Republic,Cyprus,Estonia,Croatia,Bulgaria,Lithuania,Latvia,Kenya,Serbia and Montenegro,Mexico,Brazil,Argentina,Venezuela,Central America+,Colombia,Peru,Chile,Australia,Japan,South Korea,Russia/CIS,Taiwan,New Zealand,Philippines,Singapore,Thailand,Hong Kong,Malaysia,India,Indonesia,Puerto Rico,Ecuador,West Indies,China,United Arab Emirates,Middle East,Baltic States,Central America,Middle East/UAE,Lebanon,Lesser Antilles,Dominican Republic,Jamaica,Bolivia,Uruguay,East Africa,Russia,Palestine,Soviet Union,Greece and Cyprus,S/E/W Africa,Slovakia
Owning Mahowny (2003),"$1,011,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$94,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man on the Train (2002),"$2,542,020","$683,964","$426,591","$132,368","$1,895,644","$1,555,696","$12,299",,"$9,549",,,,,,"$17,320",,"$47,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$181,516",,,"$15,374",,"$38,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101 Reykjavík (2000),"$126,404",,,"$165,143",,,,,,,,,,,,,,,,,,,,,,,"$244,577",,,,,,,,,,,,,,"$10,335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle in the Sky (1986),"$523,664","$10,488",,,"$829,554","$4,670,084",,,,,,,,,"$33,877","$7,230",,,,,,,"$16,001",,,,,,,,,,,,,,,,,,,,,$905,,,"$1,940",,,"$88,341",,$421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Matrix Reloaded (2003),"$281,576,461","$53,881,317","$19,415,251","$35,148,026","$16,880,743","$33,146,205","$7,679,057",,"$5,034,147","$2,746,108",,,,"$6,443,448","$3,650,247","$5,253,049",,"$3,532,000","$996,148",,,,"$2,742,460","$4,060",,,,"$22,249",,"$1,670,276",,,,"$490,443",,,,,"$12,902,350",,"$3,940,157",,,,,"$1,919,960","$22,070,814","$86,327,682",,"$11,620,000","$2,324,450","$3,742,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Spanish Apartment (2002),"$3,897,799",,"$6,134,746","$1,453,258","$1,746,506","$15,024,802","$93,656",,"$203,481",,,,,"$306,551",,,,,"$54,263",,,,,,,,,,,,,,,,,,,,,,"$117,118",,,,,,"$532,443",,,,,"$59,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finding Nemo (2003),"$380,843,261","$68,990,552","$29,943,906","$55,739,542","$28,762,196","$66,136,981","$11,037,821",,"$8,955,093","$3,523,082","$244,567",,"$2,111,449","$5,186,571","$6,102,220","$2,082,628","$334,642","$2,369,865","$768,167","$457,925",,,"$2,227,964","$42,109",,,"$14,630","$103,820",,"$1,587,314",,,"$28,877","$266,124",,,,,"$21,557,072","$1,023,565","$5,223,997","$947,689",,"$470,922","$356,043","$2,837,577","$27,812,227","$102,441,470","$672,957","$5,945,115","$2,102,815","$3,722,612","$18,618","$166,424","$1,383,449","$4,222,285","$193,706","$699,805","$243,589",,"$517,856",,,"$147,573",,,,,"$69,407",,,,"$74,454","$51,951","$13,397",,,,,,
2 Fast 2 Furious (2003),"$127,154,901","$12,527,013","$6,727,331","$10,384,413","$3,597,581","$10,496,977","$2,762,083","$1,764,205","$1,893,320","$1,026,870","$2,412,444","$676,079","$1,660,922","$861,780","$1,434,601","$636,399","$1,125,515","$1,248,510","$269,532","$1,722,982","$645,875","$794,266","$525,195","$523,506","$643,931","$185,839","$155,099","$37,254","$150,103","$481,612","$278,154",,"$108,481","$86,339",,,"$26,315","$32,998","$7,542,828","$2,978,487","$532,790","$671,149","$1,021,618","$234,883","$148,777","$122,546","$9,123,961","$6,523,011","$1,205,847","$3,274,772","$1,363,067","$1,566,163","$412,620","$571,622","$709,338","$206,323","$290,106","$131,225","$656,906",,,,,,,,,,$1,,,,,,,,,,,,
Intervista (1987),"$138,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziggy Stardust and the Spiders from Mars (1979),"$162,547","$380,149",,,,"$4,692",,,,,,,,,"$12,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi Masala (1991),"$7,332,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenny Lamour (1947),"$180,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet Lag (2002),"$794,964",,"$337,127","$253,353","$433,396","$5,404,833",,,"$106,963",,,,,,,"$54,367",,,"$74,699",,,,"$37,147",,,,,,,"$16,915",,,,,,,,,"$61,609",,,,,,,,"$35,165",,,,,"$24,411",,,,"$31,186",,,,,,,,,,,,,,,,,,,,,,,,,
28 Days Later (2002),"$45,064,915","$9,669,016","$6,565,595","$3,765,056","$1,271,889","$1,022,516","$145,098",,"$426,931",,,,,"$150,819","$74,728","$197,626",,"$212,300","$85,835",,,,"$103,087",,,,,,,"$48,960",,,,"$7,132",,,,,"$2,778,383",,"$279,903",,,,,"$215,565","$1,474,915",,,"$465,535",,"$287,122",,,,"$169,668",,,,,,,,,,,,,,,,,,,,,,,,,
Ali: Fear Eats the Soul (1974),"$8,144","$7,554",,,,,,,,,,,$545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapsody in August (1991),"$516,431",,,,,,,,,,,,"$1,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirates of the Caribbean: The Curse of the Black Pearl (2003),"$305,413,918","$47,801,332","$27,158,123","$44,650,393","$19,028,837","$22,139,594","$7,181,017",,"$5,323,779","$1,575,272",,,,"$1,640,275","$4,492,069","$1,420,275",,"$3,528,750","$494,939",,,,"$2,092,881",,,,,"$216,536",,"$1,166,187",,,,"$119,897",,,,,"$10,985,286",,"$2,754,861",,,,,"$913,747","$18,476,252","$59,861,990",,"$9,060,000","$1,827,556","$2,773,373",,,,"$1,260,924",,"$1,171,600",,,,,"$2,980,000",,,,,,,,,,,,,,,,,,
Km. 0 - Kilometer Zero (2000),"$159,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Boys II (2003),"$138,608,444","$14,920,239","$8,449,384","$15,507,237","$3,380,872","$12,760,509","$3,577,612",,"$2,481,024","$1,946,837",,,,"$719,697","$1,277,735","$406,545",,"$567,850","$529,206",,,,"$551,405",,,,,"$120,613",,"$394,118",,,,"$298,773",,,,,"$3,241,924",,"$362,219",,,,,"$108,548","$7,680,900","$12,240,663",,"$3,568,216",,"$891,966",,,,"$203,479",,"$448,112",,,,,,,,,,,,,,,,,,,,,,,
One (2002),"$65,172",,,,,"$716,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
