imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2717822,,Blackhat (2015),,,"$128,948",,,,,"$150,466",,,,"$22,356",,"$68,546","$62,128",,,,,"$28,702","$28,757",,"$71,067","$672,983","$965,588",,"$123,242","$286,622","$40,256","$13,468",,,"$71,519","$376,520",,,"$23,967","$30,159",,"$20,504","$47,068","$19,466","$630,724",,,"$392,241",,,"$70,559","$32,276",,,,,"$171,241","$95,659","$112,446",,"$210,321","$836,826","$19,156","$393,327","$32,398","$21,502","$41,652",,"$663,485","$56,970",,,,"$574,078","$246,551",,"$220,216","$379,942","$257,937","$226,802",,,
0836682,,Nocturna (2007),,,,,,,,,,,,,,,,,,,,,,,,"$980,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$182,244","$574,878",,,,,,,,"$47,312",,"$26,631",,,,
2452200,,Son of a Gun (2014),,"$60,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340138,,Terminator Genisys (2015),"$5,937,184","$10,436,059","$1,254,758",,"$1,151,919","$759,673","$11,365,348","$358,807","$885,429","$113,250,000","$4,017,631","$194,345",,"$550,506",,,,,"$1,211,896","$159,387","$283,954",,,"$11,622,061","$9,044,591",,"$363,854","$4,156,531","$273,168","$121,865","$5,207,386",,"$610,365","$3,096,097",,"$22,134,005","$184,523","$84,191",,"$177,385","$352,639","$150,685","$4,856,522","$11,167,631",,"$1,721,902","$1,522,837","$114,470","$1,052,396",,,,,"$2,517,772","$2,458,326","$1,531,736","$922,549",,,"$20,132,059","$118,197","$3,038,135","$210,311","$82,809","$970,600","$23,203,894","$4,065,158","$1,479,406",,"$356,424","$751,792","$4,491,698","$3,016,427",,"$1,531,770","$1,473,758","$3,025,864","$16,984,618","$153,971","$4,028,117","$2,003,079"
2339741,,The Woman in Black 2: Angel of Death (2014),,,"$225,460",,"$337,015","$64,388","$1,128,594","$40,268","$196,258",,,"$12,484",,"$57,687",,,,,"$115,059",,"$17,521",,,"$1,631,623","$466,713",,"$236,680","$88,622",,,,,,,,,,,,,"$29,295",,"$725,000","$4,665,141",,"$184,304",,,,,,,,"$530,179",,"$202,069",,,"$115,734","$1,673,304",,"$224,677","$42,323",,"$21,722",,"$908,533",,,,,"$28,941","$33,945",,"$28,672",,"$469,811","$7,371,544","$35,674","$443,742",
2055709,,Blindsided (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$151,530",,"$42,673",,,,,"$62,387",,,,,,"$82,935",,,,"$32,684",,,,
1224151,,Freche Mädchen (2008),,,"$650,965",,,,,,,,,,,,,,,,,,,,,,"$7,645,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$106,814",,,,,,,,,,,,
0075683,,Animal (1977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,552,275",,,,,,,,,,,,,,,,,,,,,
0486138,,Il mio miglior nemico (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,500,977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$209,166",,,,,,,,,,,,,,
1846985,,A Flat for Three (2012),"$45,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,398,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3132094,,Millionaire Dog (2014),,,,,,"$77,811",,,,,,,,,,,,,"$226,274",,,,,,,,,"$9,930",,,,,,,,,,,,,,,,,,,,,,,,,,"$417,361",,,,,,,,,,,,,,,,,,,,,,,,,,"$118,293",
