imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1797504,,I Want You (2012),"$52,473",,,,,"$36,556",,,"$716,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$818,765",,,,,,,,,,"$368,996",,,,,,"$6,108,136","$31,339",,,,,,"$15,718,869",,,,,,,,"$54,938",,,,"$27,147","$82,805",
1392190,,Mad Max: Fury Road (2015),"$2,000,409","$16,343,072","$1,241,555","$106,119","$1,947,418","$390,420","$6,269,724","$330,042","$1,220,067",,"$2,034,665","$484,454",,"$868,427","$1,333,086","$154,280,290",,,"$487,654","$330,615","$224,493",,,"$18,127,803","$9,525,256",,"$813,040","$1,082,042","$822,978","$257,825","$2,229,215",,"$782,620","$3,169,383",,"$13,163,340","$145,663","$650,116",,"$176,182","$331,640","$203,046","$1,909,492","$7,909,567",,"$2,234,836","$2,552,408","$51,578","$2,038,106","$307,092",,,,"$909,553","$1,110,368","$1,929,454","$888,347","$192,027","$877,438","$12,488,915","$171,277","$1,245,593","$393,996","$152,797","$1,098,055","$27,796,782","$4,348,949","$2,749,747",,"$741,635","$1,116,482","$2,705,682","$1,601,341",,"$1,907,946","$681,642","$3,121,387","$27,158,053","$91,663","$1,612,674","$990,030"
3195644,,Insidious: Chapter 3 (2015),"$499,361","$363,693","$410,016","$132,761","$687,324","$167,307","$2,263,296",,"$696,563",,"$1,075,941",,,"$131,065",,,,,"$955,972","$289,965","$60,341","$3,755",,"$3,005,646","$2,740,428",,"$299,397","$346,081","$27,788",,"$1,394,254",,,"$1,130,697",,,"$114,379",,,"$34,595","$123,965","$94,577","$3,023,273","$4,686,592",,"$674,929",,,"$406,794","$75,717",,,,"$967,859","$3,581,187","$557,101","$141,328","$205,173",,"$5,848,011",,"$1,099,224","$68,896",,"$67,298","$5,575,914","$2,363,698","$579,665",,,,"$1,543,011","$558,441",,"$436,613","$279,743",,"$6,104,425","$181,754","$2,571,801","$1,685,334"
2488496,,Star Wars: Episode VII - The Force Awakens (2015),"$1,921,657","$72,465,422","$9,379,428",,"$11,033,696","$1,868,562","$27,982,311","$2,578,651","$8,463,006","$124,159,000","$9,130,293","$1,245,788",,"$3,879,858","$11,987,128","$936,662,225",,,"$3,211,683","$153,648",,,"$8,095,069","$88,527,046","$111,351,219",,"$3,406,287","$11,082,181","$5,827,770","$905,627","$4,571,351",,"$3,385,097","$28,508,842",,"$97,862,640",,"$285,657",,"$424,911","$606,176","$563,605","$6,628,971","$27,649,496",,"$15,705,344","$9,950,627",,"$8,361,919","$49,970",,,,"$6,127,657","$8,176,268","$16,685,439","$3,901,908",,"$3,405,655","$26,689,555","$711,089","$7,173,581","$1,136,741","$578,788","$3,206,747","$24,142,352","$35,978,401","$21,346,653",,"$4,180,648","$7,979,279","$6,464,714","$5,946,413",,"$5,820,667","$2,509,424","$6,052,663","$163,599,922","$468,960","$14,823,693","$895,542"
2638144,,Ben-Hur (2016),"$756,937","$1,741,912","$321,858",,"$359,986","$129,702","$6,613,750","$344,272","$241,632","$2,573,312","$656,898",,,"$83,281",,,,,,,,,,"$3,380,709","$1,424,852",,"$105,511","$552,304","$182,727","$42,060","$799,813","$1,164,961",,"$1,005,489",,,,,,,,"$44,406","$725,786","$6,694,818",,"$1,183,937","$260,619",,"$48,135",,,"$739,626",,"$1,287,156","$1,094,582","$116,760","$503,315",,"$554,174","$4,365,757","$523,527","$523,527","$57,007","$40,504","$266,809","$10,029,919","$3,115,046",,"$400,828",,,"$878,086","$468,436",,"$1,113,037","$504,391","$961,170","$2,809,225","$27,531","$2,533,605",
0803096,,Warcraft (2016),"$2,002,099","$4,775,652","$1,663,658",,"$1,784,332","$561,709","$5,945,401","$688,048","$611,891","$225,547,500","$1,699,984","$247,059","$74,826","$1,835,879","$1,971,442",,,,"$488,924","$271,393","$269,594",,"$696,269","$14,410,397","$15,730,499",,"$712,251","$2,502,176","$1,186,737","$154,141","$937,126","$3,360,117","$667,599","$3,976,000",,"$675,346",,,,"$247,401","$232,697","$190,995","$2,546,831","$5,586,981",,"$2,208,764","$753,716",,"$1,480,111",,"$120,206",,"$62,250","$1,316,902","$2,481,715","$2,482,001","$661,005",,"$1,166,619","$22,485,117","$414,201","$1,742,721","$611,715","$137,000","$643,419","$8,713,649","$6,258,466","$3,452,042","$1,704,633","$497,167","$901,078","$4,857,603","$2,424,109","$228,401","$2,595,521","$1,898,628","$2,000,169","$8,777,725","$86,959","$94,877","$1,387,000"
2395427,,Avengers: Age of Ultron (2015),"$9,280,502","$30,969,152","$4,086,924","$562,690","$3,313,943","$2,278,266","$47,862,465","$645,121","$6,942,365","$240,110,000","$9,955,023","$348,389",,"$2,011,520","$4,578,163","$459,005,868",,,"$5,590,716","$1,218,558","$261,445",,"$1,338,700","$34,270,887","$31,193,932",,"$1,776,109","$17,155,906","$1,980,532","$371,887","$16,695,001",,"$2,021,296","$18,120,047",,"$26,373,434","$361,851","$317,574",,"$195,571","$542,714","$176,271","$13,390,227","$50,940,433",,"$5,465,221","$1,808,028","$273,301","$4,770,579","$359,221",,,,"$7,025,935","$14,097,441","$3,967,269","$1,841,706",,"$1,137,226","$34,323,096","$190,746","$9,904,467","$588,510","$122,335","$3,276,734","$72,319,433","$13,640,131","$5,240,559",,"$1,307,885","$2,717,245","$18,417,745","$8,850,822",,"$5,864,977","$1,909,793","$3,166,819","$62,974,363","$458,022","$18,531,156","$5,259,089"
1630029,,Avatar: The Way of Water (2022),"$17,364,282","$63,840,735","$18,215,675",,"$19,975,731",,"$46,007,305","$3,768,237","$13,958,371","$245,996,272","$14,792,462","$2,045,138",,"$14,051,012","$18,038,987",,,,,,,,"$5,900,171","$157,099,579","$148,204,213",,,"$18,470,230","$6,856,155","$861,037","$59,554,397","$20,615,163",,"$48,025,161",,"$32,525,343",,,,,,"$2,915,544","$12,283,975","$55,975,947",,"$31,602,957","$11,780,466",,"$11,426,486",,,,,,"$11,555,693","$19,850,852","$8,468,608",,"$8,336,477",,"$2,010,869","$8,844,118","$3,431,643","$1,794,840","$4,831,888","$108,045,923","$54,533,887","$18,118,773","$22,580,492",,,"$24,409,248","$16,776,706",,"$6,950,007","$5,463,970","$13,214,359","$93,320,842",,,"$11,757,024"
1790809,,Pirates of the Caribbean: Dead Men Tell No Tales (2017),"$8,914,657","$10,958,563","$3,717,328",,"$5,287,437","$996,228","$16,729,468","$1,143,629","$4,113,830","$172,277,290","$4,650,279",,,"$3,616,902","$3,841,170","$172,558,876",,,,,,,"$4,074,010","$28,763,203","$31,526,868",,"$2,428,038","$4,517,374","$1,817,842","$309,211","$5,651,126","$6,115,834",,"$14,503,644",,"$59,765,357",,,,,,"$703,324","$4,805,222","$16,643,576",,"$11,245,195","$1,860,300",,"$4,432,108",,,,"$368,714",,"$3,225,265","$7,467,555","$2,634,293",,"$2,336,709","$37,237,098",,"$2,569,358","$651,965","$458,117","$1,308,267","$22,292,910","$14,897,137","$7,291,991","$5,133,561",,,"$7,539,415","$5,174,206",,"$5,752,585","$3,693,371","$3,852,600","$25,096,446","$640,617","$546,496",
0974015,,Justice League (2017),"$6,400,000","$15,000,000",,,,"$1,582,273","$41,302,692","$437,841",,"$106,052,345","$7,497,096",,,"$1,053,914",,"$229,024,295",,,,,,,"$597,772","$14,200,000","$7,700,000",,"$1,268,006","$5,900,000","$850,523","$276,863","$6,291,049","$10,800,000",,"$8,000,000",,"$9,400,000",,,,,,"$137,701",,"$24,800,000",,"$2,900,000","$2,343,031",,"$1,593,457",,,,"$322,636",,,"$1,486,879","$1,455,923",,"$1,510,225","$10,900,000",,,"$407,085","$99,320","$2,472,762","$13,100,000","$8,200,000",,"$1,600,000",,,"$8,100,000","$3,335,582",,"$2,819,023","$1,438,545","$4,243,907","$24,097,528","$290,904",,
0478970,,Ant-Man (2015),"$4,126,139","$10,901,077","$787,916",,"$1,239,587","$589,218","$12,431,089","$187,167","$1,280,378","$105,370,038","$1,872,949","$164,337",,"$618,895","$918,472",,,,"$1,354,260",,"$111,047",,"$595,592","$13,562,428","$5,917,308","$361,113","$361,113","$6,992,049",,"$183,341","$1,629,855",,"$1,336,529","$5,290,741",,"$9,670,913","$206,685","$118,525",,"$57,263","$337,940","$59,705","$6,747,317","$15,100,000",,"$1,850,753","$707,807","$96,199","$1,363,039",,,,,"$2,883,625","$5,243,134","$1,300,023","$789,416",,,"$11,500,000","$66,156","$4,514,252","$146,223","$35,601","$748,336","$21,120,665","$4,146,982","$2,138,644","$343,811","$389,498","$528,386","$11,100,000","$3,341,724",,,"$848,150","$2,887,816","$25,190,193","$94,883","$6,781,787","$2,054,218"
1502712,,Fantastic Four (2015),"$1,425,574","$3,874,288","$262,929","$169,712","$620,524","$481,432","$6,198,671",,"$627,192",,"$1,789,580","$71,707",,"$162,888","$361,111",,,,"$1,230,258","$159,794","$31,504","$5,463",,"$8,519,677","$1,246,451",,"$309,260","$1,928,060",,"$52,888","$1,318,908",,"$451,484","$2,080,326",,"$2,503,040","$65,263","$63,886",,"$23,251","$126,519","$20,667","$2,516,590","$10,240,076",,"$723,158","$651,152","$51,501","$374,239","$124,093",,,,"$2,029,806","$2,376,426","$442,356","$556,428","$218,791",,,"$32,217","$2,064,184","$55,920",,"$439,296","$1,959,963","$3,758,722","$528,925",,"$223,463","$120,061","$1,398,783","$1,228,942",,"$1,257,819","$337,153","$1,448,204","$8,878,507","$66,484","$8,043,460","$693,412"
1431045,,Deadpool (2016),"$2,508,724","$33,413,917","$3,313,917","$641,555","$3,808,750","$895,288","$20,625,097","$616,228","$4,205,061",,"$2,888,158","$596,958",,"$2,000,459","$4,253,416","$363,070,709",,,"$1,949,590","$147,723","$453,545","$17,729","$2,985,639","$29,058,302","$24,583,395",,"$1,450,439","$7,967,589","$2,129,126","$419,007","$2,639,117",,"$2,408,246","$8,262,758",,"$18,916,494",,"$64,096",,"$107,693","$451,784","$388,935","$5,292,874","$18,653,169",,"$5,681,279","$3,746,776",,"$4,267,159","$362,690",,,,"$2,601,217","$6,075,224","$3,694,972","$2,139,522","$709,787","$1,628,613","$26,002,884","$360,912","$4,499,140","$771,605","$281,197","$2,091,880","$22,541,482","$11,476,701","$5,542,328",,"$1,216,070","$2,724,291","$12,471,651","$4,282,893",,"$4,985,998","$2,039,335","$4,089,919","$53,538,139","$301,763","$656,126","$1,566,065"
3501632,,Thor: Ragnarok (2017),"$6,169,643","$27,000,857","$2,745,268",,"$2,566,343","$1,422,005","$30,485,847","$733,913","$3,736,319","$112,226,154","$5,473,781",,,"$3,043,078","$2,918,761","$315,058,289",,,,,,,"$1,456,100","$21,262,791","$19,036,145",,"$1,295,237","$7,003,816","$2,204,736","$480,305","$11,818,410","$11,746,294",,"$9,874,520",,"$10,116,575",,,,,,"$216,827","$8,037,405","$21,249,433",,"$4,590,401","$5,142,491",,"$2,753,609",,,,"$358,934",,"$8,347,510","$4,046,509","$1,344,160",,"$2,111,835","$23,651,517",,"$5,950,587","$846,839","$188,184","$2,548,900","$35,126,494","$10,622,231","$4,541,867","$2,230,816",,,"$10,411,887","$7,504,939",,"$2,981,701","$2,424,456","$4,592,345","$40,960,481","$380,925","$2,985,748",
3896198,,Guardians of the Galaxy Vol. 2 (2017),"$4,822,234","$24,606,483","$3,450,633",,"$2,548,187","$1,099,814","$20,925,686","$394,221","$3,154,354","$100,663,260","$3,486,978",,,"$1,794,331","$3,287,701","$389,813,101",,,,,,,"$1,534,857","$24,809,137","$30,165,433",,"$627,157","$4,756,321","$1,713,606","$473,545","$3,428,270","$7,683,449",,"$7,900,157",,"$10,097,680",,,,,,"$175,393","$5,327,621","$19,005,245",,"$4,462,893","$3,756,100",,"$2,467,458",,,,"$221,185",,"$6,316,923","$3,247,124","$995,552",,"$1,145,604","$27,881,604",,"$4,606,033","$600,083","$121,461","$1,545,351","$20,921,370","$10,314,253","$4,499,986","$3,151,067",,,"$4,715,392","$5,248,385",,"$1,525,166","$7,311","$2,900,361","$53,060,497","$223,812","$2,480,721",
3498820,,Captain America: Civil War (2016),"$8,314,077","$25,436,768","$2,844,970",,"$2,489,851",,"$40,802,843","$516,255","$6,784,327","$180,794,517","$7,072,395",,,"$1,459,184","$3,084,144","$408,084,349",,,,,,,"$1,431,062","$23,219,052","$21,770,093",,,"$15,473,511",,"$337,237","$12,094,000",,,"$12,963,449",,"$24,366,759",,,,,,"$136,836","$10,685,000","$41,420,350",,"$4,388,326","$1,406,107",,"$2,520,919",,,,,,"$14,195,000","$2,691,473","$1,528,426",,"$1,162,072","$16,557,300",,"$8,396,857","$486,912","$104,910","$2,132,347","$62,859,896","$11,354,178","$3,606,960","$3,020,845","$752,167","$1,793,551","$16,397,475","$11,956,000",,"$5,051,436","$1,429,130","$5,963,288","$53,779,860",,"$1,947,286","$35,827"
1211837,,Doctor Strange (2016),"$3,460,732","$15,902,123","$2,146,709",,"$1,893,163","$691,322","$22,746,665","$544,989","$2,548,326","$109,194,913","$3,131,814",,,"$1,296,133","$2,285,111","$232,641,920",,,,,,,"$1,293,064","$15,688,092","$17,402,095",,"$1,175,663","$8,172,143","$1,205,704","$289,348","$5,174,482",,,"$8,194,378",,"$16,390,905",,,,,,"$178,354","$5,863,005","$13,587,076",,"$3,614,533","$2,221,423",,"$1,542,492",,,,"$166,117","$2,457,332","$6,208,092","$2,463,489","$954,007",,"$1,499,057","$22,318,675",,"$5,382,107","$389,195","$86,007","$1,158,119","$41,325,970","$6,975,576","$3,140,938","$2,379,075",,,"$9,496,024","$5,029,805",,"$3,202,816","$2,431,951","$3,444,965","$28,547,412","$165,003","$1,680,938","$77,681"
3385516,,X-Men: Apocalypse (2016),"$3,885,486","$11,392,143",,,"$1,690,455",,"$20,550,478","$311,867","$1,014,806","$120,765,095","$1,889,547",,,"$497,023",,,,,,,,,"$598,082","$16,164,749","$9,004,793",,,"$6,554,697",,"$169,795","$5,799,126",,,"$5,810,167",,"$7,360,778",,,,,,"$123,371","$2,871,603","$17,807,456",,"$2,395,785","$1,924,905",,"$1,049,167",,,,,"$3,278,161","$8,914,451","$1,082,378","$860,452",,"$816,539","$11,154,528",,"$5,865,247","$222,598","$54,418","$1,039,752","$20,642,326","$5,425,579",,,"$538,012","$939,353","$3,771,307","$3,153,857",,"$2,433,371","$903,314","$3,693,725","$24,287,465",,,
2250912,,Spider-Man: Homecoming (2017),"$7,033,029","$19,719,661","$1,755,851","$665,503","$2,278,867","$1,407,192","$31,896,083","$340,638","$4,362,392","$116,280,889","$4,592,912","$461,870",,"$1,283,316","$2,468,895","$334,201,140","$779,671",,"$2,692,449","$533,993","$203,713",,"$1,158,441","$18,790,173","$11,664,461","$53,051","$1,112,868","$9,080,755","$1,063,307","$331,584","$11,403,714","$12,335,003","$2,602,715","$10,157,185","$297,261","$25,390,871","$330,441","$260,893","$1,666,038","$139,920","$629,019","$149,352","$6,771,976","$27,069,013","$100,575","$4,042,454","$2,695,355","$280,973","$2,827,030",,"$665,551","$305,426","$305,790","$5,205,100","$7,523,563","$2,692,532","$1,321,129","$1,102,206","$1,044,817","$16,341,826","$179,822","$5,316,786","$408,209","$104,236","$2,308,622","$51,515,806","$11,950,872","$3,680,062","$1,853,733",,,"$9,657,745","$7,910,547","$870,753","$2,659,165","$1,628,395","$5,023,621","$39,582,694","$396,392","$2,527,948","$2,140,029"
2113659,,Elsa & Fred (2014),"$41,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$198,953",,,"$86,601",,,,,,,,,,"$17,419",,,,,,,,"$29,189",,"$88,885",,,,,,,,,,,,"$5,507",,
2326574,,The Identical (2014),,,,,,,"$13,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3204144,,Love at First Fight (2014),,,"$17,923",,"$68,144",,,"$4,949",,,,,,,,,,,,,,,,"$2,215,989",,,"$30,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,090",,,,,,,,,,,"$76,081",,,,,,,,,,,,,,
1284592,,Teza (2008),,,,,,,,,,,,,,,,,,,,,,,,"$6,209",,,,,,,,,,"$122,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235837,,Happily N'ever After 2: Snow White: Another Bite at the Apple (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$378,434",,,,,,,,,,,,,,,
0468965,,When a Man Falls (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,663",,,,,,,,,,"$52,551",,,,,,"$15,438",,,,,,,,,,,,,,,,,"$41,195",,,,
0477349,,Piranha (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,240,000",,,,,,,,,,,,,,,,,,,,,
1213856,,Voices (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,539",,,,,,,,,,,,,,,,,,,,,,,"$1,626,764",,,,,,"$27,847",,,"$34,557",,,,,,
0836710,,Suddenly (2006),,"$22,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,155",,,,,,,,,,,,,,,,,,,,,"$2,876,466",,,,,,,,,,,,,
1843202,,Winning Streak (2012),,,,,,,,,,,"$20,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,702",,,,,,,,,,,,,,,,,,,,,
2369041,,Legendary (2013),,,,,,,,,,"$5,450,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
