imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0897361,,I Know Who Killed Me (2007),,,,,,"$48,166",,,,,,,,,"$28,287",,,,,,,,,,"$40,241",,,,,"$414,518",,,,,,"$11,297",,,"$152,633",,,,,"$47,136","$48,689",,,"$33,879",,,,,,,,,,,,"$115,064",,,,,,"$523,374",,,"$65,910",,,"$17,756",,,,,,,,,,"$72,195","$345,847","$59,102","$146,948",,,,,
0481141,,No Reservations (2007),"$489,291",,"$4,903,952","$890,312",,"$429,115","$20,273","$1,887,224","$86,535",,"$67,481","$158,844","$1,808,318","$159,948","$71,886",,,"$83,019",,"$57,501",,,"$28,107","$71,656","$90,741","$72,985",,"$44,212","$1,958,054","$3,399,354","$512,160",,"$315,455","$247,408","$44,178","$171,108","$269,566","$473,914","$1,587,445",,"$5,474,911",,,"$95,372","$134,604",,"$93,035",,"$2,858,816",,,,"$1,448,535","$294,429","$5,204","$173,022",,,"$273,686","$386,380","$318,446","$506,260",,,"$97,885","$1,161,125",,"$44,032","$402,265","$32,346","$112,515","$738,907",,"$2,707,135","$4,596,206","$358,361","$836,378",,,,"$313,735","$88,774","$955,975","$227,419","$262,815","$2,157,958","$41,220","$572,932",,
0467110,,Underdog (2007),"$886,546",,"$3,339,643",,,"$539,398","$30,904","$1,847,022",,"$107,971",,"$506,231",,"$884,263",,,,,,,,,,"$451,914",,,,,,"$70,831",,,"$249,287",,"$92,243",,"$256,371",,"$74,430",,,,,,"$24,129",,,,"$4,555,910",,,,"$552,003","$298,116",,,,,"$516,994","$392,287",,,,,,,,,"$356,317",,,"$58,734",,,"$248,616",,,,,,,"$395,375",,,"$130,646","$3,038,323","$49,809","$1,123,743",,
0423977,,Charlie Bartlett (2007),,,,"$43,167",,,,,,,,,,,"$4,287",,,,,,,,,,,,,,,"$260,404",,,,,"$9,418",,,,"$51,943",,,,,,,,,,"$134,229",,,,,"$25,933",,,,,,,,"$2,966",,,,"$249,856",,,"$35,674",,,"$25,753",,"$46,100",,,,,,,,,"$24,809",,,"$388,748",,,,
0458522,,El cantante (2006),,,,,,,,,,,,,,,,,,,,,"$7,556,712",,,,,,,,,,,,,,,,,,"$146,104",,,,,,"$10,305",,,,,,,,,,,,,,"$157,063","$10,238",,"$7,068",,,,,,,,,,,,,,,,,,,,,,,"$14,930",$79,,"$155,137",,
0440963,,The Bourne Ultimatum (2007),"$1,299,305",,"$19,133,337","$2,447,288",,"$3,100,754","$11,477","$3,927,466","$218,420",,"$779,586","$335,991","$3,104,752","$437,084","$152,167",,"$72,795","$393,641","$446,532","$2,364,852",,,"$70,902","$109,670","$172,476","$162,739",,"$1,091,798","$13,142,166","$15,788,006","$1,718,642",,"$1,151,946","$548,344","$292,656","$1,172,725","$1,224,974","$925,147","$7,033,305",,"$15,197,984",,,"$132,046","$140,902","$230,829","$159,785","$688,571","$5,016,250",,"$872,694",,"$3,949,487","$2,691,351","$85,996","$2,996,197",,"$46,820","$314,481","$1,253,643","$1,355,922","$1,314,403",,,"$197,129","$5,909,838",,"$46,741","$1,389,046","$87,989","$174,492","$1,625,515",,"$11,684,965","$14,300,619","$2,426,209","$3,263,683",,,,"$3,084,344","$1,530,687","$1,287,448","$624,071","$1,464,578","$47,043,891","$53,143","$1,020,413","$135,860",
0804452,,Bratz (2007),"$44,700",,"$1,299,485",,,"$74,883","$6,796","$510,268",,,,,,,"$72,985",,,,,,,,"$8,258","$31,278",,,,,,,,,,,"$45,463",,,,"$150,460",,,,,,"$13,728",,,,"$1,221,708",,,,"$624,047","$216,842","$4,812",,,,"$16,009","$25,424",,"$40,365",,,"$14,268","$401,154",,"$5,857","$103,280",,,"$242,090",,,"$2,026,858",,,,,,,,"$202,582","$157,269","$115,637","$8,003,569","$24,815","$45,151",,
0778784,,My Best Friend (2006),"$123,823",,"$530,190","$98,847",,"$382,418","$1,547","$211,709","$6,177",,,,,,,,,,,,,,,,,,,,"$7,282,773","$481,511","$39,270",,,"$3,341",,,,,"$1,854,317",,"$89,845",,,,,,,,"$80,804",,,,,"$139,455",,,,,"$16,322",,,,,,"$2,620","$25,881",,,,,,,,"$41,408","$431,919","$81,585","$521,989",,,,,,,,,"$778,790","$34,413",,,
0796375,,You Kill Me (2007),,,,"$112,517",,,,,,,,,,,,,,,,,,,,,,,,,"$187,515","$341,788",,,,,,,,,,,,,,,"$2,312",,,,,,,,"$5,644",,,,,,,,,,,,,"$564,076",,,,,,,,,,,,,,,,,,,"$9,418","$95,658",,,,
0430768,,Wild Tigers I Have Known (2006),,,,,,,,,,,,,,,,,,,,,"$9,946",,,,,,,,,"$8,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$566,,,,
