Movie Name,France,Greece,Netherlands,United Kingdom,Portugal,Domestic,Colombia,Uruguay,Peru,Chile,United Arab Emirates,Mexico,Argentina,Bolivia,Paraguay,Russia/CIS,Thailand,South Korea,Türkiye,Ukraine,Estonia,Lithuania,Philippines,New Zealand,China,Australia,Spain,Singapore,Norway,Germany,Italy,Finland,South Africa,Iceland,Slovenia,Hong Kong,Taiwan,Belgium,Japan,India,Vietnam,Malaysia,Indonesia,Pakistan,Switzerland,Poland,Sweden,Denmark,Austria,Israel,Hungary,Czech Republic,Lebanon,Croatia,Romania,Egypt,Slovakia,Bulgaria,Serbia and Montenegro,Latvia,Cyprus,Brazil,Venezuela,Ecuador,Panama,Dominican Republic,Switzerland (French),Nigeria,Trinidad & Tobago,Kuwait,Qatar,Bahrain,Jordan,Oman,Jamaica
Bad Santa 2 (2016),,"$21,242","$184,365","$2,351,248","$58,129",,,,,,"$25,816",,,,,"$709,372",,,,"$68,431",,"$22,132",,"$114,271",,"$1,019,129",,,"$74,885",,"$894,066","$21,586",,"$46,315","$21,338",,,,,,,,,,,"$69,124",,,,,"$144,213","$27,446",,,"$364,157",,"$23,588","$36,237",,,,,,,,,,,,,,,,,
Tanna (2015),,"$19,381",,$765,,,,,,,,,,,,,,,,,,,,,,,"$19,451",,,,,"$15,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Space Between Us (2017),,"$88,823","$258,019","$950,100","$49,035",,"$64,687","$11,122","$303,000","$63,985","$161,488","$566,142","$87,503","$30,000","$15,000","$695,000","$212,000","$155,275","$28,693","$58,000","$10,000","$28,714","$758,000",,"$1,437,867","$27,515",,"$120,000",,"$799,583",,,"$83,172","$6,861","$5,484","$94,480","$21,000",,,"$85,000","$44,494","$206,000",,,"$132,772",,"$45,233",,"$154,318","$108,616",,,,,,,,,,"$17,000","$10,400","$178,265",,"$22,535",,,,,,,,,,,
All Roads Lead to Rome (2015),,,"$149,099",,"$29,621",,,,,,"$26,956",,,"$30,861",,"$144,357",,,"$99,251","$54,905","$47,974","$41,876","$8,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Eyez on Me (2017),,,"$979,970","$2,534,762","$99,940",,,,,,"$599,348",,,,,"$470,132",,"$43,490",,"$23,547",,,,"$389,437",,"$2,686,028",,,"$225,266","$1,462,588","$869,828","$200,409","$97,100","$38,423","$26,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeping Up with the Joneses (2016),,,"$561,941","$863,985",,,"$390,120","$70,425",,,"$638,809","$730,242",,"$86,843",,"$1,798,568",,,,"$286,637",,,,"$244,648","$1,723,895","$2,088,164","$61,318",,,,,,"$457,906",,,,,,,,,,"$419,981",,,,,,,"$1,091,350",,,,,,,,,,,,,,,,,,,,,,,,,
Una (2016),,,"$85,189","$18,775","$23,644",,,,,,,,,,,"$32,356",,,,"$14,955",,,,,,"$310,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oasis: Supersonic (2016),,,"$28,777","$970,383",,,,,,,,,,,,,"$48,620","$122,185",,,,,,"$17,048",,,"$48,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Untamed (2016),,,"$17,061","$13,798",,,"$2,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Railroad Tigers (2016),,,,"$8,360",,,,,,,,,,,,,"$302,482",,,,,,,"$18,399","$101,519,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tharlo (2015),,,,$907,,,,,,,,,,,,,,,,,,,,,"$143,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silence (2011),,,,"$21,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$286,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethel & Ernest (2016),,,,"$111,385",,,,,,,,,,,,,,"$67,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closet Monster (2015),,,,$194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almost Christmas (2016),,,,"$145,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$265,407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suburban Mayhem (2006),,,,"$3,536",,,,,,,,,,,,,,,,,,,,,,"$174,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,249",,,,,,,,,,,,,
Ae Dil Hai Mushkil (2016),,,,"$1,817,056",,,,,,,"$2,270,893",,,,,,,,,,,,,"$187,828",,"$562,063",,,"$38,736",,,,,,,,,,,"$22,527,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kate Plays Christine (2016),,,,"$1,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk (2016),,,,"$14,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameraperson (2016),,,,"$7,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
