imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0851515,,Crazy Racer (2009),,,,,,,,,,"$15,844,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0270288,,Confessions of a Dangerous Mind (2002),"$261,082","$821,534","$121,565",,,,,,,,,,"$49,132",,,,,,,"$81,451","$1,812,429","$689,178",,"$253,650",,"$33,128",,,,"$2,938,123","$2,699,590",,,,,,,"$279,161","$71,698","$117,716",,"$80,152",,,,"$236,344",,,,,,,,,,,"$717,755",,,,"$36,676",,"$52,007",,,"$1,633,162",,,
2332707,,Blind Detective (2013),,,,,,,,,,"$32,061,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051904,,Goosebumps (2015),"$1,225,023","$6,845,788","$371,017","$198,319","$458,130","$323,190","$1,856,393","$85,097","$510,804",,"$1,612,045","$46,895","$44,759",,"$80,080,379","$769,045","$145,359","$16,162","$4,611",,"$2,287,165","$2,487,869","$6,019","$86,197","$820,855","$133,692",,"$841,998","$209,356","$1,107,515",,"$84,707","$34,793","$29,537","$133,255","$23,532","$2,549,874","$7,105,137","$236,841",$492,"$95,532","$173,591","$90,988","$1,523,924","$1,439,568","$146,981","$51,407","$249,875","$246,339","$2,501,244","$11,505","$1,080,066","$33,388","$10,623","$552,494","$1,883,839","$3,187,098",,"$37,123","$107,912","$1,187,877","$1,379,767","$89,367","$309,541","$1,238,182","$13,086,846","$172,786","$7,926,075","$627,399"
4696222,,Northern Limit Line (2015),,"$38,656",,,,,,,,,,,,,,,,,,,,,,,"$17,607",,,,,,,,,,,,,,,"$11,169",,,,,,,,,,,,,,,,"$39,629,338",,,,,,,,,,,,,
3582088,,Sweet Alibis (2014),,,,,,,,,,"$5,700,000",,,,,,,,,,,,,,,"$7,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$129,,,,,,,
2739338,,The Christmas Candle (2013),,"$118,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$71,342",,"$15,999",,,,,,,,,,,,,,,,,,,,,,,,"$12,628",,,
4428814,,The Measure of a Man (2015),"$74,006",,,,,,"$48,770",,,,,,,,,,,,,,"$5,660,409","$27,354",,,,,,,,"$206,154",,,,,,,,,"$39,374",,,,,,,,"$32,558",,"$1,134","$11,131",,,,,,"$15,931","$121,215",,"$123,269",,"$18,370",,,,,"$20,487","$6,378",,
1872102,,Marius (2013),,,,,"$68,690",,,,,,,,,,,,,,,,"$2,148,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,905",,,
1766044,,Poslednyaya skazka Rity (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$486,937",,,,,,,,,,,,,,,,,,,
