imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3294200,,The Falling (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779826,,Maktub (2011),"$98,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$558,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4057632,,All Three of Us (2015),,,,,,,"$29,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3076658,,Creed (2015),"$913,820","$5,000,963","$431,949",,"$1,119,953","$120,941","$2,553,084","$77,533","$115,430",,"$93,887","$39,203","$119,880","$398,012","$109,778,883","$374,379",,,,"$325,265","$11,550,543","$3,235,490",,"$439,060","$113,658","$34,626","$42,307",,"$322,681","$6,041,276","$361,418",,"$10,946","$14,871","$207,266","$15,605",,"$2,460,699","$871,088","$359,634",,"$285,289","$6,244","$263,768","$194,536","$376,950","$504,531",,"$170,325","$795,358","$34,222","$329,820","$82,591","$19,392","$248,686",,"$4,100,666","$175,793","$423,576","$716,497",,,"$159,067","$93,157","$1,251,418","$8,246,569","$25,712",,
1291570,,Solace (2015),"$331,934",,,,,,"$282,436",,"$42,154","$5,374,145","$110,539",,,,,"$58,352",,,,,,,,,,,,,,,,,,,,,,"$2,905,274",,,,,,"$453,036",,,,,,"$490,446",,,,,,,,,,,,,,,,,"$121,399",,
1680679,,Breathing (2011),,,"$743,013",,,,,,,,,,,,,,,,,,,"$25,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,875",,,
1482989,,"Bruce Lee, My Brother (2010)",,,,,,,,,,"$2,052,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186566,,The Little Ghost (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,606",,,,,,,,,,,"$66,287",,,,,,,,,,,,,
2343536,,The Dead and the Living (2012),,,"$24,425",,,,,,,,,,,,,,,,,,"$8,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2370378,,Baby Blues (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$311,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217859,,Louder Than Bombs (2015),,,"$8,071",,,,"$21,185",$851,,,,,,"$21,379",,,,,,"$17,361","$205,037","$53,892",,,"$7,097",,"$2,466",,,"$36,722",,,,,,$476,,"$50,986",,,,"$245,295",,,,,"$13,721",,,"$50,609",,,,,,"$70,223","$96,714","$52,836",,,,,"$7,792",,,"$34,204",,,
3276924,,Heist (2015),,,,,,,,,"$180,240","$482,729",,"$18,885",,,"$50,136",,,"$10,051",,,,,,,,,,,,,,,,"$6,761","$46,596","$3,926",,"$1,011,787",,,,,,"$238,723","$42,643",,,,,"$570,699",,,,,"$65,905","$80,262",,,,,"$339,800",,,"$11,646","$441,871",,"$8,244",,"$166,142"
1456606,,"Rio, I Love You (2014)",,,,,,,"$490,612",,,,,,,,"$31,982",,,,,,,,,,,,,,,,,,,,"$29,509","$3,868",,,,,,,,,,"$45,766",,,,,,,,,,,,,,,,,,,,,,,
1671496,,"If Not Us, Who? (2011)",,,,,,,"$33,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4440036,,Lost and Love (2015),,,,,,,,,,"$34,180,000",,,,,,,,,,,,,,,"$345,228",,,,,,,,,,,,"$118,792",,,"$14,787",,,,,,,,,,,,"$82,553",,,,,,,,,,,,,,,,,
0470082,,The Roses of the Desert (2006),"$18,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,896,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0343663,,Eros (2004),,,,,,,,,,,,,,,,,,,,,"$267,632",,,"$37,800","$94,929",,,,,"$901,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,392",,"$33,207",,,,,,
3409440,,The Surprise (2015),"$36,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$90,920",,,,,,,,,,,,"$31,329",,,,,,"$52,966",,,,,"$166,086",,,,,,"$2,978",,
0374627,,French Spies (2004),,,,,,,,,,,,,"$31,431",,,,"$1,678",,,,"$12,507,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,138,049",,,"$4,439",,,,"$87,008",,,,"$9,217",,,,"$74,568",,,,
2279339,,Love the Coopers (2015),"$168,280","$1,183,300","$538,232",,,"$25,301","$223,690","$106,614","$42,031",,,"$126,526","$127,987",,,"$22,687",,,,,,"$1,513,024",,"$69,251","$74,049","$671,986","$24,755",,,"$404,870",,,,,"$11,468","$71,429","$28,425","$835,399",,"$117,470",,,"$1,084","$343,997",,"$339,031","$69,447",,"$647,317","$405,472","$48,703","$115,099","$85,133","$41,524","$274,165",,"$648,351",,,"$202,849","$26,259","$48,131","$15,728","$159,554","$245,023","$2,910,763","$46,714","$1,751,479",
3595298,,Prem Ratan Dhan Payo (2015),,"$623,670","$13,421","$273,963","$11,251",,,,,,,,,,,,,,,,,"$107,782",,,,,,"$41,708,786",,,,,,,,,,,,"$422,176","$10,869",,"$340,089",,,,,"$262,840",,,,,,,,,,,,,,,,,"$2,286,104","$2,290,181",,,
1828148,,Capitães da Areia (2011),,,,,,,"$776,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524568,,Rock the Casbah (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228816,,In Harmony (2015),,,,,"$21,532",,,,,,,,,,,,,,,,"$3,212,516",,,,,,,,,,,,,,,,,,,"$5,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
