Movie Name,Belgium,Portugal,Singapore,France,United Kingdom,Netherlands,Domestic,South Korea,Thailand,Hong Kong,Mexico,Italy,Germany,Spain,Romania,South Africa,Türkiye,Austria,Lebanon,Finland,United Arab Emirates,Hungary,Brazil,Argentina,Venezuela,Uruguay,Chile,Australia,New Zealand,Russia/CIS,Greece,Egypt,Lithuania,Croatia,Slovenia,Norway,Estonia,Serbia and Montenegro,Latvia,Iceland,Slovakia,Peru,Colombia,Central America,Ecuador,Bolivia,Taiwan,Indonesia,Malaysia,Philippines,Sweden,Denmark,Poland,Ukraine,Israel,Czech Republic,Bulgaria,Nigeria,Bahrain,Jordan,East Africa,Ghana,Oman,Ethiopia,Japan,India,Vietnam,Dominican Republic,Curaçao,Aruba,Kuwait,Qatar,Trinidad & Tobago,Jamaica,Switzerland,Puerto Rico,Lesser Antilles,China,Russia,Pakistan,Mongolia,Cambodia,Paraguay
Coco Before Chanel (2009),"$653,020","$177,703","$268,286","$8,680,317","$3,080,060","$966,553",,"$1,282,922","$66,159","$665,880","$588,872","$1,792,873","$4,815,653","$2,448,911","$77,013","$164,027","$176,443","$666,577","$58,075","$264,345",,"$217,811","$938,301","$219,920","$140,217","$40,970","$149,636","$2,108,680","$585,372","$825,791","$221,998",,"$81,253","$68,074","$109,091","$344,481","$18,275",,"$30,180","$6,303","$176,238","$80,191","$127,535",,"$53,408","$7,533","$220,474",,,,"$683,891","$1,178,721","$1,254,713","$104,427","$161,013","$496,493","$103,953",,,,,,,,"$7,045,089",,,,,,,,,,,,,,,,,,
Couples Retreat (2009),"$506,707","$1,287,880","$390,885","$616,700","$8,999,415","$839,613",,"$129,074","$180,615",,"$1,500,086","$2,115,759","$7,224,089","$2,640,377","$472,375","$2,282,294","$354,149","$2,045,291","$213,598","$618,163","$451,464","$793,952","$3,476,031","$167,416","$370,826","$33,593","$46,735","$10,165,633","$733,363","$3,995,039","$363,826","$98,269","$151,521","$163,400","$480,204","$227,482","$109,548","$109,958","$142,863","$64,116","$49,639","$348,291","$227,269",,"$91,971","$9,736","$203,223",,"$173,985","$12,982","$624,407","$305,175","$358,040","$581,623","$785,683","$157,164","$168,785","$59,118",,,"$49,279","$31,252",,,,,,,,,,,,,,,,,,,,,
Where the Wild Things Are (2009),"$117,817","$98,813",,"$1,279,784","$4,269,987","$309,012","$77,233,467",,,,"$262,007","$898,743","$1,110,733","$1,409,497",,"$12,235",,"$182,425",,"$69,880","$83,266",,"$447,021",,,,,"$5,694,673","$892,855",,"$46,549",,,,,"$324,316",,,,"$4,729",,,,,,,,,,"$18,572","$344,777","$10,602",,,"$183,891",,,,,,,,,,"$4,835,265",,,,,,,,,,,,,,,,,,
"New York, I Love You (2008)","$66,531","$240,833","$154,854","$271,707","$2,522","$121,730","$1,588,015","$550,927","$70,518","$299,369","$362,806",,"$472,583","$935,198",,,,"$173,351","$8,164",,"$36,979",,"$493,291","$137,848",,"$16,137","$14,554","$241,528","$53,041","$1,224,597","$75,835",,,,,"$190,126",,,,,,"$123,409",,,,,"$117,271",,,,"$87,485",,"$196,567","$122,613",,"$40,323",,,,,,,,,,,,,,,,,,,,,,,,,,,
Law Abiding Citizen (2009),"$501,962","$609,592","$243,798",,"$9,877,854","$1,119,372",,"$5,090,798","$404,736","$242,356","$2,163,319","$6,595,412","$5,173,078","$4,678,297","$270,992","$848,628","$316,128","$614,930","$39,066","$153,286","$507,266","$315,732","$2,037,344","$179,980","$183,763","$49,679","$29,385","$4,479,603","$348,441","$2,133,270","$734,045",,,"$216,555","$58,433","$508,255",,"$21,334",,"$91,672","$139,155","$88,346","$280,414",,"$49,378",,"$210,893",,"$164,162","$225,643",,"$326,053","$593,909","$232,593",,"$146,448","$149,691","$46,821",,,"$13,643","$11,528",,,,,,,,,,,,,"$1,069,443",,,,,,,,
The Stepfather (2009),"$25,997",,,"$176,753","$64,544",,,,,,"$586,506",,"$225,906","$36,071",,"$166,488",,,,,"$72,864",,,,"$380,295","$22,248",,,,,,"$20,563",,,,,,,,,,"$125,209","$99,192",,"$93,796","$16,524",,,,,,"$7,154",,,,,,,"$15,860",,,,,,,,,,,,,,,,,,,,,,,,
Cairo Time (2009),"$17,699",,,,,,,,,,"$63,271",,"$207,468","$255,171",,,,"$8,278",,,,,,,,,,"$226,141","$81,078",,,,,,,,,,,,,,,,,,"$11,386",,,,,,,,,,,"$3,207",,,,,,,,,,,,,,,,,,,,,,,,,
Up in the Air (2009),"$1,113,452","$1,371,763","$359,777","$6,303,497","$8,742,976","$1,074,328",,"$362,183","$203,539","$710,661","$2,176,272","$7,439,717","$7,665,802","$6,521,090","$160,479","$447,997","$404,369","$1,173,501","$85,880","$329,326","$387,858","$359,390","$4,427,613","$722,249","$265,980","$135,536","$151,820","$7,481,902","$616,624","$2,609,963","$1,555,866","$76,195","$61,555","$139,985","$125,379","$403,812","$66,853","$45,964","$77,596","$29,451","$25,588","$236,327","$251,463",,"$108,924","$14,100","$258,001","$154,220","$136,666","$81,875","$654,727","$696,273","$498,950","$245,426","$673,504","$370,969",,"$11,846",,,"$29,542",,,,"$2,013,252",,,,,,,,,,,,,,,,,,
35 Shots of Rum (2008),"$3,714","$6,377",,"$346,825","$313,201","$48,868","$177,511",,,,"$6,454",,"$62,704",,,,,"$6,187",,,,,,"$1,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saw VI (2009),"$467,813","$158,825","$132,193","$4,080,689","$8,310,402","$113,079",,"$139,111",,"$423,077","$542,720","$2,520,502","$3,900,589","$3,300,211","$125,542","$81,182","$1,121,816","$972,185",,"$14,303","$242,899",,"$1,733,289","$654,417","$2,024,684","$22,086","$174,417","$2,272,659","$146,480","$2,233,276","$374,565",,"$79,934","$52,199","$108,583",,"$51,659",,"$56,664","$4,462",,"$211,461","$701,742",,"$347,328","$27,674","$289,145",,,,"$177,897",,"$661,935",,,"$162,047","$63,939",,,,,,,,"$1,261,182",,,,,,,,,,,,,,,,,,
This Is It (2009),"$2,795,161","$724,644","$814,356","$14,545,085","$16,070,992","$5,918,448",,"$825,115","$401,085","$1,174,486","$3,231,979","$6,157,165","$13,019,854","$5,010,725","$643,062","$1,162,648","$334,667","$1,455,785","$164,731","$716,521","$437,234","$714,733","$3,603,288","$647,258","$2,109,782","$90,951","$699,407","$8,734,295","$2,698,899","$2,171,866","$1,264,913","$58,350","$193,854","$108,196","$123,802","$2,055,305","$81,237","$22,802","$146,748","$82,956","$435,530","$723,804","$1,065,543",,"$535,099","$195,092","$883,247","$827,814","$829,924","$1,324,068","$2,924,393","$3,048,283","$2,366,616","$232,736","$154,114","$1,890,019","$167,155","$83,929","$39,521",,"$118,159","$22,224",,,"$57,073,792",,,,,,,,,,,,,,,,,,
Cirque du Freak: The Vampire's Assistant (2009),"$513,855","$226,834","$326,215","$245,230","$4,602,900","$195,394",,,,,"$1,981,599","$50,728","$972,594","$129,463","$75,970",,,"$185,749","$31,587",,"$158,204","$366,736",,,"$384,644","$4,159","$83,300","$59,271","$81,318","$3,192,388",,"$42,000",,,,,,,,,,"$198,085","$138,242",,"$137,544","$20,824",,,"$4,041,235","$254,860",,,,"$246,273",,,"$37,782",,,,,,,,"$6,436,885",,,,,,,,,,,,,,,,,,
Astro Boy (2009),"$507,079","$86,797","$513,876","$1,189,211","$5,148,738",,,"$2,201,763","$20,348","$390,901","$710,349","$696,229",,"$679,352",,"$221,264","$668,110",,"$6,535",,"$87,245","$33,453","$490,745","$174,796","$96,172","$30,546","$188,580","$2,683,576","$180,477","$1,438,385",,"$5,626",,"$54,139",,,,,,"$21,892","$24,354","$245,227","$77,549",,"$60,064","$9,353","$71,942",,"$167,521","$151,113",,,,"$20,111",,"$62,669",,,,,,,,,"$864,683",,,,,,,,,,,,,,,,,,
Fantastic Mr. Fox (2009),"$78,578",,"$279,377","$2,278,744","$23,505,661","$195,212","$21,002,919","$109,927",,"$57,975","$28,147","$297,811","$590,208","$136,634",,,,"$65,786",,,,,"$42,645",,"$4,483",,,"$3,494,276","$610,866",,,,,"$2,160",,"$474,967","$4,260",,"$20,788",$230,,,,,,,,,,"$17,376","$77,426","$24,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creation (2009),"$22,281",,,"$1,806","$1,160,359",,,,,,,,,,,"$72,239",,,"$2,018",,,,"$26,803",,,,,"$309,222","$122,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coco Chanel & Igor Stravinsky (2009),"$77,413","$27,532","$26,007","$885,868","$230,602","$53,619",,"$1,002,940",,"$103,547","$48,105",,"$192,281",,,"$43,142","$181,939","$94,462",,"$260,311",,,"$228,930",,,,,"$278,556","$115,934",,"$109,096",,"$8,799",,"$16,790","$167,169",,"$17,734","$5,357",,,"$25,161",,,,,"$62,056",,,,"$28,880","$137,140",,,,,"$5,263",,,,,,,,,,,,,,,,,,,,,,,,,,
A Christmas Carol (2009),"$1,769,393","$1,227,340","$941,116","$12,523,968","$32,201,450","$2,235,529",,"$2,306,411","$650,003","$1,661,437","$7,583,173","$22,530,311","$11,188,892","$8,321,029","$656,102","$557,484","$313,187","$1,645,231","$394,689","$825,823","$466,255","$672,128","$3,007,754","$1,947,233","$1,835,471","$89,735","$728,147","$4,688,758","$521,597","$13,325,514","$1,974,854","$289,234","$249,653","$125,995","$99,545","$1,470,082","$109,452","$73,436","$145,257","$148,749","$327,928","$519,788","$1,768,192",,"$1,033,378","$127,367","$727,953","$484,021","$1,067,591","$873,330","$1,027,521","$982,729","$4,721,787","$1,329,285","$447,277","$625,544","$162,036","$17,980",,,"$30,848","$4,574",,,"$17,601,649",,,,,,,,,,,,,,,,,,
The Private Lives of Pippa Lee (2009),"$44,423","$51,250","$18,957","$448,216","$311,672","$81,784",,"$50,832","$3,449","$42,729","$73,892",,"$188,001","$556,691",,,,,,,,"$29,985","$81,660",,,,,"$1,632",,"$138,172","$314,584",,"$7,831",,,,,,"$17,065",,,,,,,,"$28,510",,"$20,401",,"$11,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Daily Bread (2005),"$35,796",,,,"$5,428",,,,,,,,,"$11,651",,,,,,,,$71,,,,,,,,,,,,,,,,,,,,,,,,,"$9,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 (2009),"$6,322,004","$3,794,573","$4,645,078","$44,038,740","$31,052,159","$6,836,005","$166,112,167","$33,396,775","$6,434,846","$6,323,434","$19,445,807","$21,086,983","$37,706,115","$22,591,580","$1,656,935","$2,311,282","$8,751,289","$4,487,563","$978,257","$1,481,186","$3,664,853","$1,399,821","$25,652,732","$4,040,705","$8,046,572","$358,329","$4,107,761","$18,123,801","$2,057,977","$36,608,694","$6,100,075","$1,101,387","$548,944","$620,088","$482,522","$4,101,063","$317,333","$275,735","$446,409","$244,004","$557,619","$2,970,237","$4,154,198",,"$1,556,775","$739,891","$13,395,852","$6,640,261","$7,511,710","$5,140,830","$5,920,122","$3,990,300","$9,785,003","$3,256,007","$2,675,652","$1,656,757","$856,915","$175,910","$471,318",,"$138,829","$43,802",,,"$42,626,869",,,,,,,,,,,,,"$90,186,569",,,,,
The Box (2009),"$947,541","$99,910","$8,304","$2,952,779","$1,964,101","$238,452","$15,051,977","$483,629","$81,071","$109,522","$1,296,123","$1,874,782",,"$2,400,035","$156,342","$54,566","$123,825",,"$57,651","$20,021","$130,494","$28,842","$506,081","$75,812","$311,040","$18,756","$55,749","$1,142,983","$22,204","$1,052,440","$42,286","$30,904","$16,438","$23,793","$49,434",,"$25,265","$10,217","$59,115","$15,628",,"$67,629","$137,384",,"$24,762",$645,"$58,890",,"$51,980",,"$200,097",,"$280,368",,,"$67,908","$12,244",,,,,,,,"$836,867",,,,,,,,,,,,,,,,,,
Broken Embraces (2009),"$674,721","$72,698","$10,614","$6,936,672","$1,220,908","$521,052","$5,014,305","$96,088","$8,154","$89,222","$440,012","$5,199,445","$2,177,492","$5,928,682","$35,484","$83,834","$150,348","$296,792","$18,889","$285,843",,"$91,546","$1,367,858","$515,741","$164,798","$66,116","$102,541","$679,536","$20,454","$1,156,366","$752,688",,"$55,368","$76,083","$57,298","$135,545","$16,307","$37,972","$51,126","$14,802",,"$45,245","$104,357",,"$13,800","$2,124","$68,171",,,,"$480,493","$346,073","$1,096,282","$58,441",,"$161,747","$16,268",,,,,,,,,,,,,,,,,,"$456,335",,,,,,,,
The Fourth Kind (2009),"$100,808",,"$158,276","$1,120,102","$3,717,152","$252,371","$25,486,040","$1,472,257","$113,794",,"$2,577,037","$2,426,800",,"$1,547,304",,"$60,775",,,"$29,857",,"$199,654",,"$896,656","$173,769",,"$62,553","$177,219",,,"$792,485",,,"$23,936","$104,760",,,"$11,693","$1,694","$14,719",,"$38,454","$322,654","$116,160",,,"$10,601","$72,694",,"$117,122","$103,329",,,"$219,507",,,"$80,909","$50,281",,,,,,,,"$5,064,696",,,,,,,,,,,,,,,,,,
Precious (2009),"$275,195","$283,991","$59,680","$439,889","$1,902,694","$806,168",,,,"$154,411","$859,206","$767,729","$1,234,336","$2,794,276",,"$157,428","$54,593","$249,353","$5,964","$265,570","$29,016",,"$927,316","$303,251","$181,250","$46,212","$45,371","$1,223,232","$493,185","$30,130",,,,,,"$394,361",,,,"$32,241",,"$106,931","$307,036",,,"$4,326","$143,763",,,,"$555,381","$949,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Lieutenant: Port of Call New Orleans (2009),"$309,973","$186,250",,"$2,120,067","$770,020","$250,905","$1,702,112","$9,121","$34,887","$15,879","$571,409","$437,346","$54,389","$1,840,997","$194,180",,,"$40,353","$7,104","$48,120","$270,836","$33,046","$624,423","$175,545","$161,603","$11,545","$60,802",,,"$25,082","$210,887",,"$28,812",,"$11,381",,"$1,813","$18,933","$10,476","$12,726",,"$122,730",,,,"$3,373","$76,113",,,"$53,350",,,,,,"$33,632","$64,232","$1,970",,,,,,,,,,,,,,,,,,,,,,,,,
The Twilight Saga: New Moon (2009),"$6,142,938","$3,509,504","$2,188,474","$39,210,470","$43,409,449","$3,122,069","$297,816,253","$12,011,262","$2,738,805","$1,897,556","$18,808,309","$20,609,171","$34,647,673","$28,617,897","$739,392","$3,152,285","$6,838,982","$4,037,383","$431,334","$2,425,881","$2,114,120","$1,672,215","$30,613,742","$3,302,766","$2,782,375","$173,313","$2,478,548","$35,170,330","$4,386,377","$18,616,430","$4,450,958","$537,535","$330,976","$669,103","$386,761","$4,400,247","$242,238","$107,146","$329,035","$144,903","$603,395","$1,848,823","$2,229,922",,"$992,245","$203,967","$1,588,979",,"$2,042,899","$5,516,431","$6,684,938","$3,912,934","$4,338,441","$1,315,158",,"$1,134,196","$424,030","$65,689",,,"$94,115","$25,102",,,"$1,927,976",,,,,,,,,,,,,,,,,,
Lemon Tree (2008),"$133,785",,,"$2,846,667","$20,606","$17,629",,"$25,722",,,"$52,284","$1,471,720","$480,577","$548,354",,,"$3,589","$42,859",,,,,"$269,455","$117,698",,"$10,977",,"$298,427","$6,987",,"$56,183",,,,,"$24,645",,,,,,,"$54,660",,,,"$13,828",,,,"$98,078",,,,,,,,,,,,,,,,,,,,,,,,"$223,086",,,,,,,,
"Police, Adjective (2009)","$2,836",,,,"$38,268",,,,,,,,,,"$40,997",,,,,,,,,"$24,564",,,,,,"$3,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell 211 (2009),"$37,157","$11,791",,"$167,044","$100,962",,,,,,"$646,197","$773,108",,"$15,905,730",,,,,,,,,,,"$18,105",,,,,"$161,806","$43,707",,,,,,,,,,,"$77,052","$183,587",,,"$4,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brothers (2009),"$313,467","$151,946","$29,205","$2,751,651","$1,611,026","$1,135,154",,"$437,464","$78,922","$67,375","$715,569","$3,266,025","$156,654","$923,959",,"$158,833",,,"$8,023","$35,663","$65,090",,"$281,518","$1,493,496",,"$12,453","$56,499","$218,142","$5,005","$14,795","$50,639",,"$12,972",,,"$69,910","$4,542","$9,564","$7,983","$25,733","$33,396","$90,330",,,"$32,345","$9,735","$24,275",,"$16,977",,"$18,590","$12,614","$511,154",,,"$11,728",,,,,,,,,,,,,,,,,,,,,,,,,,,
Planet 51 (2009),"$862,786","$1,424,154","$487,588","$8,264,852","$7,368,928","$329,237",,"$253,724",,"$117,746","$4,590,034","$3,405,781","$2,181,772","$15,762,612","$47,047","$603,855","$335,900","$337,111","$30,874","$229,683","$375,812","$35,724","$2,254,074","$179,380","$452,778","$35,722","$271,297","$2,581,551","$293,963","$3,450,434","$444,526",,,"$27,817","$179,710","$96,609",,"$38,221",,"$47,893","$104,623","$555,260","$967,122",,"$177,233","$39,030",,,"$158,215","$64,020","$470,378","$369,770","$1,796,388","$319,078",,"$341,738","$149,540",,,,,,,,,,,,,,,,,,,,,,,,,,
A Single Man (2009),"$397,654","$229,706","$76,510","$588,829","$4,035,997","$891,594","$9,176,000","$5,373",,"$107,400",,"$1,531,617","$1,612,440","$870,400",,,"$90,862","$146,720",,"$57,355",,,"$264,017","$94,927",,"$9,975","$36,136","$1,380,617","$476,778","$175,933","$185,789",,,,,"$208,043",,,,,,"$18,259","$51,644",,,,"$22,808",,,,"$294,132","$549,200","$201,340",,,"$76,824",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lovely Bones (2009),"$498,758","$164,735","$164,275","$2,174,440","$9,301,424","$760,157",,"$1,369,374",,"$215,772","$2,898,173","$2,396,608","$2,316,186","$1,545,639","$44,254","$113,270","$171,571","$345,482","$13,545","$135,678","$58,549",,"$1,612,729","$211,753","$151,657","$5,237","$276,533","$6,089,234","$2,388,913","$1,316,823","$489,108","$28,688","$48,228","$58,794","$13,243","$168,592","$14,226","$28,101","$6,240","$12,700",,"$203,133","$109,827",,"$52,629","$2,611","$216,418","$65,710","$118,942",,"$408,298","$1,044,361","$612,157","$124,833","$73,342","$73,308",,"$4,922",,,,,,,"$6,823,934",,,,,,,,,,,,,,,,,,
Invictus (2009),"$738,223","$1,249,560","$237,086","$26,616,922","$6,870,705","$411,567","$37,491,364","$696,868",,"$170,814","$2,238,624","$9,063,387","$763,812","$10,313,309","$37,372","$1,424,679","$115,686","$218,175",,"$45,038","$119,506",,"$1,923,500","$981,517","$340,248","$210,474","$203,487","$6,432,362","$348,222","$52,434","$343,660",,"$19,404","$29,059","$44,070","$211,989",,"$26,096",,"$2,198",,"$209,540","$400,498",,"$45,704","$33,539","$146,643",,"$25,220","$78,787","$47,860","$361,646",,,"$216,409",,,"$14,430",,,"$50,988",,,,"$8,623,873",,,,,,,,,,,,,,,,,,
The Princess and the Frog (2009),"$3,235,435","$1,532,519","$544,942","$32,378,176","$16,387,133","$3,057,126","$104,400,899","$597,470","$331,408","$548,171","$6,059,800","$13,157,233","$11,780,091","$11,594,881","$137,678","$954,509","$1,233,749","$1,942,068","$143,624","$897,662","$489,770","$796,787","$4,075,122","$1,922,032","$1,995,340","$80,731","$904,105","$5,830,322","$592,956","$5,141,150","$1,537,177","$78,838","$284,064","$158,092","$115,260","$1,623,931","$143,070","$74,148","$125,887","$59,711","$208,840","$689,903","$1,872,829",,"$764,349","$138,395","$160,327","$338,069","$941,156","$284,188","$2,547,916","$2,360,291","$2,890,822","$668,445","$1,333,251","$219,270","$318,767",,,,"$33,928","$8,196",,,"$4,840,341",,,,,,,,,,,,,,,,,,
Everybody's Fine (2009),"$14,611","$111,775","$34,103",,,,,,,"$187,570","$1,424,925","$1,994,220","$283,450","$1,411,903",,"$49,980","$253,428",,"$55,409",,"$80,397","$73,730",,"$190,231","$124,312","$44,534","$32,530",,,,,,"$48,385","$7,795","$5,156",,"$4,332",,,,,"$38,501","$64,836",,"$94,573","$6,703",,,,"$15,676",,,"$50,569",,"$379,816","$25,633","$47,136","$7,475",,,,,,,,,,,,,,,,,,,,,,,,,
Munyurangabo (2007),$658,,,"$1,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did You Hear About the Morgans? (2009),"$756,459","$711,370","$335,197","$3,995,986","$5,567,152","$1,088,087",,"$746,008","$182,892",,"$1,739,167","$2,561,420","$6,186,992","$4,584,000","$285,472","$908,970","$312,310","$1,607,249","$111,947","$203,724","$354,222","$502,513","$594,219","$283,813","$253,991","$77,261","$92,848","$5,471,538","$259,171","$2,681,330","$787,192","$61,799","$41,491","$129,047","$117,342","$448,229","$43,499","$87,864","$70,436","$39,430","$68,598","$131,671","$280,784",,"$122,036","$19,375","$184,825","$157,376","$185,780","$141,307","$821,322","$640,252","$358,230","$282,378","$309,558","$184,638","$121,408","$55,489","$24,645",,"$34,770","$11,189",,,"$3,197,778",,,,,,,,,,,,,,,,,,
Cheeni Kum (2007),"$2,153",,,,"$776,392",,,,,,,,,,,,,,,,,,,,,,,"$88,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,614,202",,,,,,,,,,,,,,,,,
Avatar (2009),"$16,717,407","$10,496,171","$8,885,187","$181,757,632","$153,841,911","$27,874,635","$785,221,649","$112,672,707","$9,765,830","$24,792,334","$47,455,575","$96,634,896","$166,725,521","$112,751,412","$6,723,773","$7,595,181","$18,056,907","$16,550,317","$1,690,463","$6,134,035","$8,161,712","$9,517,297","$59,762,732","$15,182,709","$9,367,200","$1,274,650","$11,792,223","$106,654,050","$12,789,647","$117,167,563","$14,158,758","$2,382,647","$1,636,819","$2,172,676","$1,917,323","$15,118,546","$1,261,587","$2,639,603","$1,554,186","$1,172,819","$3,045,978","$5,447,854","$14,268,475","$5,536,710","$2,712,812","$1,454,156","$28,377,251","$6,827,483","$8,098,492","$6,318,126","$24,700,107","$25,443,329","$32,164,753","$8,709,181","$13,488,099","$12,767,733","$4,091,161","$132,847","$1,034,364","$987,790","$808,639","$59,590","$207,809",,"$174,212,285","$32,141,722","$2,992,411","$1,440,545",,,"$1,784,632","$1,148,698","$771,174","$491,669","$21,025,501",,,"$262,125,748","$4,964,889","$417,493","$188,558","$9,794","$120,000"
Nine (2009),"$189,416","$581,581","$140,158","$2,549,863","$4,573,141","$110,258",,"$3,210,920",,"$362,286","$591,879","$1,604,773","$293,875","$3,482,276","$73,031","$195,627","$422,552","$134,606","$143,497","$72,971","$144,196","$82,748","$498,938","$268,101","$130,690","$21,819","$51,640","$2,164,990","$428,256","$99,079","$961,500","$74,434",,"$47,618","$48,920","$33,540",,"$31,740",,"$13,077",,"$69,733","$124,753",,"$56,856","$27,248","$228,356",,,,"$59,873","$551,998","$1,714,743",,,"$74,196","$36,639",,,,,,,,"$7,549,594",,,,,,,,,,,,,,,,,,
It's Complicated (2009),"$1,459,580","$1,436,315","$334,474","$6,262,170","$13,881,029","$3,247,030",,"$1,569,953","$60,048","$377,623","$3,497,634","$4,985,582","$9,831,613","$6,352,243","$256,239","$1,466,267","$546,358","$2,913,166","$225,288","$951,412","$354,806","$1,242,457","$4,694,495","$1,311,574","$389,027","$175,658","$243,953","$14,187,266","$1,566,305","$3,838,753","$1,042,678","$120,687","$95,087","$179,181","$299,517","$1,833,896","$101,462","$114,556","$149,463","$91,556","$132,094","$340,884","$290,615",,"$74,577","$9,407","$205,371","$115,818","$132,214","$88,652","$1,737,141","$1,162,159","$1,000,088","$440,170","$1,081,231","$629,432","$10,562","$32,684",,,"$50,785","$11,022",,,"$4,464,526",,,,,,,,,,,,,,,,,,
Sherlock Holmes (2009),"$2,763,022","$2,601,159","$2,306,579","$18,553,178","$39,795,286","$3,994,559",,"$13,652,798","$1,401,561","$3,190,592","$11,402,799","$26,955,437","$16,629,510","$13,692,300","$824,261","$1,553,004","$1,873,888","$2,596,222","$304,315","$1,582,713","$1,652,860","$1,283,931","$12,224,946","$2,701,752","$1,169,558","$200,256","$1,263,442","$22,777,578","$2,690,356","$16,494,393","$2,927,097","$397,088","$238,611","$419,040","$261,903","$3,196,245","$140,176","$225,430","$264,796","$190,960","$379,976","$798,823","$1,657,788",,"$536,998","$133,079","$2,445,815","$2,163,216","$1,212,543","$1,136,300","$3,658,521","$2,731,318","$2,522,917","$1,208,297","$1,178,865","$1,212,429","$582,655","$79,464",,,"$124,091","$32,109",,,"$22,471,434",,,,,,,,,,,,,,,,,,
Crazy Heart (2009),"$61,738",,"$26,679","$134,396","$1,479,176","$10,318",,"$33,858",,"$39,326","$181,973","$158,110","$753,134","$601,173",,,"$37,167","$150,917",,"$32,082",,,"$212,743","$109,394","$25,971",,,"$873,124","$257,575",,,,,"$4,864",,"$257,005",,,,"$20,680",,"$59,776",,,,,,,,"$4,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Station (2009),"$55,426","$96,151","$11,980",,"$209,516","$103,806","$6,617,867","$402,110",,"$17,590","$132,353","$124,692","$1,728,741","$450,391",,"$151,078","$196,652","$183,810","$2,982",,"$8,124",,"$91,624",,,"$31,925",,"$1,040,696","$772,615","$131,997","$182,986",,,,,"$55,363",,,,,,,,,,,"$33,203",,,,"$25,709","$73,244",,,,,,,,,,,,,"$688,784",,,,,,,,,,,,,,,,,,
Alvin and the Chipmunks: The Squeakquel (2009),"$4,461,871","$1,365,989","$2,370,286","$12,184,528","$35,805,642","$7,077,813",,"$3,604,600","$63,000","$801,626","$10,208,074","$8,197,134","$15,512,720","$12,983,049","$347,135","$1,764,028","$1,267,766","$3,170,796","$92,395","$1,276,713","$912,092","$618,308","$21,977,969","$1,090,189","$1,748,845","$175,570","$1,424,935","$19,791,144","$2,767,787","$5,033,085","$50,258","$150,925","$330,464","$83,991","$576,300","$3,519,023","$138,405","$66,312","$91,661","$173,660","$242,887","$1,393,474","$1,398,967",,"$780,163","$271,964","$268,718","$1,117,869","$1,701,539","$1,112,086","$5,392,163","$3,845,768","$2,724,821","$383,816",,"$717,973",,"$47,450","$131,602",,"$76,049","$16,019",,,,,,,,,,,,,,,,,,,,,
Looking for Eric (2009),"$280,023","$8,654",,"$4,286,398","$2,142,095",,"$55,804",,,"$26,117","$5,465","$2,330,354","$503,924","$926,775","$3,202","$25,523","$27,734","$62,090",,"$7,480",,,,,,,,"$315,505","$116,836","$20,080","$88,487",,"$3,046",,,"$74,494",,,,,,,"$5,223",,,,"$11,380",,,,"$48,728","$104,157","$8,393",,,,,$856,,,,,,,,,,,,,,,,,"$161,903",,,,,,,,
Carriers (2009),"$113,545","$107,587",,"$390,602","$111,544","$211,963",,,,,"$337,193",,"$285,304","$1,400,982",,,"$377,151","$16,330","$3,444",,"$131,444",,"$400,039","$184,432",,,"$87,976",,,"$993,694","$72,437",,,,,,,,,,,"$69,930","$70,668",,,"$2,857","$86,971",,"$91,520","$153,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daybreakers (2009),"$186,531","$60,836","$430,741","$1,789,119","$6,557,387","$79,304","$30,101,577","$923,737","$382,870","$179,975","$1,041,994","$770,682",,"$1,178,063","$45,191","$76,160","$361,046",,,"$31,676","$284,994","$16,898",,"$388,845",,"$4,879","$57,831","$2,119,165","$218,475","$1,173,190","$145,353","$30,719","$49,034","$24,624","$20,803","$69,403","$22,375","$3,523","$24,868","$13,394","$11,048","$163,362","$132,270",,,$724,"$94,038",,"$284,461","$197,552","$117,950","$89,242","$266,997",,,"$73,929",,,,,,,,,,,,,,,,,,,,,,,,,,,
