Movie Name,Belgium,Portugal,Singapore,France,United Kingdom,Netherlands,Domestic,South Korea,Thailand,Hong Kong,Mexico,Italy,Germany,Spain,Romania,South Africa,Türkiye,Austria,Lebanon,Finland,United Arab Emirates,Hungary,Brazil,Argentina,Venezuela,Uruguay,Chile,Australia,New Zealand,Russia/CIS,Greece,Egypt,Lithuania,Croatia,Slovenia,Norway,Estonia,Serbia and Montenegro,Latvia,Iceland,Slovakia,Peru,Colombia,Central America,Ecuador,Bolivia,Taiwan,Indonesia,Malaysia,Philippines,Sweden,Denmark,Poland,Ukraine,Israel,Czech Republic,Bulgaria,Nigeria,Bahrain,Jordan,East Africa,Ghana,Oman,Ethiopia,Japan,India,Vietnam,Dominican Republic,Curaçao,Aruba,Kuwait,Qatar,Trinidad & Tobago,Jamaica,Switzerland,Puerto Rico,Lesser Antilles,China,Russia,Pakistan,Mongolia,Cambodia,Paraguay
Seraphine (2008),"$277,780","$38,433",,"$6,561,855",,,"$884,613","$59,049",,"$25,880",,"$169,425","$137,774","$566,810",,"$27,256",,"$52,473",,"$41,849",,,,"$110,486","$73,326","$20,801",,"$22,149","$139,752",,,,"$2,720",,,"$43,586",,,,,,,"$37,309",,,,"$21,140",,"$7,615",,"$51,719","$28,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Souls (2009),"$15,534","$27,950",,"$47,370",,,"$905,209",,,,,,,,,,,,$872,,,,"$81,750","$3,301",,,,"$28,780","$6,256","$15,267",,,,,,,,,,,,,,,,,,,,,,,,,,"$2,548",,,,,,,,,,,,,,,,,,,,,,,,,,,
Days of Darkness (2007),"$36,531","$1,647",,"$530,435",,,"$1,491,525",,,,,"$793,131",,"$380,203",,,"$30,183",,,,,,"$88,304","$15,773",,,,,,"$27,494","$19,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandslam (2009),"$419,371",,"$86,322","$647,817","$2,543,431","$223,868",,"$435,397","$36,655","$16,365","$112,095","$319,719",,"$749,455",,"$263,946",,,"$13,800",,"$119,431",,"$144,436",,,,"$8,955","$642,090","$83,017",,,,,"$44,863",,,,,,"$14,701",,,,,,,"$21,611",,"$29,339","$9,988",,,,,,,,"$9,383",,,,,,,,,,,,,,,,,"$17,980",,,,,,,,
G-Force (2009),"$3,144,067","$1,699,302","$1,411,278","$12,223,393","$22,011,541","$3,054,178","$119,436,770","$349,237","$1,442,544","$1,262,002","$9,775,301","$5,891,041","$15,483,327","$12,966,370","$478,420","$1,201,897","$688,581","$2,383,966","$285,755","$991,305","$525,686","$1,137,794","$4,411,008","$2,110,560","$5,183,475","$138,012","$1,595,232","$9,781,360","$1,261,308","$9,656,260","$720,595","$54,162","$273,851","$60,065","$182,103","$1,647,073","$116,008","$32,676","$194,022","$121,676","$233,973","$1,904,256","$2,645,861","$298,217","$1,460,098","$246,764","$261,298","$1,380,947","$1,540,260","$802,832","$1,883,405","$1,521,166","$3,797,943","$853,401","$1,070,181","$1,207,603","$230,542","$49,791",,,"$47,815","$15,654",,,"$6,641,125",,,,,,,,,,,,,,,,,,
Fighting (2009),"$254,477","$130,259","$141,571","$201,990","$3,341,473","$592,992",,"$146,864",,,,,"$245,861","$908,527","$56,877","$261,408",,,"$4,507","$130,518","$280,502","$94,973",,,"$232,319",,,"$892,384","$253,750","$596,981",,,"$79,705","$36,764","$42,367","$33,363","$15,434",,"$19,493","$23,915",,,,,,,,,"$95,920",,"$57,632",,,"$99,982",,"$55,577","$59,156",,,,"$4,177",,,,,,,,,,,,,,,,,,,,,,
Feel the Noise (2007),"$105,349",,,,,,,,,,,"$244,011",,,,,,,"$34,388",,"$168,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorna's Silence (2008),"$475,226","$23,431",,"$2,678,831","$49,580","$31,300",,"$22,814",,"$7,861","$10,053","$525,788","$224,889","$169,300",$235,,"$31,412","$19,953",,,,$49,"$61,957","$91,085",,"$13,163","$18,181",,,"$17,749","$87,777",,"$2,956",,,"$21,973",,,,,,"$21,045",,,,,,,,,"$24,970",,,,,,,,,,,,,,,,,,,,,,,,"$153,303",,,,,,,,
Goodbye Solo (2008),"$28,318",,,,,,,,,,,,,,,,,,,,,,,"$39,010",,"$4,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Life in Ruins (2009),"$102,298","$115,080","$13,700",,,,"$8,665,206","$397,591",,"$127,763","$129,015","$1,106,259","$247,339","$1,842,519","$61,870","$376,058",,"$41,504","$58,346",,"$54,125","$164,915","$812,423","$396,055","$54,687","$46,051","$25,982","$2,273,373","$274,931","$14,144","$1,871,896",,,"$230,251","$155,334",,,"$47,078",,"$7,018",,"$55,660","$41,259",,"$10,151","$3,391",,,,,"$116,218",,"$390,368",,,"$36,877","$92,138",,,,,,,,,,,,,,,,,,,,,,,,,,
