imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Bosnia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Norway,Oman,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies,Yugoslavia
0116367,,From Dusk Till Dawn (1996),,$427,,,,,,,,,,,,,,,,,,,"$25,836,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0112379,,Antonia's Line (1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,046",,,,,,,,,,,,,,
0113247,,La haine (1995),,"$1,144",,,,,,,,,,,,,,,,,,,"$280,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,269",,,,,,,,,,,,,"$95,039",,,,,,,,,,,,,,,,,,"$20,603",,,,,
0116483,,Happy Gilmore (1996),,,,,,,,,,,,,,,,,,,,,"$38,824,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0112573,,Braveheart (1995),"$1,721,721","$8,867,658","$1,562,687",,,"$2,695,947","$127,090",,"$7,659,481","$96,695",,,"$691,983",,"$739,738","$225,722",,,,"$1,598,404","$75,609,945",,,,"$440,651","$64,479","$493,704","$8,151,909","$16,403,018","$1,238,107",,"$367,443","$323,056","$181,968","$309,972","$699,331","$673,069","$8,766,371","$24,762","$6,094,955",,"$35,024","$494,589",,,"$11,440","$502,660","$2,227,770","$1,874,040","$1,992,371","$970,556",,,"$50,038","$199,950","$594,035","$1,213,957","$996,879",,,"$158,028",,,,"$133,451","$690,533",,"$181,233","$2,062,757",,"$7,676,368","$9,845,999","$2,419,389","$2,742,646","$4,027,708","$520,857","$4,820,238",,,"$19,577,844","$87,971","$277,244",,,
0075314,,Taxi Driver (1976),,,,,,,,,,,,,,,,,,,,,"$28,262,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,778","$2,421",,,,,,,,"$5,918",,,,"$129,610",,,,,,,,,,,,,,,,,,"$151,022",,,,,
0109424,,Chungking Express (1994),,,,,,,,,,,,,,,,,,,,,"$600,200",,,,,,"$3,153",,,,,,,,,,,"$47,219",,,,,,,,,,,"$23,294","$2,946",,,,,,,,"$9,764",,,,"$99,292",,,,,,,,,"$714,358",,,,,,,,,,,,,,
0112461,,The Basketball Diaries (1995),,,,,,,,,,,,,,,,,,,,,"$2,381,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,351",,,,,,,,,,,,,,
0112384,,Apollo 13 (1995),,$403,,,,,,,,,,,,,,,,,,,"$173,837,933",,,,,,,"$14,878,689","$21,553,525",,,,,,,,,"$8,561,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,772,313",,,,,,,,,,,,,
0112462,,Batman Forever (1995),,,,,,,,,,,,,,,,,,,,,"$184,069,126",,,,,,,,"$9,344,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,236,792",,,,,
0061395,,Belle de Jour (1967),,"$5,742",,,,,,,,,,,,,,,,,,,"$4,063,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$601,,,,,,,,"$2,040",,,,,,,,,,,,,$347,,,,,,,,,"$90,256",,,,,
0112857,,Devil in a Blue Dress (1995),,,,,,,,,,,,,,,,,,,,,"$16,140,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0112864,,Die Hard with a Vengeance (1995),"$2,797,566","$8,679,364","$2,417,018",,,"$3,719,772","$71,130",,"$2,376,310","$39,041","$144,239",,"$517,199","$5,752,448","$2,127,178",,,,"$429,974","$2,625,272","$100,012,499",,,,,"$44,047","$3,457,953","$24,389,222","$24,003,490",,"$1,015,251","$4,211,688","$740,884","$231,477",,,"$1,983,203","$5,472,240",,"$81,762,589",,,,,"$92,100",,"$1,122,296","$2,860,056","$6,857,468","$1,057,462","$3,397,439",,,,"$211,330","$2,046,720","$810,734","$708,729","$1,069,118",,"$134,872",,,"$2,095,407",,"$1,461,600",,,,,"$9,013,766","$8,987,213","$4,146,475","$3,854,171","$11,728,352","$2,880,000","$1,432,579",,,"$18,999,473","$120,750","$371,582",,,
0112887,,The Doom Generation (1995),,,,,,,,,,,,,,,,,,,,,"$284,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0114435,,The Show (1995),,,,,,,,,,,,,,,,,,,,,"$2,702,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0114436,,Showgirls (1995),,,,,,,,,,,,,,,,,,,,,"$20,350,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$262,,,,,,,,,,,,,"$7,608",,,,,,,,,,,,,,
0058450,,The Umbrellas of Cherbourg (1964),,,,,,,,,,,,,,,"$4,962",,,,,,"$28,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,546",,,,"$34,149",,,,,,,,,,,,,"$8,402",,,,,"$11,649",,,$413,,
0114666,,The Tie That Binds (1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$57,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0111579,,Burnt by the Sun (1994),,,,,,,,,,,,,,,,,,,,,"$2,302,338",,,,,,,,,"$11,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0112471,,Before Sunrise (1995),,$678,,,,,,,,,,,,,,,,,,,"$5,535,405",,,,,,,,"$51,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$399,543",,,,,,,,,,,,,,
0112508,,Billy Madison (1995),,,,,,,,,,,,,,,,,,,,,"$25,588,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0109686,,Dumb and Dumber (1994),,$294,,,,,,,,,,,,,,,,,,,"$127,190,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0109707,,Ed Wood (1994),,,,,,,,,,,,,,,,,,,,,"$5,887,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0109771,,Farinelli (1994),,,,,,,,,,,,,,,,,,,,,"$1,573,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,815",,,,,,,,,,,,,,
0110005,,Heavenly Creatures (1994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110148,,Interview with the Vampire: The Vampire Chronicles (1994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,262",,,,,,,,,,,,,,
