imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2379713,,Spectre (2015),"$2,242,749","$25,380,847","$8,141,137",,"$7,899,617","$242,051","$8,266,418","$7,235",,"$970,358","$83,509,789","$1,926,524","$1,014,459","$2,391,129","$14,213,968","$200,074,609","$790,731","$267,637","$633,467","$16,126","$9,260,527","$39,509,522","$72,716,675","$61,329","$3,700,102","$5,631,130","$1,333,699","$516,267","$8,350,274",,"$2,732,288","$13,609,170","$24,231,095",,"$326,291","$487,808","$1,090,642","$415,692","$5,361,057","$11,604,067","$22,118,230","$3,970,646","$477,173","$9,657,486","$101,724",,"$927,412","$3,202,807","$8,969,943","$2,802,979",,"$1,499,723",,"$11,584,933","$431,644","$4,598,137","$943,815","$535,765","$2,669,309","$12,053,239","$8,068,096","$13,259,877",,"$3,399,713","$13,165,256","$5,666,876","$4,364,330","$2,821,829","$1,507,671","$6,058,268","$124,550,656","$138,455","$4,765,612","$2,015,288"
0804492,,The Hottie & the Nottie (2008),,,,,,,,,,,,,"$38,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$88,068",,,,,,"$970,952",,"$132,864",,,,,,,,,,"$32,031","$5,953","$141,641","$90,785",,"$67,371",,,
0055602,,A Difficult Life (1961),,,,,,,,,,,,,,,,"$71,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3742378,,The Second Mother (2015),"$7,831",,"$29,945",,,,"$1,297,282",,,,,,,,,,,,,,,"$170,795","$467,274",,,,,,,,,"$240,666",,,,,,,,,"$41,878",,,"$22,050",,,,,"$8,083","$25,049",,,,,,,,,,"$9,833","$272,216",,,"$23,181",,,,"$10,491",,,,,,
1554092,,The Howling Reborn (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,747",,,,,,,,,"$21,011",,,,,,,,"$36,029",,,,,,,,,,,,,,,,,,
0900357,,Boogeyman 2 (2007),,,,,,,,,,"$67,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$82,216",,,,,,,,"$68,550",,,,,,"$374,097",,"$23,309",,,,,,,,,,,$274,,,,,,"$232,094",
1671616,,18 Meals (2010),,,,,,,"$58,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,780",,,,,,,,,"$9,673",,,,,,,,,,,,"$447,674",,,,,,,,,,,,,
1327035,,Dev.D (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,029,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0466460,,Khosla Ka Ghosla! (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,722",,,
4319698,,Little Big Master (2015),,,,,,,,,,,"$3,180,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0841150,,Protégé (2007),,,,,,,,,,,"$8,069,097",,,,,,,,,,,,,,,"$3,395,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$218,258","$77,414",,,,,,,
0420076,,Pokémon: Jirachi - Wish Maker (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,393,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080374,,Steve Jobs (2015),"$208,034","$431,207","$192,847",,"$123,725","$21,270","$359,092","$75,116",,"$52,714",,"$86,888","$14,415","$112,604","$74,945",,"$60,320",,"$19,373",,"$67,259","$928,367","$1,163,275",,"$36,446","$432,152","$39,604","$13,508",,,"$162,398","$1,143,303","$268,658",,,"$11,686","$51,737","$21,279",,"$642,058","$201,231","$53,090",,"$58,991","$3,424",,"$123,008",,"$288,905","$163,997",,"$63,011",,"$381,236","$14,671",,"$50,753","$24,527","$57,111","$436,041","$1,653,357","$117,086",,,"$151,052","$199,275","$173,586","$148,639","$241,589","$171,210","$3,377,030","$20,973","$11,422",
2884018,,Macbeth (2015),"$142,109","$209,028","$112,504",,,,"$204,972","$20,387",,,,,"$18,826",,"$117,160",,,,,,"$7,888","$228,215","$687,087","$95,200","$209,785","$27,245",,"$2,688",,,,"$1,970,253",,,,"$20,888","$55,443","$21,422","$20,133","$106,421",,"$67,070",,"$64,179","$1,330",,"$26,484",,"$436,267","$19,051",,"$99,142",,"$552,940",,"$67,977","$9,054",$558,"$27,781","$4,825","$675,355",,,,,,,"$200,982","$41,065","$129,994","$4,339,629",,,"$60,398"
1374990,,The Prodigies (2011),,,,,"$63,529",,,,,,,,,,,,,,,,,"$1,279,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,026",,,,,,,,,,,,,,,,,"$3,526",,,,,,,
1524930,,Vacation (2015),"$523,754","$3,280,414","$440,493",,"$450,262","$253,145","$984,910","$124,677",,"$100,883",,"$587,287","$94,796","$99,309","$526,998",,"$188,241",,"$74,427",,"$151,206","$2,000,000","$1,680,647",,"$99,154","$275,223","$702,477","$149,058","$83,126",,"$1,391,416","$3,123,973",,"$102,188","$10,327","$78,973","$295,798","$92,969","$166,126","$4,704,406","$909,851","$283,436","$20,830","$622,774",,,"$870,853","$46,899","$631,523","$262,887",,"$425,813","$4,400,000","$5,003,576","$57,346","$335,308","$189,777","$48,985","$335,603",,"$3,071,875","$407,895",,"$60,021","$452,768","$887,008",,,"$399,139","$855,825","$2,088,954","$124,981","$2,421,226","$292,217"
2924442,,The Pact II (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,601",,,,,,,,"$56,314",,,,,,,,,,,"$30,215",,,,,,,
4693418,,Back to the Jurassic (2012),"$102,492","$79,918","$14,258",,,"$30,707",,,,"$133,870",,"$63,084",,"$142,739",,,,,,,,,"$57,186",,,,"$41,443",,,,,"$714,589",,,,,"$27,191",,"$46,803","$386,586",,"$29,852",,,,,"$58,935",,"$986,644","$65,072",,,,"$721,787",,,"$78,198",,"$220,966","$1,831,658",,,,,,,,"$436,473",,"$135,409",,"$13,068",,
2334733,,Madame Bovary (2014),,"$320,749",,,,,,,,,,,,,,,,,,,,,"$35,189",,"$22,610",,,,,,,,,,,,,,,,,"$77,294",,,,,,,,,,,,,,"$8,832",,,,"$41,290","$108,333",,,,,,,,,,,,,
2893490,,Manglehorn (2014),,,,,,,,,,,,,,,,,,,,,,"$80,950",,,,"$13,097",,,,,,,,,,,"$10,687",,,,"$12,394",,,,,,,,"$78,642","$4,721",,,,,,,,,,"$10,440","$105,604",,,,,,,,,,,,,
2547172,,Larry Gaye: Renegade Male Flight Attendant (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,921",,,,,,,,,,,,,,,,"$65,100",,,,
2758904,,Search Party (2014),,,,,,,,,,,,,"$14,231",,,"$4,571",,,"$36,127",,,"$11,264",,,,,,"$6,224",,,,,,,,,,"$18,012",,,,,,,,,,,,"$27,834",,,,,,,,,,,,,,,,,,,,,,,,
3336368,,Maya the Bee Movie (2014),,"$185,811","$927,306",,"$1,353,648",,,"$2,321",,"$62,712","$997,780","$212,966","$203,099","$146,829","$166,042",,"$79,196",,,,"$44,352","$6,169,494","$6,122,813",,"$122,233",,"$16,768","$11,488",,,,"$946,492",,,,"$33,152","$59,530","$69,466",,"$178,347","$637,271","$13,009",,"$139,868",,,"$219,599",,"$1,628,587","$220,426",,"$244,223",,"$1,580,114","$88,078",,"$66,054","$330,065","$357,826","$1,874,090","$1,251,685","$330,902",,,,,,"$1,644,816","$95,027","$260,088","$399,843",,"$154,455",
3717016,,After the Ball (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,597",,,,,,,,,,,,,,,,,,,,
1641841,,Skin Trade (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$185,285",,,,,,,,,,,,,,,,,"$142,666",,,,,,,,,,,"$141,329",,,"$79,286",,,,"$45,460"
2290739,,The Devil's Hand (2014),"$167,181",,,,,,,,,"$155,628",,,,,,,"$32,427",,,,,,,,,,,,,,,,,,,,,,,"$72,836",,,,,,,,,,,,,,"$836,664",,,,,,,,,,,,,,,,,,,"$158,012",
0498091,,Animals in Love (2007),,"$8,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,785",,,,,,,,
2062622,,Postman Pat: The Movie (2014),,"$161,826",,,"$105,073",,,,,,,,"$72,520","$104,383","$53,814",,,,,,"$97,379",,,,,,,"$17,521",,,,,,,,,,"$44,983",,,"$168,920","$37,441",,"$240,780",,,,,"$193,489",,,,,,,,"$14,185",,"$68,345",,,"$82,177",,,,,,"$24,199",,"$98,222","$5,515,679",,,
2238839,,Love in the Buff (2012),,"$61,321",,,,,,,,,,,,,,,,,,,,,,,,"$3,605,850",,,,,,,,,,,,,"$85,128",,,"$7,825",,,,,,,,,,,,,,"$28,806",,,,,,,,,,,,,,,,,,
1629242,,Careful What You Wish For (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,163",,,,,,,,"$18,081",,,,,,,,,,,,,,,,,,
2145829,,Robot Overlords (2014),,,,,,,,,,,,"$42,466",,,,,"$15,512",,,,,,,,,,,,,,,,,,,,,,"$44,648",,,,,,,,"$250,799","$47,743",,,,,,,,"$118,427",,,,,,,,,,,"$242,472",,,,,,,"$14,059"
2290113,,Along the Roadside (2013),,,,,,,,,,,,,,,,"$1,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,234",,,,,,,,,,,,,,,,,,,
0455135,,The Eye 3 (2005),,,,,,,,,,,,,,,,,,,,,,,,,,"$976,256",,,,,,"$247,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$649,331","$730,800",,,,,,,
1321869,,The Lovers (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,793",,"$3,412",,,,,,,,,,,,,,,,,,
2975590,,Batman v Superman: Dawn of Justice (2016),"$7,592,895","$22,517,365","$2,564,737",,"$2,685,186","$2,138,879","$37,566,828","$540,102","$170,698","$5,181,205","$95,769,365","$8,149,484","$522,416","$1,118,646","$2,572,539","$330,360,194","$3,781,279","$1,501,078","$242,623",,"$1,324,808","$21,319,616","$18,918,262",,"$2,125,858","$8,504,499","$1,037,694","$283,469","$10,736,869","$14,000,000","$2,612,698","$12,098,949","$16,531,874",,,"$251,315","$843,082","$212,708","$7,500,064","$36,621,767","$4,181,863","$3,269,068",,"$3,297,349","$475,077",,"$4,999,649","$11,214,492","$2,300,823","$2,222,072",,"$1,556,295",,"$12,683,409","$243,971","$5,742,914","$499,444","$166,343","$2,701,224","$16,457,193","$11,396,396","$3,941,571",,"$1,029,568","$1,754,810","$7,238,467","$5,388,316","$5,430,850","$1,279,073","$7,031,185","$53,128,158","$329,922","$1,113,858","$2,240,920"
2991092,,Eastern Boys (2013),,,,,"$24,699",,,,,,,,,,,,,,,,,"$122,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788556,,Gemma Bovery (2014),"$20,535",,"$28,518",,"$1,913",,"$33,598",,,,,,,,,,,,,,,"$3,956,458","$106,437",,"$30,124",,,,,,,"$91,263",,,,"$3,088","$4,023","$1,715",,,,"$36,775",,"$2,927",,,,,,"$12,797",,,,,"$2,524",,,"$18,231",,,"$102,066",,,,,,,,,,,,,
2872724,,Out of the Dark (2014),"$203,320",,,,,"$5,025",,,,"$101,943",,,,,,,"$24,487",,,,,,,,,,,,,,,,,,,,,,"$80,290","$765,523",,,,,,,"$97,070",,,,,,,"$103,277",,"$42,644",,,,,,,,,,,,,,,,,,"$5,426"
1860238,,Goddess (2013),,"$1,631,548",,,,,,,,,,,,,,,,,,,,,,,,$779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700467,,The Art of Love (2011),,,,,,,"$173,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$109,015",,,,,,,,,,,,,,,,,,,,
1562899,,Jinn (2014),,,,,,,,,,,,,,,,"$202,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$139,983",,,,,,,,,,,,,,,,,,,,,"$210,367",,,,,,
0309725,,Yes Nurse! No Nurse! (2002),,,,,,,,,,,,,,,,"$13,325",,,,,,,,,,,,,,,,,,,,,,,,,"$2,666,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290828,,Road to Ninja - Naruto the Movie (2012),,,,,,,,,,,,,,,,"$43,171",,,,,,,,,,"$63,253",,,,,,"$197,516","$17,278,965",,,,,,"$1,234",,,,,,,,,"$123,613",,,,,,,,"$70,950",,,,,,,,,,,"$97,857",,,,,,,
2095605,,Seal Team Six: The Raid on Osama Bin Laden (2012),,,,,,,"$96,354",,,,,,,,,,,,,,,,,,,"$96,998",,,,,,,,,,,,,,"$504,857",,,,,,,,,,,,,,,,"$83,441",,,,,,,,,,,,,,,,,,
1395054,,Once Upon a Time in Mumbaai (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0082095,,The Boat Is Full (1981),,,,,,,,,,,,,,,,"$1,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508290,,Caterpillar (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$234,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,220",,,,,,,,
1406160,,Jaffa (2009),,,,,,,,,,,,,,,,,,,,,,"$531,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,792",,,,,,,,
1090680,,Salt of This Sea (2008),,,,,"$5,220",,,,,,,,,,,"$11,662",,,,,,"$438,295",,,"$43,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$63,361",,,,,,,,,,"$174,383",,,
3687186,,Heaven Knows What (2014),,,,,,,"$2,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,326",,,
1366687,,No Love in the City (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,112,193",,,,,,,,,,,,,,,,,,,,
1837574,,Hyena (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$185,,,,,,,,,,,,,
2870648,,Amy (2015),,"$1,095,384","$207,313",,"$318,648",,"$108,202",,,,,,"$23,036","$160,938","$750,392","$8,413,144",,,,,"$406,244","$212,132","$827,506",,,"$26,289",,"$34,573",,,,"$944,284",,,,"$7,542",,"$17,996",,"$62,964","$1,687,401","$407,745",,"$225,661",,,,,"$581,273",,,"$15,027",,"$101,892","$8,437","$46,598","$35,660",,,"$70,547","$579,234","$125,231","$89,611","$89,569","$133,805",,"$54,902","$99,222",,,"$5,737,984",,,
3511542,,That Demon Within (2014),,"$60,147",,,,,,,,,"$17,430,000",,,,,,,,,,,,,,,"$2,243,059",,,,,,,,,,,,,"$393,629",,,"$23,413",,,,,,,,,,,,,,"$93,343",,,,,,,,,,,,,,,,,,
0890885,,Saturn in Opposition (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,028",,,,,,,,
3300572,,Stung (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,640"
2790236,,Beloved Sisters (2014),"$13,644",,"$40,753",,,,,,,,,,,,,"$54,030",,,,,,,"$2,293,203",,,,,,,,,,,,,,,,,,,"$6,050",,,,,,,,"$4,465",,,,,,,,,,,,,,,,,,,,,,,,
