imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1638355,,The Man from U.N.C.L.E. (2015),"$368,127","$3,236,386","$271,590",,"$420,269","$26,457","$1,318,299","$256,539",,"$89,422",,"$267,832","$139,568","$213,465","$203,117",,"$178,631","$141,782","$87,799",,"$121,957","$2,395,272","$2,011,305","$481,343","$481,343","$759,059","$466,937","$69,224","$553,991",,"$384,706","$859,792","$4,236,529","$48,348","$54,612","$101,511","$133,513","$84,287","$912,124","$1,997,078","$763,454","$799,061",,"$184,985",,,"$80,724","$533,198","$573,558","$367,608",,"$439,279",,"$9,094,917","$68,338","$1,133,843","$117,416",,"$303,061","$720,214","$2,950,066","$670,469",,"$136,546","$287,948","$2,371,500","$470,849","$575,577","$676,986","$1,408,709","$9,756,904","$9,433","$802,978","$543,529"
3339674,,Burying the Ex (2014),,,,,,,,,,,,,,,,,"$35,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$566,905","$35,478",,,,,,,,"$28,583",,,,,,,,,,,,,,,,,,
3488710,,The Walk (2015),"$559,051","$722,113","$126,321","$84,715","$137,856","$69,480","$693,881","$114,189",,"$167,008","$13,773,172","$287,561","$82,743","$216,985","$153,234",,"$228,925","$169,766","$71,441","$2,626","$125,412","$1,356,733","$809,869","$1,920","$142,547","$670,129","$125,477","$20,339","$1,242,438",,"$417,938","$1,060,588","$2,434,973","$49,851","$17,541","$37,262","$139,512","$127,233","$657,340","$1,817,746","$281,575","$106,394","$41,159","$77,447","$134,280",,"$106,911","$263,238","$373,944","$166,436","$132,617","$309,529",,"$5,024,536","$32,891","$540,960","$89,342","$18,690","$109,001","$1,924,118","$2,249,956","$220,289",,"$70,535","$86,721","$729,835","$357,036","$304,397","$502,433","$1,182,785","$1,922,084","$25,328","$2,188,956","$67,027"
4172430,,13 Hours (2016),"$78,017","$962,948","$90,639",,,"$12,031","$272,376",,,"$34,493",,"$46,744",,"$64,131",,,"$57,431",,,,,"$681,210","$515,942",,,"$762,505",,"$30,061",,,,"$155,260",,,,,"$96,404",,"$592,862","$323,263","$182,041","$109,073",,"$93,089","$27,957",,"$30,712","$419,697",,"$96,022",,,,"$295,988",,"$406,077","$32,890",,"$39,423","$1,002,552","$581,860","$89,165",,,"$68,898","$1,385,274","$652,000",,"$33,713","$483,388","$339,443","$5,185","$53,324","$73,293"
3098306,,French Women (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$211,973",,,,,,,,,,,,,,,,,,,,
2098628,,Augustine (2012),,,,,,,"$155,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3121332,,Nasty Baby (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$972,,,
1566948,,"Thelma, Louise et Chantal (2010)",,,,,"$19,888",,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002536,,As God Commands (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,496,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,253",,,,,,,,,,,,,,
1680089,,Women Vs Men (2011),,,,,,,"$32,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261055,,Giulia Doesn't Date at Night (2009),,,,,,,,,,,,,,,,,,,,,,,"$7,743",,,,,,,,,"$1,118,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964795,,The Red and the Blue (2012),,,,,,,,,,,,,,,,,,,,,,,"$2,284",,,,,,,,,"$1,720,151",,,,,,,,,,,,,,,,,"$6,203",,,,,,,,,,,,,,,,,,,,,,,,,
2076251,,The Worst Week of My Life (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,454,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680099,,Men Vs Women (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,452,860",,,,,,,,,,,,,,,,,,"$10,576",,,,,,,,,,,,,,,,,,,,,,,,
1866205,,Escort in Love (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,471,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,572",,,,,,
1715356,,Tous les soleils (2011),,,,,"$197,142",,,,,,,,,,,,,,,,,"$3,828,067",,,,,,,,,,,,,,,,,,,"$268,504","$18,312",,,,,,,,,,,,,,,,,,,"$323,007",,,,,,,"$52,429",,,,,,
1698566,,Sorelle mai (2010),,,,,,,"$12,550",,,,,,,,,,,,,,,,,,,,,,,,,"$429,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290789,,Every Blessed Day (2012),"$27,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,717,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,659",,,,,,,,,,,"$1,820",,
2447934,,"White as Milk, Red as Blood (2013)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,191,786",,,,,,,,,,,,,,,,,"$2,126",,,,,,,,,,,,"$12,431",,,,,,,,,,,,,
3438354,,I Can Quit Whenever I Want (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,482,323",,,,,,,,,,,,,,,,,,"$2,332",,,,"$54,755",,,,,,,,,,,,,,,,,,,,
2401715,,The Devil's Violinist (2013),,,"$407,720",,,,,,,,,,,,,"$11,294",,,,,,,"$2,802,028",,,,,,,,,"$175,418",,,,,,,,"$534,750",,,,,,,"$22,937",,,,,,,,,,,,,"$115,271",,,,,,,,,,,,,,
3628598,,Remember Me? (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,005,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,266",,,,,,,,,,,,,
1054677,,The Best Things in the World (2010),,,,,,,"$1,214,499",,,,,,,,,,,,,,,,,,,,,,,,,"$5,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3078718,,"Zoran, My Nephew the Idiot (2013)",,,"$15,362",,,,,,,,,"$1,426",,,,,,,,,,,"$20,116",,,,,,,,,"$798,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2234543,,A Castle in Italy (2013),"$107,958","$75,442",,,,,"$66,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,931",,
2390283,,The Journey Home (2014),,,,,,,,,,,"$338,690",,,,,,,,,,,,,,,,,,,,,"$2,677,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4065308,,Andiamo a quel paese (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,437,265",,,,,,,,,,,,,,,,,,,,,,"$25,033",,,,,,,,,,,,,,,,,,,,
1351672,,The Man Who Will Come (2009),"$9,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,997,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0474917,,La seconda notte di nozze (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,235,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$158,537",,,,,,,,,,,,,
1075114,,Tutta la vita davanti (2008),,,"$69,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,648,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188988,,Ex (2009),"$73,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$116,428",,,,,,,,,,,,,"$129,796",,,,,,"$16,700",,,,,,"$50,715",,
0478719,,Président (2006),,,,,"$20,874",,,,,,,,,,,,,,,,,"$2,045,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,078",,,,,,,,
2309260,,The Gallows (2015),"$2,160,289","$736,731","$193,802",,,"$147,892","$752,693",,,"$380,543",,"$656,393",,,,,"$279,831",,,,,"$377,354","$399,253",,,,,"$21,442","$42,877",,,"$829,405",,"$54,811",,"$14,073","$61,199","$40,920","$207,897","$2,429,647","$175,364","$157,934",,"$187,609",,,"$451,178","$164,830","$317,883",,,,,"$1,371,164",,"$114,519","$32,352",,"$52,080",,"$876,570",,,,,"$523,267",,,,,"$1,165,784","$61,446","$1,223,583",
2184227,,Dormant Beauty (2012),"$32,776",,,,,,"$47,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821700,,To Strike (2013),,"$53,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068956,,In the Name of God (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,121,687",,,,,,,,,,,,,,,,,"$1,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3142688,,Finding Fanny (2014),,"$44,211",,"$40,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$425,039","$315,316",,,
