imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Malta,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0337741,,Something's Gotta Give (2003),"$2,417,682",,"$11,969,361","$4,181,652",,,,,,,"$121,672",,,"$1,054,710",,,,,,"$462,452",,,,,,,"$51,586",,"$444,521","$5,761,320","$22,253,533","$2,005,750","$744,116","$385,460",,,,,"$8,441,993",,"$7,643,402",,,,,"$137,557",,,,,,"$6,121,287",,,,"$2,299,826","$1,240,859",,"$1,859,861",,,,,"$1,314,847","$1,338,896",,,,,"$1,922,309",,,,,,"$1,575,105",,"$10,214,261",,,,"$211,010","$1,281,566",,,"$12,638,254",,,,
0338466,,Stuck on You (2003),"$124,017",,"$4,237,674","$566,179",,,,,,,"$56,551",,,"$158,178",,,,,,"$29,443",,,,,,"$64,452","$6,498",,"$111,730","$879,101","$2,709,455","$258,720","$135,336","$88,140",,,"$162,183",,"$249,724",,,,,,,"$32,790",,,,,,"$1,645,124",,,,"$317,985","$416,468",,"$553,156",,,,,,"$74,529",,,,,"$984,008",,,,,,"$460,029",,"$4,176,977",,,,"$101,300",,,,"$6,441,227",,,,
0335119,,Girl with a Pearl Earring (2003),,,"$2,106,567","$77,972",,,,,,,"$8,806",,,,,,,,,,,,,,,,,,"$238,746","$2,500,665","$3,309,338","$218,600","$49,163","$56,254",,,,,"$2,665,024",,,,,,,,,,,,,"$193,036",,,,"$777,645","$360,237",,"$563,173",,,,,"$389,119","$182,234",,,,,,,,,"$8,871",,,,"$1,642,045",,,"$54,510",,,,,"$5,957,139",,,,
0340376,,The Statement (2003),,,"$1,313",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$123,979",,,,,,,,,,,,,,,,,,,,,"$56,617",,,,,,,,,,,,,,,,,,,,,,,,,,"$132,276",,,,,,,,,,,,
0167260,,The Lord of the Rings: The Return of the King (2003),"$4,698,147",,"$36,645,596","$9,867,822",,"$937,415",,"$9,902,589","$291,146","$9,902,206","$609,501",,"$2,289,571","$3,113,642","$13,827,541","$2,592,113","$1,245,950",,,"$3,694,173","$3,575,890","$16,188,249","$379,427,292",,,"$643,687","$219,683","$402,859","$7,096,209","$48,409,847","$87,207,000","$8,037,200","$4,983,077","$2,943,624","$1,006,014","$944,651","$1,323,144","$2,890,082","$35,837,796",,"$95,377,501",,,,"$258,679","$150,000","$1,533,229",,"$275,877","$1,903,364",,"$15,685,944",,,,"$19,348,313","$9,008,518",,"$12,460,370",,"$2,197,356","$1,390,557","$1,605,882","$7,968,195","$4,702,013","$1,871,308",,"$414,102","$12,122,431","$14,080,000",,"$680,354","$3,143,349","$532,439","$620,872","$3,840,418","$28,770,329","$39,834,538","$24,123,767","$10,991,061","$11,756,953","$4,630,752","$5,607,738","$1,623,212","$19,728","$106,689,784","$288,591","$1,196,154",,"$540,013"
0304415,,Mona Lisa Smile (2003),"$560,646",,"$5,911,401","$1,603,659",,,,,,,"$49,300",,,"$200,709",,,,,,"$147,571",,,,,,,"$43,507",,"$321,966","$5,881,584","$13,148,258","$949,750","$29,218","$126,156",,,,,"$6,682,709",,,,,,,,,,,,,"$3,962,744",,,,"$1,336,903","$854,232",,"$234,433",,,,,"$238,410",,,,,,"$758,877",,,,,,"$942,850",,"$6,225,692",,,,"$86,600","$730,038",,,"$8,165,671",,,,
0337909,,Calendar Girls (2003),"$126,861",,"$5,148,042","$907,117",,,,,,,"$9,030",,,"$40,642",,,,,,,,,"$31,041,759",,,,,,"$181,739","$1,057,099","$5,257,248","$14,600",,"$46,834",,,,,"$1,512,607",,,,,,,,,,,,,"$396,038",,,,"$877,149","$1,825,812",,"$452,900",,,,,"$144,653",,,,,,,,,,,,"$710,954",,"$2,724,698",,,,,,,,"$35,807,288",,,,
0317910,,The Fog of War (2003),,,"$62,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,255",,,,
0317640,,The Hebrew Hammer (2003),,,"$12,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0315983,,House of Sand and Fog (2003),"$40,849",,"$721,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,880",,,,,,,"$753,951",,,,,,,,,,,,,"$36,277",,,,"$145,062","$22,705",,,,,,,,,,,,,"$54,509",,,,,,,,"$269,857",,,,,,,,"$525,621",,,,
