Movie Name,Argentina,Uruguay,Brazil,Colombia,Singapore,Germany,France,United Kingdom,Italy,Netherlands,Poland,Belgium,Austria,Portugal,Estonia,United Arab Emirates,Lebanon,Czech Republic,Ukraine,Hungary,Switzerland (German),Norway,Finland,South Africa,Croatia,Türkiye,Romania,Jordan,Denmark,Latvia,Lithuania,Kenya,Iceland,Mexico,Ecuador,Australia,South Korea,New Zealand,Philippines,Thailand,Hong Kong,Nigeria,Ghana,Peru,Bolivia,Chile,Japan,Spain,Domestic,Sweden,Greece,Slovakia,Serbia and Montenegro,Bulgaria,Slovenia,Oman,Russia/CIS,Taiwan,India,China,Switzerland (French),Israel,Venezuela,Vietnam,Malaysia,Qatar,Bahrain,Russia,Ireland,Egypt,Switzerland,Panama,Paraguay,Pakistan,Cambodia,Kuwait,Iraq,Ethiopia,Central America,Indonesia,Cyprus,Trinidad & Tobago,Mongolia
Standing Tall (2015),,,,"$15,459",,,"$3,997,148",,,"$55,973",,,,"$4,420",,,"$3,635",,,,,,,,,,"$2,050",,,,,,,"$15,537",,,,,,,"$8,145",,,,,,,"$52,505",,,,,,,"$1,727",,,,,,"$140,377",,,,,,,,,,,,,,,,,,,,,,
Cooties (2014),,,,,"$7,407",,,,,,,,,,,"$28,816",,,"$11,699",,,,,,,,,,,,,,,,,,,,"$5,391","$91,323",,,,"$232,920",,,,,,,,,,,,$299,,"$6,463",,,,,,,"$41,168",,,,,,,,,,,,,,,,,,
The Crossing (2014),,,,,"$123,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$292,746",,,,,,,,,,,,,,,,,,,"$32,380,000",,,,,,,,,,,,,,,,,,,,,,,
The Beauty Inside (2015),,,,,"$29,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,040,741","$6,272",,,"$93,756",,,,,,,,,,,,,,,,,,,,,,,"$23,537",,,,,,,,,,,,,,,,,,,
Demolition (2015),,,,,"$11,300",,"$304,503","$386,646","$88,393","$409,061","$20,734","$61,207",,"$59,277",,"$102,309","$3,310",,,,,,,"$51,186",,"$125,697",,,"$5,722",,"$13,635",,,,,,"$329,617","$12,535",,,"$63,738",,,"$14,031",,,,"$81,321",,,"$32,286",,,,,,"$211,360",,,,,,,,,,,,,,,,,,,,,,,,,,
Our Brand Is Crisis (2015),,,,,"$38,448","$22,317",,"$39,556",,,,,"$6,687","$85,170",,"$95,087","$29,034",,,,,,,,,,,,,,,,,,,,,,,,"$44,054",,,,"$114,527",,,,,,,,,,,"$2,350",,"$1,007,501",,,,"$40,666",,,,,,,,,,,,,,,,,,,,,
Monster Hunt (2015),,,,,"$473,420",,,,"$1,138,689",,,,,,,,,,"$6,773",,,,,,,,,,,,,,,,,"$329,979","$157,839","$84,293",,"$70,537","$1,451,683",,,,,,,,,,,,,,,,"$53,549",,,"$382,490,000",,,,"$300,251","$463,727",,,,,,,,,,,,,,,,,,
Wild City (2015),,,,,"$162,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$667,343",,,,,,,,,,,,,,,,,,,"$23,670,000",,,,,"$283,059",,,,,,,,,,,,,,,,,,
Pay the Ghost (2015),,,,,"$218,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,114,934","$226,524",,,,"$77,707",,,,,,"$45,179",,,,,,,,,,,,"$507,131",,,,,,,,,,,,,,,,,,,,,,,,,,
Pitch Perfect 3 (2017),,,,,"$1,622,007","$9,872,717","$1,460,858","$20,492,913","$65,899","$3,023,921","$194,754","$1,509,965","$1,824,495","$163,437","$68,303","$650,494","$87,490","$91,508",,"$239,604",,"$631,896","$204,254","$1,969,574",,,,,"$534,733","$44,575","$39,329",,"$157,174",,,"$16,438,786",,"$2,190,951","$2,910,894","$157,235","$316,869",,,,,,"$311,530","$1,986,509",,"$833,079",,"$43,010","$28,818",,"$115,582",,,"$3,348,673",,,,"$330,526","$227,408","$126,276","$2,261,938",,,,,"$28,739","$1,349,263",,,"$13,406",,,,,,"$1,330,945","$35,855","$60,474","$14,276"
A Bigger Splash (2015),,,,,"$15,207","$549,566","$205,661","$1,700,350","$189,747","$478,234","$111,566","$303,590","$63,307","$30,387","$22,069",,,"$10,285","$19,298","$30,210",,"$11,764","$45,069","$19,143",$192,"$28,304","$28,897",,"$10,013","$29,176","$8,629",,,,,"$536,056","$102,950","$81,589",,"$8,997","$16,642",,,,,,,"$156,623","$2,024,099","$85,324","$41,492","$12,557","$8,930","$8,074","$13,852",,"$243,350",,,,,,,,,,,,,,"$161,248",,,,,,,,,,,,
Kill Zone 2 (2015),,,,,"$524,096",,,"$9,274",,,,,,,,"$48,721",,,,,,,,,,,,,,,,,,,,,,,"$2,824","$93,784","$1,745,482",,,,,,,,,,,,,,,,,"$91,159",,"$90,270,000",,,,,"$841,020",,,,,,,,,,,,,,,,,,
Commitment (2013),,,,,"$58,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,512,794",,,,"$187,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeos (2011),,,,,,"$18,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,076","$1,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Night Before (2015),,,,,,"$1,186,316",,"$950,963",,"$189,309",,"$20,527","$416,734","$228,566","$63,914",,,,"$287,200",,,,,"$50,633",,,"$327,250",,,"$61,069","$90,963",,"$71,045","$41,202","$58,507","$1,920,809",,"$227,958",,,,,,,"$20,207",,,"$52,286",,"$323,489",,,,"$75,595",,,,,,,,"$743,349","$1,426,855",,,,,,,,,,,,,,,,,,,,
Kebab Connection (2004),,,,,,"$879,485",,,,,,,,,,,,,,,,,,,,"$81,085","$9,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001 Grams (2014),,,,,,"$44,956","$29,010",,,,,"$4,356","$6,802",,,,,,,,,"$83,689",,,,,,,,,,,"$1,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaya con Dios (2002),,,,,,"$539,370",,,,,,,"$41,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cut (2014),,,,,,"$751,789","$153,083",,"$50,434",,,"$6,467","$15,945",,,,,,,,,,,,,,"$2,008",,,,,,,,,,,,,,,,,,,,,"$77,939",,,,,,"$10,698",,,"$135,711",,,,,,,,,,,,,,,,,,,,,,,,,,
The Student and Mister Henri (2015),,,,,,"$2,283,929","$2,901,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,276",,,,,,,,,,"$114,968",,,,,,,,,,,,,"$91,786",,,,,,,,,,,,,,,,,,,,,,
Green Room (2015),,,,,,,"$218,347","$207,595",,,,,,"$3,158",,"$66,933",,,,,,,,,,"$8,224",,,,,"$9,466",,,,,,,"$13,686",,,,,,,,,,"$19,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kahlil Gibran's The Prophet (2014),,,,,,,"$60,295",,,,,,,"$1,402",,,"$337,580",,,,,,,"$8,935",,,,,,,,,,"$51,482",,,"$51,470",,,,,,,,,,,,"$725,489",,,,,"$4,654",,"$4,889",,,,,,,,,,"$12,789","$2,427",,,,,,,,,,,,,,,,
Nobody from Nowhere (2014),,,,,,,"$651,146",,,,,"$5,951",,,,,,,,,,,,,,,,,,,,,,"$22,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If I Were a Rich Man (2002),,,,,,,"$5,576,912",,,,,,,,,,,"$7,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lady in the Car with Glasses and a Gun (2015),,,,,,,"$292,889",,,,,"$10,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,720",,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica: Ice and Sky (2015),,,,,,,"$131,008","$4,448",,,,"$8,829","$7,732",,,,,,,,,,,,,"$1,593",,,,,,,$633,,,,,,,,,,,,,,,,"$14,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mune: Guardian of the Moon (2014),,,,,,,"$3,010,510",,"$1,691,724",,"$106,150",,,"$184,551","$128,611","$154,005","$12,145","$91,431","$173,269",,,"$130,009","$32,519",,"$138,880",,"$264,674",,,"$81,472","$95,700",,,,,,"$1,989,361",,,,,,,,,,,,,,"$101,550","$77,544","$25,482","$60,434","$24,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noble (2014),,,,,,,"$75,337","$254,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$537,144",,,,,,,,,,,"$347,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chez Nous (2013),,,,,,,"$2,187,885",,,"$761,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return to Ithaca (2014),,,,,,,,$463,"$218,537",,,,,"$12,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$170,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of Earth (2015),,,,,,,,"$3,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome to Leith (2015),,,,,,,,$370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listen to Me Marlon (2015),,,,,,,,"$70,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Keeping Room (2014),,,,,,,,"$38,793",,,,,,,,"$4,002",,,,,,,,"$3,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agneepath (2012),,,,,,,,"$1,165,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$297,474",,"$80,190",,,,,,,,,,,,,,,,,,,,,"$22,419,250",,,,,,"$52,587",,,,,,,,,,,,,,,,,,
Cocktail (2012),,,,,,,,"$1,096,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$310,380",,"$55,846",,,,"$7,130",,,,,,,,,,,,,,,,,,,,,,,"$27,323",,,,,,,,,,,,,,,,,,
High-Rise (2015),,,,,,,,"$2,913,572",,"$86,065",,,,"$2,498",,"$16,339",,,"$43,591",,,,,,,,,,,,"$18,430",,,,,,"$160,878",,,"$5,713",,,,,,,,"$48,370","$346,472",,,,,,,"$1,566","$645,580",,,,,,,,,,,,,,,,,,,,,,,,,,
Time Out of Mind (2014),,,,,,,,"$31,939",,,,,,"$35,313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$80,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robber (2013),,,,,,,,"$172,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garam Masala (2005),,,,,,,,"$1,083,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chup Chup Ke (2006),,,,,,,,"$628,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,949,887",,,,,,,,,,,,,,,,,,,,,,,,
Oddball (2015),,,,,,,,"$34,584","$545,059",,"$1,158,286",,,,,,,,,,,,,,,,,,,,,,,,,"$7,911,266",,"$427,026",,,,,,,"$35,406",,,,,,,,,,"$5,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pearl Button (2015),,,,,,,,"$19,203",,,,"$14,603",,"$7,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,513",,"$6,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animals (2014),,,,,,,,,"$9,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,845","$21,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xenia (2014),,,,,,,,,"$25,372",,,,,,,,,,,,,,,,,,"$2,723",,,,,,,"$23,370",,,,,,,,,,,,,,"$9,348",,,"$75,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Outcasts (2017),,,,,,,,,,"$24,197",,,,,,,,,,,,,,"$35,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liza the Fox-Fairy (2015),,,,,,,,,,"$8,547",,,,,,,,,,"$532,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secrets of War (2014),,,,,,,,,,"$1,364,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Therapy for a Vampire (2014),,,,,,,,,,,,,"$179,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Mountain Boy (2015),,,,,,,,,,,,,"$8,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$311,,"$46,999",,,,,,,,,,,,,,,,,,,,,,,,,,
Mediterranea (2015),,,,,,,,,,,,,"$2,932","$2,053",,,,,,,,"$19,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Forecaster (2014),,,,,,,,,,,,,$652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Summer of Sangaile (2015),,,,,,,,,,,,,,$413,,,,,,,,,,,,,,,,,"$43,079",,,,,,,,,,,,,,,,,"$6,284","$4,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girl with a Suitcase (1961),,,,,,,,,,,,,,"$4,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby (2015),,,,,,,,,,,,,,,,"$10,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,764",,,,,,,,,,,,,,,,,,,,,,,,,,
Hyena Road (2015),,,,,,,,,,,,,,,,"$86,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Invitation (2015),,,,,,,,,,,,,,,,"$61,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Save a Life (2009),,,,,,,,,,,,,,,,,,,,,,,,"$3,765",,,,,,,,,,"$38,221",,,"$5,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where Hope Grows (2014),,,,,,,,,,,,,,,,,,,,,,,,"$3,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Conception (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,"$94,280",,,,,,,"$131,666","$25,919",,,,,,,,,"$182,693",,,,,"$2,134",,,,$848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Para Elisa (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,276",,,,,,,,,,,,,,"$25,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Victim (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$368,626",,,"$6,417",,,"$908,435",,,,,,,,,,,,,,,,,,"$136,321",,,,,,,"$183,790",,,,,,,,,,,,,,,,,,
Iris (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,929",,"$117,232",,"$157,994",,"$31,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of the Desert (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$223,802","$18,837",,,"$5,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dirty Picture (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$108,638",,"$12,132",,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,472",,,,,,,,,,,,,,,,,,
Gone (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Elliot (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$182,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephant Song (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$105,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokémon the Movie: Diancie and the Cocoon of Destruction (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,484,265",,,,,,,,,,"$26,906,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nightmare (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puella Magi Madoka Magica the Movie Part III: The Rebellion Story (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,113",,,,,,,,,,"$19,169,007",,"$375,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabid Dogs (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tazza: The High Rollers (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,212,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apt (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,233,685",,,,,,,,,,,,,,,,,,,,,"$16,107",,,,,,,"$112,719",,,,,,,,,,,,,,,,,,
Phantom (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,096",,,,,,,,,,,,,,,,,,,,,"$13,168,510",,,,,,,,,,,,,,,,,,,,,,,,
Fire in Babylon (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobel's Last Will (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,192",,,,,,,,,,,,,,,,,,,"$23,236",,,,,,,,,,,,,,,,,,,,,,,,,,
Mavis! (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Snake (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$112,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heneral Luna (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,419,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield of Straw (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,338",,,,,,"$17,815,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Hokusai (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,420",,,,,,"$143,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magallanes (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$376,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Blackcoat's Daughter (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Day Breaks (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,883",,,,,"$28,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTF (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$226,390",,,,,,,,,,,,,,,,,,,,,,,,,,
Man Down (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,551",,,,,,,,,,,,,,,,,,,,,,,,,,
Suck Me Shakespeer 2 (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$325,112",,,,,,,,,,,,,,,,,,,,,,,,,,
Human (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,509",,,,,,,,,,,,,,,,,,,,,,,,,,
Kokowääh 2 (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$496,337",,,,,,,,,,,,,,,,,,,,,,,,,,
How to Change the World (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,948",,,,,,,,,,,,,,,,,,,,,,,,,,
Baskin (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$56,295",,,,,,,,,,,,,,,,,,,,,,,,,,
Look Who's Back (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,470",,,,,,,,,,,,,,,,,,,,,,,,,
Mr. and Mrs. Incredible (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,632,704",,,,,,,,,,,,,,,,,,,,,,,
Flying Colors (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,773,743",,,,,,,,,,,,,,,,,,,,,,,
Helios (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,180,000",,,,,,,,,,,,,,,,,,,,,,,
Hollywood Adventures (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,620,000",,,,,,,,,,,,,,,,,,,,,,,
The Great Hypnotist (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,050,000",,,,,,,,,,,,,,,,,,,,,,,
Paris Holiday (1958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,830,000",,,,,,,,,,,,,,,,,,,,,,,
Brotherhood of Blades (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,190,000",,,,,,,,,,,,,,,,,,,,,,,
As the Light Goes Out (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,880,000",,,,,,,,,,,,,,,,,,,,,,,
The Parisian Bitch: Princess of hearts (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,227",,,,,,,,,,,,,,,,,,,
Vaaranam Aayiram (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$796,297",,,,,,,,,,,,,,,,,,
