Movie Name,Argentina,Uruguay,Brazil,Colombia,Singapore,Germany,France,United Kingdom,Italy,Netherlands,Poland,Belgium,Austria,Portugal,Estonia,United Arab Emirates,Lebanon,Czech Republic,Ukraine,Hungary,Switzerland (German),Norway,Finland,South Africa,Croatia,Türkiye,Romania,Jordan,Denmark,Latvia,Lithuania,Kenya,Iceland,Mexico,Ecuador,Australia,South Korea,New Zealand,Philippines,Thailand,Hong Kong,Nigeria,Ghana,Peru,Bolivia,Chile,Japan,Spain,Domestic,Sweden,Greece,Slovakia,Serbia and Montenegro,Bulgaria,Slovenia,Oman,Russia/CIS,Taiwan,India,China,Switzerland (French),Israel,Venezuela,Vietnam,Malaysia,Qatar,Bahrain,Russia,Ireland,Egypt,Switzerland,Panama,Paraguay,Pakistan,Cambodia,Kuwait,Iraq,Ethiopia,Central America,Indonesia,Cyprus,Trinidad & Tobago,Mongolia
Into the Forest (2015),"$54,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Perfect Man (2015),"$45,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,463",,,"$14,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everest (2015),"$2,445,099","$79,300","$1,837,939","$815,252","$1,676,596","$9,361,585","$7,050,663","$15,794,142","$5,107,872","$1,377,529","$3,074,161","$909,628","$1,547,719","$668,418","$272,584","$1,812,752","$208,829","$854,460","$1,357,145","$811,224","$1,468,147","$1,111,048","$527,878","$408,083","$151,513","$864,771","$802,659","$79,463","$569,436","$203,103","$225,804","$47,341","$691,470","$8,232,318","$667,132","$7,352,404","$2,692,488","$1,555,533","$964,062","$606,942","$2,317,978","$6,759","$742,102","$1,484,490","$255,484","$649,990","$6,133,397","$6,575,707",,"$1,465,820","$991,038","$332,083","$101,224","$484,926","$257,396","$54,500","$10,483,022","$3,192,262","$3,063,683","$15,446,746","$735,368","$1,497,241","$2,538,157","$243,624","$1,525,677",,,"$8,800,000","$3,000,000","$118,024",,,,,,,,,,,,,
The Brand New Testament (2015),"$30,526",,"$69,858","$42,490",,"$2,820,179","$5,773,091","$45,416","$1,486,889","$305,247","$437,596","$2,217,821","$296,124","$36,880",,,,"$125,210",,"$61,552","$39,799","$84,059",,,,"$24,047","$23,731",,,,"$15,577",,"$7,169",,,,"$650,358",,,,,,,,,,,"$147,987",,,"$36,972",,,,,,"$381,858",,,,"$421,306",,,,,,,,,,,,,,,,,,,,,,
Spotlight (2015),"$646,897","$148,652","$1,958,559","$269,689","$276,108","$3,278,068","$4,548,141","$9,142,744","$4,614,517","$1,073,317","$570,237","$594,049","$621,189","$590,136","$59,767",,,"$82,984",,"$255,701","$316,002","$313,535","$332,223","$157,777","$81,892","$279,543","$138,038",,"$562,614","$19,420","$41,073",,"$44,411","$1,321,049","$88,101","$4,376,884","$1,936,411","$544,964","$33,933","$210,212","$582,202",,,"$196,798","$39,337","$266,344","$4,293,342","$4,457,282",,"$509,234","$521,156","$49,288","$46,964","$49,756","$33,513",,"$123,951","$605,214","$333,530",,"$190,586","$442,879","$43,025",,,,,,,,"$1,212,147","$47,422","$13,098","$47,422","$1,151",,,,,,,,
Viva (2015),"$4,171",,,,,,"$116,195","$19,927",,,,,,,,,,,,,,,,,,,"$1,896",,,,,,"$2,293",,,,"$16,346",,,,,,,,,,,"$85,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son of Saul (2015),"$30,125","$6,301","$200,025","$69,325",,"$63,226",,"$484,104","$377,072","$363,974","$120,218","$290,897","$24,011","$44,501",,,,"$12,399",,"$1,059,297",,"$142,292","$86,806",,,"$48,321","$54,087",,"$106,274",,"$1,275",,"$3,487","$100,060",,"$231,576","$154,070","$10,797",,"$12,843","$80,775",,,"$25,106",,,,"$419,431",,,"$155,902","$23,691",,,,,"$27,776","$41,747",,,,,"$10,287",,,,,,,,,,,,,,,,,,,,
Pawn Sacrifice (2014),"$41,085",,"$145,440","$50,575","$16,700","$188,807","$427,026",,,"$36,142",,"$30,118",,"$41,798",,"$41,468","$20,484",,"$33,539",,,"$9,575","$12,602","$7,463",,"$56,169",,"$2,997","$13,389","$7,188","$2,367",,"$6,056","$138,563",,,"$123,489",,,"$33,759",,,"$35,666",,,,,"$231,577",,,"$55,978",,"$10,128",,"$2,923",,"$118,294",,"$67,363",,,,,,"$58,765","$5,314",,,,,,,,,,"$118,157","$1,304",,,,,,
Hardcore Henry (2015),"$47,688",,,,"$16,113","$287,827","$375,665","$583,996","$643,580","$161,525","$249,018","$47,390","$32,161","$94,620","$27,588",,,"$109,725","$59,640","$29,955",,"$122,989","$85,067","$7,363","$27,412",,,,"$37,892","$31,002","$30,571",,"$22,985","$63,459",,,"$339,626",,,"$111,982","$147,062",,,"$21,751",,,"$355,031","$2,278",,"$68,317","$24,477","$52,553","$8,258",,"$10,513",,"$2,602,056","$81,705",,,,,,,,,,,,,"$43,587",,"$16,861",,,,,,,,,,
Roger Waters: The Wall (2014),"$112,488",,"$135,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$56,350",,,,,,"$18,216",,,,,,,,,,,,,"$52,765",,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt (2015),"$98,815",,"$1,295,401","$41,150","$191,738","$282,966","$2,483,452","$1,611,291","$2,301,396","$775,149","$800,462","$155,845","$150,063","$361,969","$34,234","$619,526","$170,621","$77,333","$124,054","$100,770","$585,949","$20,297","$53,805","$344,304","$127,425","$237,384","$287,089",,"$110,849","$26,351","$34,281",,"$21,285","$360,860","$14,393","$2,090,156","$1,249,660","$230,627","$46,541","$17,164","$377,748",,,"$66,598",,,,,,"$171,047","$183,381","$96,975","$23,969","$149,618","$23,205","$2,972","$900,646","$1,333,351",,,"$173,358",,,,,,,,,,,,,,,,,,,,,,
Visions (2015),"$52,405",,"$289,074","$70,068","$17,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$161,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$161,091","$79,182",,,,,,,,,,,,,,,,,,
