Movie Name,Russia/CIS,China,Thailand,Taiwan,Germany,Colombia,India,Japan,France,Italy,Mexico,Israel,Netherlands,Denmark,Spain,United Kingdom,Sweden,Belgium,Switzerland,South Africa,Portugal,Austria,Iceland,Estonia,Qatar,Croatia,Bahrain,Latvia,Kuwait,United Arab Emirates,Greece,Lithuania,Oman,Lebanon,Jordan,Venezuela,Brazil,Argentina,Ecuador,Panama,Peru,Costa Rica,Bolivia,Nicaragua,Uruguay,Dominican Republic,Chile,Aruba,Hong Kong,Malaysia,Singapore,Australia,South Korea,Finland,Domestic,Norway,Poland,Türkiye,New Zealand,Ukraine,Czech Republic,Slovakia,Bulgaria,Slovenia,Paraguay,Serbia and Montenegro,Philippines,Vietnam,Hungary,Romania,Egypt,Trinidad & Tobago,Indonesia,Pakistan,Cyprus,Mongolia,Jamaica,Nigeria,Honduras
Lost in Paris (2016),"$42,352",,,,,,,,"$259,856","$413,654",,,,,,"$9,432",,,,,,,,,,,,,,,,,,,,,"$108,701","$56,889",,,,,,,"$13,135",,,,,,,"$157,178","$184,101",,,,,,"$130,985",,,,,,,,,,"$11,100","$8,245",,,,,,,,,
The Russian Game (2007),"$240,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Going in Style (2017),"$1,500,000",,,,"$4,200,000","$409,966",,"$611,000","$2,900,000","$589,000","$2,800,000",,"$1,900,000",,"$1,500,000","$3,900,000",,,"$1,300,000","$340,729","$659,287",,"$59,351",,,,,,,"$1,008,197","$328,264","$51,708",,,,,"$743,000","$557,000",,,,,"$62,790",,"$177,546",,,,"$219,000",,,"$3,452,728",,"$319,376",,"$94,910","$816,552","$112,000","$737,031","$460,881","$153,698","$148,688","$107,016","$77,994","$29,793",,,,"$515,848","$741,961",,,,,,,,,
Alibi.com (2016),"$228,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$78,858",,,,,,,,,,,,,,,,,,,,,,,,,,
All Nighter (2017),"$12,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr & Mme Adelman (2017),"$263,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$162,730","$59,512",,,,,,,"$13,546",,,,,,,,"$15,138",,,,,,,,,,,,,,,,,,,,,,,,,,
The Bar (2017),"$77,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$266,095",,,,,,,"$25,349",,,,,,,,"$18,336",,,,,,,,,,,,,,,,,,,,,,,,,,
My Little Princess (2011),"$31,260",,,,"$84,941",,,,,,,,,,,,,"$2,132",,,"$7,449",,,,,,,,,,,,,"$2,755",,,,,,,,,,,,,,,,,,,"$8,018",,,,,,,,,,,,,,,,,,,,,,,,,,
RRRrrrr!!! (2004),"$688,581",,,"$22,364",,,,,"$11,835,383",,,,,,,,,,,,"$25,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$653,751",,,,"$35,456",,,,,,,,,,,,,,,,,,
Boy s tenyu (2005),"$7,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smurfs: The Lost Village (2017),"$4,133,030","$25,558,593","$576,064","$179,112","$9,814,621","$1,432,649","$1,041,599",,"$11,583,307","$3,081,000","$5,448,819","$2,797,762","$3,723,301","$1,115,192","$7,699,869","$7,428,880","$1,440,461","$2,589,352","$1,521,537","$1,250,229","$1,112,079","$1,537,644","$170,660","$237,448",,"$452,291",,"$248,186",,"$2,709,874","$1,220,807","$341,217",,"$405,912",,"$947,825","$6,672,422","$2,177,079","$796,234",,"$2,813,646",,"$253,865",,"$294,544","$149,094","$853,948",,"$738,572","$1,143,908","$717,077","$5,047,495","$2,781,307","$1,087,763",,"$933,468","$5,878,934","$2,882,836","$841,200","$575,935","$2,064,824","$738,523","$740,463","$378,004","$48,573","$255,327","$855,235","$1,090,419","$504,891","$828,480","$100,554","$189,933","$1,318,060","$22,222",,,,,
The Zookeeper's Wife (2017),"$249,795",,"$15,382","$147,297",,,"$136,670","$616,579",,"$1,028,520",,"$922,036","$535,386",,"$940,700","$534,991",,"$447,804",,"$100,596","$173,645",,,"$13,928","$15,153",,"$9,032","$12,850",,"$74,397","$32,818","$45,831","$3,422","$27,316",,,,,,,,,,,,,,,"$44,320",,"$25,892","$1,011,842","$43,484",,,,"$821,648","$39,317","$325,940","$15,401","$76,188","$11,214",,,,,"$22,683",,"$50,846",,"$8,252",,,,,,,,
Gifted (2017),"$77,586",,,"$742,822","$393,123","$299,436",,,"$796,952","$613,713","$3,281,905","$1,434,847","$231,836",,"$639,069","$880,212",,,"$95,871","$78,502",,,,,,,,,,"$19,972",,"$22,664",,,,,,"$64,462",,,,,"$18,558",,"$19,899",,,,"$163,061",,"$138,743","$549,724","$28,233",,"$24,801,212","$31,698",,"$155,895",,,,,,,,,"$169,082",,,,,,,,,,,,
Aftermath (2017),"$243,431","$143,636",,,,,,,,,,,,,"$6,053",,,,,,,,,,,,,,,"$387,129",,"$22,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,827",$798,,,,,,,,,,,,,,,
The Secret Scripture (2016),"$41,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$133,296","$93,899",,,,,,"$14,116",,,,,,,,,,,,,,,,,,,,
Spark: A Space Tail (2016),"$393,682",,,,,,,,,,,,,,,"$19,472",,,,,,,"$24,466",,,,,,,"$83,702",,,,,,,,,,,,,,,,,,,,,,,"$235,668",,,,,"$44,120",,"$43,121",,,,,,,,,,,,,,,,,,,
"Everything, Everything (2017)","$729,000",,,,"$766,000","$321,584",,"$60,000","$2,600,000","$4,040,841","$2,600,000",,"$1,800,000",,,"$2,300,000",,,"$1,100,000","$249,403","$113,542",,"$64,903",,,,,,,"$214,860",,"$114,044",,,,,"$519,000","$354,000",,,,,"$58,440",,"$22,771",,,,,,,"$15,000",,"$259,053",,"$544,281","$448,167","$112,000",,,"$105,483","$170,563","$97,057",,"$30,335",,,,"$708,333","$352,801",,,,,,,,,
Spacewalk (2017),"$9,655,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baywatch (2017),"$4,014,776",,"$320,075","$2,592,224","$18,387,225","$1,054,081","$2,198,089",,"$10,458,476","$2,348,415","$8,067,178","$1,757,856","$2,917,578","$1,546,340","$2,611,402","$12,320,480","$1,823,642","$1,820,153","$3,323,119","$1,578,107","$1,760,088","$3,443,070","$265,696",,,,,,,"$1,075,218","$316,053","$190,910",,,,"$869,187","$2,661,577","$788,798",,"$1,575,740","$1,839,384",,"$188,885",,"$329,193",,"$700,568",,"$1,157,989","$1,743,775","$943,105","$7,515,107",,"$464,698",,"$1,193,039","$684,168","$235,964","$837,179","$964,677","$385,729","$317,967","$438,888","$284,893","$38,605",,"$535,954",,"$1,484,124","$790,839",,,"$976,011",,,,,,
Unforgettable (2017),"$745,000",,,,"$80,000","$188,441",,,,"$176,000","$1,500,000",,,,,"$816,000",,,,"$111,421",,,"$15,130",,,,,,,"$194,021",,,,,,,"$273,000","$153,680",,,,,"$46,237",,"$23,666",,,,,,,,,,,,,"$116,000",,,,,,,"$26,059",,,,"$163,055","$142,016",,,"$100,000",,,,,,
The Mummy (2017),"$16,893,681","$91,707,392","$3,233,149","$9,444,106","$8,168,896","$3,942,653","$7,058,591","$13,903,158","$10,033,226","$5,121,322","$13,032,172","$933,652","$2,146,438","$806,438","$9,410,004","$11,268,985","$1,305,968","$1,597,948","$1,063,124","$1,107,587","$1,406,714","$766,337","$115,533","$301,445",,"$118,269",,"$196,799",,"$3,772,669","$558,022","$258,306",,"$466,538",,"$814,961","$14,241,433","$4,263,199","$1,216,860",,"$2,977,090",,"$552,403",,"$238,622",,"$1,314,431",,"$5,084,400","$5,478,967","$3,350,321","$7,832,167","$27,601,251","$470,031",,"$751,157","$1,575,418","$2,880,051","$971,632","$1,757,475","$609,679","$267,898","$509,151","$72,576","$162,290","$161,633","$3,413,541","$2,427,175","$867,848","$519,677","$665,907","$392,529","$7,956,529","$473,308","$62,707","$139,238",,,
