Movie Name,Russia/CIS,China,Thailand,Taiwan,Germany,Colombia,India,Japan,France,Italy,Mexico,Israel,Netherlands,Denmark,Spain,United Kingdom,Sweden,Belgium,Switzerland,South Africa,Portugal,Austria,Iceland,Estonia,Qatar,Croatia,Bahrain,Latvia,Kuwait,United Arab Emirates,Greece,Lithuania,Oman,Lebanon,Jordan,Venezuela,Brazil,Argentina,Ecuador,Panama,Peru,Costa Rica,Bolivia,Nicaragua,Uruguay,Dominican Republic,Chile,Aruba,Hong Kong,Malaysia,Singapore,Australia,South Korea,Finland,Domestic,Norway,Poland,Türkiye,New Zealand,Ukraine,Czech Republic,Slovakia,Bulgaria,Slovenia,Paraguay,Serbia and Montenegro,Philippines,Vietnam,Hungary,Romania,Egypt,Trinidad & Tobago,Indonesia,Pakistan,Cyprus,Mongolia,Jamaica,Nigeria,Honduras
Brigsby Bear (2017),,,"$3,226",,,,,,,,,,"$19,316",,,"$48,695",,,,,,,,,,,,,,"$2,546",,,,,,,,,,,,,,,,,,,,,"$2,722","$59,193",,,,,,,"$13,265",,,,,,,,,,,,,,,,,,,,
Fabricated City (2017),,,"$11,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$117,906","$75,219",,"$17,997,850",,,,,,,,,,,,,,,,,,,,,,,,,,
Fist of the North Star: The Legends of the True Savior: Legend of Raoh-Chapter of Death in Love (2006),,,,"$3,600",,,,"$862,681","$296,991","$26,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haven (2004),,,,"$1,995",,,,,,,,,,,,,,,,,,,,,,,,,,"$38,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,354",,,,,,,,,
The Blue Butterfly (2004),,,,"$20,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,755,355",,,,,,,,,,,,,,,,,,,,,,,,
Snatched (2017),,,,"$160,968","$514,561",,,,,"$137,122","$254,858","$516,219","$759,802",,"$281,557","$2,520,428",,,,"$108,701","$143,312","$105,215","$51,261",,,,,,,"$228,531",,,,,,,,,,,,,,,,,,,,,,"$5,968,829",,,,,"$272,729",,"$532,361","$97,113",,,,,,,,,"$253,990","$142,094",,,,,,,,,
The Wall (2017),,,,"$121,355",,"$37,858",,"$179,021","$560,134",,"$322,684","$183,892","$251,493",,,"$41,011",,"$70,155",,,"$80,502",,,,"$17,273",,"$6,737",,"$35,731","$51,325","$25,353",,"$23,082","$26,230","$5,182",,"$178,479",,,"$35,096",,"$31,283",,"$7,684",,,,,,,"$79,560","$42,484",,,"$1,803,064","$23,082",,"$95,394","$3,531",,,,,,,"$1,723","$63,786",,,,,,"$57,007",,,,,,"$4,119"
The Heart of the Game (2005),,,,"$1,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayurveda: Art of Being (2001),,,,,"$114,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel & Tony (2010),,,,,"$242,679",,,,"$984,369","$261,097","$10,663",,,,"$60,649","$2,821",,"$41,089",,,"$6,086","$12,518",,,,,,,,,,,,,,"$1,974",,"$26,458",,,,,,,,,,,,,,"$309,902",,,,,"$6,633",,,,,,,,,,,,,,,,,,,,,,
2001: A Space Travesty (2000),,,,,"$79,498",,,,"$64,776",,,,,,,,,,,,,"$101,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,706",,,,,,,,,,,,,,,,,,
One Breath (2015),,,,,"$26,459",,,,,,,,,,"$16,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,926",,,,,,,,,,,,,,,,,,,,,
The Last Word (2017),,,,,"$482,921",,,,,"$337,903",,,,,,"$31,351",,,,"$43,599","$18,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$284,457",,,,,,,,,,,,,,,,,,,,,,,,,,
CHIPS (2017),,,,,"$128,000","$109,000",,,,"$125,000","$599,000",,"$487,000",,,"$593,000",,,"$211,000","$170,067","$138,917",,"$52,285",,,,,,,"$702,174",,"$35,101",,,,,,"$143,000",,,,,,,"$14,803",,,,,,,"$735,000",,"$88,728",,"$164,682",,,"$85,279","$122,297",,"$30,926","$63,956",,,,,,"$170,623","$414,088",,,,,,,,,
Diary of a Wimpy Kid: The Long Haul (2017),,,,,"$1,850,194",,,,,"$584,617",,,,,"$770,559","$6,967,010",,,,"$86,353",,,,,,,,,,"$327,782",,,,,,,,,,,"$216,148",,,,,,,,,,,"$4,660,921",,,,,,"$179,322","$558,025",,,,,,,,,,"$285,594",,,,,,,,,,
Captain Underpants: The First Epic Movie (2017),,,,,"$969,727","$757,262",,,"$2,118,548","$2,747,708","$2,522,453","$1,704,490","$2,034,472","$1,184,696","$4,213,455","$10,734,116",,,,"$482,734","$1,200,910","$265,189",,,"$196,562",,"$185,485",,"$28,402","$786,226",,,"$32,445","$122,654","$47,568",,"$2,745,831","$862,282","$369,650",,"$658,863",,"$82,525",,"$85,042","$63,090","$819,801",,,,,"$7,677,186",,,,"$32,445","$1,476,617","$651,167","$1,061,058",,,,,,"$22,091",,,,,,,"$150,574",,,,,"$23,371",,
Parched (2015),,,,,,"$37,876","$199,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Django (2017),,,,,,"$28,999",,,"$3,592,972",,,,"$183,170",,,,,,,,"$7,872",,,,,,,,,"$7,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fog in August (2016),,,,,,"$66,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cezanne et Moi (2016),,,,,,"$38,913",,,"$3,985,776",,,,,,"$95,302","$2,145",,,,,"$19,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$121,866",,,"$8,432",,,,,,,,,,,,,,,,,,,,,,,
How to Be a Latin Lover (2017),,,,,,"$1,513,058",,,,,"$24,928,324",,,,,,,,,,,,"$1,542",,,,,,,"$27,158","$63,762",,,,,,"$69,878",,"$882,006","$129,521","$1,312,755",,"$217,895",,"$35,586","$62,291","$20,950",,,,,,,,,,,,,,"$206,751","$271,395","$85,270","$68,530",,,,,"$224,248","$276,708",,,,,,,,,
Norman (2016),,,,,,"$94,756",,,,"$901,070",,,,,"$644,509","$50,057",,,,"$4,247","$14,594",,,,,,,,,,"$52,687",,,,,,"$285,234","$58,530",,,,,"$5,368",,"$5,610",,,,,,,"$265,107",,,,,,,"$20,930",,,,,,,,,,,,,,,,,,,,
A Flying Jatt (2016),,,,,,,"$4,289,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,972",,,,,,,,,,,,,,,,,,,,
In This Corner (and Other Corners) of the World (2016),,,,,,,,"$19,204,593",,,,,,,"$30,895","$45,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,523",,,,,,,"$4,480",,,,,,,,,,,,,,,,,,,,
125 Years Memory (2015),,,,,,,,"$4,132,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom of Finland (2017),,,,,,,,,"$62,940",,,,,,"$13,279","$21,658",,,,,"$8,366",,,,,,,,,,"$2,119","$1,693",,,,,,,,,,,,,,,,,,,,"$74,291","$12,169","$1,214,289","$381,610",,,,,,,,,,,,,,,,,,,,,,,,
Sand Storm (2016),,,,,,,,,"$327,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sense of an Ending (2017),,,,,,,,,"$366,834","$289,552",,,"$394,346",,"$191,493","$1,543,995",,,,"$41,985","$40,137",,,,,,,,,,"$43,448",,,,,,,,,,,,,,,,,,,,,"$414,727","$283,573",,,"$98,565",,,"$98,420",,,,,,,,,,,,,,,,,,,,
Viceroy's House (2017),,,,,,,,,"$1,122,370","$369,836",,,"$223,946",,"$215,354","$5,281,031",,,,"$110,553","$144,928",,,,,,,,,"$53,022","$21,978",,,,,,,,,,,,,,,,,,,,,"$2,635,197",,,,,,,"$584,289",,,,,,,,,,,,,,,,,,,,
The Case for Christ (2017),,,,,,,,,"$181,260",,"$505,145",,,,"$38,639","$9,148",,,,"$111,322",,,,,,,,,,,,,,,,,"$458,965",,,,,,,,,,,,,,"$109,839","$675,441","$1,080,530",,,,"$148,146",,"$125,280",,,,,,,,,,,,,,,,,,,"$49,264",
Félicité (2017),,,,,,,,,"$234,510",,,,"$13,619",,,"$3,886",,,,,"$1,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Cousin Rachel (2017),,,,,,,,,"$418,608",,,,"$322,409",,,"$3,440,213",,,,"$32,895",,,,,,,,,,"$65,031",,,,,,,,,,,,,,,,,,,,,,"$1,591,684",,,,"$15,706",,,"$369,887",,,,,,,,,,,,,,,,,,,,
The Death of Louis XIV (2016),,,,,,,,,"$113,981",,,,,,"$24,075","$7,295",,,,,"$20,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Assignment (2016),,,,,,,,,,"$166,516",,,,,,,,,,,"$44,012",,,,,,,,,"$131,094","$31,833",,,,,,,,,,,,,,,,,,,,,,"$15,334",,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19 (2017),,,,,,,,,,"$23,532",,,,,"$32,613","$161,576",,,,"$73,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$650,856",,,,,,,"$62,882",,,,,,,,,,,,,,,,,,,,
Song for a Raggy Boy (2003),,,,,,,,,,"$31,007",,,,,,"$751,647",,$445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef's Special (2008),,,,,,,,,,"$514,692","$36,150",,,,"$7,819,057",,,,,,,,,,,,,,,,,,,,,,,"$16,498",,,,,,,"$6,256",,"$2,259",,,,,,"$26,877",,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador Allende (2004),,,,,,,,,,"$53,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,454",,,,,,,,,,,,,,,,,,,,,,,,
Don't Hang Up (2016),,,,,,,,,,,"$308,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deseo (2013),,,,,,,,,,,"$170,339",,,,"$411,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Idiots (2017),,,,,,,,,,,"$6,446,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Their Finest (2016),,,,,,,,,,,,,"$190,279",,"$525,835","$5,282,720",,,,"$57,077","$30,232",,,,,,,,,"$21,670","$105,734",,,,,,,,,,,,,,,,,,,,,"$1,936,989",,,,,"$36,739","$20,797","$785,706",,,,,,,,,,,,,,,,,,,,
Maudie (2016),,,,,,,,,,,,,"$159,777",,"$317,546","$349,897","$60,868",,,"$25,579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$358,794","$2,157,966",,,,,,"$132,507",,,,,,,,,,,,,,,,,,,,
The Trip to Spain (2017),,,,,,,,,,,,,"$33,653",,,,,,,,"$19,309",,,,,,,,,"$13,660","$11,269",,,,,,,,,,,,,,,,,,,,,"$487,230","$78,889",,,,,,"$187,227",,,,,,,,,,,,,,,,,,,,
Bitter Harvest (2017),,,,,,,,,,,,,,,"$15,086","$9,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$322,795",,,,,,,,,,,,,,,,,,,
Secuestro (2016),,,,,,,,,,,,,,,"$992,626",,,,,,,,,,,,,,,,"$100,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,450",,,,,,,,,,,,,,
Magnus (2016),,,,,,,,,,,,,,,,"$1,122",,,,,,,$230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$91,443",,,,,,,,,,,,,,,,,,,,,,,
The Transfiguration (2016),,,,,,,,,,,,,,,,"$6,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Book of Henry (2017),,,,,,,,,,,,,,,,"$91,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizen Jane: Battle for the City (2016),,,,,,,,,,,,,,,,"$9,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girlfriends (1978),,,,,,,,,,,,,,,,"$4,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy's Honour (2016),,,,,,,,,,,,,,,,"$62,528",,,,,"$9,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,401",,,,,,,"$59,432",,,,,,,,,,,,,,,,,,,,
Lowriders (2016),,,,,,,,,,,,,,,,"$8,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Age of Shadows (2016),,,,,,,,,,,,,,,,"$16,750",,,,,$984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,926,613",,,,,"$2,156","$2,940",,,,,,,,,,,,,,,,,,,,
Wild Style (1982),,,,,,,,,,,,,,,,"$4,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ornithologist (2016),,,,,,,,,,,,,,,,$582,,,,,"$23,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleight (2016),,,,,,,,,,,,,,,,,"$1,458",,,"$2,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean Dreams (2016),,,,,,,,,,,,,,,,,,,,,"$10,873",,,,,,,,,,"$17,119",,,,,,,,,,,,,,,,,,,,,,"$4,489",,,,,,,,,,,,,,,,,,,,,,,,,,
The Amazing Truth About Queen Raquela (2008),,,,,,,,,,,,,,,,,,,,,,,"$1,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vengeance: A Love Story (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrie Pilby (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,519",,,,,,,,,,,,,,,
Titeuf: The Movie (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beata ignoranza (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lighthouse of the Whales (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$284,688",,,,,,,$836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max and the Junkmen (1971),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$312,,,"$40,450",,,,,,,,,,,,,,,,,,,,,,,,
24 (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$137,850",,,,,,,"$15,048",,,,,,,,,,,,,,,,,,,,
The Lovers (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,562",,,,,,,,,,,,,,,,,,,,,,,,,,,
Female Fight Squad (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,491",,,,,,,,,,,,,,,,,,,,,,,,,,
My Annoying Brother (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,104,124",,,,,,"$6,204",,,,,,,,,,,,,,,,,,,,
The Ottoman Lieutenant (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$172,866",,,,,,,,,,,,,,,,,,,,,
Ngati (1987),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$321,,,,,,,,,,,,,,,,,,,,
A Date for Mad Mary (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$94,736",,,,,,,,,,,,,,,,,,,,
The Hero (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,366",,,,,,,,,,,,,,,,,,,,
Handsome Devil (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,077",,,,,,,,,,,,,,,,,,,,
