imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,E/W Africa,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Laos,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1059786,,Eagle Eye (2008),"$189,322",,"$5,204,481","$798,806",,"$1,366,497","$10,585","$877,703","$134,604",,"$516,080","$89,139",,"$291,073","$95,563",,"$43,131","$241,665","$396,138","$498,540",,,,"$35,968","$112,552","$107,146","$47,024",,"$234,496","$2,694,083","$3,379,769",,"$333,529",,"$836,781","$384,525","$92,305","$101,742","$565,702","$590,624","$205,233",,"$13,291,825",,"$264,876",,"$82,984","$156,352",,"$115,271","$1,144,259","$2,793,150","$740,653","$1,878,333","$665,104","$29,862","$174,110",,,"$283,788","$987,765","$792,427","$844,077",,,"$172,017","$4,569,044",,"$13,870","$1,122,754","$93,199","$82,142","$384,018","$385,944","$10,660,310","$2,260,670","$319,806","$1,085,790",,,,"$1,662,385","$1,129,075",,"$624,522","$460,184","$1,085,615","$5,531,081","$6,477","$778,619","$179,476"
0455538,,How to Lose Friends & Alienate People (2008),,,"$1,962,893","$4,153",,"$56,991",,"$70,477",,,,,,,"$69,614",,,"$69,152",,,,,,,,"$10,515",,,,,"$498,981",,"$52,560",,,,"$8,678",,,,"$251,935",,,,,,,"$12,686",,"$9,146",,"$465,825",,"$149,085","$196,038",,,,,,,"$526,303","$77,796",,,"$143,937","$2,927,210",,,,"$6,133",,"$39,651","$41,020","$497,810","$976,030","$7,088","$32,724",,,,,,,"$70,942",,"$81,784","$7,056,100",,,
0956038,,Nights in Rodanthe (2008),"$879,399",,"$3,185,781","$1,085,464",,"$133,302","$32,964","$1,319,679","$52,688","$194,412",,"$142,567",,"$127,507","$76,222",,,"$22,920",,,,,,,"$47,294","$83,715","$38,362",,,"$1,096","$6,519,316",,"$566,280",,"$100,459","$268,704","$18,058","$6,943","$104,607","$411,382","$8,805,990",,"$4,200,000",,,,"$38,305","$105,442",,"$113,159",,"$1,900,304",,"$196,557","$273,443",,"$40,812",,,"$196,374","$177,335",,"$750,000",,,"$82,814","$920,590",,"$31,195","$156,654","$66,579","$115,584","$401,464",,,"$3,985,032","$15,812","$615,494",,,,"$195,869",,,"$542,444","$102,263","$75,294","$740,766","$47,439","$714,394",
0981227,,Nick and Norah's Infinite Playlist (2008),,,"$8,998",,,"$5,027","$10,056",,,,,,,,,,,,,"$196,796",,"$14,141",,,,,,,,"$190,745","$181,237",,,,,,"$16,276",,,,"$15,228",,,,,,,,,,,"$200,548",,,"$16,906",,,,,,,,,,,,,,,"$62,724",,,"$50,433",,,"$25,802",,,,,,,,,"$4,180",,,"$1,070,241",,,
0782867,,The Secrets (2007),"$12,514",,,,,,"$58,280","$58,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,838",,
1029234,,Martyrs (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,431",,,,,,,,,,,,,,,,
0972883,,Red (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0051792,,The Music Room (1958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0929425,,Gomorrah (2008),"$254,128",,"$363,962","$334,252",,"$358,371",,"$181,576",,,,"$39,643",,"$41,118","$36,547",,,,,"$201,536",,,,,,,,,"$69,987","$4,301,513","$1,231,245",,"$332,145",,,,,,,,"$17,665,830",,,,,,,,,"$26,745",,"$102,605",,"$725,714","$54,244",,"$185,172",,,,,"$77,632","$172,536",,,"$10,380","$45,584",,"$15,171","$24,222",,"$38,132",,,,"$3,282,402","$569,845","$1,083,729",,,,"$13,136",,,"$40,807",,,"$1,386,619","$15,855",,
0809504,,The Accidental Husband (2008),"$225,379",,,,,,"$41,542","$1,056,833",,"$77,395",,"$55,410",,"$194,856",,,,,,,,,,,"$174,634",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,286,202",,,,,,,,"$223,925","$24,259",,,,,,"$1,640,497",,,,,,,,"$1,231,952",,,,,,,"$36,432",,,,,,,"$24,188","$505,288",
