Movie Name,United Arab Emirates,Mexico,Peru,Ecuador,France,Greece,Austria,Belgium,United Kingdom,Iceland,Argentina,Chile,New Zealand,Brazil,Uruguay,Australia,Bulgaria,Spain,Germany,Domestic,Russia/CIS,South Africa,Lebanon,Oman,Jordan,Kenya,East Africa,Norway,Taiwan,Malaysia,Philippines,Singapore,Thailand,Israel,Italy,Netherlands,Denmark,Sweden,Portugal,Türkiye,Czech Republic,Croatia,Finland,Slovakia,Serbia and Montenegro,Slovenia,South Korea,Hong Kong,Colombia,Switzerland (German),Hungary,Romania,Poland,Ukraine,Lithuania,Estonia,Latvia,Egypt,Bolivia,India,China,Qatar,Venezuela,Switzerland (French),Japan,Bahrain,Nigeria,Ghana,Ethiopia,Vietnam,Switzerland
Li'l Quinquin (2014),,,,,,,"$7,422",,,,,,,,,,,"$3,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stations of the Cross (2014),,,,,,,"$5,250","$7,311",,,,,,,,,,"$14,054","$43,775",,,,,,,,,$319,,,,,,,,,,,"$2,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Basement (2014),,,,,,,"$177,369",,,"$1,174",,,,,,,,"$3,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$571,,,,,,,,,,,,,,,
A Pigeon Sat on a Branch Reflecting on Existence (2014),,,,,,,"$80,415",,,,,,,,,,"$7,765","$117,205",,,"$62,641",,,,,,,"$201,947",,,,,,,"$351,839",,,"$390,636",,,,"$4,610","$26,012",,,,,,,,,,"$5,622",,$750,,,,,,,,,,,,,,,,
The Gruffalo's Child (2011),,,,,,,,"$1,493","$17,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,229",,,,,,,,,,,,,,,,,,,,,,,,,
Of Horses and Men (2013),,,,,,,,,"$28,215","$172,485","$20,396",,,,,,,"$6,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'll See You in My Dreams (2015),,,,,,,,,"$2,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi Grind (2015),,,,,,,,,"$29,592",,,,,,,,,,,,,"$9,920",,,,,,,,,,,,,"$248,857",,,,"$3,836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The D Train (2015),,,,,,,,,"$13,233",,,,,,,,,"$5,586","$66,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Stanford Prison Experiment (2015),,,,,,,,,"$2,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Forbidden Room (2015),,,,,,,,,"$13,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life's a Breeze (2013),,,,,,,,,"$99,668",,,,,,,,,,,"$3,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Tub Time Machine 2 (2015),,,,,,,,,"$132,158","$1,163",,,,,,,,,,,"$374,043",,,,,,,"$1,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effie Gray (2014),,,,,,,,,"$368,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogowie (2014),,,,,,,,,"$356,717",,,,,,,,,"$7,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,596,605",,,,,,,,,,,,,,,,,,
Raanjhanaa (2013),,,,,,,,,"$225,712",,,,,,,"$42,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,594,038",,,,,,,,,,,
Doll (2013),,,,,,,,,"$1,642",,,,,,,,,"$36,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$529,112",,,,,,,,,,,,,,,,,,
Gimme the Loot (2012),,,,,,,,,"$12,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Gun in Each Hand (2012),,,,,,,,,,,"$251,755",,,"$525,818","$85,743","$387,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismael (2013),,,,,,,,,,,"$74,026","$21,770",,,"$7,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping Mr. Heineken (2015),,,,,,,,,,,"$99,965",,"$33,417","$546,741","$38,497",,,,,,"$58,007",,,,,,,,,,"$72,656","$16,843","$90,313",,,,,,,,,,,,,,,"$52,537","$58,285",,,,,,,,,,,,"$1,430,721",,,,,,,,,"$82,836",
Experimenter (2015),,,,,,,,,,,,,"$51,859",,,,,"$1,171",,,,,,,,,,,,,,,,,,,,,"$15,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobain: Montage of Heck (2015),,,,,,,,,,,,,"$28,786",,,"$222,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People Places Things (2015),,,,,,,,,,,,,"$110,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaar Sahibzaade (2014),,,,,,,,,,,,,"$105,693",,,"$544,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$263,975",,,,,,,,,,,
Piggy (2012),,,,,,,,,,,,,$496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Tailor (2013),,,,,,,,,,,,,"$66,217",,,"$96,993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$67,356",,,,,,,,,,,,,"$115,520,000",,,,,,,,,,
Mumbai Diaries (2010),,,,,,,,,,,,,"$13,698",,,"$65,442",,,,,,,,,,,,,,"$22,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,404,243",,,,,,,,,,,
Camille Rewinds (2012),,,,,,,,,,,,,"$16,398","$76,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,063",,,,,,,,,,,,,,,,,,,,,,,,
Grandmother (2009),,,,,,,,,,,,,,"$246,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attila Marcel (2013),,,,,,,,,,,,,,"$59,962",,,,,,,"$190,335",,,,,,,,,,,,,,,,,,,,,,,,,,"$596,188",,,,,,,,,,,,,,,,,,,,,,,,
Superfast! (2015),,,,,,,,,,,,,,"$287,851",,,,,,,"$419,987",,,,,,,,,,,,"$254,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,475",
My Summer in Provence (2014),,,,,,,,,,,,,,"$12,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,542",,,,,,,,,,,,,,,,,,,,,,,,
The French Kissers (2009),,,,,,,,,,,,,,,,"$57,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The End of the Tour (2015),,,,,,,,,,,,,,,,,,"$5,748",,,,,,,,,,$63,,,,,,,"$51,781",,,,,,,,,,,,,"$12,515",,,,,,,,,,,,,,,,,,,,,,,
The Anderssons in Greece (2012),,,,,,,,,,,,,,,,,,"$35,619",,,,,,,,,,,,,,,,,,,,"$7,170,719",,,,,"$108,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Five Years (2014),,,,,,,,,,,,,,,,,,"$2,138",,,,,,,,,,,"$22,140",,"$34,441","$16,939","$35,148",,,,,,,,,,,,,,,"$35,859",,,,,,,,,,,,,,,,,,,,,,,
The Color of Milk (2004),,,,,,,,,,,,,,,,,,,"$53,193",,,,,,,,,"$673,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hunting Ground (2015),,,,,,,,,,,,,,,,,,,,"$405,917",,,,,,,,,,,,,"$5,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joséphine (2013),,,,,,,,,,,,,,,,,,,,,"$51,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion in Love (2013),,,,,,,,,,,,,,,,,,,,,"$23,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley of Flowers (2006),,,,,,,,,,,,,,,,,,,,,"$27,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boy Meets Girl (2014),,,,,,,,,,,,,,,,,,,,,"$6,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom Pain (2009),,,,,,,,,,,,,,,,,,,,,"$9,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Stone Council (2006),,,,,,,,,,,,,,,,,,,,,"$390,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northmen: A Viking Saga (2014),,,,,,,,,,,,,,,,,,,,,"$837,203",,,,,,,,,"$350,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,111",
Soulless (2012),,,,,,,,,,,,,,,,,,,,,"$13,364,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Voice of the Moon (1990),,,,,,,,,,,,,,,,,,,,,"$20,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z for Zachariah (2015),,,,,,,,,,,,,,,,,,,,,,"$14,116",,,,,,,,,"$6,931",,"$1,709",,"$192,212",,,,"$26,710",,,"$4,088",,,,,"$14,612",,,,,,,,,,,,,,,,,,,,,,,,
Exhibition (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,$34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Card (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,963",,,"$58,449","$230,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand by Me Doraemon (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$864,812","$55,060","$5,877","$593,842","$1,290,644",,,,,,,,,,,,,,"$3,275,458","$6,047,317",,,,,,,,,,,,,"$86,920,000",,,,"$79,003,725",,,,,,
Naan Kadavul (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$380,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracers (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$301,979",,"$78,962","$327,417",,,,,,,,,,,,,,"$137,676","$15,214",,,,,,,,,,,,,,,,,,,,,,,
Killer Mermaid (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$87,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lights Out (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Blue Elephant (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,269,061",,,,,,,,,,,,,,,,,,,,,,,,,,,"$805,184","$538,636",,,,,,,,,,
Stray Dogs (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greetings from Tim Buckley (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$998,,,,,,,,,,,,,,,,,,,,,,,
Tokyo Fiancée (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,817",,,,,,,,,,,,,,,,,,,,,,,
Last Days in the Desert (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,431",,,,,,,,,,,,,,,,,,,,,,
Up in the Wind (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,780,000",,,,,,,,,,
