Movie Name,United Arab Emirates,Mexico,Peru,Ecuador,France,Greece,Austria,Belgium,United Kingdom,Iceland,Argentina,Chile,New Zealand,Brazil,Uruguay,Australia,Bulgaria,Spain,Germany,Domestic,Russia/CIS,South Africa,Lebanon,Oman,Jordan,Kenya,East Africa,Norway,Taiwan,Malaysia,Philippines,Singapore,Thailand,Israel,Italy,Netherlands,Denmark,Sweden,Portugal,Türkiye,Czech Republic,Croatia,Finland,Slovakia,Serbia and Montenegro,Slovenia,South Korea,Hong Kong,Colombia,Switzerland (German),Hungary,Romania,Poland,Ukraine,Lithuania,Estonia,Latvia,Egypt,Bolivia,India,China,Qatar,Venezuela,Switzerland (French),Japan,Bahrain,Nigeria,Ghana,Ethiopia,Vietnam,Switzerland
45 Years (2015),"$4,588","$82,493",,,"$827,543",,"$148,882",,"$2,632,138","$8,539","$135,142",,"$291,048","$138,503",,"$511,971",,"$599,421","$1,044,405",,"$8,365",,"$9,379",,,,,"$574,447","$38,698",,,,"$11,493",,"$580,899","$1,160,962","$205,504","$357,526","$79,921","$14,627",,"$1,849","$345,368",,,"$23,831","$146,270","$24,050",,"$164,655","$8,284",,,,"$2,163",,,,,,,,,,,,,,,,
Standing Ovation (2010),"$18,612",,,,,,,,,,,,,,,,,,,"$531,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimson Peak (2015),"$407,444","$5,716,941","$183,657","$164,964","$2,024,103","$559,568","$427,033","$432,701","$3,604,199","$30,978","$929,644","$123,367","$209,163","$984,782","$19,406","$1,395,175","$120,557","$3,437,403","$1,939,635",,"$4,783,752","$122,633","$47,658","$12,703",,"$5,530",,,"$935,400","$543,696","$207,244","$462,003","$163,589","$21,501","$2,058,385","$563,879","$151,296","$653,402","$343,225","$189,800","$152,669","$48,801","$327,822","$71,044","$27,852","$31,381","$312,156","$336,551","$130,469","$74,691","$205,191","$209,912","$375,169","$493,594","$59,704","$58,849","$60,339","$40,266","$30,346",,,,,"$43,423",,,,,,"$549,306",
Focus (2015),"$2,571,083","$8,410,724","$979,141","$631,059","$5,335,745","$568,091","$308,212","$1,306,251","$10,972,916","$68,459",$707,"$461,655","$667,314","$5,090,837","$158,963","$6,675,972","$240,064","$4,638,701","$3,082,610",,"$10,283,707","$753,095","$483,712","$191,816","$111,683","$367,528",,$397,"$1,116,630","$405,795","$383,629","$414,700","$321,292","$746,885","$5,680,356","$2,885,683","$536,145","$978,809","$644,937","$315,037","$145,934","$209,714","$105,407","$163,809","$82,393","$47,326","$494,204","$682,865","$2,139,051","$707,980","$33,989","$796,937","$771,233","$202,923","$101,165","$148,184","$159,787","$656,749",,"$393,049",,,,"$462,192","$3,657,012",,,,,"$13,673",
Every Thing Will Be Fine (2015),"$4,937",,,,,"$14,757","$24,432","$28,464",,,,,,,,,"$11,345","$1,538","$144,688",,,"$6,500",,,,,,,,,,,,,"$212,233",,,,"$9,178","$11,895",,,,,"$2,384",,"$50,714","$22,655",,,,,,,,,,,,,,,,,,,,,,,
The SpongeBob Movie: Sponge Out of Water (2015),"$1,295,734","$15,176,891","$2,946,120","$1,713,004","$7,999,456","$1,277,484","$1,462,132","$2,129,451","$11,898,007","$253,443",$205,"$1,657,101","$1,134,011","$17,188,528","$245,158","$6,322,043","$502,432","$6,237,937","$11,051,014",,"$8,862,353","$1,222,719","$300,743","$103,303","$82,249","$247,077",,,"$1,062,409","$1,285,739","$1,072,828","$872,925","$401,658","$4,347,459","$5,528,309","$2,935,503","$256,826","$588,692","$874,134","$1,671,456","$1,321,939","$347,088","$514,773","$252,395","$262,627","$256,054","$2,162,048","$564,004","$1,352,559",,"$1,059,284","$509,234","$2,322,967","$761,641","$322,129","$202,674","$229,571","$84,955","$560,997","$179,425","$8,762,372",,,"$256,164","$212,445",,,,,,
The Second Best Exotic Marigold Hotel (2015),"$220,822","$376,881","$62,104","$43,814","$713,887","$39,127","$310,173","$371,888","$23,064,109","$8,462","$240,099","$63,023","$2,644,487","$263,466","$54,534","$12,427,033",,"$2,433,712","$2,345,145","$33,078,266","$439,590","$490,174","$51,906","$10,841","$2,709","$29,097",,,"$210,338","$54,907","$17,001","$191,320",,"$141,931","$860,978","$446,881","$362,819","$652,586","$178,165","$32,496",,"$25,264","$132,579","$6,499","$12,222","$19,946",,"$231,791","$142,192","$409,838","$65,172",,"$185,450",,"$12,974",,"$16,323","$10,635",,"$166,539",,"$8,282","$136,740","$224,310",,"$5,570",,,,,
The Lazarus Effect (2015),"$123,324","$3,143,528","$309,063","$96,929","$1,186,091",,,,,,$18,"$52,459",,"$1,552,578","$63,847",,,,,,"$449,107","$40,349","$24,950","$10,477","$8,801",,,,"$234,215","$150,034","$162,115","$132,915","$62,900",,"$800,042",,,,"$19,216","$272,339","$51,953","$12,567",,"$85,353",,,"$120,519","$93,316",,,"$125,511",,,"$50,247","$27,804","$11,784","$10,341","$65,091",,,,,,,"$61,035",,,,,,
Spare Parts (2015),$44,"$79,228",,,,,,,,,,,,,,,,,,,,"$3,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon Rising (2014),"$163,398",,,,,,,,,,,,,,,,,,,,,,,"$61,889","$18,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,451",,,,,
