Movie Name,Japan,Singapore,Taiwan,Russia/CIS,France,Spain,United Kingdom,Türkiye,United Arab Emirates,Hong Kong,Germany,Austria,Bulgaria,Belgium,Portugal,Serbia and Montenegro,Brazil,Colombia,Mexico,Peru,Venezuela,Philippines,Thailand,Poland,Netherlands,Greece,Slovenia,Croatia,New Zealand,Italy,South Africa,Lebanon,Denmark,Ukraine,Norway,Finland,Czech Republic,Hungary,Egypt,Slovakia,East Africa,Iceland,Nigeria,Ecuador,Argentina,South Korea,Australia,Malaysia,India,Bahrain,Sweden,Israel,Chile,Uruguay,Bolivia,Domestic,China,Indonesia,Switzerland,Vietnam,Romania,Estonia,Lithuania,Latvia,Cyprus,Trinidad & Tobago,Paraguay,Kenya,Oman,Qatar,Central America,Ghana
Hansel & Gretel: Witch Hunters (2013),,"$1,736,257",,"$18,966,603","$7,414,412","$5,673,489","$5,384,007","$1,871,980","$1,063,145","$1,002,844","$18,323,363","$2,457,619","$859,914","$1,482,741","$503,255","$61,583","$22,793,021","$5,726,255","$13,788,120","$2,526,043","$4,310,527","$2,744,810","$2,004,145","$508,104","$962,664",,"$86,792","$78,086","$564,052","$3,511,276","$821,836","$109,551","$329,285","$2,420,222","$1,121,489","$461,814","$764,326","$335,287","$139,742","$235,550","$68,872","$33,660","$54,084","$959,645","$3,863,312","$1,310,154","$8,354,850","$2,942,290","$194,372",,"$714,065","$259,379","$1,517,328","$84,629","$451,256",,,"$2,665,354",,,,,,,,,,,,,,
Upside Down (2012),,"$173,729",,"$83,855","$2,046,371","$915,442",,,"$267,506","$746,770","$108,254",,,"$158,078",$857,,,,,,,"$98,537","$637,012","$140,490",,"$318,965",,"$33,187",,"$2,505,307",,,,"$349,600",,,"$145,179",,,"$66,170",,,,,,"$1,091,297",,"$596,112",,,,,,,,,"$11,600,000",,,,,,,,,,,,,,,
Stand Up Guys (2012),,"$29,106",,,,"$432,613","$119,824","$35,429",,,,,,,"$31,166",,"$236,485","$39,794","$106,517",,,,,,,"$61,509",,"$30,446",,"$270,438","$16,343","$72,135",,,,,"$28,613","$21,786",,"$11,008",,,,,"$166,222",,,,,,,,"$30,304","$22,885",,,,,,,,,,,,,,,,,,
No (2012),,"$7,299",,"$16,431","$962,028","$302,003","$447,048","$16,727",,"$52,350","$467,238","$70,683",,,"$7,576",,"$397,047","$81,768","$161,949","$11,254",,,,,"$116,682","$119,519",,,"$154,586","$536,868",,,"$31,033",,"$71,512",,"$9,949",,,,,,,,,,,,,,"$65,284",,"$1,242,793",,"$5,804",,,,,,,,,,,,,,,,,
The Haunting in Connecticut 2: Ghosts of Georgia (2013),,"$198,669",,"$1,067,627",,,,,,"$159,057",,,,,,,,,"$536,796","$214,127",,"$198,916","$292,240",,,,,,,,,,,,,,,,,,,,,,"$348,401",,,,,,,,"$387,023","$14,451",,,,,,,,,,,,,,,,,,
Side Effects (2013),,"$257,537",,"$769,074","$3,644,853","$2,249,261","$7,595,556","$159,848","$281,598","$350,379","$2,284,539","$403,093","$52,911","$485,032","$231,567",,"$838,006","$316,227","$1,817,149","$83,555","$195,496","$14,044","$64,919","$780,505","$591,877","$233,445","$17,869","$91,025",,"$2,253,654","$135,515","$96,022","$157,046",,,,"$210,196","$83,543","$61,465","$89,279",,"$28,441","$27,700",,"$1,038,499","$150,597","$2,415,498","$121,855",,,"$277,224",,"$182,087","$103,392",,,,,,,,,,,,,,,,,,
Midnight's Children (2012),,"$18,719",,,,"$143,409","$402,284",,,,"$294,795","$50,817",,"$16,702","$17,567",,"$14,385",,,,,,"$3,691",,,,,,,"$76,717","$14,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identity Thief (2013),,"$210,734",,"$2,869,079","$221,820","$1,817,601","$7,462,409","$71,502","$820,536",,"$5,589,376","$999,055","$117,779","$297,581","$507,185","$23,843","$894,086","$300,589","$1,168,346","$114,158","$602,824","$121,365",,"$166,557","$583,718",,"$70,760","$105,961","$883,894","$130,165","$786,746","$164,048","$218,714","$525,720","$576,953","$283,604","$28,373","$226,310","$50,614","$21,778","$20,251","$94,544","$43,866","$86,807","$106,947",,"$7,078,818","$325,801",,,"$152,653","$716,994",,"$52,374","$21,021",,,"$191,065",,,,,,,,,,,,,,
Beautiful Creatures (2013),,"$429,814",,"$4,112,794","$6,705,153","$825,069","$3,760,105","$357,483","$136,970","$202,701","$761,556","$148,153","$77,377","$1,419,788","$91,064","$10,018","$4,409,948","$128,555","$3,782,992","$190,486","$385,388","$683,282","$849,442","$564,633","$487,408","$63,002","$22,627","$62,838","$380,251","$814,145","$162,145","$31,646","$355,655","$127,275","$759,398","$208,603","$147,823",,"$13,433","$39,668","$6,576","$19,385",,,"$353,419","$365,968","$2,903,125","$670,864",,,"$806,382",,"$120,984","$18,563","$8,974",,,,,,,,,,,,,,,,,
21 & Over (2013),,"$57,560",,"$5,181,915",,"$19,761","$3,699,398","$104,800",,"$90,242","$453,339","$197,300","$139,098","$400,683","$325,853","$43,109","$925,070","$52,566","$249,643","$170,534","$475,292","$59,480","$184,939","$600,519","$1,581,578",,"$135,598",,"$328,674","$583,612","$295,744",,,"$399,516",,,"$62,430","$277,443",,"$119,291",,"$62,842",,,"$529,602",,"$2,644,659",,,,,,"$74,184","$9,197",,,,,,,,,,,,,,,,,,
Safe Haven (2013),,"$247,293",,"$937,331",,"$1,522,668","$3,567,381",,"$150,835","$190,970","$4,230,672","$797,578",,"$683,179","$357,924","$9,813","$697,825",,"$949,162","$136,452","$105,244","$203,811","$58,698",,"$1,701,216",,"$59,028",,"$423,873",,"$286,429","$109,444",,"$195,109","$28,312",,"$10,705","$43,248","$124,009","$23,970",,"$37,282",,,"$123,585","$166,363","$5,384,926",,,,,,"$72,454","$15,042",,,,,,,,,,,,,,,,,,
Elles (2011),,"$8,114",,"$75,098","$270,420","$314,295","$131,098","$19,107",,"$36,606","$203,332","$33,205",,"$60,946","$32,451",,"$126,639",,"$123,225",,"$1,988",,,"$1,857,752",,,,"$2,580",,"$167,912",,,"$30,715",,,,,,,,,,,,"$128,863",,,,,,,,,"$40,387",,,,,,,,,,,,,,,,,,
Universal Soldier: Day of Reckoning (2012),,"$2,770",,"$624,724",,,,"$138,232","$328,748",,,,,,,,,,,,,,,,,,,,,"$271,024",,,,"$31,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escape from Planet Earth (2012),,"$5,567",,"$2,463,594",,,"$1,860,356","$171,415","$198,164",,"$543,749","$168,499",,,"$76,037",,"$1,041,079","$540,264","$2,309,369","$323,950","$933,072",,,"$555,503",,,,"$94,448","$596,363","$341,546","$459,647","$34,351",,"$203,349",,,"$60,320","$72,126",,"$126,287",,"$60,776",,,"$586,308","$166,945","$3,094,271",,,,,,"$220,490","$29,364","$6,274","$57,012,977",,,,,,,,,,,,,,,,
Before Midnight (2013),,"$118,470",,"$58,089","$211,134","$1,504,092","$1,241,899","$145,812","$18,662","$340,248","$844,998","$170,985","$1,581","$78,155","$171,754",,"$670,003",,"$285,994","$60,979",,"$41,203",,"$271,033","$277,701","$810,564","$31,068",,"$166,596","$142,575","$30,492",,"$622,178",,,"$424,525","$32,179",,,"$7,881",,,,,"$1,320,990","$1,355,747","$995,035",,,,"$101,139",,"$239,243","$87,017",,,,,,,,,,,,,,,,,,
Snitch (2013),,"$217,978",,"$1,471,980","$1,710,353","$1,200,688","$792,416","$73,387","$1,116,336","$120,046","$662,303","$112,223",,"$179,811","$225,194",,"$984,378",,"$646,725","$91,489",,"$47,559","$213,857",,"$470,605","$22,400",,"$17,718","$282,166","$706,666","$499,045","$138,705",,"$30,986",,,"$8,624","$106,213","$56,014",,"$34,815","$24,188",,,"$247,782","$191,158","$1,486,965","$648,147",,,,,"$46,181","$9,111",,,,,,,,,,,,,,,,,,
Eye in the Sky (2007),,"$53,814","$14,753",,,,,,,"$529,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$91,661",,,,,,,,,"$1,043,304",,,,,,,,,,,,,,,
Dark Skies (2013),,"$114,612",,"$1,303,705","$1,251,699",,"$3,262,258","$154,032","$106,265","$44,086",,,,"$126,468",,,"$367,696",,"$916,420","$258,393","$258,645","$130,981",,,"$238,216",,,"$11,807",,"$847,550","$10,929",,"$45,683",,"$138,028","$34,840","$24,811",,"$52,017","$22,144",,,"$4,243",,"$263,607",,,"$296,309",,,,,"$125,818","$28,174",,,,,,,,,,,,,,,,,,
Journey to the West (2013),,"$1,761,283",,,,,,,,"$3,637,950",,,,,,,,,,,,,"$72,474",,,,,,"$67,363",,,,,,,,,,,,,,,,,,"$147,802","$3,192,253",,,,,,,,,"$196,740,000",,,,,,,,,,,,,,,
The Last Exorcism Part II (2013),,"$244,417",,"$910,288","$1,242,398","$135,308","$406,934","$203,914","$414,951","$111,283",,,,"$139,580","$22,458",,"$1,512,817","$412,292","$809,424","$313,321","$130,135","$285,110","$59,320","$233,651","$137,837","$25,593",,"$30,511",,"$583,879",,"$13,906","$104,745","$41,605",,,,,"$104,731",,,,,,"$667,586",,,"$287,234",,,,,"$228,797","$29,176","$29,362",,,,,,,,,,,,,,,,,
Stoker (2013),,"$104,093",,,"$401,430","$876,354","$1,331,944","$193,526",,"$130,365","$398,405","$80,758",,"$75,705",,"$36,178","$64,977","$175,368","$588,407",,"$48,848","$147,420","$68,091","$95,358","$96,459","$225,757",,,"$33,206","$102,657","$4,934","$7,156",,,"$41,559",,,,,,,,,,"$333,166","$2,140,547","$260,602","$60,482",,,,,"$170,100",,,,,,,,,,,,,,,,,,,
Dead Man Down (2013),,"$78,879",,"$822,607","$436,669","$530,434","$1,023,651","$148,701","$575,710","$67,579","$645,222","$81,300","$105,002","$174,613","$113,335",,,,"$370,163","$24,230",,"$40,554","$28,774",,"$317,665","$111,701",,"$13,385",,"$579,992","$104,749","$24,361","$37,211",,,,,,"$73,761",,,"$41,657","$38,630",,,,"$378,292","$116,242",,,,,,,"$5,964",,,,,,,,,,,,,,,,,
The Croods (2013),,"$2,215,112",,"$28,617,837","$21,103,008","$18,545,419","$43,146,580","$1,347,108","$2,380,372","$2,697,817","$22,345,133","$2,917,084","$454,083","$4,285,984","$2,176,462","$216,165","$15,193,380","$3,723,342","$27,682,452","$2,743,686","$7,265,547","$1,859,841","$655,285","$3,584,957","$4,591,462","$585,920","$338,570","$401,512","$3,581,346","$15,178,883","$2,053,281","$295,729","$2,446,014","$2,110,234","$3,477,987","$1,338,935","$1,174,865","$976,261","$377,574","$570,907","$131,140","$196,464","$129,749","$1,897,289","$8,542,429","$5,806,047","$23,753,398","$2,150,651","$1,588,907","$486,377","$4,117,923","$2,223,364","$4,803,520","$602,369","$633,497","$187,168,425","$63,310,000","$1,593,416",,,,,,,,,,,,,,
Populaire (2012),,"$11,079",,"$170,300","$9,748,864","$178,318","$506,330",,,"$106,957","$403,411","$53,404",,"$359,550","$3,835",,"$160,859","$63,288","$54,291",,,,,"$62,479","$24,251","$55,231","$4,686",,,"$498,486",,,,,,,,,,,,,,,,"$53,675",,,,,,,,,,,,,,,,,,,,,,,,,,
I Give It a Year (2013),,"$151,665",,"$1,015,537","$2,630,846","$799,902","$9,454,026","$126,630","$56,666","$241,744","$5,158,640","$604,338","$51,837","$388,691","$246,207",,,,,,,,,"$946,559","$681,976",,"$66,255","$29,334","$639,219",,"$53,332","$7,995","$204,968",,"$175,497","$593,171","$117,169","$193,224",,"$26,523",,"$35,752",,,,,"$4,139,564",,,,"$256,509",,,,,"$34,657",,,,,,,,,,,,,,,,
The Incredible Burt Wonderstone (2013),,"$239,175",,,,,"$919,831",,"$275,363",,"$297,746","$2,342",,,,,,,,,,"$321,047",,,,,,,,,,"$29,504",,,,,,,,,,"$40,874",,,,,"$2,690,070",,"$35,621",,,,,,,,,,,,,,,,,,,,,,,
Spring Breakers (2012),,"$69,821",,"$1,427,434","$4,640,740","$327,006","$1,336,958","$38,220",,"$6,386","$1,618,442","$345,606","$47,544","$846,319","$118,870","$23,453",,,"$564,961","$35,372",,,"$8,829","$726,865","$376,379",,,"$45,384","$137,590","$1,178,746",,,"$84,977",,"$565,325","$103,174","$71,906","$25,338",,"$18,250",,,,"$10,577","$85,715",,"$593,246",,,,"$181,943",,"$8,737",,"$4,179",,,,"$649,293",,,,,,,,,,,,,
I'm So Excited! (2013),,"$2,694",,"$693,228","$3,789,186","$6,540,224","$1,286,199","$86,890",,"$91,827","$502,688","$91,510","$30,669","$286,320","$152,552","$15,942","$704,736",,"$1,027,631","$100,779",,,"$10,240","$399,626","$77,811","$433,168","$24,274","$17,638",,"$2,416,567","$3,708",,,"$21,903","$8,492","$220,226","$59,439","$59,967",,"$25,021",,"$2,562",,,"$392,923",,"$114,859",,,,"$123,704",,"$25,585","$44,328","$6,618","$1,368,119",,,,,,,,,,,,,,,,
The Call (2013),,"$302,087",,"$1,567,907","$1,332,439",,"$1,845,743","$99,664","$638,781","$497,643","$931,302","$177,394",,,"$16,416","$5,572","$629,818","$325,921","$1,787,567","$401,550","$875,797","$35,188","$18,829",,,"$149,647","$14,546","$17,474",,,"$41,255","$174,631",,,,,"$84,573","$37,546",,"$19,888",,"$34,784",,,"$1,643,503","$325,208","$2,114,949","$213,074",,,"$93,581",,"$53,664","$192,312",,,,,,,,,,,,,,,,,,
In the House (2012),,"$13,240",,"$231,631","$9,529,425",,"$1,268,772","$10,491",,"$65,597","$515,660","$72,891","$4,230","$547,913","$67,016","$7,072","$349,061","$85,975","$125,371",,,,,"$175,645","$475,054",,"$10,277","$3,471","$80,093","$932,592",,,"$225,333",,"$196,141","$12,418",,,,,,,,,"$48,334",,"$603,136",,,,"$141,704",,,"$2,471",,,,,,,,,,,,,,,,,,
The Place Beyond the Pines (2012),,"$92,244",,"$1,127,279","$5,025,237","$1,562,058","$5,266,240","$32,108","$133,060","$39,375","$2,594,450","$195,948",,"$357,604","$33,597",,"$133,753",,"$296,687",,,"$14,466","$55,087","$438,529","$403,409","$278,398",,"$24,393","$180,771","$2,607,633","$54,797","$52,787","$617,886",,"$694,518","$199,584",,,,,,"$67,081",,,,,"$2,593,447","$16,611",,,"$543,912",,,,,"$21,403,519",,,,,,,,,,,,,,,,
The Host (2013),,"$288,244",,"$4,824,365","$3,265,567","$3,540,028","$5,372,492","$321,504","$293,307","$188,795","$2,561,244","$216,001","$41,516","$365,990","$210,843","$11,357","$2,578,896","$138,367","$647,056","$192,036","$248,611","$490,818","$484,818","$961,906","$530,532","$99,070","$41,185","$52,056","$462,545","$1,141,564","$459,920","$47,232","$500,499","$205,048","$418,021","$231,262","$206,352","$219,009","$39,208","$61,973",,,,"$15,839","$338,126","$218,557","$2,446,325","$796,267",,,"$773,158",,"$177,231","$13,918",,,,,,,,,,,,,,,,,,
Admission (2013),,"$36,820",,"$343,707",,,"$104,917","$16,399",,,,,,,"$17,250",,,,,,,,"$6,006",,,"$19,554","$1,640",,,,"$57,385",,,,,,,,,,,"$11,546","$14,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome to the Punch (2013),,"$36,984",,"$481,768",,,"$1,647,029",,"$310,627",,,,,,"$28,051",,,,,,,,"$57,073",,"$78,822",,,,,,"$29,871","$7,266",,"$36,229",,,,,,,,"$5,197",,,,,,"$37,722",,,,,,,,,"$1,160,000",,,,,,,,,,,,,,,
A Perfect Plan (2012),,"$14,053",,"$691,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disconnect (2012),,"$43,626",,,,,,"$13,446","$56,338","$112,321","$38,744","$21,309",,"$50,898","$70,448",,,,,,,,,,"$170,272",,,,,"$1,236,599","$59,524","$4,148",,,,,,,,,,"$4,674",,,,"$108,801",,,,,,,,,,,,,,,,,,,,,,,,,,
Scary Movie V (2013),,"$213,781",,"$3,902,832",,"$3,085,703","$3,824,691","$841,467","$308,582","$103,752","$7,624,898","$1,164,384","$99,583","$262,990","$514,376","$51,005","$2,603,027","$186,127","$1,399,279","$593,971","$402,971","$246,685","$171,719","$1,013,528","$1,344,700","$479,827","$93,495","$86,631","$395,143","$4,211,478","$69,698","$154,214","$581,232",,"$167,531","$473,590","$291,090","$60,148","$18,140","$151,984",,"$32,665",,,"$2,480,306",,"$3,335,873","$13,255",,,"$297,622",,"$212,969","$144,230","$49,464",,,,,,,,,,,,,,,,,
Pain & Gain (2013),,"$189,669",,"$7,219,193","$2,739,533","$2,288,128","$3,759,641","$145,508","$1,252,587",,"$6,251,847","$873,020","$156,241","$434,015","$307,161","$25,169","$428,832","$93,526","$1,276,567","$187,588","$470,022",,"$250,143","$240,376","$583,715",,"$79,557","$106,596","$278,307","$946,767","$255,328","$111,499","$203,807","$384,372","$869,054","$353,802","$229,568","$249,087","$107,265","$121,164","$10,817","$78,313","$19,254","$77,162",,,"$3,099,777",,,,"$298,585","$367,843",,"$9,853",,,,,,,,,,,,,,,,,,
Breaking Wind (2012),,"$12,210",,,,,,,,,,,,,,,"$980,977",,,,,"$31,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Trapper (2004),,,"$42,871",,"$14,905,929","$307,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ring Finger (2005),,,"$14,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,973",,,,,,,,,,,,,,,,,,,,,,,,,,
The Red Shoes (2005),,,"$43,035",,,,,,,"$85,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,657,523",,,,,,,,,,,,,,,,,,,,,,,,,,
Skate or Die (2008),,,"$8,479","$1,113,408","$719,883",,,,"$30,114",,,,,"$24,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milarepa (2006),,,"$50,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$151,114",,,,,,,,,,,,,,,,
Skirt Day (2008),,,,"$9,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imaginaerum (2012),,,,"$81,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,593",,,,,,,,,,,,,,,,,,,,,,,,
A Burning Hot Summer (2011),,,,"$44,919",,,,,,,,,,,,,"$50,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesar Must Die (2012),,,,"$35,102",,"$226,165","$10,896","$6,383",,,,"$13,618",,"$79,438","$21,973","$5,355","$63,111",,"$9,449",,,,,,,,,"$2,978",,"$961,469",,,"$2,795",,,,,,,,,,,,"$51,699",,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara (2012),,,,"$17,739","$459,026","$626,937","$253,244","$11,928",,"$11,509","$2,747,568","$93,906",,"$126,073","$38,588",,"$205,671",,"$19,623",,,,,"$14,079","$21,176",,,,"$411,060","$242,995",,,"$101,675",,"$198,740","$44,323",,,,,,,,,"$100,832","$19,092",,,,,"$117,675",,,"$10,916",,"$1,013,902",,,,,,,,,,,,,,,,
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman (2012),,,,"$8,348",,,"$50,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsène Lupin (2004),,,,"$296,566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$439,748",,,,,,,,,,,,,,,
Trishna (2011),,,,"$30,349","$82,962",,"$311,300",,,,,,,"$46,423",,,,,,,,,,,"$15,105",,,,"$42,413",,"$13,406",,,,,,,,,,,,,,,,"$185,333",,,,,,,,,,,,,,,,,,,,,,,,,
This Is 40 (2012),,,,"$949,402","$1,323,427","$716,503","$4,291,296",,"$273,385",,"$2,879,805","$718,503","$38,393","$181,934","$527,549","$42,743",,"$158,278","$732,613","$85,709",,,,,,,"$153,461","$58,477","$274,263","$30,298","$362,224","$65,267",,"$293,973",,,,"$519,112","$44,852",,,"$41,874","$9,384",,"$232,497",,"$5,115,028",,,,"$359,815","$149,663","$40,923",,,,,,,,,,,,,,,,,,,
Alois Nebel (2011),,,,"$8,618","$90,580",,,,,,"$23,727",,,,,,,,,,,,,,,,,,,,,,,,,,"$541,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Collection (2012),,,,"$1,063,393",,"$40,082",,"$137,029","$186,011",,,,,,,,,,"$127,569","$404,547","$116,276",,,"$69,345",,,,"$12,627",,,,,,,,,,,,,,,,"$75,434","$596,595",,,,,,,,"$168,014","$6,339","$84,387",,,,,,,,,,,,,,,,,
Le vilain (2009),,,,"$10,488","$14,473,810",,,,,,,,,"$266,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soldiers of Fortune (2012),,,,"$1,542,287",,,,,"$203,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guns, Girls and Gambling (2012)",,,,"$103,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Chainsaw (2013),,,,"$1,723,361","$221,215",,"$3,125,247","$275,964","$312,600","$139,151",,,,"$90,706","$31,308","$27,378","$918,813","$218,291","$1,079,050","$162,098","$452,949","$57,030","$301,669","$106,750","$229,421","$92,201","$47,340","$72,491",,"$1,809,630","$58,143","$58,982","$209,173",,"$193,144","$124,157",,,,,,,,,"$291,133",,,,,,"$482,678",,,,"$86,568",,,,,,,,,,,,,,,,,
The Marsh (2006),,,,"$609,900",,,,"$356,016","$148,172",,,,,,,,,,"$747,060","$187,345","$345,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,121",$336,,,,,,,,,,,,,,,"$14,200",
Beyond the Hills (2012),,,,"$19,167","$24,263","$40,177","$67,614","$27,779",,"$9,568",,,$401,"$76,629","$2,599","$7,702","$65,756",,,,,,,,,,"$7,249","$1,230",,"$198,279",,,,,,,,,,,,$161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renoir (2012),,,,"$122,123","$3,010,648","$351,649","$124,482",,,"$8,701","$855,634","$106,764",,"$134,826","$2,259",,"$183,326",,"$264,004",,,,,,,,,,,,,,"$28,594",,,"$68,228","$12,622",,,,,,,,"$106,415",,,,,,"$91,140",,"$37,102","$14,258",,,,,,,,,,,,,,,,,,
Marina Abramovic: The Artist Is Present (2012),,,,"$9,560",,"$12,931",,,,,,"$11,839",,,,,,,,,,,,"$9,201",,,,,,"$25,539",,,,$988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pervert's Guide to Ideology (2012),,,,"$32,257",,,"$89,271",,,,,,,,,,,,,,,,,"$24,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blancanieves (2012),,,,"$46,553",,"$1,643,854","$96,173",,"$2,232",,"$34,676",,"$5,662","$80,626","$3,970",,"$73,997","$32,450","$148,069",,,,,,,"$50,876",,,"$67,106",,,,,,,,,,,,,,,,"$6,452",,,,,,,,,,"$13,091",,,,,,,,,,,,,,,,,
Tabu (2012),,,,"$11,395",,,,,,,,,,,,,"$97,374",,"$20,969",,,,,,,,,,,,,,,,,,,,,,,,,,"$102,166",,"$392,824",,,,,,,,$864,,,,,,,,,,,,,,,,,
Not Dead (2012),,,,"$19,922",,,,,,,,,,,,,"$10,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Now Is Good (2012),,,,"$225,209",,"$26,682","$961,490","$175,016",,,,,,"$37,927","$18,011",,,,,,,,"$24,323",,"$578,467",,,,,,,,,,,,,,,,,,,,,"$226,621",,,,,,,,,,,,,,,,,,,,,,,,,,
The Bang Bang Club (2010),,,,"$9,710",,,,,,,,,,,,,,,,,,,,,,,,,"$7,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Glimpse Inside the Mind of Charles Swan III (2012),,,,"$134,473",,,,,,,,,,,"$3,743",,,,"$26,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War Witch (2012),,,,"$5,215","$50,545","$75,260",,,,,,,,"$15,754",,,,,,,,,,,,,,,"$6,338",,,,,,"$89,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Oranges (2011),,,,"$322,438",,"$283,472","$59,204",,,"$13,525",,,,,"$17,534","$13,034","$98,687",,"$353,026",,,,,,,,"$20,963",,,"$722,194","$46,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escape (2012),,,,"$3,194",,,,,"$106,320",,,,,,,,,,,,,,,,,,,,,,,,,,"$804,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie Krøyer (2012),,,,"$18,614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The First Time (2012),,,,"$69,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel and William (2007),,,,"$53,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Into the White (2012),,,,"$11,787",,"$63,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$636,469",,,,,,,,,,,,,,,,,,,,,$704,,,,,,,,,,,,,,,,
The Good Doctor (2011),,,,"$17,034",,,,,,"$8,195",,,,,"$3,047",,,,,,,,"$17,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killing Bono (2011),,,,"$23,501",,,,,,,,,,,,,,,,,,,"$4,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Awkward Sexual Adventure (2012),,,,"$45,259",,,,,,"$116,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Family (2010),,,,"$3,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Tide (2012),,,,"$699,502",,,,,,"$115,580",,,,,,,,,"$91,035","$39,012",,,"$1,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To the Wonder (2012),,,,"$232,890","$279,907","$296,148","$323,156","$136,670",,"$23,565","$115,460","$50,954",,"$15,118","$129,166",,"$325,575",,,,,,"$11,717",,,,"$8,417",,,"$147,709","$23,133",,,,"$20,176","$73,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Is All You Need (2012),,,,"$86,867","$122,644","$880,434","$1,329,936","$47,946",,"$22,160","$903,257","$175,658",,"$78,650","$26,695","$77,944","$547,893","$144,294","$240,969","$42,538",,,,"$74,515","$231,542","$251,306","$45,307","$10,767","$111,503","$875,519",,,"$7,193,383",,"$192,489","$101,810","$61,433","$16,375",,"$34,229",,"$44,495",,,"$144,194",,"$555,061",,,,"$398,789",,,"$19,832",,,,,,,,,,,,,,,,,,
